# Drug name and concentration: 6: Terfenadine at 54μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 19
#   Hill Coefficient: 0.6
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 700
#   Hill Coefficient: 0.7
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,41.8439,-88.0214,265.901,463.18,365.7,319.71,143.47,857.96,414.34,160.941,236.274,75.3215,394.78,0.0258694,0,0,1,1.045,1.02135,0.96461,0.997549,1.03932,0.984879,0.963929,1.02386,1.02595
2,41.6416,-88.0102,265.075,462.56,367.32,321.54,141.02,871.51,426.98,150.737,224.573,73.8254,408.95,0.0276794,0,0,2,0.989232,0.972732,0.98697,0.999216,0.997203,1.02076,1.03404,0.997939,1.0285
3,41.1439,-87.999,264.37,464.81,369.35,322.95,141.86,866.23,421.83,155.495,230.303,74.7964,401.42,0.0277352,0,0,3,0.994848,0.98665,1.04509,0.993513,0.965132,1.01001,0.987223,0.964972,0.986203
4,41.5799,-88.0008,264.448,457.66,364.19,319.31,138.35,865.29,421.7,153.469,227.628,74.1477,407.63,0.0287033,0,0,4,0.982776,0.963687,0.970274,1.02745,0.978316,1.03209,1.02756,0.975382,1.02719
5,41.4526,-88.0235,265.953,453.83,361.5,317.27,136.56,883.81,436.26,139.931,213.003,73.0621,429.98,0.0302521,0,0,5,1.03866,0.968743,0.97292,1.04222,0.993322,1.02222,1.02611,1.02167,0.973734
6,41.5088,-88.0313,266.693,458.13,363.71,318.45,139.68,892.48,443.18,135.66,208.286,72.6154,434.35,0.0297912,0,0,6,0.973688,0.975176,0.974108,0.998904,1.04321,1.01306,1.03227,1.03939,0.963177
7,41.2415,-88.0089,265.048,463.05,367.66,321.88,141.17,884.5,437.42,141.914,215.116,73.1908,421.45,0.0296257,0,0,7,0.984353,0.953495,1.00142,1.00771,0.952361,0.985216,1.03531,0.981961,0.972573
8,41.6957,-88.0288,266.379,455.96,361.13,316.69,139.27,870.84,425.99,148.789,222.745,73.9452,414.88,0.0278916,0,0,8,1.01389,1.00877,0.988507,1.03998,1.04529,0.98104,1.00541,1.04075,1.01129
9,41.8103,-88.0261,266.277,467.44,369.94,323.65,143.79,857.71,413.62,163.138,238.671,75.5216,390.27,0.0249059,0,0,9,1.01083,1.01752,0.985172,1.01088,0.957194,0.977712,0.95749,1.03633,1.03248
10,41.7226,-88.0308,266.434,464.3,367.39,321.7,142.6,883.21,436.51,143.24,216.522,73.2714,418.91,0.0256353,0,0,10,1.04744,1.03671,1.00692,1.02656,1.01438,0.957383,1.0286,1.04388,1.0015
