# Drug name and concentration: 10: Diltiazem at 1275μM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# GNa:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   EC50/IC50: Infinity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Hill Coefficient: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# GNaL:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   EC50/IC50: Infinity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Hill Coefficient: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Gto:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   EC50/IC50: Infinity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Hill Coefficient: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# GKr:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   EC50/IC50: 6569,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Hill Coefficient: 0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# GKs:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   EC50/IC50: Infinity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Hill Coefficient: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# GK1:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   EC50/IC50: Infinity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Hill Coefficient: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Gncx:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   EC50/IC50: Infinity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Hill Coefficient: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Pnak:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   EC50/IC50: Infinity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Hill Coefficient: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# PCa:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   EC50/IC50: 112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Hill Coefficient: 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Stimulus Phase: 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Strength: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Duration: 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Frequency: 2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Cycles: 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Stimulus Phase: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Strength: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Duration: 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Frequency: 2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Cycles: 150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Ca_o: 1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# K_o: 5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Na_o: 140,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa,cnet,dose
1,36.5185,-87.9241,257.347,309.59,246.07,218.78,90.81,1057.52,478.47,42.5896,98.4024,55.8116,747.93,0.0602367,0,0,1,1.25955,1.13245,1.4096,0.921915,1.27445,0.816716,1.36352,0.703243,1.14164,,10
2,37.1612,-88.008,263.246,255.77,203.16,179,76.77,994.92,436.45,50.672,110.43,59.7553,739.15,0.0817759,0,0,2,1.08776,0.804707,1.37275,1.02163,0.660989,1.15547,1.00881,0.848511,1.21274,,10
4,38.1789,-88.035,267.32,252.3,191.5,165.34,86.96,935.23,412.35,65.2867,136.565,71.2651,682.93,0.0763022,0,0,4,0.788933,1.07789,0.94939,1.12363,0.947599,0.779872,0.513344,0.870073,0.755705,,10
5,38.6713,-88.0918,271.712,226.47,169.69,147.33,79.14,960.36,411.76,53.7225,119.374,65.6447,733.89,0.0821979,0,0,5,1.22937,1.06536,0.956006,1.34837,0.619484,0.643933,0.648585,0.987129,0.859177,,10
7,37.6823,-87.9945,261.817,363.97,296.43,257.39,106.58,1007.58,490.25,63.4767,135.197,71.7062,643.61,0.0477123,0,0,7,1.12734,1.21322,1.0768,0.59416,1.19831,1.4073,0.535858,0.835674,0.7209,,10
10,38.7936,-88.1067,273.206,351.59,267.93,233.89,117.7,1067.41,496.01,43.9651,102.629,58.6606,715.82,0.0710492,0,0,10,0.754755,0.738202,0.883224,0.647699,0.953403,0.66055,1.04908,1.03994,1.00258,,10
11,36.2373,-87.8337,250.01,264.24,215.87,190.85,73.39,1074.37,469.28,35.6791,91.6132,55.9342,810.13,0.064106,0,0,11,0.80391,1.26541,1.01014,1.10438,1.04747,1.42593,1.21314,0.58209,0.782922,,10
13,36.9612,-88.0093,263.13,225.49,176.48,153.61,71.88,994.1,422.89,45.9587,105.412,59.4508,768.61,0.0922897,0,0,13,1.38171,0.653576,1.36462,1.00154,1.17733,1.34125,0.951589,0.823403,1.02888,,10
14,38.5191,-88.1428,274.737,282.91,216.56,189.41,93.5,1011.01,452.8,48.7161,112.391,63.6701,728.1,0.0646537,0,0,14,0.502533,1.3019,1.40423,1.1301,1.22046,0.581343,0.725196,1.13212,0.771478,,10
15,38.8218,-88.121,271.568,349.88,289.41,256.21,93.67,1067.03,511.97,47.8635,111.536,63.6666,717.15,0.0402505,0,0,15,1.32584,1.4682,1.25093,0.796372,1.11965,1.38473,0.766849,1.20998,0.81169,,10
18,39.9705,-88.2202,282.655,407.23,314.89,273.32,133.91,1094.98,536.62,44.7376,110.613,65.8682,687.75,0.038753,0,0,18,1.35251,1.34048,1.09712,0.598936,1.18766,0.681243,0.619567,1.44938,0.564899,,10
20,38.8645,-88.0525,266.822,309.3,246.89,221.21,88.09,1075.8,488.38,39.725,94.183,54.4561,766.5,0.0509159,0,0,20,1.42391,1.38016,0.823026,1.08034,1.30752,0.730013,1.49315,0.964038,1.29249,,10
21,36.9602,-87.9629,261.232,275.32,209.36,181.2,94.12,1038.4,456.27,40.5621,102.302,61.737,763.08,0.0704008,0,0,21,1.45445,1.16984,1.2283,1.04432,1.08621,0.666436,0.793681,0.712182,0.571739,,10
22,38.6849,-88.0687,267.53,248.49,198.03,173.6,74.89,949.86,419.61,63.813,129.085,65.2649,701.37,0.0878596,0,0,22,0.761214,0.601802,0.717928,0.911148,0.781716,1.49751,0.750619,0.973089,1.37017,,10
25,39.2955,-88.2009,279.955,307.58,239.67,211.48,96.1,1003.7,461.12,55.7734,118.468,62.6898,696.12,0.0693975,0,0,25,0.899575,0.981637,1.3318,0.919708,1.0115,0.733913,0.838232,1.40694,1.25977,,10
27,39.4899,-88.1259,273.295,365.41,294.94,259.64,105.77,1079.14,517.89,46.2362,107.266,61.0249,713.73,0.0492386,0,0,27,0.815516,1.14146,0.795586,0.669027,1.07818,1.11744,0.921793,1.17398,0.995901,,10
28,39.75,-88.1428,273.774,360.3,294.74,259.2,101.1,1094.86,523.41,42.7474,102.867,60.1161,734.56,0.054696,0,0,28,0.854672,1.02472,0.648055,0.639608,0.927037,1.39642,0.93724,1.21773,0.88723,,10
30,36.6416,-87.7714,247.355,362.14,292.97,258.31,103.83,1063.08,505.74,48.7752,109.116,60.3387,700.94,0.0382954,0,0,30,1.05917,1.39563,0.733522,0.715208,1.24343,1.04644,1.10792,0.517388,1.05005,,10
31,37.5859,-87.9398,259.073,231.15,177.3,156.12,75.03,1032.17,436.36,38.5914,94.1229,55.5307,801.02,0.0832589,0,0,31,1.12096,0.822285,0.671342,1.21236,0.610485,0.805366,1.24918,0.693148,1.13449,,10
32,39.6234,-88.1398,276.676,371.34,278.48,241.06,130.28,1025.88,487.32,56.5322,119.547,63.0093,654.54,0.074176,0,0,32,1.49599,0.551368,0.657084,0.516762,0.998886,0.672193,0.858383,1.14193,1.31535,,10
36,36.7995,-87.8424,250.663,255.66,208.39,186.08,69.58,1017.21,446.39,46.3511,102.644,56.2925,761.55,0.0682119,0,0,36,1.41634,1.057,0.838061,1.15579,0.895024,1.32883,1.34997,0.607935,1.43534,,10
40,39.8797,-88.182,279.271,337.27,267.53,237.17,100.1,1063.82,496.09,45.2874,102.264,56.9739,726.55,0.0734936,0,0,40,0.744339,0.675849,0.746487,0.749454,0.510079,0.888897,1.21937,1.33951,1.37053,,10
42,37.1719,-87.8911,254.766,227.82,179.92,157.97,69.85,1043.19,442.48,36.8699,93.9807,57.11,815.37,0.0743793,0,0,42,1.20008,1.17544,0.754806,1.2999,1.25591,1.14585,1.08713,0.640316,0.85396,,10
45,40.3401,-88.1885,277.755,254.67,206.04,184.18,70.49,993.81,443.42,53.2397,114.885,61.6407,739.14,0.0609267,0,0,45,1.43603,1.45633,0.89132,1.44239,0.996105,1.05435,0.880786,1.45477,1.41733,,10
46,39.6619,-88.0912,270.011,305.93,246.01,219.26,86.67,1071.57,488.24,40.7584,96.7605,55.9995,765.64,0.0577411,0,0,46,0.520555,1.18902,0.568774,0.991482,1.14652,0.977829,1.29345,1.07875,1.22147,,10
48,39.3384,-88.2082,280.699,392.72,317.75,280.7,112.02,1100.27,538.76,44.6169,107.631,63.0098,707.55,0.0395008,0,0,48,0.875811,1.32957,1.44533,0.703702,0.692465,0.925904,0.760407,1.47106,0.727905,,10
49,36.6778,-87.8789,256.076,174.56,126.23,108.42,66.14,917.18,374.88,57.6441,125.298,67.644,742.62,0.102455,0,1,49,0.75049,0.502431,0.726344,1.24037,0.723578,0.90769,0.592332,0.562983,0.845769,,10
50,39.1374,-88.0581,268.339,321.18,254.51,225.1,96.08,1066.6,491.91,42.8726,102.372,59.496,745.42,0.055314,0,0,50,1.10142,1.2227,0.61558,0.97047,0.559653,0.783285,0.996599,0.947879,0.923251,,10
