# Drug name and concentration: 10: Dofetilide at 20μM
# GNa:
#   EC50/IC50: 380.5
#   Hill Coefficient: 0.892
# GNaL:
#   EC50/IC50: 753100
#   Hill Coefficient: 0.2597
# Gto:
#   EC50/IC50: 18.82
#   Hill Coefficient: 0.7712
# GKr:
#   EC50/IC50: 6.125
#   Hill Coefficient: 1.079
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: 0.765
#   Hill Coefficient: 394.4
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 260.3
#   Hill Coefficient: 1.163
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,41.9675,-86.4494,177.942,897.21,387.33,340.83,556.38,700.17,235.67,360.962,443.709,82.7383,-197.04,0.0369347,0,0,1,0.698716,1.01134,0.978925,1.35698,1.24229,1.36012,0.700452,1.40027,1.13236
2,43.4782,-80.8502,238.115,801.28,388.12,342.83,458.45,835.83,354.78,205.903,280.407,74.5237,34.55,0.0463952,0,0,2,1.32916,0.618259,0.680672,1.41947,0.736857,1.35337,0.981452,1.46718,1.27088
4,40.0461,-78.4861,152.122,880.45,409.99,358.01,522.44,723.94,227.22,382.94,465.95,82.9999,-156.51,0.0353974,0,0,4,1.065,1.35064,1.43676,1.02166,0.886777,1.10254,0.63188,1.44478,0.960312
5,40.5321,-81.7246,124.105,999.61,462.4,395.24,604.37,938.62,416.99,152.059,218.955,66.8976,-60.99,0.0220734,0,0,5,0.626144,0.84137,1.31771,1.06523,0.756123,1.44616,1.30788,1.36701,0.929413
6,25.1761,-63.0266,82.2237,918.12,449.17,377.18,540.94,1086.22,596.14,129.386,205.136,75.7112,168.1,0.0150387,0,0,6,1.3041,0.898694,0.95934,0.611217,0.627088,1.43325,0.746303,0.559261,0.548117
9,41.827,-85.9828,155.122,949.41,413.52,359.95,589.46,688.54,229.03,410.053,490.441,80.3771,-260.87,0.0250186,0,0,9,0.668078,1.32809,1.00135,1.37704,1.17536,0.881394,1.00129,0.682827,1.2955
10,35.3794,-84.5895,141.367,831.62,370.4,320.07,511.55,810.28,345.26,191.649,269.458,77.8025,-21.34,0.0430001,0,0,10,0.640383,1.42469,0.790927,1.38253,0.985211,1.07405,0.770907,0.580445,0.502509
14,40.2388,-84.165,185.497,907.78,381.82,331.72,576.06,659.77,220.71,447.252,532.914,85.6417,-248.01,0.0392107,0,0,14,0.874694,0.94465,0.934225,1.34028,1.07286,1.21154,0.825917,0.531405,1.13432
20,40.7357,-25.1925,131.702,1764.69,1962.43,1923.31,-158.62,1712.16,232.71,374.724,445.608,180.269,-52.53,-0.146415,1,0,20,0.939491,1.27055,0.596076,0.642641,0.978897,0.557006,1.3213,0.521269,1.16439
22,41.2125,-84.4461,183.503,931.07,396.63,348.41,582.66,740.79,254.53,310.813,390.457,79.6354,-190.28,0.0391764,0,0,22,0.78031,0.734109,1.45535,1.22921,1.16057,0.704971,0.828635,1.2789,1.15187
24,41.7234,-83.0846,258.027,872.91,359.83,313.09,559.82,788.09,333.06,232.729,310.355,77.6342,-84.82,0.0446041,0,0,24,1.37105,1.49213,0.747794,1.47849,1.2575,0.59586,1.13521,0.501402,1.11469
27,35.3453,-74.227,79.9336,930.88,233.37,160.81,770.07,21.89,21.89,0,140.102,64.6384,-908.99,0.0820758,0,0,27,1.25585,0.598904,1.31387,0.59768,0.713975,0.774301,1.35939,0.762138,1.27372
28,42.6855,-17.7429,86.9006,1897.9,323.7,267.47,1630.43,2000,286.01,234.324,298.376,129.803,102.1,-0.133748,1,0,28,1.13371,0.531424,0.696756,0.633101,0.514713,0.668328,1.21347,1.24446,1.23375
29,39.9928,-76.9991,104.466,906.81,414.63,351.97,554.84,640.58,193.33,584.782,670.464,85.6436,-266.23,0.0311843,0,0,29,0.924752,0.572415,1.0307,0.923424,0.675227,0.946268,0.585204,1.04201,0.993049
31,41.4911,-76.7777,92.9013,989.49,449.46,387.4,602.09,744.58,217.28,426.51,505.853,79.3232,-244.91,0.0160679,0,0,31,0.839924,1.19758,0.540567,0.845105,0.78175,0.638315,0.722195,1.33211,1.01411
33,41.3948,-74.1905,83.2268,1347.28,492.82,421.99,925.29,1055.32,247.36,307.743,379.231,71.4848,-291.96,-0.015939,0,0,33,0.549514,1.184,1.09956,0.579307,0.934161,0.728757,1.03587,1.2644,1.07355
37,38.5191,-83.9058,234.368,846.33,366.58,319.6,526.73,676.22,226.36,412.66,503.639,90.961,-170.11,0.0515022,0,0,37,1.12935,0.8875,1.44939,1.45325,0.656871,0.961389,0.635251,0.576288,0.939036
39,37.7281,-69.5765,82.9844,1344.71,424.8,355.08,989.63,1229.73,367.75,203.732,279.487,75.6732,-114.98,-0.0132445,0,0,39,0.713196,0.904481,0.553781,0.566011,0.814421,1.17739,0.937396,0.567539,0.906994
40,41.7992,-81.633,218.429,894.08,373.62,329.39,564.69,674.88,224.24,421.271,505.677,84.3852,-219.2,0.0463902,0,0,40,1.17429,0.704558,1.32276,1.19118,1.40784,0.658034,0.790856,0.971838,1.37901
42,43.2454,-78.8642,109.349,1067.67,442.14,379.55,688.12,721.1,207.03,491.521,570.908,79.3648,-346.57,0.0164111,0,0,42,0.742768,0.674059,0.713808,0.799616,1.09805,1.0172,0.779429,1.3845,1.36293
43,39.5667,-69.1828,86.7739,795.21,431.44,379.06,416.15,763.86,236.3,357.574,432.96,75.4222,-31.35,0.0190955,0,0,43,1.49368,0.957627,1.33864,0.953683,0.721374,1.43402,1.0162,0.985136,1.00321
