# Drug name and concentration: 10: Quinidine at 8429μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: 3487
#   Hill Coefficient: 1.3
# GKr:
#   EC50/IC50: 343
#   Hill Coefficient: 1
# GKs:
#   EC50/IC50: 4899
#   Hill Coefficient: 1.4
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,32.6821,-21.0428,79.9673,1831.22,586.73,70.3,1760.92,1599.05,1094.69,16.3068,141.877,125.415,-232.17,-0.0710637,1,0,1,1.25955,1.13245,1.4096,0.921915,1.27445,0.816716,1.36352,0.703243,1.14164
2,28.4776,-18.3458,79.9897,1813.54,119.46,89.07,1724.47,1986.22,1065.88,10.4093,131.634,121.138,172.68,-0.0691749,1,0,2,1.08776,0.804707,1.37275,1.02163,0.660989,1.15547,1.00881,0.848511,1.21274
4,45.8625,-17.8463,269.465,585.03,333.49,280.29,304.74,632.73,334.41,212.929,290.012,171.621,47.7,-0.15013,1,0,4,0.788933,1.07789,0.94939,1.12363,0.947599,0.779872,0.513344,0.870073,0.755705
5,23.3051,-22.5174,79.995,1793.25,1389.14,774.55,1018.7,1803.77,1959.77,27.3556,171.969,153.979,10.52,-0.08414,1,0,5,1.22937,1.06536,0.956006,1.34837,0.619484,0.643933,0.648585,0.987129,0.859177
7,44.8871,-87.9626,260.891,1516.77,1258.93,483.56,1033.21,1704.83,283.35,207.74,287.229,79.4771,188.06,-0.0588393,1,0,7,1.12734,1.21322,1.0768,0.59416,1.19831,1.4073,0.535858,0.835674,0.7209
10,28.5439,-18.4249,79.9965,1803.15,117.33,87.4,1715.75,1636.09,689.07,9.68253,124.105,114.362,-167.06,-0.0638342,1,0,10,0.754755,0.738202,0.883224,0.647699,0.953403,0.66055,1.04908,1.03994,1.00258
11,45.5618,-13.6554,250.76,582.04,323.91,266.26,315.78,659.69,648.84,99.657,164.709,127.868,77.65,-0.178273,1,0,11,0.80391,1.26541,1.01014,1.10438,1.04747,1.42593,1.21314,0.58209,0.782922
13,45.0755,-15.5855,261.703,943.94,299.22,249.32,694.62,590.77,939.6,168.132,236.078,143.237,-353.17,-0.132744,1,0,13,1.38171,0.653576,1.36462,1.00154,1.17733,1.34125,0.951589,0.823403,1.02888
14,25.8511,-88.1212,79.9967,618.7,451.24,310.38,308.32,174.55,155.76,3.65998,149.794,70.7414,-444.15,0.0668583,0,0,14,0.502533,1.3019,1.40423,1.1301,1.22046,0.581343,0.725196,1.13212,0.771478
15,48.4967,-16.3293,273.332,617.12,352.92,295.78,321.34,689.29,682.55,124.358,194.724,145.866,72.17,-0.188187,1,0,15,1.32584,1.4682,1.25093,0.796372,1.11965,1.38473,0.766849,1.20998,0.81169
