# Drug name and concentration: 10: Ranolazine at 19482μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: 7884
#   Hill Coefficient: 0.9
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 6490
#   Hill Coefficient: 0.8
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,39.6663,-87.8487,254.052,456.91,349.78,306.68,150.23,796.32,363.79,194.219,267.868,73.6365,339.41,0.0498701,0,0,1,1.25955,1.13245,1.4096,0.921915,1.27445,0.816716,1.36352,0.703243,1.14164
2,40.4393,-87.9303,259.368,458.06,368.73,326.62,131.44,731.14,284.55,285.841,366.775,80.9217,273.08,0.0498637,0,0,2,1.08776,0.804707,1.37275,1.02163,0.660989,1.15547,1.00881,0.848511,1.21274
4,40.2852,-87.9831,265.892,402.14,305.06,268.11,134.03,676.43,257.27,335.342,429.045,93.6864,274.29,0.0677309,0,0,4,0.788933,1.07789,0.94939,1.12363,0.947599,0.779872,0.513344,0.870073,0.755705
5,40.9242,-88.0298,268.925,412.88,314.35,279.05,133.83,717.22,291.77,274.497,361.369,86.8564,304.34,0.0637004,0,0,5,1.22937,1.06536,0.956006,1.34837,0.619484,0.643933,0.648585,0.987129,0.859177
7,39.6907,-87.9639,261.375,436.87,344.38,296.12,140.75,716.71,271.28,308.737,400.422,91.6651,279.84,0.0594641,0,0,7,1.12734,1.21322,1.0768,0.59416,1.19831,1.4073,0.535858,0.835674,0.7209
10,41.6958,-88.0465,269.972,520.32,379.77,324.5,195.82,866.53,417.44,164.311,238.403,74.0801,346.21,0.0523738,0,0,10,0.754755,0.738202,0.883224,0.647699,0.953403,0.66055,1.04908,1.03994,1.00258
11,38.6281,-87.7873,248.179,400.79,326.24,287.97,112.82,850.06,405.59,143.516,215.637,72.1089,449.27,0.0593995,0,0,11,0.80391,1.26541,1.01014,1.10438,1.04747,1.42593,1.21314,0.58209,0.782922
13,39.6961,-87.9294,258.631,398.46,321.53,286.31,112.15,736.38,311.66,244.685,324.976,80.278,337.92,0.0655193,0,0,13,1.38171,0.653576,1.36462,1.00154,1.17733,1.34125,0.951589,0.823403,1.02888
14,40.0145,-88.089,273.441,416.31,308.64,271.74,144.57,778.99,347.51,198.741,279.948,81.1924,362.68,0.0653185,0,0,14,0.502533,1.3019,1.40423,1.1301,1.22046,0.581343,0.725196,1.13212,0.771478
15,40.5248,-88.0951,270.876,435.34,348.61,303.67,131.67,815.55,374.85,186.464,265.799,79.3205,380.21,0.0541553,0,0,15,1.32584,1.4682,1.25093,0.796372,1.11965,1.38473,0.766849,1.20998,0.81169
18,40.8692,-88.1918,283.024,488.32,353.29,298.81,189.51,888.4,438.14,140.667,219.007,78.327,400.08,0.0613581,0,0,18,1.35251,1.34048,1.09712,0.598936,1.18766,0.681243,0.619567,1.44938,0.564899
20,42.9501,-87.9873,263.833,451.42,342.17,302.28,149.14,840.84,406.45,156.08,225.859,69.7675,389.42,0.04325,0,0,20,1.42391,1.38016,0.823026,1.08034,1.30752,0.730013,1.49315,0.964038,1.29249
21,38.1879,-87.9181,260.36,415.12,310.28,270.32,144.8,837.13,391.93,150.357,227.91,77.5401,422.01,0.0697487,0,0,21,1.45445,1.16984,1.2283,1.04432,1.08621,0.666436,0.793681,0.712182,0.571739
22,42.631,-87.9911,262.627,441.17,358.73,318.35,122.82,654.51,227.16,417.223,505.262,88.0272,213.34,0.051215,0,0,22,0.761214,0.601802,0.717928,0.911148,0.781716,1.49751,0.750619,0.973089,1.37017
25,42.0872,-88.1389,276.882,466.55,354.31,312.98,153.57,734.86,288.73,277.954,359.817,81.8517,268.31,0.0504476,0,0,25,0.899575,0.981637,1.3318,0.919708,1.0115,0.733913,0.838232,1.40694,1.25977
27,42.3027,-88.0829,271.121,475.04,367.29,316.84,158.2,837.77,390.26,180.366,256.828,76.4483,362.73,0.0489107,0,0,27,0.815516,1.14146,0.795586,0.669027,1.07818,1.11744,0.921793,1.17398,0.995901
28,42.4172,-88.1066,271.496,474.5,376.43,323.6,150.9,890.01,442.9,145.764,219.642,73.8662,415.51,0.0517621,0,0,28,0.854672,1.02472,0.648055,0.639608,0.927037,1.39642,0.93724,1.21773,0.88723
30,40.6372,-87.708,244.74,475.77,364.06,313.54,162.23,751.14,305.3,263.135,343.15,80.0002,275.37,0.0428885,0,0,30,1.05917,1.39563,0.733522,0.715208,1.24343,1.04644,1.10792,0.517388,1.05005
31,41.8019,-87.8536,255.099,451.5,350.17,309.6,141.9,790.92,357.9,202.893,278.121,75.2146,339.42,0.0506697,0,0,31,1.12096,0.822285,0.671342,1.21236,0.610485,0.805366,1.24918,0.693148,1.13449
32,43.5077,-88.0695,272.311,548.34,389.83,333.62,214.72,768.1,279.38,289.184,370.963,81.7667,219.76,0.0456976,0,0,32,1.49599,0.551368,0.657084,0.516762,0.998886,0.672193,0.858383,1.14193,1.31535
36,41.6791,-87.7505,246.29,440.64,357.13,318.07,122.57,710.21,281.84,298.973,377.168,78.184,269.57,0.0419237,0,0,36,1.41634,1.057,0.838061,1.15579,0.895024,1.32883,1.34997,0.607935,1.43534
40,43.9645,-88.1198,274.747,570.66,436.96,371.92,198.74,901.1,415.97,173.832,245.93,72.0877,330.44,0.0335894,0,0,40,0.744339,0.675849,0.746487,0.749454,0.510079,0.888897,1.21937,1.33951,1.37053
42,40.1091,-87.8324,252.309,373.61,296.61,263.74,109.87,806.42,369.93,165.715,240.541,74.8128,432.81,0.0639244,0,0,42,1.20008,1.17544,0.754806,1.2999,1.25591,1.14585,1.08713,0.640316,0.85396
45,43.6062,-88.132,274.872,405.9,326.11,294.41,111.49,708.28,282.44,287.623,369.002,81.369,302.38,0.0455523,0,0,45,1.43603,1.45633,0.89132,1.44239,0.996105,1.05435,0.880786,1.45477,1.41733
46,43.8288,-88.0348,267.321,447.31,346.46,305.08,142.23,847.02,409.97,156.822,228.065,71.2308,399.71,0.0456852,0,0,46,0.520555,1.18902,0.568774,0.991482,1.14652,0.977829,1.29345,1.07875,1.22147
48,40.5543,-88.1804,280.198,511.17,396.25,338.58,172.59,896.93,445.4,151.002,227.426,76.4113,385.76,0.0506621,0,0,48,0.875811,1.32957,1.44533,0.703702,0.692465,0.925904,0.760407,1.47106,0.727905
49,39.7425,-87.7945,252.19,381.62,295.82,262.36,119.26,638.96,234.83,392.744,486.702,93.9451,257.34,0.073914,0,0,49,0.75049,0.502431,0.726344,1.24037,0.723578,0.90769,0.592332,0.562983,0.845769
50,42.1942,-88.0097,266.617,493.67,378.23,327.86,165.81,863.32,417.51,164.308,239.396,75.0745,369.65,0.0450045,0,0,50,1.10142,1.2227,0.61558,0.97047,0.559653,0.783285,0.996599,0.947879,0.923251
52,39.8527,-87.9816,266.281,466.34,326.83,282.57,183.77,803.54,365.84,186.196,264.886,78.6768,337.2,0.0696295,0,0,52,1.19088,0.562246,1.10254,0.686676,1.3672,0.508798,0.849273,0.852379,0.803879
54,41.2453,-87.7929,248.935,428.96,349.81,309.99,118.97,658.24,234.38,396.974,484.935,87.9479,229.28,0.0438088,0,0,54,0.627448,1.43951,0.681484,1.089,0.820124,1.48235,0.819086,0.624393,1.16368
56,40.2828,-87.8633,254.427,398.56,320.9,288,110.56,729.32,308.28,251.58,331.089,79.4963,330.76,0.0558194,0,0,56,1.28009,1.13011,1.13133,1.39828,0.864782,1.1005,1.05654,0.726855,1.10836
58,40.2103,-88.1764,280.582,470.07,359.92,308.16,161.91,835.72,390.4,181.355,264.21,82.8388,365.65,0.0598872,0,0,58,1.3071,1.36214,1.46698,0.746865,0.842035,0.913154,0.565496,1.42991,0.60293
59,38.0957,-87.8552,253.998,457.46,367.93,319.48,137.98,795,347.36,212.732,293.226,80.4795,337.54,0.0627454,0,0,59,1.45838,0.622397,1.42167,0.807756,0.579167,1.26232,0.876798,0.648329,0.768789
60,41.2404,-88.0609,269.24,420.88,340.44,305.83,115.05,690.81,259.01,325.004,409.614,84.5984,269.93,0.0496774,0,0,60,1.01102,1.32426,1.46153,1.33618,0.736779,1.08528,0.80661,1.18583,1.23575
65,41.4803,-88.1666,278.184,480.64,359.39,313.31,167.33,902.93,452.15,125.55,193.92,68.3616,422.29,0.0514215,0,0,65,0.597041,1.19478,1.34353,0.742339,1.41369,0.700464,1.28035,1.4744,1.0796
67,38.2758,-87.8571,253.471,449.11,360.49,309.47,139.64,883.79,433.95,137.863,212.392,74.5182,434.68,0.0687498,0,0,67,0.655703,0.569071,0.931223,0.645672,0.811354,1.41718,0.94074,0.609107,0.610051
71,39.4786,-88.0759,270.743,427.93,331.57,285.92,142.01,776.3,337.59,217.179,301.696,84.5005,348.37,0.0663584,0,0,71,0.980899,1.12461,1.49458,0.614746,1.42961,1.18317,0.61743,1.10755,0.685777
72,41.5239,-87.9858,265.106,358,280.21,249.54,108.46,662.44,254.71,337.711,429.639,91.914,304.44,0.0754693,0,0,72,1.48705,0.689768,0.575912,1.28468,1.11181,1.06974,0.553596,0.883968,0.863387
73,40.5362,-88.152,278.068,443.62,344.75,296.76,146.86,829.72,389.57,177.532,260.407,82.8588,386.1,0.0646051,0,0,73,1.07437,1.17653,1.11786,0.812574,0.797394,1.06731,0.563166,1.3174,0.592015
75,40.573,-88.0446,266.678,465.47,375.34,327.08,138.39,780.24,326.98,235.776,315.583,79.7932,314.77,0.0507502,0,0,75,1.15215,0.975055,1.42687,0.691454,0.954387,1.44622,0.898104,1.09924,1.06717
76,43.4724,-87.9959,265.31,451.49,339.6,301.31,150.18,781.47,349.61,209.014,284.768,75.7415,329.98,0.0474679,0,0,76,1.48942,1.01426,0.555402,1.18462,0.915158,0.630117,1.1537,0.958074,1.26603
78,42.4978,-87.8956,256.878,452.69,347.61,302.65,150.04,845.5,407.96,157.725,229.114,71.3768,392.81,0.0466068,0,0,78,1.296,1.2811,0.619966,0.841006,1.33993,1.01765,1.35768,0.768192,1.09349
81,41.0797,-87.9682,261.848,460.95,375.42,333.47,127.48,668.76,230.36,404.608,492.052,87.4321,207.81,0.0466814,0,0,81,0.616233,0.87881,1.29598,1.05079,0.518964,1.26965,0.789057,0.931004,1.30285
82,43.2814,-88.0032,266.419,508.51,379.14,328.27,180.24,775.21,309.82,255.86,336.111,80.2366,266.7,0.0416805,0,0,82,1.4347,1.00624,0.548337,0.76774,0.856035,0.774059,0.930421,0.96903,1.20234
84,43.0634,-88.1393,276.143,437.86,351.93,315.86,122,649.92,225.63,418.248,506.47,88.2122,212.06,0.0430564,0,0,84,1.0445,1.29363,1.13852,1.27299,0.703027,1.04413,0.696841,1.47964,1.47594
85,39.2971,-88.0697,273.29,501.99,370.56,317.96,184.03,889.74,439.69,140.488,215.43,74.9304,387.75,0.0672912,0,0,85,0.508757,0.629764,1.43185,0.777197,0.617295,0.578645,0.85176,1.04329,0.663449
86,42.1667,-87.9122,258.474,422.81,334.77,299.42,123.39,783.49,357.42,199.18,273.25,74.0573,360.68,0.049038,0,0,86,0.845667,1.06764,0.800064,1.37878,0.795554,0.931672,1.31395,0.817599,1.25278
88,42.4054,-88.1207,274.267,475.18,363.7,317.92,157.26,771.41,323.85,238.382,315.776,77.3836,296.23,0.0468303,0,0,88,0.786113,0.917423,1.30085,0.609305,1.40175,1.02385,1.03424,1.39202,1.39132
90,41.4208,-88.1396,277.44,388.12,305.64,274.63,113.49,727.78,305.97,250.914,333.991,83.0651,339.66,0.072448,0,0,90,1.16236,0.539142,1.23116,1.43133,0.638485,0.856884,0.73382,1.37272,1.01218
91,42.8911,-88.0595,271.065,585.27,413.07,352.51,232.76,782.28,273.95,295.429,376.618,81.1756,197.01,0.0317992,0,0,91,0.664806,1.15245,0.942913,0.65246,0.834106,0.518517,0.91338,1.10404,1.3622
92,42.344,-88.0316,266.692,531.15,415.78,351.13,180.02,917.94,466.58,145.793,217.287,71.483,386.79,0.0464908,0,0,92,0.925635,0.69504,0.69203,0.571745,0.744865,1.22244,1.17303,1.01389,1.02304
95,41.7151,-87.9295,258.089,446.16,360.88,320.91,125.25,762.91,332.28,232.448,306.862,74.4026,316.75,0.0454238,0,0,95,1.36897,0.779578,1.22386,0.992425,1.04059,1.33547,1.40675,0.897374,1.4849
