# Drug name and concentration: 10: Sotalol at 146864μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 86369
#   Hill Coefficient: 0.9
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,40.9276,-87.833,252.489,480.97,373,325.34,155.63,806.81,364.12,201.061,275.363,74.2921,325.84,0.0183717,0,0,1,1.25955,1.13245,1.4096,0.921915,1.27445,0.816716,1.36352,0.703243,1.14164
2,40.86,-87.9159,258.098,463.44,378.02,336.28,127.16,736.46,282.75,287.416,368.552,81.1253,273.02,0.0275609,0,0,2,1.08776,0.804707,1.37275,1.02163,0.660989,1.15547,1.00881,0.848511,1.21274
4,40.9151,-87.9708,263.814,429.51,333.96,293.53,135.98,698.93,260.14,326.686,419.86,93.1584,269.42,0.0348969,0,0,4,0.788933,1.07789,0.94939,1.12363,0.947599,0.779872,0.513344,0.870073,0.755705
5,41.5824,-88.0249,267.169,430.7,336.99,300,130.7,734.63,297.99,269.112,355.737,86.6116,303.93,0.0317973,0,0,5,1.22937,1.06536,0.956006,1.34837,0.619484,0.643933,0.648585,0.987129,0.859177
7,40.5242,-87.9373,259.406,490.47,391.04,333.2,157.27,763.93,275.85,296.465,387.162,90.6817,273.46,0.0187778,0,0,7,1.12734,1.21322,1.0768,0.59416,1.19831,1.4073,0.535858,0.835674,0.7209
10,42.4488,-88.0416,268.659,534.64,397.65,340.07,194.57,881.66,426.08,164.346,238.567,74.2111,347.02,0.0281886,0,0,10,0.754755,0.738202,0.883224,0.647699,0.953403,0.66055,1.04908,1.03994,1.00258
11,40.1451,-87.7555,246.13,431.99,355.29,312.7,119.29,860.05,417.74,149.646,222.75,73.0947,428.06,0.0249632,0,0,11,0.80391,1.26541,1.01014,1.10438,1.04747,1.42593,1.21314,0.58209,0.782922
13,40.024,-87.915,257.07,402.34,328.12,292.86,109.48,740,313.16,245.095,325.5,80.3945,337.66,0.0484857,0,0,13,1.38171,0.653576,1.36462,1.00154,1.17733,1.34125,0.951589,0.823403,1.02888
14,40.6925,-88.0896,271.08,449.77,344,302.22,147.55,806.95,366.12,193.495,274.443,80.9366,357.18,0.0237828,0,0,14,0.502533,1.3019,1.40423,1.1301,1.22046,0.581343,0.725196,1.13212,0.771478
15,42.3994,-88.0687,268.388,488.5,395.01,341.9,146.6,858.79,396.04,181.296,260.358,79.0513,370.29,0.0041816,0,0,15,1.32584,1.4682,1.25093,0.796372,1.11965,1.38473,0.766849,1.20998,0.81169
18,41.7787,-88.1868,279.945,547.31,408.65,344.66,202.65,946.81,490.5,132.758,210.427,77.6594,399.5,0.010083,0,0,18,1.35251,1.34048,1.09712,0.598936,1.18766,0.681243,0.619567,1.44938,0.564899
20,44.6623,-87.976,261.881,480.03,368.58,323.82,156.21,852.86,416.27,162.589,233.182,70.5835,372.83,0.00348285,0,0,20,1.42391,1.38016,0.823026,1.08034,1.30752,0.730013,1.49315,0.964038,1.29249
21,38.7958,-87.9042,258.102,448.32,345.72,301.44,146.88,858.86,412.79,150.54,228.452,77.9014,410.54,0.0341774,0,0,21,1.45445,1.16984,1.2283,1.04432,1.08621,0.666436,0.793681,0.712182,0.571739
22,42.9455,-87.978,261.75,441.86,362.91,323.56,118.3,657.58,227.3,415.796,503.86,88.0542,215.72,0.034803,0,0,22,0.761214,0.601802,0.717928,0.911148,0.781716,1.49751,0.750619,0.973089,1.37017
25,42.7108,-88.1359,275.153,485.19,375.26,331.21,153.98,754.93,291.23,272.301,353.917,81.6068,269.74,0.0184375,0,0,25,0.899575,0.981637,1.3318,0.919708,1.0115,0.733913,0.838232,1.40694,1.25977
27,43.9723,-88.0651,268.98,515.97,401.9,344.48,171.49,871.21,402.43,178.747,255.191,76.4335,355.24,0.010057,0,0,27,0.815516,1.14146,0.795586,0.669027,1.07818,1.11744,0.921793,1.17398,0.995901
28,44.0884,-88.0862,269.58,511.75,408.81,350.52,161.23,920.6,468.96,144.422,218.366,73.9342,408.85,0.0156664,0,0,28,0.854672,1.02472,0.648055,0.639608,0.927037,1.39642,0.93724,1.21773,0.88723
