# Drug name and concentration: 11: Cisapride at 39μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 12
#   Hill Coefficient: 1.3
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,41.6075,-87.8383,252.694,629.6,460.02,368.48,261.12,912.32,387.65,191.935,265.099,73.1532,282.72,0.00207116,0,0,1,1.25955,1.13245,1.4096,0.921915,1.27445,0.816716,1.36352,0.703243,1.14164
2,41.7,-87.9245,258.654,618.61,482.83,399.43,219.18,860.92,291.55,270.288,349.691,79.39,242.31,0.00723149,0,0,2,1.08776,0.804707,1.37275,1.02163,0.660989,1.15547,1.00881,0.848511,1.21274
4,41.1016,-87.9777,264.456,564.42,419.73,350.97,213.45,795.73,265.59,308.409,399.419,90.9934,231.31,0.0153079,0,0,4,0.788933,1.07789,0.94939,1.12363,0.947599,0.779872,0.513344,0.870073,0.755705
5,42.0624,-88.0314,268.039,596.45,445.74,375.79,220.66,850.31,309.41,252.568,337.232,84.6495,253.86,0.00669449,0,0,5,1.22937,1.06536,0.956006,1.34837,0.619484,0.643933,0.648585,0.987129,0.859177
7,41.1685,-87.9421,259.627,581.1,448.33,364.87,216.23,844.38,283.27,281.847,370.763,88.8993,263.28,0.00708661,0,0,7,1.12734,1.21322,1.0768,0.59416,1.19831,1.4073,0.535858,0.835674,0.7209
10,42.9744,-88.0473,268.813,697.37,485.88,379.83,317.54,1009.32,488.13,153.798,226.521,72.7128,311.95,0.0134729,0,0,10,0.754755,0.738202,0.883224,0.647699,0.953403,0.66055,1.04908,1.03994,1.00258
11,40.9188,-87.7608,246.616,556.49,445.89,370.51,185.98,933.48,470.11,150.515,223.553,73.0275,376.99,0.00659859,0,0,11,0.80391,1.26541,1.01014,1.10438,1.04747,1.42593,1.21314,0.58209,0.782922
13,40.1583,-87.9206,257.59,501.88,397.58,339.5,162.38,794.28,322.08,242.679,322.649,79.9581,292.4,0.0339926,0,0,13,1.38171,0.653576,1.36462,1.00154,1.17733,1.34125,0.951589,0.823403,1.02888
14,41.3373,-88.0927,271.546,585.29,424,353.12,232.17,892.37,391.95,185.402,265.196,79.7825,307.08,0.00513889,0,0,14,0.502533,1.3019,1.40423,1.1301,1.22046,0.581343,0.725196,1.13212,0.771478
15,43.2232,-88.0729,268.673,596.17,465.61,382.69,213.48,946.61,419.44,173.218,251.124,77.8959,350.44,-0.0108032,0,0,15,1.32584,1.4682,1.25093,0.796372,1.11965,1.38473,0.766849,1.20998,0.81169
