# Drug name and concentration: 12: Cisapride at 52μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: 219100
#   Hill Coefficient: 0.243
# GKr:
#   EC50/IC50: 11.27
#   Hill Coefficient: 0.621
# GKs:
#   EC50/IC50: 81170000
#   Hill Coefficient: 0.2921
# GK1:
#   EC50/IC50: 29480
#   Hill Coefficient: 0.5133
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 9267000
#   Hill Coefficient: 0.4261
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,41.1566,-88.1505,191.628,466.72,366.46,327.98,138.74,667.65,231.99,379.259,463.569,84.3024,200.93,0.0425447,0,0,1,0.698716,1.01134,0.978925,1.35698,1.24229,1.36012,0.700452,1.40027,1.13236
2,47.0543,-88.1626,350.063,466.96,356.17,314.57,152.39,861.64,425.45,160.711,235.613,74.8905,394.68,0.051506,0,0,2,1.32916,0.618259,0.680672,1.41947,0.736857,1.35337,0.981452,1.46718,1.27088
4,42.0239,-88.1708,290.738,546.16,407.7,351.63,194.53,808.95,312.6,251.82,336.19,84.3577,262.79,0.0371229,0,0,4,1.065,1.35064,1.43676,1.02166,0.886777,1.10254,0.63188,1.44478,0.960312
5,39.7731,-88.1459,169.561,553.25,440.18,384.53,168.72,911.54,442.75,143.176,211.261,68.0775,358.29,0.0332918,0,0,5,0.626144,0.84137,1.31771,1.06523,0.756123,1.44616,1.30788,1.36701,0.929413
6,42.1127,-87.8371,319.065,610.64,449.77,363.2,247.44,985.72,531.26,135.436,213.045,77.5973,375.08,0.0521273,0,0,6,1.3041,0.898694,0.95934,0.611217,0.627088,1.43325,0.746303,0.559261,0.548117
9,41.085,-87.8609,169.599,518.27,389.96,345.21,173.06,647.82,224.06,438.685,520.909,82.2168,129.55,0.0281894,0,0,9,0.668078,1.32809,1.00135,1.37704,1.17536,0.881394,1.00129,0.682827,1.2955
10,35.5167,-87.8415,162.076,461.85,354.15,311.14,150.71,795.04,345.28,194.014,273.319,79.2946,333.19,0.0513842,0,0,10,0.640383,1.42469,0.790927,1.38253,0.985211,1.07405,0.770907,0.580445,0.502509
14,39.6287,-87.7433,217.573,473.01,362.46,320.19,152.82,637.09,221.57,449.394,537.488,88.0847,164.08,0.0460333,0,0,14,0.874694,0.94465,0.934225,1.34028,1.07286,1.21154,0.825917,0.531405,1.13432
20,42.129,-87.7535,232.395,885.54,515.92,386.12,499.42,978.09,298.82,248.26,323.021,73.8744,92.55,0.0185151,0,0,20,0.939491,1.27055,0.596076,0.642641,0.978897,0.557006,1.3213,0.521269,1.16439
22,40.0175,-88.1316,214.21,517.1,379.83,337.51,179.59,713.72,255.36,317.11,398.766,81.6477,196.62,0.0456603,0,0,22,0.78031,0.734109,1.45535,1.22921,1.16057,0.704971,0.828635,1.2789,1.15187
24,44.1382,-87.7166,322.883,502.35,347.04,302.2,200.15,789.92,354.25,218.396,297.693,79.2837,287.57,0.0437419,0,0,24,1.37105,1.49213,0.747794,1.47849,1.2575,0.59586,1.13521,0.501402,1.11469
27,43.2858,-87.9123,309.871,1271.82,1005.78,911.07,360.75,1402.57,831.08,233.441,306.124,72.6815,130.75,-0.00373194,1,0,27,1.25585,0.598904,1.31387,0.59768,0.713975,0.774301,1.35939,0.762138,1.27372
28,44.8167,-88.1404,301.377,928.34,538.34,399.54,528.8,1136.37,468.56,142.684,214.093,69.1005,208.03,0.0203881,0,0,28,1.13371,0.531424,0.696756,0.633101,0.514713,0.668328,1.21347,1.24446,1.23375
29,40.1481,-88.0563,249.259,557.95,409.21,353.06,204.89,723.26,233.14,377.534,467.264,89.7161,165.31,0.0481251,0,0,29,0.924752,0.572415,1.0307,0.923424,0.675227,0.946268,0.585204,1.04201,0.993049
31,42.9565,-88.1588,233.366,656.66,453.4,383.31,273.35,851.39,294.89,253.098,333.8,80.69,194.73,0.0232383,0,0,31,0.839924,1.19758,0.540567,0.845105,0.78175,0.638315,0.722195,1.33211,1.01411
33,41.8572,-88.1377,146.97,801.25,551.47,438.13,363.12,946.55,288.19,244.625,318.2,73.5662,145.3,0.00434021,0,0,33,0.549514,1.184,1.09956,0.579307,0.934161,0.728757,1.03587,1.2644,1.07355
37,40.1494,-87.7951,279.429,457.88,341.51,301.12,156.76,657.87,230.77,406.875,500.884,93.9942,199.99,0.0586534,0,0,37,1.12935,0.8875,1.44939,1.45325,0.656871,0.961389,0.635251,0.576288,0.939036
39,40.3353,-87.8042,180.159,713.55,514.64,410.54,303.01,879.29,269.99,288.358,367.797,79.427,165.74,0.0237404,0,0,39,0.713196,0.904481,0.553781,0.566011,0.814421,1.17739,0.937396,0.567539,0.906994
