# Drug name and concentration: 12: Ondansetron at 7170μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: 19181
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 1492
#   Hill Coefficient: 1
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 22551
#   Hill Coefficient: 0.8
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,39.1122,-87.8674,255.118,569.71,430.16,354.91,214.8,952.62,496.23,126.458,195.615,69.1469,382.91,0.0243335,0,0,1,1.25955,1.13245,1.4096,0.921915,1.27445,0.816716,1.36352,0.703243,1.14164
2,39.5779,-87.9519,260.577,568.91,452.1,377.46,191.45,909.94,414.75,172.511,247.947,75.4216,341.03,0.0281219,0,0,2,1.08776,0.804707,1.37275,1.02163,0.660989,1.15547,1.00881,0.848511,1.21274
4,39.9433,-87.9976,266.141,525.23,391.27,327.45,197.78,842.01,364.3,206.502,293.354,86.8324,316.78,0.0360665,0,0,4,0.788933,1.07789,0.94939,1.12363,0.947599,0.779872,0.513344,0.870073,0.755705
5,40.5374,-88.0483,269.99,554.2,415.32,350.67,203.53,897.59,430.44,168.06,248.666,80.5888,343.39,0.0295636,0,0,5,1.22937,1.06536,0.956006,1.34837,0.619484,0.643933,0.648585,0.987129,0.859177
7,39.3265,-87.9694,261.134,537.11,420.94,345.66,191.45,882.24,388.4,190.069,275.065,84.9766,345.13,0.0288534,0,0,7,1.12734,1.21322,1.0768,0.59416,1.19831,1.4073,0.535858,0.835674,0.7209
10,40.8199,-88.064,270.676,633.69,457.93,368.74,264.95,1023.55,558.14,110.107,179.743,69.6269,389.86,0.0331343,0,0,10,0.754755,0.738202,0.883224,0.647699,0.953403,0.66055,1.04908,1.03994,1.00258
11,38.151,-87.7942,248.521,515.54,420.27,356.11,159.43,982.92,515.94,104.054,172.857,68.7937,467.38,0.0273053,0,0,11,0.80391,1.26541,1.01014,1.10438,1.04747,1.42593,1.21314,0.58209,0.782922
13,38.8508,-87.9496,259.679,473.12,376.8,322.14,150.98,870.44,423.28,154.793,230.062,75.2552,397.32,0.0499051,0,0,13,1.38171,0.653576,1.36462,1.00154,1.17733,1.34125,0.951589,0.823403,1.02888
14,39.7216,-88.1056,273.433,545.38,398.22,334.5,210.88,934.8,477.35,129.915,205.877,75.9495,389.42,0.029012,0,0,14,0.502533,1.3019,1.40423,1.1301,1.22046,0.581343,0.725196,1.13212,0.771478
15,40.2201,-88.0988,270.782,550.47,440.12,367,183.47,979.97,520.16,122.163,196.543,74.3683,429.5,0.0158479,0,0,15,1.32584,1.4682,1.25093,0.796372,1.11965,1.38473,0.766849,1.20998,0.81169
