# Drug name and concentration: 12: Ranolazine at 38964μM
# GNa:
#   EC50/IC50: 68770
#   Hill Coefficient: 1.425
# GNaL:
#   EC50/IC50: 7884
#   Hill Coefficient: 0.945
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 8208
#   Hill Coefficient: 0.8576
# GKs:
#   EC50/IC50: 36160000
#   Hill Coefficient: 0.5191
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,40.0672,-88.1599,125.833,485.84,379.09,335.17,150.67,621.1,211.5,474.917,557.862,82.9397,135.26,0.049507,0,0,1,0.698716,1.01134,0.978925,1.35698,1.24229,1.36012,0.700452,1.40027,1.13236
2,42.5143,-88.1625,253.491,517.52,399.97,351.65,165.87,810,341.92,220.55,296.901,76.3394,292.48,0.0476452,0,0,2,1.32916,0.618259,0.680672,1.41947,0.736857,1.35337,0.981452,1.46718,1.27088
4,38.1091,-88.1711,205.536,557.32,421.33,364.08,193.24,723.47,235.98,360.225,446,85.7632,166.15,0.0521599,0,0,4,1.065,1.35064,1.43676,1.02166,0.886777,1.10254,0.63188,1.44478,0.960312
5,38.4739,-88.1464,108.344,597.54,476.25,410.58,186.96,860.99,345.54,191.556,260.593,69.0296,263.45,0.0348313,0,0,5,0.626144,0.84137,1.31771,1.06523,0.756123,1.44616,1.30788,1.36701,0.929413
6,35.9566,-87.8459,229.739,618.56,470.59,379.44,239.12,924.5,404.22,174.62,253.819,79.1851,305.94,0.0589963,0,0,6,1.3041,0.898694,0.95934,0.611217,0.627088,1.43325,0.746303,0.559261,0.548117
9,40.1492,-87.8715,110.662,539.44,400.46,347.65,191.79,611.67,208.91,520.004,600.492,80.4825,72.23,0.037016,0,0,9,0.668078,1.32809,1.00135,1.37704,1.17536,0.881394,1.00129,0.682827,1.2955
10,32.7807,-87.8496,104.135,474.64,363.59,319.65,154.99,725.15,276.93,263.162,343.385,80.2143,250.51,0.0624903,0,0,10,0.640383,1.42469,0.790927,1.38253,0.985211,1.07405,0.770907,0.580445,0.502509
14,38.8584,-87.7591,148.466,497.53,378.01,327.96,169.57,596.73,203.81,551.738,638.03,86.2846,99.2,0.0486803,0,0,14,0.874694,0.94465,0.934225,1.34028,1.07286,1.21154,0.825917,0.531405,1.13432
20,29.3628,-87.7725,79.7867,466.66,241.96,151.79,314.87,4.61,4.61,0,173.896,73.63,-462.05,0.0981285,0,1,20,0.939491,1.27055,0.596076,0.642641,0.978897,0.557006,1.3213,0.521269,1.16439
22,39.2104,-88.1317,144.132,559.75,408.45,358.59,201.16,667.94,224.85,409.534,490.647,81.1058,108.19,0.047098,0,0,22,0.78031,0.734109,1.45535,1.22921,1.16057,0.704971,0.828635,1.2789,1.15187
