# Drug name and concentration: 13: Sotalol at 367250μM
# GNa:
#   EC50/IC50: 1144000000
#   Hill Coefficient: 0.5089
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: 43140000
#   Hill Coefficient: 0.6632
# GKr:
#   EC50/IC50: 107100
#   Hill Coefficient: 0.785
# GKs:
#   EC50/IC50: 4222000
#   Hill Coefficient: 1.167
# GK1:
#   EC50/IC50: 3050000
#   Hill Coefficient: 1.204
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 7062000
#   Hill Coefficient: 0.8651
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,40.545,-88.1535,188.886,470.15,368.34,329.28,140.87,680.76,238.16,356.324,440.156,83.8238,210.61,0.0434381,0,0,1,0.698716,1.01134,0.978925,1.35698,1.24229,1.36012,0.700452,1.40027,1.13236
2,46.5087,-88.1666,346.494,469.69,357.58,315.37,154.32,876.13,436.81,150.555,224.675,74.1095,406.44,0.0532604,0,0,2,1.32916,0.618259,0.680672,1.41947,0.736857,1.35337,0.981452,1.46718,1.27088
4,41.3499,-88.1742,287.163,550.77,410.98,353.71,197.06,822.5,329.81,236.689,320.346,83.6432,271.73,0.038149,0,0,4,1.065,1.35064,1.43676,1.02166,0.886777,1.10254,0.63188,1.44478,0.960312
5,38.9698,-88.1495,167.095,556.87,443.3,386.96,169.91,925.95,459.94,134.512,202.025,67.5054,369.08,0.0345627,0,0,5,0.626144,0.84137,1.31771,1.06523,0.756123,1.44616,1.30788,1.36701,0.929413
6,41.5808,-87.8401,314.48,616.29,454.4,366.57,249.72,995.87,539.66,129.266,206.205,76.9279,379.58,0.0524779,0,0,6,1.3041,0.898694,0.95934,0.611217,0.627088,1.43325,0.746303,0.559261,0.548117
9,40.5278,-87.8647,166.864,522.66,392.56,347.38,175.28,661.57,229.51,411.529,493.313,81.777,138.91,0.0289981,0,0,9,0.668078,1.32809,1.00135,1.37704,1.17536,0.881394,1.00129,0.682827,1.2955
10,34.7778,-87.8454,159.036,465.58,356.61,312.97,152.61,810.37,359.39,180.699,259.208,78.4998,344.79,0.0515387,0,0,10,0.640383,1.42469,0.790927,1.38253,0.985211,1.07405,0.770907,0.580445,0.502509
14,39.0538,-87.7471,214.393,476.73,364.58,321.85,154.88,650.86,227.42,420.524,508.043,87.5091,174.13,0.0468108,0,0,14,0.874694,0.94465,0.934225,1.34028,1.07286,1.21154,0.825917,0.531405,1.13432
20,42.0773,-87.7722,229.807,981.31,581.37,404.08,577.23,1150.55,405.95,181.608,252.74,71.1097,169.24,0.0110323,0,0,20,0.939491,1.27055,0.596076,0.642641,0.978897,0.557006,1.3213,0.521269,1.16439
22,39.2949,-88.1346,210.978,520.5,381.31,338.2,182.3,727.17,264.94,297.163,378.243,81.0699,206.67,0.046878,0,0,22,0.78031,0.734109,1.45535,1.22921,1.16057,0.704971,0.828635,1.2789,1.15187
