# Drug name and concentration: 1: Bepridil at 31.5μM
# GNa:
#   EC50/IC50: 2929
#   Hill Coefficient: 1.2
# GNaL:
#   EC50/IC50: 1814
#   Hill Coefficient: 1.4
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 149
#   Hill Coefficient: 0.9
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 2808
#   Hill Coefficient: 0.6
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,39.8224,-87.8395,251.968,350.31,283.05,257.43,92.88,789.84,358.73,170.128,242.389,72.2522,439.53,0.0421453,0,0,1,1.25955,1.13245,1.4096,0.921915,1.27445,0.816716,1.36352,0.703243,1.14164
2,40.3751,-87.9145,257.173,325.17,270.96,249.1,76.07,711.47,299.19,247.899,327.391,79.483,386.3,0.0558676,0,0,2,1.08776,0.804707,1.37275,1.02163,0.660989,1.15547,1.00881,0.848511,1.21274
4,40.4926,-87.9716,263.272,295.13,235.57,213.43,81.7,673.75,267.08,293.875,385.857,91.9704,378.62,0.0627916,0,0,4,0.788933,1.07789,0.94939,1.12363,0.947599,0.779872,0.513344,0.870073,0.755705
5,41.0826,-88.0297,266.3,279.95,224.21,205.12,74.83,711.61,291.82,234.762,319.612,84.8394,431.66,0.0649726,0,0,5,1.22937,1.06536,0.956006,1.34837,0.619484,0.643933,0.648585,0.987129,0.859177
7,40.0838,-87.9347,259.061,385.07,314.84,278.65,106.42,715.21,288.64,280.414,371.296,90.8664,330.14,0.0376637,0,0,7,1.12734,1.21322,1.0768,0.59416,1.19831,1.4073,0.535858,0.835674,0.7209
10,41.7809,-88.0443,268.156,396.6,308.78,276.66,119.94,835.02,393.23,150.752,224.193,73.4316,438.42,0.0495983,0,0,10,0.754755,0.738202,0.883224,0.647699,0.953403,0.66055,1.04908,1.03994,1.00258
11,38.953,-87.7587,245.855,302.84,253.29,230.38,72.46,848.39,389.68,123.976,194.066,70.082,545.55,0.0519652,0,0,11,0.80391,1.26541,1.01014,1.10438,1.04747,1.42593,1.21314,0.58209,0.782922
13,39.5703,-87.9156,256.467,292.13,242.71,222.57,69.56,735.83,312.07,208.903,287.225,78.3132,443.7,0.0710849,0,0,13,1.38171,0.653576,1.36462,1.00154,1.17733,1.34125,0.951589,0.823403,1.02888
14,40.3172,-88.0946,270.581,314.76,249.41,226.21,88.55,778.96,341.71,174.399,254.073,79.6635,464.2,0.05157,0,0,14,0.502533,1.3019,1.40423,1.1301,1.22046,0.581343,0.725196,1.13212,0.771478
15,41.0392,-88.0676,267.989,370.91,308.46,277.26,93.65,814.07,375.45,168.018,246.473,78.4446,443.16,0.02798,0,0,15,1.32584,1.4682,1.25093,0.796372,1.11965,1.38473,0.766849,1.20998,0.81169
18,41.3486,-88.1871,279.627,422.13,327.82,288.09,134.04,888.82,433.58,128.079,205.663,77.5747,466.69,0.0304147,0,0,18,1.35251,1.34048,1.09712,0.598936,1.18766,0.681243,0.619567,1.44938,0.564899
20,43.5629,-87.9849,261.665,344.78,278.13,253.71,91.07,834.17,390.56,137.78,206.281,68.4926,489.39,0.0304412,0,0,20,1.42391,1.38016,0.823026,1.08034,1.30752,0.730013,1.49315,0.964038,1.29249
21,38.4297,-87.9095,257.841,308.92,243.85,219.34,89.58,832.7,376.21,132.756,208.587,75.8214,523.78,0.0608725,0,0,21,1.45445,1.16984,1.2283,1.04432,1.08621,0.666436,0.793681,0.712182,0.571739
22,42.6013,-87.9749,260.994,322.11,269.89,247.45,74.66,642.3,245.18,363.896,450.549,86.6463,320.19,0.0592983,0,0,22,0.761214,0.601802,0.717928,0.911148,0.781716,1.49751,0.750619,0.973089,1.37017
25,42.215,-88.1378,274.67,354.54,285.72,261.04,93.5,719.15,302.89,248.889,329.882,80.9844,364.61,0.0441144,0,0,25,0.899575,0.981637,1.3318,0.919708,1.0115,0.733913,0.838232,1.40694,1.25977
27,42.8517,-88.0653,268.657,394.32,319.46,285.79,108.53,823.93,385.81,164.844,240.698,75.8435,429.61,0.0316543,0,0,27,0.815516,1.14146,0.795586,0.669027,1.07818,1.11744,0.921793,1.17398,0.995901
28,43.0475,-88.0855,269.199,391.69,322.09,287.76,103.93,871.56,421.08,134.064,207.337,73.2638,479.87,0.03738,0,0,28,0.854672,1.02472,0.648055,0.639608,0.927037,1.39642,0.93724,1.21773,0.88723
30,41.3103,-87.6809,242.842,394.05,317.02,282.95,111.1,738.68,316.76,241.306,320.853,79.5369,344.63,0.0253708,0,0,30,1.05917,1.39563,0.733522,0.715208,1.24343,1.04644,1.10792,0.517388,1.05005
31,41.7399,-87.8496,253.25,298.81,242.37,222.48,76.33,782.52,346.39,164.911,237.515,72.5957,483.71,0.0606516,0,0,31,1.12096,0.822285,0.671342,1.21236,0.610485,0.805366,1.24918,0.693148,1.13449
32,43.5087,-88.0669,270.756,425.83,326.71,292.23,133.6,724.9,296.4,269.356,351.094,81.728,299.07,0.0459443,0,0,32,1.49599,0.551368,0.657084,0.516762,0.998886,0.672193,0.858383,1.14193,1.31535
36,41.8549,-87.73,244.395,317.29,266.42,245.39,71.9,707.99,300.84,246.962,323.049,76.0798,390.7,0.044008,0,0,36,1.41634,1.057,0.838061,1.15579,0.895024,1.32883,1.34997,0.607935,1.43534
40,43.9628,-88.1126,273.054,399.88,324.41,294.44,105.44,824.95,391.21,161.866,233.774,71.8999,425.07,0.0401578,0,0,40,0.744339,0.675849,0.746487,0.749454,0.510079,0.888897,1.21937,1.33951,1.37053
42,40.3658,-87.8136,250.121,271.17,222.82,203.37,67.8,814.61,361.52,137.802,210.018,72.2078,543.44,0.0608095,0,0,42,1.20008,1.17544,0.754806,1.2999,1.25591,1.14585,1.08713,0.640316,0.85396
45,44.059,-88.1195,272.147,300.84,252.29,233.46,67.38,708.14,294.87,247.551,327.437,79.8782,407.3,0.035176,0,0,45,1.43603,1.45633,0.89132,1.44239,0.996105,1.05435,0.880786,1.45477,1.41733
46,44.3653,-88.0231,264.918,344.02,280.42,255.12,88.9,836.79,391.72,139.049,209.086,70.0286,492.77,0.0360678,0,0,46,0.520555,1.18902,0.568774,0.991482,1.14652,0.977829,1.29345,1.07875,1.22147
48,40.9284,-88.1654,277.294,417.29,340.12,304.35,112.94,873.83,423.98,138.654,214.565,75.9022,456.54,0.0259621,0,0,48,0.875811,1.32957,1.44533,0.703702,0.692465,0.925904,0.760407,1.47106,0.727905
49,39.562,-87.788,250.653,244.02,194.83,178.08,65.94,652.98,249.6,313.212,403.219,90.0001,408.96,0.0885982,0,0,49,0.75049,0.502431,0.726344,1.24037,0.723578,0.90769,0.592332,0.562983,0.845769
