# Drug name and concentration: 1: Verapamil at 81μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: 7028
#   Hill Coefficient: 1.031
# Gto:
#   EC50/IC50: 13430
#   Hill Coefficient: 0.8222
# GKr:
#   EC50/IC50: 295.6
#   Hill Coefficient: 0.9378
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: 348800000
#   Hill Coefficient: 0.2728
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 201.8
#   Hill Coefficient: 1.097
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,37.056,-88.1619,191.427,268.65,217.89,202.02,66.63,702.02,279.07,239.108,319.177,80.0633,433.37,0.0833808,0,0,1,0.698716,1.01134,0.978925,1.35698,1.24229,1.36012,0.700452,1.40027,1.13236
2,45.7348,-88.1798,350.445,250.78,197.86,181.23,69.55,847.64,380.66,113.312,182.982,69.6623,596.86,0.096836,0,0,2,1.32916,0.618259,0.680672,1.41947,0.736857,1.35337,0.981452,1.46718,1.27088
4,40.6077,-88.1791,290.315,319.68,249.48,226.36,93.32,770.14,336.72,182.693,264.312,81.6068,450.46,0.0791201,0,0,4,1.065,1.35064,1.43676,1.02166,0.886777,1.10254,0.63188,1.44478,0.960312
5,35.1054,-88.1606,169.365,315.97,258.84,238.93,77.04,891.11,412.46,98.2088,162.187,63.9732,575.14,0.0776339,0,0,5,0.626144,0.84137,1.31771,1.06523,0.756123,1.44616,1.30788,1.36701,0.929413
6,41.271,-87.8435,318.276,368.16,278.78,242.49,125.67,897.4,428.1,107.744,182.137,74.3855,529.24,0.0858421,0,0,6,1.3041,0.898694,0.95934,0.611217,0.627088,1.43325,0.746303,0.559261,0.548117
9,37.3717,-87.885,168.93,291.15,230.75,213.99,77.16,695.18,278.01,250.588,327.519,76.925,404.03,0.0700128,0,0,9,0.668078,1.32809,1.00135,1.37704,1.17536,0.881394,1.00129,0.682827,1.2955
10,31.3395,-87.8668,162.12,247.87,192.61,174.9,72.97,836.83,358.79,112.409,184.348,71.9323,588.96,0.0875326,0,0,10,0.640383,1.42469,0.790927,1.38253,0.985211,1.07405,0.770907,0.580445,0.502509
14,37.0257,-87.7631,216.746,264.54,209.96,193.64,70.9,690.94,273.7,253.354,334.917,81.5564,426.4,0.0840903,0,0,14,0.874694,0.94465,0.934225,1.34028,1.07286,1.21154,0.825917,0.531405,1.13432
20,40.0716,-87.7607,233.33,460.23,331.67,294.08,166.15,839.31,399.08,152.538,224.316,71.7678,379.08,0.0512853,0,0,20,0.939491,1.27055,0.596076,0.642641,0.978897,0.557006,1.3213,0.521269,1.16439
22,36.121,-88.1534,213.889,293.98,227.72,210.72,83.26,735.57,305.12,201.254,278.565,77.3033,441.59,0.0861058,0,0,22,0.78031,0.734109,1.45535,1.22921,1.16057,0.704971,0.828635,1.2789,1.15187
24,42.6764,-87.7719,322.641,261.76,195,177.69,84.07,826.71,365.41,123.981,194.692,70.7033,564.95,0.0845462,0,0,24,1.37105,1.49213,0.747794,1.47849,1.2575,0.59586,1.13521,0.501402,1.11469
27,41.8126,-87.9236,313.84,452.4,335.74,298.27,154.13,888.27,438.81,125.348,194.555,69.1983,435.87,0.0656493,0,0,27,1.25585,0.598904,1.31387,0.59768,0.713975,0.774301,1.35939,0.762138,1.27372
28,43.0008,-88.1304,303.83,451.33,334.41,298.95,152.38,927.26,464.02,106.744,174.345,67.5933,475.93,0.0660266,0,0,28,1.13371,0.531424,0.696756,0.633101,0.514713,0.668328,1.21347,1.24446,1.23375
29,38.4516,-88.0663,248.505,321.83,246.89,224.55,97.28,696.68,281.99,260.944,347.809,86.8547,374.85,0.0867034,0,0,29,0.924752,0.572415,1.0307,0.923424,0.675227,0.946268,0.585204,1.04201,0.993049
31,40.1813,-88.1712,232.911,379.9,284.91,257.72,122.18,787.33,349.61,178.064,256.436,78.3611,407.43,0.0652188,0,0,31,0.839924,1.19758,0.540567,0.845105,0.78175,0.638315,0.722195,1.33211,1.01411
33,38.2917,-88.141,147.001,477.79,363.4,326.19,151.6,808.45,358.82,180.693,253.218,72.5174,330.66,0.0429717,0,0,33,0.549514,1.184,1.09956,0.579307,0.934161,0.728757,1.03587,1.2644,1.07355
37,38.6976,-87.8191,278.57,240.39,184.15,168.46,71.93,695.96,276.22,239.739,326.292,86.5436,455.57,0.0980316,0,0,37,1.12935,0.8875,1.44939,1.45325,0.656871,0.961389,0.635251,0.576288,0.939036
39,37.4557,-87.8128,179.777,430.32,333.02,295.99,134.33,778.94,340.22,199.521,276.965,77.4332,348.62,0.0584437,0,0,39,0.713196,0.904481,0.553781,0.566011,0.814421,1.17739,0.937396,0.567539,0.906994
40,41.8409,-88.0416,303.401,295.62,223.3,205.15,90.47,710.74,294.08,233.598,315.962,82.3539,415.12,0.0870619,0,0,40,1.17429,0.704558,1.32276,1.19118,1.40784,0.658034,0.790856,0.971838,1.37901
42,39.895,-88.1575,204.783,374.66,293.54,268.41,106.25,705.73,285.06,264.665,344.995,80.3223,331.07,0.0659522,0,0,42,0.742768,0.674059,0.713808,0.799616,1.09805,1.0172,0.779429,1.3845,1.36293
43,45.1334,-88.0342,371.593,320.31,250.05,224.8,95.51,877.24,411.6,110.882,181.185,70.2949,556.93,0.0865922,0,0,43,1.49368,0.957627,1.33864,0.953683,0.721374,1.43402,1.0162,0.985136,1.00321
44,40.4822,-88.0461,248.679,316.03,242.49,223.01,93.02,844.58,385.85,122.533,191.08,68.5386,528.55,0.0687779,0,0,44,0.94732,1.48203,0.738099,1.28761,0.761784,0.58177,1.24291,0.922959,1.24386
