# Drug name and concentration: 23: Chlorpromazine at 345μM
# GNa:
#   EC50/IC50: 4536
#   Hill Coefficient: 2
# GNaL:
#   EC50/IC50: 4560
#   Hill Coefficient: 0.9
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 1118
#   Hill Coefficient: 0.9
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: 9270
#   Hill Coefficient: 0.7
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 8192
#   Hill Coefficient: 0.8
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,39.7267,-87.8474,253.034,359.96,287.76,261.02,98.94,794.35,362.58,168.154,240.307,72.1436,434.39,0.0437248,0,0,1,1.25955,1.13245,1.4096,0.921915,1.27445,0.816716,1.36352,0.703243,1.14164
2,40.32,-87.9205,258.233,336.07,277.61,254.55,81.52,715.49,302.29,245.873,325.337,79.4552,379.42,0.0561429,0,0,2,1.08776,0.804707,1.37275,1.02163,0.660989,1.15547,1.00881,0.848511,1.21274
4,40.4253,-87.9778,263.752,304.27,240.35,217.23,87.04,676.54,269.28,291.687,383.644,91.9443,372.27,0.0639908,0,0,4,0.788933,1.07789,0.94939,1.12363,0.947599,0.779872,0.513344,0.870073,0.755705
5,41.0176,-88.0363,267.4,290.04,230.06,210.03,80.01,714.56,294.68,233.372,318.225,84.8414,424.52,0.0657588,0,0,5,1.22937,1.06536,0.956006,1.34837,0.619484,0.643933,0.648585,0.987129,0.859177
7,40.0009,-87.9412,260.012,392.11,317.04,279.61,112.5,719.53,291.4,276.563,367.26,90.6819,327.42,0.0404342,0,0,7,1.12734,1.21322,1.0768,0.59416,1.19831,1.4073,0.535858,0.835674,0.7209
10,41.6973,-88.0493,268.908,408.32,313.92,280.33,127.99,840.58,398.04,148.92,222.223,73.2933,432.26,0.0506488,0,0,10,0.754755,0.738202,0.883224,0.647699,0.953403,0.66055,1.04908,1.03994,1.00258
11,38.8372,-87.7659,246.605,311.58,258.5,234.57,77.01,851.79,392.96,123.269,193.32,70.0431,540.21,0.0533936,0,0,11,0.80391,1.26541,1.01014,1.10438,1.04747,1.42593,1.21314,0.58209,0.782922
13,39.5428,-87.9207,257.894,301.74,248.48,227.29,74.45,739.48,315.42,207.191,285.491,78.2909,437.74,0.0711657,0,0,13,1.38171,0.653576,1.36462,1.00154,1.17733,1.34125,0.951589,0.823403,1.02888
14,40.2357,-88.1024,271.204,323.46,253.43,229.31,94.15,782.19,344.66,172.992,252.581,79.5782,458.73,0.0537619,0,0,14,0.502533,1.3019,1.40423,1.1301,1.22046,0.581343,0.725196,1.13212,0.771478
15,40.9309,-88.0749,268.885,378.01,311.32,278.97,99.04,818.18,378.9,166.005,244.303,78.2866,440.17,0.0313995,0,0,15,1.32584,1.4682,1.25093,0.796372,1.11965,1.38473,0.766849,1.20998,0.81169
18,41.2542,-88.1932,280.362,430.22,329.62,288.66,141.56,891.69,436.04,127.111,204.559,77.4378,461.47,0.0342475,0,0,18,1.35251,1.34048,1.09712,0.598936,1.18766,0.681243,0.619567,1.44938,0.564899
20,43.4137,-87.9938,262.224,353.99,282.64,257.27,96.72,838.54,394.38,136.358,204.754,68.3883,484.55,0.0326978,0,0,20,1.42391,1.38016,0.823026,1.08034,1.30752,0.730013,1.49315,0.964038,1.29249
21,38.361,-87.9164,258.255,318.2,248.43,222.91,95.29,835.74,379.14,132.007,207.779,75.7622,517.54,0.0624335,0,0,21,1.45445,1.16984,1.2283,1.04432,1.08621,0.666436,0.793681,0.712182,0.571739
22,42.5687,-87.9795,261.699,332.86,276.56,252.93,79.93,645.14,245.84,361.893,448.607,86.7068,312.28,0.0592164,0,0,22,0.761214,0.601802,0.717928,0.911148,0.781716,1.49751,0.750619,0.973089,1.37017
25,42.1513,-88.1446,275.184,364.35,290.39,264.6,99.75,723.57,305.98,245.912,326.801,80.8806,359.22,0.0456776,0,0,25,0.899575,0.981637,1.3318,0.919708,1.0115,0.733913,0.838232,1.40694,1.25977
27,42.7062,-88.0716,269.672,402.93,322.92,287.96,114.97,829.3,390.26,162.402,238.078,75.6656,426.37,0.0342097,0,0,27,0.815516,1.14146,0.795586,0.669027,1.07818,1.11744,0.921793,1.17398,0.995901
28,42.8768,-88.0911,270.566,400.62,326.21,290.48,110.14,876.81,425.64,132.404,205.524,73.1099,476.19,0.0395768,0,0,28,0.854672,1.02472,0.648055,0.639608,0.927037,1.39642,0.93724,1.21773,0.88723
30,41.1654,-87.689,243.685,402.55,320.19,284.86,117.69,744.27,320.54,236.795,316.124,79.3174,341.72,0.0278439,0,0,30,1.05917,1.39563,0.733522,0.715208,1.24343,1.04644,1.10792,0.517388,1.05005
31,41.6716,-87.8557,254.21,310.41,249.5,228.49,81.92,786.14,350.16,164.289,236.929,72.6297,475.73,0.0606251,0,0,31,1.12096,0.822285,0.671342,1.21236,0.610485,0.805366,1.24918,0.693148,1.13449
32,43.4685,-88.0713,271.621,437.93,331.12,295.1,142.83,731.41,300.07,264.922,346.487,81.5548,293.48,0.0466682,0,0,32,1.49599,0.551368,0.657084,0.516762,0.998886,0.672193,0.858383,1.14193,1.31535
36,41.7818,-87.737,245.494,327.35,272.56,250.45,76.9,711.3,303.59,245.431,321.537,76.0978,383.95,0.0446651,0,0,36,1.41634,1.057,0.838061,1.15579,0.895024,1.32883,1.34997,0.607935,1.43534
40,43.8909,-88.1176,273.89,413.17,331.73,300.06,113.11,832.15,397.42,159.742,231.52,71.7689,418.98,0.0406147,0,0,40,0.744339,0.675849,0.746487,0.749454,0.510079,0.888897,1.21937,1.33951,1.37053
42,40.259,-87.8204,251.088,279.85,228.01,207.68,72.17,817.6,364.57,137.177,209.396,72.2103,537.75,0.061823,0,0,42,1.20008,1.17544,0.754806,1.2999,1.25591,1.14585,1.08713,0.640316,0.85396
45,43.955,-88.1276,272.705,309.18,257.17,237.52,71.66,711.43,297.61,245.44,325.282,79.8349,402.25,0.0372971,0,0,45,1.43603,1.45633,0.89132,1.44239,0.996105,1.05435,0.880786,1.45477,1.41733
46,44.2375,-88.0302,265.736,353.2,285.09,258.75,94.45,841.6,395.95,137.461,207.388,69.9177,488.4,0.0379759,0,0,46,0.520555,1.18902,0.568774,0.991482,1.14652,0.977829,1.29345,1.07875,1.22147
48,40.8469,-88.1718,278.101,426.5,343.91,306.64,119.86,878.2,427.84,137.389,213.158,75.7605,451.7,0.0293268,0,0,48,0.875811,1.32957,1.44533,0.703702,0.692465,0.925904,0.760407,1.47106,0.727905
49,39.5345,-87.7914,251.089,255.21,202.01,184.28,70.93,653.38,250.65,314.588,404.871,90.2762,398.17,0.0878364,0,0,49,0.75049,0.502431,0.726344,1.24037,0.723578,0.90769,0.592332,0.562983,0.845769
50,42.6102,-88.0052,264.683,371.92,297.29,268.32,103.6,837.58,392.82,146.361,220.43,74.0591,465.66,0.0389405,0,0,50,1.10142,1.2227,0.61558,0.97047,0.559653,0.783285,0.996599,0.947879,0.923251
52,39.7596,-87.991,265.438,362.62,268.85,240.25,122.37,797.19,357.95,164.95,242.276,77.3149,434.57,0.0715737,0,0,52,1.19088,0.562246,1.10254,0.686676,1.3672,0.508798,0.849273,0.852379,0.803879
54,41.6291,-87.7664,247.335,339.14,283.18,258.02,81.12,657.48,254.13,343.187,429.764,86.5693,318.34,0.0354237,0,0,54,0.627448,1.43951,0.681484,1.089,0.820124,1.48235,0.819086,0.624393,1.16368
56,40.3141,-87.8544,253.127,286.99,237.06,218.28,68.71,738.25,313.74,204.229,281.163,76.926,451.26,0.0583505,0,0,56,1.28009,1.13011,1.13133,1.39828,0.864782,1.1005,1.05654,0.726855,1.10836
58,40.5018,-88.167,278.053,399.1,318.9,283.19,115.91,829.9,389.05,162.431,244.258,81.8155,430.8,0.0367585,0,0,58,1.3071,1.36214,1.46698,0.746865,0.842035,0.913154,0.565496,1.42991,0.60293
59,37.954,-87.8416,252.93,338.14,276.17,249.22,88.92,774.08,342.2,185.332,264.261,78.9181,435.94,0.069932,0,0,59,1.45838,0.622397,1.42167,0.807756,0.579167,1.26232,0.876798,0.648329,0.768789
60,41.3836,-88.052,267.356,315.07,262.48,242.02,73.05,688.09,279.8,279.304,362.404,83.0925,373.02,0.0449765,0,0,60,1.01102,1.32426,1.46153,1.33618,0.736779,1.08528,0.80661,1.18583,1.23575
65,41.727,-88.1746,276.649,401.39,315.72,284.28,117.11,897.47,438.38,114.074,181.579,67.4988,496.08,0.0350158,0,0,65,0.597041,1.19478,1.34353,0.742339,1.41369,0.700464,1.28035,1.4744,1.0796
67,38.1931,-87.8428,252.677,350.76,285.01,253.78,96.98,865.54,406.49,123.522,196.597,73.0664,514.78,0.0722423,0,0,67,0.655703,0.569071,0.931223,0.645672,0.811354,1.41718,0.94074,0.609107,0.610051
71,39.6684,-88.0611,269.154,380.7,304.08,268.9,111.8,783.18,350.85,193.531,276.843,83.2987,402.48,0.0480664,0,0,71,0.980899,1.12461,1.49458,0.614746,1.42961,1.18317,0.61743,1.10755,0.685777
72,41.4666,-87.9791,263.658,255.13,204.56,186.55,68.58,672.91,263.56,282.16,371.427,89.2578,417.78,0.0827398,0,0,72,1.48705,0.689768,0.575912,1.28468,1.11181,1.06974,0.553596,0.883968,0.863387
73,40.788,-88.1375,275.681,365.19,293.56,261.45,103.74,820.95,379.43,159.368,241.177,81.7974,455.76,0.0494976,0,0,73,1.07437,1.17653,1.11786,0.812574,0.797394,1.06731,0.563166,1.3174,0.592015
75,40.6587,-88.0303,265.559,387.32,319.92,288.09,99.23,767.49,339.66,211.279,290.277,78.9873,380.17,0.0422186,0,0,75,1.15215,0.975055,1.42687,0.691454,0.954387,1.44622,0.898104,1.09924,1.06717
76,43.6112,-88.0081,264.125,328.15,260.15,238.01,90.14,777.61,346.45,176.007,249.925,73.9082,449.46,0.0494447,0,0,76,1.48942,1.01426,0.555402,1.18462,0.915158,0.630117,1.1537,0.958074,1.26603
78,43.0304,-87.8851,255.528,372.66,297.84,267.52,105.14,842.88,398.79,140.063,210.329,70.257,470.22,0.0344795,0,0,78,1.296,1.2811,0.619966,0.841006,1.33993,1.01765,1.35768,0.768192,1.09349
81,41.0256,-87.9546,260.392,337.74,281.44,258.32,79.42,651.08,249.95,351.242,437.445,86.1958,313.34,0.0521553,0,0,81,0.616233,0.87881,1.29598,1.05079,0.518964,1.26965,0.789057,0.931004,1.30285
82,43.5348,-88.0007,264.916,400.06,314.39,282.81,117.25,749.9,324.93,230.032,309.678,79.6346,349.84,0.0362517,0,0,82,1.4347,1.00624,0.548337,0.76774,0.856035,0.774059,0.930421,0.96903,1.20234
84,43.2691,-88.1339,273.985,330.53,274.73,253.22,77.31,645.07,244.78,362.036,448.979,86.9379,314.54,0.037586,0,0,84,1.0445,1.29363,1.13852,1.27299,0.703027,1.04413,0.696841,1.47964,1.47594
85,39.2221,-88.0746,271.711,365.15,280.23,251,114.15,856.3,400.19,127.981,201.83,73.8415,491.15,0.0721142,0,0,85,0.508757,0.629764,1.43185,0.777197,0.617295,0.578645,0.85176,1.04329,0.663449
86,42.185,-87.9117,256.763,299.14,244.86,225.4,73.74,786.59,350.47,161.559,233.106,71.5385,487.45,0.0538028,0,0,86,0.845667,1.06764,0.800064,1.37878,0.795554,0.931672,1.31395,0.817599,1.25278
88,42.4925,-88.1183,272.829,405.24,322.53,289.99,115.25,766.53,339.89,212.828,289.398,76.5616,361.29,0.0366378,0,0,88,0.786113,0.917423,1.30085,0.609305,1.40175,1.02385,1.03424,1.39202,1.39132
90,41.1986,-88.1429,276.198,254.78,205.24,189.15,65.63,724.88,299.07,210.079,290.809,80.7217,470.1,0.0880123,0,0,90,1.16236,0.539142,1.23116,1.43133,0.638485,0.856884,0.73382,1.37272,1.01218
91,43.1292,-88.0728,269.4,463.39,353.28,315.81,147.58,736.22,293.26,273.765,355.102,81.3263,272.83,0.0199182,0,0,91,0.664806,1.15245,0.942913,0.65246,0.834106,0.518517,0.91338,1.10404,1.3622
