# Drug name and concentration: 24: Chlorpromazine at 517.5μM
# GNa:
#   EC50/IC50: 4536
#   Hill Coefficient: 2
# GNaL:
#   EC50/IC50: 4560
#   Hill Coefficient: 0.9
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 1118
#   Hill Coefficient: 0.9
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: 9270
#   Hill Coefficient: 0.7
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 8192
#   Hill Coefficient: 0.8
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,39.6102,-87.8513,253.424,375.85,298.24,269.22,106.63,805.13,371.63,163.611,235.535,71.9144,429.28,0.0424495,0,0,1,1.25955,1.13245,1.4096,0.921915,1.27445,0.816716,1.36352,0.703243,1.14164
2,40.2361,-87.9245,258.717,352.62,289.64,264.43,88.19,725.73,309.86,239.235,318.51,79.2649,373.11,0.0540469,0,0,2,1.08776,0.804707,1.37275,1.02163,0.660989,1.15547,1.00881,0.848511,1.21274
4,40.362,-87.9808,264.03,320.58,251.53,226.39,94.19,685.17,275.67,284.187,375.922,91.7217,364.59,0.0619887,0,0,4,0.788933,1.07789,0.94939,1.12363,0.947599,0.779872,0.513344,0.870073,0.755705
5,40.9509,-88.0387,267.781,307.7,242.52,220.57,87.13,723.51,302.44,227.841,312.528,84.6748,415.81,0.063262,0,0,5,1.22937,1.06536,0.956006,1.34837,0.619484,0.643933,0.648585,0.987129,0.859177
7,39.9219,-87.9454,260.36,405.19,325.49,285.48,119.71,732.29,299.32,266.533,356.728,90.1785,327.1,0.0398773,0,0,7,1.12734,1.21322,1.0768,0.59416,1.19831,1.4073,0.535858,0.835674,0.7209
10,41.5954,-88.0521,269.315,425.79,324.52,288.19,137.6,853.74,409.17,144.306,217.274,72.9585,427.95,0.0494688,0,0,10,0.754755,0.738202,0.883224,0.647699,0.953403,0.66055,1.04908,1.03994,1.00258
11,38.7346,-87.77,247.156,327.57,270.71,244.73,82.84,860.62,401.27,121.417,191.407,69.9821,533.05,0.0515309,0,0,11,0.80391,1.26541,1.01014,1.10438,1.04747,1.42593,1.21314,0.58209,0.782922
13,39.465,-87.9245,258.221,315.69,258.55,235.56,80.13,748.6,323.05,201.739,279.839,78.0904,432.91,0.069411,0,0,13,1.38171,0.653576,1.36462,1.00154,1.17733,1.34125,0.951589,0.823403,1.02888
14,40.1643,-88.1051,271.566,339.94,264.26,238.11,101.83,792.54,353.62,168.322,247.625,79.2914,452.6,0.0521515,0,0,14,0.502533,1.3019,1.40423,1.1301,1.22046,0.581343,0.725196,1.13212,0.771478
15,40.8482,-88.0791,269.199,392.37,321.33,286.56,105.81,830.83,389.56,160.673,238.596,77.912,438.46,0.030692,0,0,15,1.32584,1.4682,1.25093,0.796372,1.11965,1.38473,0.766849,1.20998,0.81169
18,41.1922,-88.1959,280.822,446.02,338.8,295.14,150.88,903.58,446.32,123.766,200.86,77.084,457.56,0.0339122,0,0,18,1.35251,1.34048,1.09712,0.598936,1.18766,0.681243,0.619567,1.44938,0.564899
20,43.3574,-87.9972,262.569,370.27,293.26,265.8,104.47,849.29,403.7,133.117,201.327,68.2019,479.02,0.0314837,0,0,20,1.42391,1.38016,0.823026,1.08034,1.30752,0.730013,1.49315,0.964038,1.29249
21,38.2997,-87.9192,258.504,335.55,260.36,232.69,102.86,844.9,387.6,129.622,205.244,75.6126,509.35,0.0605679,0,0,21,1.45445,1.16984,1.2283,1.04432,1.08621,0.666436,0.793681,0.712182,0.571739
22,42.5128,-87.9828,261.967,348.26,287.83,262.26,86,652.84,248.55,353.876,440.536,86.6519,304.58,0.057344,0,0,22,0.761214,0.601802,0.717928,0.911148,0.781716,1.49751,0.750619,0.973089,1.37017
25,42.0704,-88.1475,275.759,380.11,300.36,272.41,107.7,735.37,314.34,237.426,317.977,80.5407,355.26,0.0443526,0,0,25,0.899575,0.981637,1.3318,0.919708,1.0115,0.733913,0.838232,1.40694,1.25977
27,42.6012,-88.0754,270.005,417.88,332.51,294.92,122.96,842.93,401.63,156.827,232.12,75.2828,425.05,0.033551,0,0,27,0.815516,1.14146,0.795586,0.669027,1.07818,1.11744,0.921793,1.17398,0.995901
28,42.7789,-88.0947,270.896,415.79,336.63,298.24,117.55,889.89,436.92,128.538,201.333,72.7852,474.1,0.0387074,0,0,28,0.854672,1.02472,0.648055,0.639608,0.927037,1.39642,0.93724,1.21773,0.88723
