# Drug name and concentration: 2: Bepridil at 63μM
# GNa:
#   EC50/IC50: 2929
#   Hill Coefficient: 1.2
# GNaL:
#   EC50/IC50: 1814
#   Hill Coefficient: 1.4
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 149
#   Hill Coefficient: 0.9
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 2808
#   Hill Coefficient: 0.6
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,39.7377,-87.8414,252.269,375.95,301.71,272.4,103.55,803.36,370.97,166.358,238.521,72.1532,427.41,0.0376804,0,0,1,1.25955,1.13245,1.4096,0.921915,1.27445,0.816716,1.36352,0.703243,1.14164
2,40.3111,-87.9176,257.534,351.42,291.59,266.43,84.99,724.22,308.62,242.07,321.479,79.3996,372.8,0.050669,0,0,2,1.08776,0.804707,1.37275,1.02163,0.660989,1.15547,1.00881,0.848511,1.21274
4,40.4629,-87.973,263.507,322.03,255.78,230.35,91.68,685.22,275.57,286.488,378.324,91.8225,363.19,0.0571811,0,0,4,0.788933,1.07789,0.94939,1.12363,0.947599,0.779872,0.513344,0.870073,0.755705
5,41.0542,-88.0301,266.532,308.87,246.26,224.11,84.76,723.08,302.47,230.047,314.86,84.8023,414.21,0.0585815,0,0,5,1.22937,1.06536,0.956006,1.34837,0.619484,0.643933,0.648585,0.987129,0.859177
7,40.0341,-87.9379,259.266,407.18,331.34,290.9,116.28,734.16,298.81,268.4,358.657,90.2415,326.98,0.0339039,0,0,7,1.12734,1.21322,1.0768,0.59416,1.19831,1.4073,0.535858,0.835674,0.7209
10,41.7086,-88.0461,268.469,423.64,327.21,290.77,132.87,853.21,409.2,145.685,218.789,73.0939,429.57,0.0457701,0,0,10,0.754755,0.738202,0.883224,0.647699,0.953403,0.66055,1.04908,1.03994,1.00258
11,38.9072,-87.7608,246.067,329.34,274.99,248.76,80.58,859.78,401.77,123.154,193.417,70.2559,530.44,0.0464766,0,0,11,0.80391,1.26541,1.01014,1.10438,1.04747,1.42593,1.21314,0.58209,0.782922
13,39.5042,-87.9187,256.773,314.08,259.95,237.05,77.03,746.79,321.91,204.121,282.352,78.2209,432.71,0.0668454,0,0,13,1.38171,0.653576,1.36462,1.00154,1.17733,1.34125,0.951589,0.823403,1.02888
14,40.2758,-88.0951,270.84,342.19,269.38,242.82,99.37,793.62,355.1,169.407,248.824,79.4056,451.43,0.0459434,0,0,14,0.502533,1.3019,1.40423,1.1301,1.22046,0.581343,0.725196,1.13212,0.771478
15,40.9845,-88.0704,268.236,395.46,327.56,292.39,103.07,832.64,391.55,161.963,240.017,78.0429,437.18,0.023278,0,0,15,1.32584,1.4682,1.25093,0.796372,1.11965,1.38473,0.766849,1.20998,0.81169
18,41.3094,-88.1884,279.84,448.56,345.89,301.65,146.91,908.1,450.91,123.844,200.998,77.1448,459.54,0.0262998,0,0,18,1.35251,1.34048,1.09712,0.598936,1.18766,0.681243,0.619567,1.44938,0.564899
20,43.6534,-87.9856,261.937,371.44,297.13,269.24,102.2,848.1,403.79,135.184,203.638,68.4464,476.66,0.025465,0,0,20,1.42391,1.38016,0.823026,1.08034,1.30752,0.730013,1.49315,0.964038,1.29249
21,38.3945,-87.9102,258.016,337.63,265.54,237.52,100.11,845.66,389.22,130.754,206.578,75.8155,508.03,0.0553216,0,0,21,1.45445,1.16984,1.2283,1.04432,1.08621,0.666436,0.793681,0.712182,0.571739
22,42.5595,-87.9778,261.318,346,288.82,263.41,82.59,651.48,247.24,357.082,443.8,86.7104,305.48,0.0548845,0,0,22,0.761214,0.601802,0.717928,0.911148,0.781716,1.49751,0.750619,0.973089,1.37017
25,42.1586,-88.1393,275.004,379.91,303.66,275.52,104.39,735.25,313.72,239.409,320.041,80.6225,355.34,0.0394594,0,0,25,0.899575,0.981637,1.3318,0.919708,1.0115,0.733913,0.838232,1.40694,1.25977
27,42.9454,-88.068,268.918,418.85,336.99,299.01,119.84,843.37,402.41,158.559,234.006,75.4366,424.52,0.0277122,0,0,27,0.815516,1.14146,0.795586,0.669027,1.07818,1.11744,0.921793,1.17398,0.995901
28,43.0925,-88.0883,269.909,416.37,340.79,302.19,114.18,890.58,438.2,129.659,202.598,72.9293,474.21,0.0333282,0,0,28,0.854672,1.02472,0.648055,0.639608,0.927037,1.39642,0.93724,1.21773,0.88723
30,41.4029,-87.6842,243.106,419.29,334.49,295.68,123.61,755.42,326.3,233.686,312.982,79.2857,336.13,0.0212802,0,0,30,1.05917,1.39563,0.733522,0.715208,1.24343,1.04644,1.10792,0.517388,1.05005
31,41.724,-87.8508,253.579,327.26,264.12,241.04,86.22,793.38,357.67,163.539,236.293,72.7446,466.12,0.0551044,0,0,31,1.12096,0.822285,0.671342,1.21236,0.610485,0.805366,1.24918,0.693148,1.13449
32,43.4747,-88.0691,271.229,449.8,341.03,302.3,147.5,744.55,307.25,256.844,338.073,81.2189,294.75,0.0430514,0,0,32,1.49599,0.551368,0.657084,0.516762,0.998886,0.672193,0.858383,1.14193,1.31535
36,41.8134,-87.7331,244.744,342.9,286.54,262.31,80.59,717.06,308.2,244.947,321.218,76.2624,374.16,0.0388026,0,0,36,1.41634,1.057,0.838061,1.15579,0.895024,1.32883,1.34997,0.607935,1.43534
40,43.9279,-88.1151,273.449,430.15,346.68,312.17,117.98,846.65,409.92,155.938,227.504,71.557,416.5,0.0354347,0,0,40,0.744339,0.675849,0.746487,0.749454,0.510079,0.888897,1.21937,1.33951,1.37053
42,40.3519,-87.8149,250.296,296.51,242.9,220.54,75.97,824.27,372.03,137.062,209.484,72.4135,527.76,0.0553844,0,0,42,1.20008,1.17544,0.754806,1.2999,1.25591,1.14585,1.08713,0.640316,0.85396
45,44.0474,-88.1213,272.482,326.48,272.27,250.63,75.85,721.04,305.23,240.795,320.552,79.7478,394.56,0.0288447,0,0,45,1.43603,1.45633,0.89132,1.44239,0.996105,1.05435,0.880786,1.45477,1.41733
46,44.4375,-88.025,265.203,369.76,299.29,270.51,99.25,851.93,405.8,135.772,205.683,69.9022,482.17,0.0312745,0,0,46,0.520555,1.18902,0.568774,0.991482,1.14652,0.977829,1.29345,1.07875,1.22147
48,40.8887,-88.1675,277.587,447.17,363.01,322.51,124.66,896.18,444.02,133.823,209.308,75.4765,449.01,0.0206756,0,0,48,0.875811,1.32957,1.44533,0.703702,0.692465,0.925904,0.760407,1.47106,0.727905
49,39.5186,-87.7884,250.834,268.94,214.19,194.89,74.05,655.48,253.09,314.956,405.578,90.6145,386.54,0.0840391,0,0,49,0.75049,0.502431,0.726344,1.24037,0.723578,0.90769,0.592332,0.562983,0.845769
50,42.8203,-88,264.373,392.98,315.59,283.65,109.33,850.67,405.33,144.289,218.317,74.0173,457.69,0.0310695,0,0,50,1.10142,1.2227,0.61558,0.97047,0.559653,0.783285,0.996599,0.947879,0.923251
52,39.728,-87.9879,264.972,375.48,279.75,248.92,126.56,806.55,366.19,161.697,238.833,77.1256,431.07,0.0677381,0,0,52,1.19088,0.562246,1.10254,0.686676,1.3672,0.508798,0.849273,0.852379,0.803879
54,41.6987,-87.7618,246.748,357.29,299.7,272.09,85.2,664.36,254.84,341.504,428.248,86.7342,307.07,0.0277864,0,0,54,0.627448,1.43951,0.681484,1.089,0.820124,1.48235,0.819086,0.624393,1.16368
56,40.3475,-87.8491,252.46,303.68,251.98,231.29,72.39,744.46,320.14,203.471,280.558,77.0777,440.78,0.0517326,0,0,56,1.28009,1.13011,1.13133,1.39828,0.864782,1.1005,1.05654,0.726855,1.10836
58,40.5433,-88.1626,277.603,419.39,337.51,298.72,120.67,847.58,404.43,157.523,238.933,81.3983,428.19,0.0280328,0,0,58,1.3071,1.36214,1.46698,0.746865,0.842035,0.913154,0.565496,1.42991,0.60293
59,37.9324,-87.8404,252.629,353.34,290.59,261.33,92.01,783.77,350.98,182.395,261.22,78.8138,430.43,0.065252,0,0,59,1.45838,0.622397,1.42167,0.807756,0.579167,1.26232,0.876798,0.648329,0.768789
60,41.4191,-88.0464,266.993,333.25,278.77,256.24,77.01,697.18,285.67,274.639,357.682,83.0343,363.93,0.0368186,0,0,60,1.01102,1.32426,1.46153,1.33618,0.736779,1.08528,0.80661,1.18583,1.23575
