# Drug name and concentration: 2: Cisapride at 5.2μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 12
#   Hill Coefficient: 1.3
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,40.143,-87.8334,251.822,365.33,294.47,267.31,98.02,771.5,347.85,189.961,263.46,73.4897,406.17,0.0380607,0,0,1,1.25955,1.13245,1.4096,0.921915,1.27445,0.816716,1.36352,0.703243,1.14164
2,40.635,-87.9102,257.025,341.54,284.62,261.36,80.18,695.95,287.33,275.123,355.684,80.5524,354.41,0.0511971,0,0,2,1.08776,0.804707,1.37275,1.02163,0.660989,1.15547,1.00881,0.848511,1.21274
4,40.6914,-87.9683,263.134,310.09,247.52,224.04,86.05,660.79,257.99,321.474,414.558,93.0731,350.7,0.058771,0,0,4,0.788933,1.07789,0.94939,1.12363,0.947599,0.779872,0.513344,0.870073,0.755705
5,41.3049,-88.0257,266.102,296.73,237.91,217.59,79.14,696.77,283.31,259.616,345.691,86.0657,400.04,0.0602606,0,0,5,1.22937,1.06536,0.956006,1.34837,0.619484,0.643933,0.648585,0.987129,0.859177
7,40.2804,-87.9317,258.977,397.39,324.4,286.53,110.86,703.98,273.15,304.955,396.774,91.8042,306.59,0.0345829,0,0,7,1.12734,1.21322,1.0768,0.59416,1.19831,1.4073,0.535858,0.835674,0.7209
10,42.069,-88.0401,267.946,411.98,319.68,285.74,126.24,821,384.6,165.156,239.603,74.4368,409.02,0.0456634,0,0,10,0.754755,0.738202,0.883224,0.647699,0.953403,0.66055,1.04908,1.03994,1.00258
11,39.2976,-87.7533,245.579,317.47,265.4,241.02,76.45,833.35,382.73,136.242,207.619,71.369,515.88,0.0479723,0,0,11,0.80391,1.26541,1.01014,1.10438,1.04747,1.42593,1.21314,0.58209,0.782922
13,39.8348,-87.9107,256.309,306.25,254.55,233.27,72.98,719.14,302.3,232.063,311.572,79.5011,412.89,0.0672088,0,0,13,1.38171,0.653576,1.36462,1.00154,1.17733,1.34125,0.951589,0.823403,1.02888
14,40.5148,-88.091,270.425,329.78,261.03,236.55,93.23,765.05,333.78,190.9,271.692,80.7818,435.27,0.0473405,0,0,14,0.502533,1.3019,1.40423,1.1301,1.22046,0.581343,0.725196,1.13212,0.771478
15,41.2659,-88.0644,267.865,384.18,318.97,286.13,98.05,801.2,366.46,183.132,262.558,79.4153,417.02,0.0240785,0,0,15,1.32584,1.4682,1.25093,0.796372,1.11965,1.38473,0.766849,1.20998,0.81169
18,41.5016,-88.1849,279.228,435.61,337.1,295.39,140.22,881.18,429.93,136.481,214.811,78.3208,445.57,0.0272025,0,0,18,1.35251,1.34048,1.09712,0.598936,1.18766,0.681243,0.619567,1.44938,0.564899
20,43.8729,-87.9794,261.418,359.72,289.25,263.38,96.34,816.7,381.33,152.684,222.343,69.6501,456.98,0.0257101,0,0,20,1.42391,1.38016,0.823026,1.08034,1.30752,0.730013,1.49315,0.964038,1.29249
21,38.6131,-87.9052,257.647,324.28,255.92,229.98,94.3,820.64,370.69,144.149,221.162,77.0041,496.36,0.057112,0,0,21,1.45445,1.16984,1.2283,1.04432,1.08621,0.666436,0.793681,0.712182,0.571739
22,42.7906,-87.9721,260.898,335.85,281.23,257.39,78.46,629.89,234.9,396.674,484.049,87.3691,294.04,0.0549946,0,0,22,0.761214,0.601802,0.717928,0.911148,0.781716,1.49751,0.750619,0.973089,1.37017
25,42.4494,-88.1346,274.468,369.81,297.58,271.55,98.26,705.31,289.88,273.325,355.235,81.9023,335.5,0.0395391,0,0,25,0.899575,0.981637,1.3318,0.919708,1.0115,0.733913,0.838232,1.40694,1.25977
27,43.1577,-88.0615,268.5,408.11,329.68,294.25,113.86,809.8,375.11,180.796,257.63,76.8232,401.69,0.0277371,0,0,27,0.815516,1.14146,0.795586,0.669027,1.07818,1.11744,0.921793,1.17398,0.995901
28,43.377,-88.0821,269.081,405.25,332.4,296.2,109.05,859.5,414.38,145.435,219.609,74.164,454.25,0.0335355,0,0,28,0.854672,1.02472,0.648055,0.639608,0.927037,1.39642,0.93724,1.21773,0.88723
30,41.5206,-87.6758,242.689,408.89,328.13,292.24,116.65,722.26,299.81,268.953,349.634,80.6719,313.37,0.021818,0,0,30,1.05917,1.39563,0.733522,0.715208,1.24343,1.04644,1.10792,0.517388,1.05005
31,42.0515,-87.8429,253.067,316.44,256.73,235.49,80.95,762.58,335.7,186.401,260.446,74.0355,446.14,0.055858,0,0,31,1.12096,0.822285,0.671342,1.21236,0.610485,0.805366,1.24918,0.693148,1.13449
32,43.6964,-88.0636,270.522,441.21,337.53,301.39,139.82,712.1,277.08,295.743,378.329,82.5765,270.89,0.0421597,0,0,32,1.49599,0.551368,0.657084,0.516762,0.998886,0.672193,0.858383,1.14193,1.31535
36,42.0733,-87.7244,244.234,333.22,279.72,257.32,75.9,689.86,288.6,277.666,354.918,77.2444,356.64,0.0393413,0,0,36,1.41634,1.057,0.838061,1.15579,0.895024,1.32883,1.34997,0.607935,1.43534
40,44.2376,-88.1083,272.889,417.93,338.34,306.42,111.51,811.14,381.6,178.535,251.426,72.883,393.21,0.0348276,0,0,40,0.744339,0.675849,0.746487,0.749454,0.510079,0.888897,1.21937,1.33951,1.37053
42,40.7103,-87.8074,249.815,285.84,234.93,214.28,71.56,797.12,352.61,153.309,226.935,73.6174,511.28,0.05673,0,0,42,1.20008,1.17544,0.754806,1.2999,1.25591,1.14585,1.08713,0.640316,0.85396
45,44.2607,-88.1161,271.741,316.12,265.08,245.13,70.99,693.09,284.64,273.595,354.443,80.8415,376.97,0.0296182,0,0,45,1.43603,1.45633,0.89132,1.44239,0.996105,1.05435,0.880786,1.45477,1.41733
46,44.6472,-88.0182,264.673,358.65,291.67,264.93,93.72,819.95,382.56,153.704,224.853,71.1404,461.3,0.0314032,0,0,46,0.520555,1.18902,0.568774,0.991482,1.14652,0.977829,1.29345,1.07875,1.22147
48,41.1112,-88.1629,277.206,432.87,352.13,314.25,118.62,865.92,419.84,148.762,225.466,76.695,433.05,0.021779,0,0,48,0.875811,1.32957,1.44533,0.703702,0.692465,0.925904,0.760407,1.47106,0.727905
49,39.7873,-87.7836,250.459,258.34,206.52,188.63,69.71,638.26,242.03,346.52,437.757,91.2305,379.92,0.0850748,0,0,49,0.75049,0.502431,0.726344,1.24037,0.723578,0.90769,0.592332,0.562983,0.845769
50,43.063,-87.9939,263.916,378.7,305.27,275.77,102.93,817.95,380.28,163.06,238.379,75.309,439.25,0.032282,0,0,50,1.10142,1.2227,0.61558,0.97047,0.559653,0.783285,0.996599,0.947879,0.923251
52,40.0199,-87.9824,264.508,365.36,274.13,245.4,119.96,777.65,344.99,183.044,261.608,78.5539,412.29,0.0679388,0,0,52,1.19088,0.562246,1.10254,0.686676,1.3672,0.508798,0.849273,0.852379,0.803879
54,41.8869,-87.7554,246.346,345.27,290.53,264.86,80.41,640.63,240.78,380.67,468.177,87.4999,295.36,0.029061,0,0,54,0.627448,1.43951,0.681484,1.089,0.820124,1.48235,0.819086,0.624393,1.16368
56,40.6814,-87.8415,251.863,293.48,244.58,225.55,67.93,716.93,300.63,230.665,308.905,78.2327,423.45,0.0529304,0,0,56,1.28009,1.13011,1.13133,1.39828,0.864782,1.1005,1.05654,0.726855,1.10836
58,40.722,-88.1582,277.202,405.65,327.32,291.07,114.58,817.9,380.15,175.901,258.689,82.777,412.25,0.0294052,0,0,58,1.3071,1.36214,1.46698,0.746865,0.842035,0.913154,0.565496,1.42991,0.60293
59,38.2042,-87.8323,251.884,342.99,282.92,255.82,87.17,754.01,328.66,207.053,287.31,80.2476,411.02,0.0660665,0,0,59,1.45838,0.622397,1.42167,0.807756,0.579167,1.26232,0.876798,0.648329,0.768789
60,41.7036,-88.0411,266.515,321.67,270.15,249.36,72.31,671.53,267.1,308.951,392.99,84.0317,349.86,0.0380669,0,0,60,1.01102,1.32426,1.46153,1.33618,0.736779,1.08528,0.80661,1.18583,1.23575
65,42.4201,-88.164,275.684,405.59,321.01,288.92,116.67,882.56,430.04,123.622,192.067,68.4378,476.97,0.0282299,0,0,65,0.597041,1.19478,1.34353,0.742339,1.41369,0.700464,1.28035,1.4744,1.0796
67,38.4463,-87.8348,251.582,354,290.38,258.98,95.02,849.52,397.12,134.638,208.867,74.2202,495.52,0.0688846,0,0,67,0.655703,0.569071,0.931223,0.645672,0.811354,1.41718,0.94074,0.609107,0.610051
71,39.8977,-88.0519,267.994,385.26,310.74,275.17,110.09,767.2,336.88,212.566,296.993,84.4148,381.94,0.0422997,0,0,71,0.980899,1.12461,1.49458,0.614746,1.42961,1.18317,0.61743,1.10755,0.685777
72,41.6919,-87.9709,262.09,259.32,210.02,191.83,67.49,656.81,253.84,311.773,402.065,90.2835,397.49,0.0790981,0,0,72,1.48705,0.689768,0.575912,1.28468,1.11181,1.06974,0.553596,0.883968,0.863387
73,41.0154,-88.1291,274.691,371.5,301.64,269.12,102.38,807.51,370.54,173.206,256.044,82.826,436.01,0.04302,0,0,73,1.07437,1.17653,1.11786,0.812574,0.797394,1.06731,0.563166,1.3174,0.592015
75,40.9692,-88.0206,264.246,392.5,327.01,294.94,97.56,748.23,321.08,235.613,315.742,80.1182,355.73,0.0363822,0,0,75,1.15215,0.975055,1.42687,0.691454,0.954387,1.44622,0.898104,1.09924,1.06717
76,43.9312,-87.9952,263.056,334.32,267.59,245.2,89.12,754.48,331.72,199.412,274.643,75.2215,420.16,0.0435827,0,0,76,1.48942,1.01426,0.555402,1.18462,0.915158,0.630117,1.1537,0.958074,1.26603
78,43.4849,-87.872,254.545,378,304.29,273.42,104.58,820.33,384.65,157.431,229.015,71.5752,442.33,0.0282613,0,0,78,1.296,1.2811,0.619966,0.841006,1.33993,1.01765,1.35768,0.768192,1.09349
81,41.3116,-87.9459,259.646,342.39,287.54,264.09,78.3,635.63,238.06,386.003,472.959,86.9492,293.24,0.0468874,0,0,81,0.616233,0.87881,1.29598,1.05079,0.518964,1.26965,0.789057,0.931004,1.30285
82,43.8009,-87.9903,264.174,405.94,322.21,290.32,115.62,729.64,305.08,258.423,339.235,80.8015,323.7,0.0302688,0,0,82,1.4347,1.00624,0.548337,0.76774,0.856035,0.774059,0.930421,0.96903,1.20234
84,43.5366,-88.1243,273.211,336.36,281.68,259.76,76.6,630.76,233.64,396.147,483.743,87.59,294.4,0.0302844,0,0,84,1.0445,1.29363,1.13852,1.27299,0.703027,1.04413,0.696841,1.47964,1.47594
85,39.4138,-88.0672,271.057,369.21,286.52,257.03,112.18,842.62,392.4,138.334,213.213,74.8704,473.41,0.0678659,0,0,85,0.508757,0.629764,1.43185,0.777197,0.617295,0.578645,0.85176,1.04329,0.663449
86,42.5848,-87.898,256.1,305.56,252.26,232.53,73.03,763.32,336.43,183.087,256.006,72.9101,457.76,0.0480933,0,0,86,0.845667,1.06764,0.800064,1.37878,0.795554,0.931672,1.31395,0.817599,1.25278
88,42.8166,-88.1081,272.122,409.58,329,296.29,113.29,746.13,320.16,238.25,315.903,77.6442,336.55,0.0306008,0,0,88,0.786113,0.917423,1.30085,0.609305,1.40175,1.02385,1.03424,1.39202,1.39132
90,41.4458,-88.1343,275.297,259.86,211.56,195.38,64.48,706.8,288.1,233.464,315.355,81.8834,446.94,0.0841685,0,0,90,1.16236,0.539142,1.23116,1.43133,0.638485,0.856884,0.73382,1.37272,1.01218
91,43.5452,-88.0622,268.726,469.58,361.54,323.57,146.01,718.82,269.53,305.458,387.8,82.3336,249.24,0.0129546,0,0,91,0.664806,1.15245,0.942913,0.65246,0.834106,0.518517,0.91338,1.10404,1.3622
92,42.8518,-88.0129,264.786,425.3,345.65,307.79,117.51,859.01,417.63,147.866,219.874,71.999,433.71,0.0408117,0,0,92,0.925635,0.69504,0.69203,0.571745,0.744865,1.22244,1.17303,1.01389,1.02304
95,41.9489,-87.9108,255.756,343.72,288.16,265.04,78.68,734.15,322.52,222.66,296.595,73.9275,390.43,0.0450044,0,0,95,1.36897,0.779578,1.22386,0.992425,1.04059,1.33547,1.40675,0.897374,1.4849
96,40.267,-87.9145,258.147,471.36,365.31,324.56,146.8,723.03,274.13,300.554,384.406,83.8415,251.67,0.0213413,0,0,96,0.952975,1.14575,1.48602,0.620709,0.74195,0.549433,0.889014,0.777914,1.06883
97,39.4562,-87.9191,258.363,270.66,221.46,201.83,68.83,631.51,238.86,364.392,458.188,93.7872,360.85,0.0739105,0,0,97,0.544263,0.848014,1.33367,1.19047,1.35112,1.20634,0.525871,0.807098,0.821614
99,42.3999,-87.987,262.881,325.8,267.56,243.53,82.27,823.42,377.91,144.998,217.629,72.6217,497.62,0.054336,0,0,99,1.48017,0.892554,0.642486,1.05764,0.752089,1.11378,1.08344,0.951435,0.942444
100,44.2132,-88.1184,272.865,411.23,329.13,293.89,117.34,745.27,312.9,247.656,328.903,81.2377,334.04,0.019183,0,0,100,1.14082,1.26822,0.805145,0.626923,1.45699,1.10822,0.809773,1.41503,1.19048
101,40.8586,-87.8276,251.678,285.59,234.25,216.67,68.92,674.17,272.02,284.153,363.732,79.5731,388.58,0.0677225,0,0,101,1.00608,0.615604,1.13543,1.26457,1.2786,0.957549,1.07681,0.695913,1.32805
