# Drug name and concentration: 2: Ondansetron at 278μM
# GNa:
#   EC50/IC50: 57670
#   Hill Coefficient: 1.02
# GNaL:
#   EC50/IC50: 19180
#   Hill Coefficient: 1.035
# Gto:
#   EC50/IC50: 1023000
#   Hill Coefficient: 0.9891
# GKr:
#   EC50/IC50: 1325
#   Hill Coefficient: 0.921
# GKs:
#   EC50/IC50: 569800
#   Hill Coefficient: 0.6535
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 22550
#   Hill Coefficient: 0.7526
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,38.4921,-88.1529,189.334,272.44,222.69,207.32,65.12,652.94,249.27,321.783,403.693,81.9058,380.5,0.0782565,0,0,1,0.698716,1.01134,0.978925,1.35698,1.24229,1.36012,0.700452,1.40027,1.13236
2,46.257,-88.163,347.479,260.13,208.63,192.72,67.41,795.12,351.95,149.551,223.144,73.5841,534.99,0.0894886,0,0,2,1.32916,0.618259,0.680672,1.41947,0.736857,1.35337,0.981452,1.46718,1.27088
4,41.1783,-88.1657,288.01,326.07,258.13,236.31,89.76,701.89,288.98,260.714,346.445,85.7219,375.82,0.0739062,0,0,4,1.065,1.35064,1.43676,1.02166,0.886777,1.10254,0.63188,1.44478,0.960312
5,37.343,-88.1451,167.473,322.37,265.44,246.05,76.32,830.18,375.74,131.231,198.118,66.8816,507.81,0.0718404,0,0,5,0.626144,0.84137,1.31771,1.06523,0.756123,1.44616,1.30788,1.36701,0.929413
6,41.508,-87.8275,315.938,369.77,282.63,248.05,121.72,849.53,400.01,136.848,214.99,78.1335,479.76,0.0831505,0,0,6,1.3041,0.898694,0.95934,0.611217,0.627088,1.43325,0.746303,0.559261,0.548117
9,38.7861,-87.8766,167.214,292.59,233.24,216.92,75.67,646.28,249.21,337.45,416.038,78.5841,353.69,0.0651581,0,0,9,0.668078,1.32809,1.00135,1.37704,1.17536,0.881394,1.00129,0.682827,1.2955
10,33.1712,-87.8506,160.336,247.09,193.82,177.39,69.7,777.77,321.92,153.013,228.39,75.3711,530.68,0.087019,0,0,10,0.640383,1.42469,0.790927,1.38253,0.985211,1.07405,0.770907,0.580445,0.502509
14,38.1248,-87.7487,215.094,267.51,214.09,198.33,69.18,638.8,243.34,349.026,432.92,83.8906,371.29,0.0799283,0,0,14,0.874694,0.94465,0.934225,1.34028,1.07286,1.21154,0.825917,0.531405,1.13432
20,41.0564,-87.7339,231.449,468.73,340.6,304.4,164.33,751.02,325.03,235.125,311.319,76.1841,282.29,0.045773,0,0,20,0.939491,1.27055,0.596076,0.642641,0.978897,0.557006,1.3213,0.521269,1.16439
22,37.4377,-88.1473,211.79,301.19,236.49,220.11,81.08,675.19,266.8,282.988,363.127,80.1341,374,0.0805262,0,0,22,0.78031,0.734109,1.45535,1.22921,1.16057,0.704971,0.828635,1.2789,1.15187
24,43.3157,-87.7472,320.023,269.03,204.1,187.68,81.35,759.36,326.33,176.172,251.775,75.5949,490.33,0.0803313,0,0,24,1.37105,1.49213,0.747794,1.47849,1.2575,0.59586,1.13521,0.501402,1.11469
27,42.5094,-87.9023,311.243,458.23,341.58,305.01,153.22,817.95,389.82,175.399,248.55,73.1414,359.72,0.058458,0,0,27,1.25585,0.598904,1.31387,0.59768,0.713975,0.774301,1.35939,0.762138,1.27372
28,43.9899,-88.1178,301.62,455.61,339.4,304.87,150.74,865.33,424.02,142.202,213.078,70.8684,409.72,0.0580765,0,0,28,1.13371,0.531424,0.696756,0.633101,0.514713,0.668328,1.21347,1.24446,1.23375
29,39.3134,-88.0558,246.281,327.76,254.68,233.1,94.66,638.14,241.29,363.901,453.802,89.8945,310.38,0.0817346,0,0,29,0.924752,0.572415,1.0307,0.923424,0.675227,0.946268,0.585204,1.04201,0.993049
31,41.0711,-88.1618,230.671,387.57,295.12,269.28,118.29,713.45,291.58,259.913,341.972,82.0512,325.88,0.0592924,0,0,31,0.839924,1.19758,0.540567,0.845105,0.78175,0.638315,0.722195,1.33211,1.01411
33,40.1127,-88.1315,145.612,486.3,372.78,336.96,149.34,735.83,282.17,260.893,336.275,75.3764,249.53,0.0366438,0,0,33,0.549514,1.184,1.09956,0.579307,0.934161,0.728757,1.03587,1.2644,1.07355
37,39.2887,-87.8035,276.583,244.67,190.51,175.66,69.01,639.11,242.61,338.248,428.454,90.1997,394.44,0.0947865,0,0,37,1.12935,0.8875,1.44939,1.45325,0.656871,0.961389,0.635251,0.576288,0.939036
39,38.9159,-87.7938,178.155,439.63,342.79,306.89,132.74,703,270.12,295.412,376.455,81.0353,263.37,0.0538482,0,0,39,0.713196,0.904481,0.553781,0.566011,0.814421,1.17739,0.937396,0.567539,0.906994
40,42.5257,-88.0324,301.053,302.64,232.27,214.76,87.88,648,253.86,333.339,419.12,85.7749,345.36,0.0809171,0,0,40,1.17429,0.704558,1.32276,1.19118,1.40784,0.658034,0.790856,0.971838,1.37901
42,41.2968,-88.1497,202.882,380.58,300.75,276.15,104.43,646.98,239.69,365.683,448.168,82.4798,266.4,0.0593904,0,0,42,0.742768,0.674059,0.713808,0.799616,1.09805,1.0172,0.779429,1.3845,1.36293
43,45.328,-88.0171,368.431,324.33,255.97,231.95,92.38,827.32,383.12,141.938,215.897,73.9499,502.99,0.081177,0,0,43,1.49368,0.957627,1.33864,0.953683,0.721374,1.43402,1.0162,0.985136,1.00321
44,41.7534,-88.0311,246.478,323.85,251.71,233.05,90.8,768.63,338.02,177.659,250.187,72.5195,444.78,0.0623048,0,0,44,0.94732,1.48203,0.738099,1.28761,0.761784,0.58177,1.24291,0.922959,1.24386
48,37.2231,-88.0242,157.948,444.53,343.63,309.81,134.72,860.25,408.05,135.067,203.261,68.1872,415.72,0.0525016,0,0,48,0.604991,1.08159,1.13286,0.624544,0.86557,0.820148,1.30413,0.940669,0.778358
49,45.9845,-88.0548,346.68,357.15,280.68,255.77,101.38,786.5,360.95,179.001,253.909,74.8972,429.35,0.0584751,0,0,49,1.37622,1.29656,0.951004,0.907675,1.41294,1.19407,1.14687,1.13365,1.45076
50,41.6983,-87.8187,281.127,302.35,234.82,215.51,86.84,773.63,339.71,171.167,245.343,74.1679,471.28,0.0816876,0,0,50,1.14857,0.584343,0.689181,1.1136,0.704262,0.960976,1.17044,0.610107,1.08219
51,39.6113,-87.9385,180.047,322.33,256.27,236.42,85.91,678.22,268.11,287.444,367,79.5502,355.89,0.0625577,0,0,51,0.70162,1.44755,0.604588,1.11681,1.3096,1.00119,0.903256,0.788425,1.05556
52,39.2258,-88.0548,219.273,365.77,292.4,268.9,96.87,792.45,359.44,167.439,237.837,70.3903,426.68,0.0612118,0,0,52,0.827536,0.97726,1.41491,0.876196,1.31226,1.11097,1.34316,1.09827,1.18682
53,40.6042,-88.1153,238.649,282.32,232.32,216.19,66.13,619.31,232.02,399.433,485.336,85.8992,336.99,0.0713065,0,0,53,0.888628,1.1726,1.08794,1.35344,1.03533,1.49504,0.677542,1.32256,1.43156
55,33.3225,-87.9501,147.008,421.02,313.42,280.37,140.65,799.26,353.23,168.403,243.864,75.4529,378.24,0.0716307,0,0,55,0.573091,0.6289,0.967936,0.567626,0.871663,0.680532,0.845302,0.740433,0.527537
56,42.7998,-88.1334,268.83,418.71,309.99,281.11,137.6,859.54,411.79,134.062,204.156,70.0866,440.83,0.0614536,0,0,56,0.998344,0.784505,0.566292,0.773854,0.556441,0.502434,1.18801,1.22403,1.09541
57,39.3584,-87.7906,267.391,362.69,272.3,242.92,119.77,673.23,265.68,315.716,410.132,94.4018,310.54,0.0725211,0,0,57,1.08093,1.38975,0.872894,0.749244,0.898956,0.903629,0.52438,0.539359,0.669498
58,40.8754,-88.0264,185.152,362.12,296.22,273.45,88.67,686.65,272.17,290.062,368.357,78.2887,324.53,0.0538276,0,0,58,0.70588,1.16657,0.652004,0.967149,0.668461,1.3904,0.976337,1.0302,1.22257
59,35.978,-88.1355,209.001,282.39,219.81,202.44,79.95,684.68,268.49,265.114,350.049,84.9299,402.29,0.0907352,0,0,59,0.764302,0.775887,1.11102,1.1809,0.52598,0.839524,0.58191,1.23317,0.742455
60,40.8847,-88.0386,177.577,424.83,341.04,311.17,113.66,711.44,278.96,276.726,353.564,76.8313,286.61,0.0452803,0,0,60,0.674204,1.02816,0.828115,0.696087,0.878329,1.25779,1.06143,1.05864,1.21559
64,43.9688,-88.1019,287.481,280.66,220.3,204.31,76.35,825.6,373,127.454,194.812,67.3506,544.94,0.0787909,0,0,64,1.09438,0.794485,0.548548,1.39779,1.38659,0.796828,1.39338,1.16675,1.35082
65,39.9221,-87.9108,262.343,336.36,266.47,241.92,94.44,762.13,333.12,193.559,272.37,78.8012,425.77,0.0782288,0,0,65,1.0338,0.688069,0.836743,0.823337,0.777259,1.42242,0.88078,0.733529,0.868191
