# Drug name and concentration: 2: Sotalol at 29372.8μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 86369
#   Hill Coefficient: 0.9
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,40.155,-87.8333,251.859,370.59,298.3,270.42,100.17,772.24,348.8,190.884,264.46,73.567,401.65,0.0370152,0,0,1,1.25955,1.13245,1.4096,0.921915,1.27445,0.816716,1.36352,0.703243,1.14164
2,40.646,-87.9103,257.068,347.05,289,265.09,81.96,696.71,287.46,276.355,356.99,80.6264,349.66,0.0499865,0,0,2,1.08776,0.804707,1.37275,1.02163,0.660989,1.15547,1.00881,0.848511,1.21274
4,40.7026,-87.9683,263.16,315.58,251.69,227.58,88,661.52,258.29,322.472,415.624,93.1416,345.94,0.0575395,0,0,4,0.788933,1.07789,0.94939,1.12363,0.947599,0.779872,0.513344,0.870073,0.755705
5,41.3183,-88.0255,266.144,302.69,242.51,221.6,81.09,697.39,284.13,260.79,346.954,86.1548,394.7,0.0588425,0,0,5,1.22937,1.06536,0.956006,1.34837,0.619484,0.643933,0.648585,0.987129,0.859177
7,40.2885,-87.932,259.002,401.9,327.77,289.09,112.81,706.2,273.25,304.767,396.556,91.7739,304.3,0.0337143,0,0,7,1.12734,1.21322,1.0768,0.59416,1.19831,1.4073,0.535858,0.835674,0.7209
10,42.0812,-88.0401,267.972,417.5,323.43,288.64,128.86,822.94,386.42,165.35,239.814,74.4544,405.44,0.0447383,0,0,10,0.754755,0.738202,0.883224,0.647699,0.953403,0.66055,1.04908,1.03994,1.00258
11,39.3208,-87.7532,245.599,322.83,269.76,244.73,78.1,833.91,384.01,137.114,208.615,71.493,511.08,0.046768,0,0,11,0.80391,1.26541,1.01014,1.10438,1.04747,1.42593,1.21314,0.58209,0.782922
13,39.8451,-87.9108,256.345,310.84,258.2,236.39,74.45,719.52,302.93,233.112,312.7,79.5793,408.68,0.0662203,0,0,13,1.38171,0.653576,1.36462,1.00154,1.17733,1.34125,0.951589,0.823403,1.02888
14,40.5243,-88.0908,270.456,335.31,265.08,239.95,95.36,766.32,335.23,191.307,272.14,80.8225,431.01,0.0460909,0,0,14,0.502533,1.3019,1.40423,1.1301,1.22046,0.581343,0.725196,1.13212,0.771478
15,41.2759,-88.0646,267.895,389.15,322.81,289.2,99.95,803.24,368.15,183.24,262.672,79.4213,414.09,0.0229976,0,0,15,1.32584,1.4682,1.25093,0.796372,1.11965,1.38473,0.766849,1.20998,0.81169
