# Drug name and concentration: 3: Cisapride at 7.8μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: 219100
#   Hill Coefficient: 0.243
# GKr:
#   EC50/IC50: 11.27
#   Hill Coefficient: 0.621
# GKs:
#   EC50/IC50: 81170000
#   Hill Coefficient: 0.2921
# GK1:
#   EC50/IC50: 29480
#   Hill Coefficient: 0.5133
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 9267000
#   Hill Coefficient: 0.4261
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,39.8053,-88.1503,190.817,340.53,275.7,253.97,86.56,644.77,241.43,357.639,441.029,83.3858,304.24,0.0636721,0,0,1,0.698716,1.01134,0.978925,1.35698,1.24229,1.36012,0.700452,1.40027,1.13236
2,46.7255,-88.1602,348.956,329.11,260.99,238.42,90.69,804.13,368.73,160.082,234.89,74.798,475.02,0.0742426,0,0,2,1.32916,0.618259,0.680672,1.41947,0.736857,1.35337,0.981452,1.46718,1.27088
4,41.7064,-88.1653,289.692,400.37,312,281.37,119,719.92,295.99,268.445,354.447,85.9916,319.55,0.0586219,0,0,4,1.065,1.35064,1.43676,1.02166,0.886777,1.10254,0.63188,1.44478,0.960312
5,38.6485,-88.143,168.819,400.29,326.64,298.8,101.49,841.16,394.03,141.786,209.727,67.934,440.87,0.0560991,0,0,5,0.626144,0.84137,1.31771,1.06523,0.756123,1.44616,1.30788,1.36701,0.929413
6,41.8897,-87.8287,318.115,450.87,340.84,292.71,158.16,878.57,432.89,141.41,220.165,78.7445,427.7,0.0707742,0,0,6,1.3041,0.898694,0.95934,0.611217,0.627088,1.43325,0.746303,0.559261,0.548117
9,39.9226,-87.8686,168.961,367.58,288.41,264.84,102.74,631.83,237.31,389.354,469.854,80.4959,264.25,0.0503304,0,0,9,0.668078,1.32809,1.00135,1.37704,1.17536,0.881394,1.00129,0.682827,1.2955
10,34.3384,-87.8427,161.016,318.98,249.84,226.75,92.23,766.53,323.95,178.237,256.076,77.8317,447.55,0.0739232,0,0,10,0.640383,1.42469,0.790927,1.38253,0.985211,1.07405,0.770907,0.580445,0.502509
14,38.5503,-87.7442,216.626,336.16,266.27,243.73,92.43,623.27,233.8,402.254,488.385,86.1249,287.11,0.0665555,0,0,14,0.874694,0.94465,0.934225,1.34028,1.07286,1.21154,0.825917,0.531405,1.13432
20,41.6251,-87.7275,232.615,574.47,400.82,346.73,227.74,785.36,319.06,249.378,326.034,76.6461,210.89,0.0326874,0,0,20,0.939491,1.27055,0.596076,0.642641,0.978897,0.557006,1.3213,0.521269,1.16439
22,38.7342,-88.139,213.376,375.24,289.57,266.4,108.84,673,262.24,309.833,391.219,81.3803,297.76,0.0662141,0,0,22,0.78031,0.734109,1.45535,1.22921,1.16057,0.704971,0.828635,1.2789,1.15187
24,43.8013,-87.7298,321.185,345.29,255.82,232.21,113.08,749.88,329.92,203.939,282.071,78.1216,404.59,0.0657411,0,0,24,1.37105,1.49213,0.747794,1.47849,1.2575,0.59586,1.13521,0.501402,1.11469
