# Drug name and concentration: 3: Ranolazine at 5844.6μM
# GNa:
#   EC50/IC50: 68770
#   Hill Coefficient: 1.425
# GNaL:
#   EC50/IC50: 7884
#   Hill Coefficient: 0.945
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 8208
#   Hill Coefficient: 0.8576
# GKs:
#   EC50/IC50: 36160000
#   Hill Coefficient: 0.5191
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,38.9689,-88.1524,184.905,322.13,260.63,240.69,81.44,640.14,240.62,360.537,443.546,83.0048,318.01,0.0729899,0,0,1,0.698716,1.01134,0.978925,1.35698,1.24229,1.36012,0.700452,1.40027,1.13236
2,46.096,-88.1601,340.509,316.78,251.81,230.76,86.02,792.3,358.39,165.1,240.093,74.983,475.52,0.080062,0,0,2,1.32916,0.618259,0.680672,1.41947,0.736857,1.35337,0.981452,1.46718,1.27088
4,40.8564,-88.1641,282.539,374.69,292.12,264.83,109.86,697.81,282.32,283.932,370.501,86.5579,323.12,0.072392,0,0,4,1.065,1.35064,1.43676,1.02166,0.886777,1.10254,0.63188,1.44478,0.960312
5,37.7863,-88.1436,163.257,382.48,312.56,286.95,95.53,826.71,381.3,145.909,213.925,68.0098,444.23,0.0647948,0,0,5,0.626144,0.84137,1.31771,1.06523,0.756123,1.44616,1.30788,1.36701,0.929413
6,41.1625,-87.8319,310.399,422.68,319.55,276.18,146.5,857.06,412.61,145.397,224.369,78.9612,434.38,0.0800735,0,0,6,1.3041,0.898694,0.95934,0.611217,0.627088,1.43325,0.746303,0.559261,0.548117
9,39.1823,-87.8713,163.563,346.23,271.28,249.95,96.28,631.05,238.94,383.565,463.405,79.8362,284.82,0.0606125,0,0,9,0.668078,1.32809,1.00135,1.37704,1.17536,0.881394,1.00129,0.682827,1.2955
10,33.0977,-87.8482,156.064,295.11,230.03,209.47,85.64,759.12,315.4,178.093,255.482,77.3818,464.01,0.0849484,0,0,10,0.640383,1.42469,0.790927,1.38253,0.985211,1.07405,0.770907,0.580445,0.502509
14,37.9418,-87.7479,210.448,319.26,252.82,232.12,87.14,621.9,233.97,400.064,485.579,85.5095,302.64,0.0736243,0,0,14,0.874694,0.94465,0.934225,1.34028,1.07286,1.21154,0.825917,0.531405,1.13432
20,40.9493,-87.725,226.509,542.33,380.81,333.19,209.14,761.31,312.01,254.695,331.398,76.6936,218.98,0.0435692,0,0,20,0.939491,1.27055,0.596076,0.642641,0.978897,0.557006,1.3213,0.521269,1.16439
22,38.0088,-88.1381,206.787,360.32,278.26,256.67,103.65,665.06,258.49,316.658,397.926,81.2621,304.74,0.0733392,0,0,22,0.78031,0.734109,1.45535,1.22921,1.16057,0.704971,0.828635,1.2789,1.15187
24,43.1165,-87.7303,313.512,323.94,240.06,219.01,104.93,742.44,321.68,204.154,281.904,77.739,418.5,0.0760986,0,0,24,1.37105,1.49213,0.747794,1.47849,1.2575,0.59586,1.13521,0.501402,1.11469
27,42.3481,-87.8988,305.1,539.29,391.28,340.34,198.95,841.53,392.73,187.003,260.599,73.5853,302.24,0.0513317,0,0,27,1.25585,0.598904,1.31387,0.59768,0.713975,0.774301,1.35939,0.762138,1.27372
28,43.9076,-88.1119,295.303,540.74,392.1,344.12,196.62,890.55,446.47,150.896,222.212,71.3071,349.81,0.0496854,0,0,28,1.13371,0.531424,0.696756,0.633101,0.514713,0.668328,1.21347,1.24446,1.23375
29,39.145,-88.0531,241.519,388.48,298.01,269.67,118.81,632.84,229.94,399.858,490.729,90.8622,244.36,0.0743577,0,0,29,0.924752,0.572415,1.0307,0.923424,0.675227,0.946268,0.585204,1.04201,0.993049
31,41.0243,-88.1522,225.742,447.71,332.59,299.73,147.98,713.13,277.29,282.946,365.64,82.6852,265.42,0.0569839,0,0,31,0.839924,1.19758,0.540567,0.845105,0.78175,0.638315,0.722195,1.33211,1.01411
33,40.1516,-88.126,141.646,550.24,411.87,365.72,184.52,745.84,268.9,279.455,355.102,75.6398,195.6,0.0359539,0,0,33,0.549514,1.184,1.09956,0.579307,0.934161,0.728757,1.03587,1.2644,1.07355
37,39.082,-87.799,271.011,297.44,229.22,209.69,87.75,622.69,235.21,387.108,479.385,92.2697,325.25,0.0882185,0,0,37,1.12935,0.8875,1.44939,1.45325,0.656871,0.961389,0.635251,0.576288,0.939036
39,39.0232,-87.7965,174.042,500.91,384.06,337.44,163.47,710.56,256.82,319.619,401.123,81.4946,209.65,0.0503009,0,0,39,0.713196,0.904481,0.553781,0.566011,0.814421,1.17739,0.937396,0.567539,0.906994
40,42.3517,-88.0224,295.06,359.13,269.8,247.12,112.01,638.78,244.76,369.848,456.795,86.9392,279.65,0.0739569,0,0,40,1.17429,0.704558,1.32276,1.19118,1.40784,0.658034,0.790856,0.971838,1.37901
42,41.7346,-88.1473,198.055,438.92,340.66,308.83,130.09,643.78,229.18,399.472,482.564,83.0865,204.86,0.0535539,0,0,42,0.742768,0.674059,0.713808,0.799616,1.09805,1.0172,0.779429,1.3845,1.36293
43,45.0225,-88.018,362.133,378.89,295.22,264.45,114.44,831.26,393.86,152.327,227.309,74.9713,452.37,0.0759826,0,0,43,1.49368,0.957627,1.33864,0.953683,0.721374,1.43402,1.0162,0.985136,1.00321
44,41.609,-88.0135,241.384,385.84,293.24,269.05,116.79,758.65,336.51,201.508,275.409,73.8917,372.81,0.0580237,0,0,44,0.94732,1.48203,0.738099,1.28761,0.761784,0.58177,1.24291,0.922959,1.24386
48,37.2984,-88.0201,153.797,508.17,385.62,341.37,166.8,865.63,412.83,146.054,214.895,68.8327,357.46,0.0502862,0,0,48,0.604991,1.08159,1.13286,0.624544,0.86557,0.820148,1.30413,0.940669,0.778358
49,45.7303,-88.0531,340.431,405.49,312.2,281.35,124.14,784.12,362.38,195.081,270.866,75.7743,378.63,0.0564371,0,0,49,1.37622,1.29656,0.951004,0.907675,1.41294,1.19407,1.14687,1.13365,1.45076
50,41.666,-87.8117,276.159,366.91,281.06,255.12,111.79,762.94,339.79,196.876,272.918,76.0315,396.03,0.0728629,0,0,50,1.14857,0.584343,0.689181,1.1136,0.704262,0.960976,1.17044,0.610107,1.08219
51,39.6925,-87.9365,176.11,372.54,291.27,266.2,106.34,667,256.97,320.72,401.288,80.5623,294.46,0.060408,0,0,51,0.70162,1.44755,0.604588,1.11681,1.3096,1.00119,0.903256,0.788425,1.05556
52,39.4954,-88.0517,214.34,420.82,330.97,300.69,120.13,788.99,359.53,184.577,255.91,71.3243,368.17,0.0568761,0,0,52,0.827536,0.97726,1.41491,0.876196,1.31226,1.11097,1.34316,1.09827,1.18682
53,40.3616,-88.1162,233.587,330.76,269.52,248.75,82.01,607.22,221.72,444.246,531.174,86.9236,276.46,0.0665555,0,0,53,0.888628,1.1726,1.08794,1.35344,1.03533,1.49504,0.677542,1.32256,1.43156
55,33.5483,-87.9454,143.04,486.88,356.35,313.6,173.28,800.96,349.82,183.7,259.954,76.2451,314.08,0.0669254,0,0,55,0.573091,0.6289,0.967936,0.567626,0.871663,0.680532,0.845302,0.740433,0.527537
56,42.8,-88.1192,263.677,497.09,357.82,319,178.09,870.63,427.05,144.58,215.416,70.827,373.54,0.0547351,0,0,56,0.998344,0.784505,0.566292,0.773854,0.556441,0.502434,1.18801,1.22403,1.09541
57,39.0162,-87.7919,262.196,410.64,302.07,266.08,144.56,671,255.21,342.242,437.478,95.2212,260.36,0.0722383,0,0,57,1.08093,1.38975,0.872894,0.749244,0.898956,0.903629,0.52438,0.539359,0.669498
58,41.0976,-88.0278,181.078,420.5,339.72,310.11,110.39,682.72,255.88,320.637,399.734,79.0895,262.22,0.0493152,0,0,58,0.70588,1.16657,0.652004,0.967149,0.668461,1.3904,0.976337,1.0302,1.22257
59,35.8042,-88.1299,204.267,341.8,263.73,240.99,100.81,674.25,262.69,297.77,384.101,86.3239,332.45,0.0842345,0,0,59,0.764302,0.775887,1.11102,1.1809,0.52598,0.839524,0.58191,1.23317,0.742455
60,41.0663,-88.0395,173.261,484.36,382.58,343.9,140.46,716.29,263.69,300.184,377.491,77.3004,231.93,0.0418641,0,0,60,0.674204,1.02816,0.828115,0.696087,0.878329,1.25779,1.06143,1.05864,1.21559
64,44.0112,-88.092,281.323,338.41,261.14,240.18,98.23,820.09,378.35,141.956,210.812,68.8477,481.68,0.0709198,0,0,64,1.09438,0.794485,0.548548,1.39779,1.38659,0.796828,1.39338,1.16675,1.35082
65,39.7808,-87.9116,256.879,393.65,308.73,276.82,116.83,759.29,332.73,214.279,294.246,79.9557,365.64,0.0718503,0,0,65,1.0338,0.688069,0.836743,0.823337,0.777259,1.42242,0.88078,0.733529,0.868191
67,45.4538,-87.9409,338.473,427.44,319.8,283.25,144.19,764.28,339.68,226.422,307.579,81.1433,336.84,0.0658099,0,0,67,1.40488,0.526133,0.676295,0.694201,1.11378,1.2074,0.922511,0.82256,1.19239
68,39.8432,-88.1563,256.265,313.31,250.92,230.67,82.64,734.77,310.58,214.221,294.247,80.0172,421.46,0.084269,0,0,68,0.965582,0.889342,1.06151,1.38957,0.594989,1.31746,0.757656,1.39949,0.923061
71,37.9179,-87.9735,156.762,356.9,278.47,256.09,100.81,628.41,233.87,392.422,473.742,81.3166,271.51,0.0641148,0,0,71,0.627836,1.15888,1.38397,1.27081,1.006,0.830579,0.866953,0.841628,1.16022
72,36.8254,-88.0128,121.427,389.89,315.35,289.04,100.85,696.41,274.33,275.259,350.51,75.2458,306.52,0.0607207,0,0,72,0.503281,0.922562,1.47813,0.973099,1.26185,1.34755,1.068,0.966409,0.947625
74,39.5995,-87.9956,231.9,422.18,321.32,292.14,130.04,642.73,237.04,386.076,469.361,83.2781,220.55,0.0599349,0,0,74,0.90717,0.750623,1.47323,0.866747,1.44579,0.806922,0.921863,0.935355,1.39523
75,45.3038,-88.1407,327.489,339.72,267.97,245.88,93.84,774.15,348.79,182.94,257.561,74.6115,434.43,0.0677929,0,0,75,1.28279,1.21155,0.931139,1.32387,1.48167,1.15726,1.10615,1.41389,1.44653
79,41.9685,-88.0604,272.651,476.94,379.55,338.46,138.48,871.98,433.01,148.872,218.323,69.443,395.04,0.0516771,0,0,79,1.06072,0.571216,1.00719,0.709194,0.605073,1.47904,1.41872,1.13247,1.25721
80,43.6577,-88.1566,230.048,476.82,371.71,332.73,144.09,818.4,374.3,186.799,259.173,72.3653,341.58,0.0415855,0,0,80,0.86005,1.10285,0.510134,0.705382,0.963019,1.24648,1.1822,1.45642,1.30036
82,40.2097,-87.8985,273.065,293.03,222.79,202.19,90.84,661.2,258.33,308.312,400.191,91.8686,368.17,0.0890294,0,0,82,1.10601,1.31209,0.825787,1.36949,1.36911,0.98818,0.546234,0.692542,0.75495
83,41.3299,-87.9333,284.449,424.42,317.07,286.02,138.4,801.09,372.44,176.885,250.729,73.833,376.67,0.065311,0,0,83,1.15244,0.74375,1.11252,0.961454,0.562099,0.688221,1.23878,0.792966,1.12145
84,39.2441,-88.1502,152.23,526.78,401.38,356.33,170.45,864.61,410.12,152.105,219.377,67.2663,337.83,0.0472595,0,0,84,0.582624,0.51337,1.2606,0.58474,0.949424,0.85385,1.43247,1.37475,1.00793
85,41.8511,-88.098,215.258,404.62,323.55,294.74,109.88,703.18,276.36,285.15,364.892,79.7337,298.56,0.0524354,0,0,85,0.819538,1.41684,0.557905,0.947885,1.12879,1.37881,0.892716,1.23513,1.20659
87,38.0355,-87.9899,160.888,506.83,399.53,354.06,152.77,869.92,417.92,148.648,216.966,68.3101,363.09,0.0458087,0,0,87,0.637328,1.12478,1.16767,0.646771,0.64519,1.16263,1.42513,0.899291,0.860695
90,39.4155,-88.0632,240.177,362.82,279.08,250.99,111.83,824.13,376.17,148.063,224.093,76.0191,461.31,0.0745196,0,0,90,0.92098,1.48888,0.524222,1.03661,0.749197,1.03976,0.7872,1.00938,0.657217
91,42.7495,-88.0485,262.314,549.95,377.78,332.54,217.41,774.05,319.41,244.52,320.933,76.4035,224.1,0.0457442,0,0,91,1.01725,0.641493,0.811559,0.53389,1.43659,0.525324,1.1647,1.05129,1.44199
92,42.4772,-88.1076,171.056,442.24,357.1,325.89,116.35,749.25,316.9,231.984,302.926,70.9355,307.01,0.03617,0,0,92,0.660177,1.44311,1.01261,0.855715,1.48739,1.47129,1.45002,1.34922,1.49697
93,39.6444,-88.0777,209.593,463.34,342.03,307.76,155.58,832.77,391.61,157.568,228.544,70.9674,369.43,0.060273,0,0,93,0.796213,0.670936,0.888638,0.828865,0.653642,0.569988,1.20593,1.08953,0.9684
94,38.5007,-87.9434,143.827,339.83,277.97,258.08,81.75,744.66,321.31,199.234,268.793,69.5529,404.83,0.0605411,0,0,94,0.589233,1.45364,1.23322,1.49962,0.953672,1.29103,1.49588,0.853225,1.12562
98,31.6519,-88.0977,130.313,311.31,237.57,217.04,94.27,682.55,262.3,270.98,354.5,83.5146,371.24,0.0841496,0,0,98,0.515355,1.37149,1.28372,1.34976,1.23567,0.723209,0.561925,1.06169,0.516209
99,40.509,-88.0129,172.596,410.29,327.95,301.22,109.07,719.25,298.57,252.928,326.213,73.2784,308.96,0.0522787,0,0,99,0.679416,0.830785,1.04126,1.04566,0.998817,1.12841,1.33357,1.0114,1.32894
