# Drug name and concentration: 3: Terfenadine at 27μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 19
#   Hill Coefficient: 0.6
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 700
#   Hill Coefficient: 0.7
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,40.3223,-87.8406,252.692,449.72,352.89,310.93,138.79,823.95,389.66,173.225,246.024,72.7893,374.23,0.0245203,0,0,1,1.25955,1.13245,1.4096,0.921915,1.27445,0.816716,1.36352,0.703243,1.14164
2,40.4613,-87.921,258.183,429,351.63,315.06,113.94,748.26,314.47,249.638,329.49,79.8405,319.26,0.0351469,0,0,2,1.08776,0.804707,1.37275,1.02163,0.660989,1.15547,1.00881,0.848511,1.21274
4,40.6173,-87.9744,263.917,398.88,312.06,275.93,122.95,709.32,283.63,289.336,381.249,91.8964,310.44,0.041308,0,0,4,0.788933,1.07789,0.94939,1.12363,0.947599,0.779872,0.513344,0.870073,0.755705
5,41.2433,-88.0293,267.174,394.74,310.49,277.95,116.79,746.21,319.22,236.014,321.263,85.2353,351.47,0.0398384,0,0,5,1.22937,1.06536,0.956006,1.34837,0.619484,0.643933,0.648585,0.987129,0.859177
7,40.1365,-87.9412,259.527,467.57,375.44,322.3,145.27,771.9,305.2,263.752,353.354,89.5857,304.33,0.0231429,0,0,7,1.12734,1.21322,1.0768,0.59416,1.19831,1.4073,0.535858,0.835674,0.7209
10,41.9038,-88.0466,268.885,501.47,378.14,327.22,174.25,889.06,441.69,145.928,219.013,73.0745,387.59,0.0341294,0,0,10,0.754755,0.738202,0.883224,0.647699,0.953403,0.66055,1.04908,1.03994,1.00258
11,39.4713,-87.7616,246.356,403.23,333.78,296.38,106.85,876.83,425.81,130.667,202.136,71.4601,473.6,0.0310996,0,0,11,0.80391,1.26541,1.01014,1.10438,1.04747,1.42593,1.21314,0.58209,0.782922
13,39.6323,-87.9211,257.212,376.22,308.04,276.32,99.9,759.98,334.52,211.755,290.615,78.849,383.76,0.0544731,0,0,13,1.38171,0.653576,1.36462,1.00154,1.17733,1.34125,0.951589,0.823403,1.02888
14,40.3956,-88.094,271.225,419.72,323.97,286.62,133.1,819.69,380.72,171.321,250.934,79.6009,399.97,0.0301068,0,0,14,0.502533,1.3019,1.40423,1.1301,1.22046,0.581343,0.725196,1.13212,0.771478
15,41.7496,-88.0727,268.552,462.86,377.6,329.75,133.11,868.07,420.75,161.455,239.379,77.9129,405.21,0.00974821,0,0,15,1.32584,1.4682,1.25093,0.796372,1.11965,1.38473,0.766849,1.20998,0.81169
