# Drug name and concentration: 4: Chlorpromazine at 152μM
# GNa:
#   EC50/IC50: 4536
#   Hill Coefficient: 1.995
# GNaL:
#   EC50/IC50: 4560
#   Hill Coefficient: 0.9379
# Gto:
#   EC50/IC50: 17620000
#   Hill Coefficient: 0.3654
# GKr:
#   EC50/IC50: 975.2
#   Hill Coefficient: 0.8281
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: 9270
#   Hill Coefficient: 0.6878
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 8192
#   Hill Coefficient: 0.8441
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,38.4701,-88.1555,190.247,269.47,219.5,204.43,65.04,653.55,249.51,319.656,401.483,81.8233,384.08,0.0793557,0,0,1,0.698716,1.01134,0.978925,1.35698,1.24229,1.36012,0.700452,1.40027,1.13236
2,46.3244,-88.165,348.372,257.38,205.74,190.11,67.27,794.78,351.19,148.963,222.49,73.5182,537.4,0.090407,0,0,2,1.32916,0.618259,0.680672,1.41947,0.736857,1.35337,0.981452,1.46718,1.27088
4,41.26,-88.168,288.942,322.64,254.38,232.99,89.65,701.33,288.52,259.781,345.481,85.6902,378.69,0.0753007,0,0,4,1.065,1.35064,1.43676,1.02166,0.886777,1.10254,0.63188,1.44478,0.960312
5,37.3473,-88.1471,168.315,319.15,261.77,242.74,76.41,829.92,374.94,130.499,197.315,66.8104,510.77,0.0729786,0,0,5,0.626144,0.84137,1.31771,1.06523,0.756123,1.44616,1.30788,1.36701,0.929413
6,41.5861,-87.8277,317.328,366.82,278.73,244.76,122.06,848.4,398.49,136.377,214.455,78.0699,481.58,0.0841614,0,0,6,1.3041,0.898694,0.95934,0.611217,0.627088,1.43325,0.746303,0.559261,0.548117
9,38.7669,-87.8815,167.913,289.31,229.89,213.92,75.39,647.21,249.64,334.475,412.957,78.478,357.9,0.0663493,0,0,9,0.668078,1.32809,1.00135,1.37704,1.17536,0.881394,1.00129,0.682827,1.2955
10,33.1585,-87.8528,160.995,243.69,190.19,174.1,69.59,778.66,321.86,151.387,226.592,75.1981,534.97,0.0881519,0,0,10,0.640383,1.42469,0.790927,1.38253,0.985211,1.07405,0.770907,0.580445,0.502509
14,38.1914,-87.7515,216.149,264.76,211.1,195.64,69.12,639.75,243.7,346.105,429.884,83.7746,374.99,0.0808456,0,0,14,0.874694,0.94465,0.934225,1.34028,1.07286,1.21154,0.825917,0.531405,1.13432
20,41.0788,-87.7363,232.131,465.2,336.59,301.22,163.98,749.8,325.15,234.032,310.178,76.1366,284.6,0.0469979,0,0,20,0.939491,1.27055,0.596076,0.642641,0.978897,0.557006,1.3213,0.521269,1.16439
22,37.5159,-88.1518,212.609,298.23,233.33,217.25,80.98,675.63,266.92,281.204,361.264,80.0548,377.4,0.0814807,0,0,22,0.78031,0.734109,1.45535,1.22921,1.16057,0.704971,0.828635,1.2789,1.15187
24,43.3752,-87.7528,320.665,265.47,200.8,184.74,80.73,760.02,326.16,174.551,249.995,75.4354,494.55,0.0815194,0,0,24,1.37105,1.49213,0.747794,1.47849,1.2575,0.59586,1.13521,0.501402,1.11469
27,42.5891,-87.9039,312.035,455.46,337.96,302.11,153.35,816.6,388.8,174.804,247.925,73.1107,361.14,0.0593254,0,0,27,1.25585,0.598904,1.31387,0.59768,0.713975,0.774301,1.35939,0.762138,1.27372
28,44.0533,-88.1194,302.298,452.53,335.68,301.83,150.7,863.6,422.23,141.938,212.8,70.8538,411.07,0.0590298,0,0,28,1.13371,0.531424,0.696756,0.633101,0.514713,0.668328,1.21347,1.24446,1.23375
29,39.3974,-88.0574,247.596,325.09,251.52,230.32,94.77,638.33,241.72,362.096,451.943,89.8407,313.24,0.0826065,0,0,29,0.924752,0.572415,1.0307,0.923424,0.675227,0.946268,0.585204,1.04201,0.993049
31,41.077,-88.1646,231.66,383.99,291.3,265.99,118,712.51,291.5,259.2,341.246,82.0378,328.52,0.0606946,0,0,31,0.839924,1.19758,0.540567,0.845105,0.78175,0.638315,0.722195,1.33211,1.01411
33,40.0898,-88.1342,146.198,483.11,368.81,333.71,149.4,734.26,282.92,260.277,335.649,75.3658,251.15,0.0379605,0,0,33,0.549514,1.184,1.09956,0.579307,0.934161,0.728757,1.03587,1.2644,1.07355
37,39.3693,-87.8065,277.37,241.87,187.61,173.05,68.82,640.11,242.93,335.339,425.394,90.0488,398.24,0.0956457,0,0,37,1.12935,0.8875,1.44939,1.45325,0.656871,0.961389,0.635251,0.576288,0.939036
39,38.9113,-87.7944,179.082,436.97,339.1,303.87,133.1,702.11,270.92,294.261,375.273,81.0042,265.14,0.0548759,0,0,39,0.713196,0.904481,0.553781,0.566011,0.814421,1.17739,0.937396,0.567539,0.906994
40,42.6017,-88.0372,301.903,299.95,229.48,212.27,87.68,648.36,254.05,331.506,417.216,85.704,348.41,0.0817751,0,0,40,1.17429,0.704558,1.32276,1.19118,1.40784,0.658034,0.790856,0.971838,1.37901
42,41.277,-88.152,203.699,377.99,297.59,273.41,104.58,646.82,240.28,364.328,446.78,82.4471,268.83,0.0603268,0,0,42,0.742768,0.674059,0.713808,0.799616,1.09805,1.0172,0.779429,1.3845,1.36293
43,45.4135,-88.0187,369.885,321.24,252.47,228.88,92.36,826.65,382.01,141.369,215.26,73.8816,505.41,0.0822653,0,0,43,1.49368,0.957627,1.33864,0.953683,0.721374,1.43402,1.0162,0.985136,1.00321
44,41.7841,-88.0372,247.244,319.89,247.9,229.64,90.25,768.64,337.45,176.408,248.84,72.4241,448.75,0.0637519,0,0,44,0.94732,1.48203,0.738099,1.28761,0.761784,0.58177,1.24291,0.922959,1.24386
48,37.2173,-88.026,158.523,441.23,339.49,306.35,134.88,859.1,406.73,134.536,202.684,68.1406,417.87,0.0537521,0,0,48,0.604991,1.08159,1.13286,0.624544,0.86557,0.820148,1.30413,0.940669,0.778358
49,46.0585,-88.0574,348.726,354.16,277.35,252.89,101.27,785.92,360.08,178.236,253.095,74.8488,431.76,0.0597154,0,0,49,1.37622,1.29656,0.951004,0.907675,1.41294,1.19407,1.14687,1.13365,1.45076
50,41.7709,-87.8209,282.917,299.47,231.69,212.73,86.74,774,339.46,169.905,243.98,74.0663,474.53,0.0825503,0,0,50,1.14857,0.584343,0.689181,1.1136,0.704262,0.960976,1.17044,0.610107,1.08219
51,39.5854,-87.9417,180.922,318.93,252.67,233.24,85.69,678.63,268.39,285.418,364.886,79.4626,359.7,0.0638847,0,0,51,0.70162,1.44755,0.604588,1.11681,1.3096,1.00119,0.903256,0.788425,1.05556
52,39.2425,-88.0576,220.352,362.88,288.98,265.92,96.96,792.29,358.9,166.474,236.811,70.3296,429.41,0.0623232,0,0,52,0.827536,0.97726,1.41491,0.876196,1.31226,1.11097,1.34316,1.09827,1.18682
53,40.6712,-88.1181,239.705,279.31,229.06,213.24,66.07,619.86,232.45,397.037,482.863,85.8224,340.55,0.0724696,0,0,53,0.888628,1.1726,1.08794,1.35344,1.03533,1.49504,0.677542,1.32256,1.43156
55,33.336,-87.9501,147.67,418.49,309.77,277.3,141.19,798.61,352.58,167.725,243.141,75.4079,380.12,0.0725261,0,0,55,0.573091,0.6289,0.967936,0.567626,0.871663,0.680532,0.845302,0.740433,0.527537
56,42.8404,-88.1363,270.161,415.12,306.16,277.85,137.27,858.23,410.23,133.69,203.751,70.0525,443.11,0.062614,0,0,56,0.998344,0.784505,0.566292,0.773854,0.556441,0.502434,1.18801,1.22403,1.09541
57,39.4242,-87.7918,268.189,359.27,268.36,239.59,119.68,672.47,265.68,314.509,408.875,94.3524,313.2,0.0737976,0,0,57,1.08093,1.38975,0.872894,0.749244,0.898956,0.903629,0.52438,0.539359,0.669498
58,40.8486,-88.0285,185.932,358.74,292.43,270.1,88.64,686.49,272.9,288.517,366.758,78.2356,327.75,0.0551351,0,0,58,0.70588,1.16657,0.652004,0.967149,0.668461,1.3904,0.976337,1.0302,1.22257
59,36.0511,-88.1375,209.832,279.24,216.39,199.35,79.89,685.13,268.49,263.342,348.18,84.8318,405.89,0.0917354,0,0,59,0.764302,0.775887,1.11102,1.1809,0.52598,0.839524,0.58191,1.23317,0.742455
60,40.8683,-88.0404,178.385,421.86,337.36,308.04,113.82,710.61,279.9,275.694,352.507,76.8064,288.75,0.0464668,0,0,60,0.674204,1.02816,0.828115,0.696087,0.878329,1.25779,1.06143,1.05864,1.21559
64,44.0088,-88.1061,288.214,277.67,217.31,201.62,76.05,825.17,372.06,126.929,194.209,67.2722,547.5,0.0797851,0,0,64,1.09438,0.794485,0.548548,1.39779,1.38659,0.796828,1.39338,1.16675,1.35082
65,39.9986,-87.9117,263.25,333.73,263.17,239.04,94.69,761.95,332.62,192.56,271.308,78.7384,428.22,0.0791368,0,0,65,1.0338,0.688069,0.836743,0.823337,0.777259,1.42242,0.88078,0.733529,0.868191
67,45.7249,-87.9423,346.065,368.36,280.05,251.79,116.57,760.08,340.32,207.761,288.07,80.2966,391.72,0.072991,0,0,67,1.40488,0.526133,0.676295,0.694201,1.11378,1.2074,0.922511,0.82256,1.19239
68,40.1162,-88.1605,263.367,254.74,204.27,189.08,65.66,744.2,310.39,188.941,267.39,78.441,489.46,0.0924293,0,0,68,0.965582,0.889342,1.06151,1.38957,0.594989,1.31746,0.757656,1.39949,0.923061
71,37.3901,-87.9842,161.309,298.03,235.58,218.87,79.16,643.3,245.11,344.865,424.93,80.0623,345.27,0.0701819,0,0,71,0.627836,1.15888,1.38397,1.27081,1.006,0.830579,0.866953,0.841628,1.16022
