# Drug name and concentration: 4: Terfenadine at 16μM
# GNa:
#   EC50/IC50: 4803
#   Hill Coefficient: 1.015
# GNaL:
#   EC50/IC50: 20060
#   Hill Coefficient: 0.6011
# Gto:
#   EC50/IC50: 240000
#   Hill Coefficient: 0.2559
# GKr:
#   EC50/IC50: 20.4
#   Hill Coefficient: 0.6118
# GKs:
#   EC50/IC50: 399800
#   Hill Coefficient: 0.543
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 700.4
#   Hill Coefficient: 0.6601
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,39.3847,-88.1518,190.349,343.3,277.78,255.56,87.74,657.92,249.74,332.471,415.492,83.0166,314.62,0.064729,0,0,1,0.698716,1.01134,0.978925,1.35698,1.24229,1.36012,0.700452,1.40027,1.13236
2,46.4991,-88.1646,348.811,330.3,261.18,237.92,92.38,824.34,382.4,146.039,219.757,73.709,494.04,0.0760474,0,0,2,1.32916,0.618259,0.680672,1.41947,0.736857,1.35337,0.981452,1.46718,1.27088
4,41.4534,-88.1685,289.305,402.01,312.44,280.86,121.15,740.24,314.01,243.427,328.334,84.8955,338.23,0.059873,0,0,4,1.065,1.35064,1.43676,1.02166,0.886777,1.10254,0.63188,1.44478,0.960312
5,38.0926,-88.1471,168.425,402.03,328.05,299.5,102.53,861.77,408.38,129.707,196.838,67.1242,459.74,0.0574984,0,0,5,0.626144,0.84137,1.31771,1.06523,0.756123,1.44616,1.30788,1.36701,0.929413
6,41.7129,-87.8337,316.777,453.69,343.08,293.74,159.95,895.18,444.73,131.463,209.163,77.6909,441.49,0.0712925,0,0,6,1.3041,0.898694,0.95934,0.611217,0.627088,1.43325,0.746303,0.559261,0.548117
9,39.5252,-87.8691,168.59,371.59,291.47,267.38,104.21,644.42,244.24,362.683,442.896,80.2091,272.83,0.0513456,0,0,9,0.668078,1.32809,1.00135,1.37704,1.17536,0.881394,1.00129,0.682827,1.2955
10,33.8305,-87.8472,160.755,321.51,251.5,227.65,93.86,785.95,337.39,162.199,239.064,76.8573,464.44,0.0740227,0,0,10,0.640383,1.42469,0.790927,1.38253,0.985211,1.07405,0.770907,0.580445,0.502509
14,38.259,-87.7469,216.169,339.56,268.84,245.75,93.81,636.46,241.4,372.921,458.644,85.7176,296.9,0.0673862,0,0,14,0.874694,0.94465,0.934225,1.34028,1.07286,1.21154,0.825917,0.531405,1.13432
20,41.4439,-87.7338,232.275,575.54,400.65,344.87,230.67,810.55,346.9,221.374,296.892,75.5069,235.01,0.0340858,0,0,20,0.939491,1.27055,0.596076,0.642641,0.978897,0.557006,1.3213,0.521269,1.16439
22,38.2737,-88.139,212.994,377.23,290.41,266.64,110.59,689.61,274.84,284.091,364.835,80.7363,312.38,0.0673673,0,0,22,0.78031,0.734109,1.45535,1.22921,1.16057,0.704971,0.828635,1.2789,1.15187
24,43.5587,-87.7357,320.858,346.89,255.85,231.47,115.42,773.31,345.76,182.216,258.996,76.7693,426.42,0.0667003,0,0,24,1.37105,1.49213,0.747794,1.47849,1.2575,0.59586,1.13521,0.501402,1.11469
27,42.7183,-87.9063,312.609,562.46,405.76,348.72,213.74,886.8,439.42,162.371,234.532,72.1496,324.34,0.0470623,0,0,27,1.25585,0.598904,1.31387,0.59768,0.713975,0.774301,1.35939,0.762138,1.27372
28,44.1659,-88.1172,302.626,564.86,407.82,354.41,210.45,932.97,484.37,133.422,203.537,70.1069,368.11,0.0455555,0,0,28,1.13371,0.531424,0.696756,0.633101,0.514713,0.668328,1.21347,1.24446,1.23375
29,39.5346,-88.0552,247.597,406.72,310.8,279.67,127.05,660.61,243.59,356.425,446.543,90.1069,253.89,0.0692555,0,0,29,0.924752,0.572415,1.0307,0.923424,0.675227,0.946268,0.585204,1.04201,0.993049
31,41.7225,-88.1582,231.671,475.75,351.36,313.65,162.1,755.72,308.96,245.242,326.699,81.4458,279.97,0.0458787,0,0,31,0.839924,1.19758,0.540567,0.845105,0.78175,0.638315,0.722195,1.33211,1.01411
33,40.6338,-88.1307,146.34,579.12,430.54,377.84,201.28,791.65,292.07,244.42,319.17,74.7419,212.53,0.0250504,0,0,33,0.549514,1.184,1.09956,0.579307,0.934161,0.728757,1.03587,1.2644,1.07355
37,39.5522,-87.7996,277.518,316.89,243.92,222.01,94.88,642.24,247.44,352.143,444.105,91.9528,325.35,0.0818103,0,0,37,1.12935,0.8875,1.44939,1.45325,0.656871,0.961389,0.635251,0.576288,0.939036
39,39.2926,-87.7994,178.99,525.65,400.95,348.44,177.21,751.22,276.78,281.866,362.45,80.5741,225.57,0.0427427,0,0,39,0.713196,0.904481,0.553781,0.566011,0.814421,1.17739,0.937396,0.567539,0.906994
40,42.7702,-88.0238,302.209,374.65,279.74,254.91,119.74,663.97,261.07,329.891,416.154,86.2533,289.32,0.0690943,0,0,40,1.17429,0.704558,1.32276,1.19118,1.40784,0.658034,0.790856,0.971838,1.37901
