# Drug name and concentration: 5: Mexiletine at 12516μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: 8957
#   Hill Coefficient: 1.4
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,39.3865,-87.8502,252.913,277.56,224.31,207.13,70.43,767.26,333.33,168.343,239.684,71.332,489.7,0.0763793,0,0,1,1.25955,1.13245,1.4096,0.921915,1.27445,0.816716,1.36352,0.703243,1.14164
2,40.1281,-87.9219,257.705,261,217.08,201.66,59.34,693.1,281.6,249.203,327.977,78.7677,432.1,0.0837912,0,0,2,1.08776,0.804707,1.37275,1.02163,0.660989,1.15547,1.00881,0.848511,1.21274
4,40.0138,-87.9843,264.596,217.31,171.01,156.54,60.77,661.04,252.24,289.811,380.255,90.4352,443.73,0.0975752,0,0,4,0.788933,1.07789,0.94939,1.12363,0.947599,0.779872,0.513344,0.870073,0.755705
5,40.5901,-88.0383,267.76,204.03,160.91,148.43,55.6,699.54,274.53,227.573,310.784,83.2038,495.51,0.0994921,0,0,5,1.22937,1.06536,0.956006,1.34837,0.619484,0.643933,0.648585,0.987129,0.859177
7,39.5305,-87.9516,260.052,299.43,243.9,219.95,79.48,668.85,263.94,303.823,395.525,91.6882,369.42,0.0788245,0,0,7,1.12734,1.21322,1.0768,0.59416,1.19831,1.4073,0.535858,0.835674,0.7209
10,41.417,-88.0455,268.69,326.06,254.61,231.77,94.29,796,356.94,159.344,233.03,73.6766,469.94,0.0772359,0,0,10,0.754755,0.738202,0.883224,0.647699,0.953403,0.66055,1.04908,1.03994,1.00258
11,38.259,-87.7857,247.297,221.31,182.73,167.96,53.35,823.85,356.39,119.021,187.149,68.121,602.54,0.0888861,0,0,11,0.80391,1.26541,1.01014,1.10438,1.04747,1.42593,1.21314,0.58209,0.782922
13,39.3963,-87.9229,257.001,239.05,198.32,183.63,55.42,718.61,294.04,211.774,289.556,77.7744,479.56,0.0930369,0,0,13,1.38171,0.653576,1.36462,1.00154,1.17733,1.34125,0.951589,0.823403,1.02888
14,39.8059,-88.0964,272.064,229.38,178.93,164.12,65.26,747.47,308.63,178.466,257.573,79.0973,518.09,0.0946195,0,0,14,0.502533,1.3019,1.40423,1.1301,1.22046,0.581343,0.725196,1.13212,0.771478
15,40.3372,-88.0846,269.017,278.61,230.03,209.97,68.64,762.84,328,180.592,259.447,78.8435,484.23,0.0785182,0,0,15,1.32584,1.4682,1.25093,0.796372,1.11965,1.38473,0.766849,1.20998,0.81169
18,40.7472,-88.1891,281.661,316.93,242.4,216.22,100.71,821.25,370.56,141.29,219.79,78.4885,504.32,0.081825,0,0,18,1.35251,1.34048,1.09712,0.598936,1.18766,0.681243,0.619567,1.44938,0.564899
20,42.3857,-87.9942,262.521,266.19,215.04,199.09,67.1,806.49,358.99,136.26,203.704,67.436,540.3,0.0721214,0,0,20,1.42391,1.38016,0.823026,1.08034,1.30752,0.730013,1.49315,0.964038,1.29249
21,37.9889,-87.9245,259.57,220.03,169.43,153.76,66.27,803.72,340.27,130.298,204.5,74.1931,583.69,0.0981949,0,0,21,1.45445,1.16984,1.2283,1.04432,1.08621,0.666436,0.793681,0.712182,0.571739
22,42.4108,-87.9807,260.935,266.26,223.03,206.34,59.92,631.51,241.66,365.942,451.709,85.7617,365.25,0.0810951,0,0,22,0.761214,0.601802,0.717928,0.911148,0.781716,1.49751,0.750619,0.973089,1.37017
25,41.8402,-88.1391,275.3,284.55,229.6,212.47,72.08,687.24,278.74,264.216,345.382,81.1598,402.69,0.0793031,0,0,25,0.899575,0.981637,1.3318,0.919708,1.0115,0.733913,0.838232,1.40694,1.25977
27,42.0553,-88.0747,269.768,313.07,254.14,231.46,81.61,776.66,342.81,176.067,252.27,76.1922,463.59,0.0716382,0,0,27,0.815516,1.14146,0.795586,0.669027,1.07818,1.11744,0.921793,1.17398,0.995901
28,42.1269,-88.0971,270.241,310.08,254.68,231.14,78.94,822.77,374.61,142.274,215.775,73.4914,512.69,0.0753888,0,0,28,0.854672,1.02472,0.648055,0.639608,0.927037,1.39642,0.93724,1.21773,0.88723
