# Drug name and concentration: 6: Bepridil at 198μM
# GNa:
#   EC50/IC50: 2929
#   Hill Coefficient: 1.164
# GNaL:
#   EC50/IC50: 1814
#   Hill Coefficient: 1.416
# Gto:
#   EC50/IC50: 8594
#   Hill Coefficient: 3.541
# GKr:
#   EC50/IC50: 51.34
#   Hill Coefficient: 0.9293
# GKs:
#   EC50/IC50: 28630
#   Hill Coefficient: 0.7061
# GK1:
#   EC50/IC50: 10000000000
#   Hill Coefficient: 0.344
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 2808
#   Hill Coefficient: 0.6486
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,40.0386,-88.1562,183.788,497.49,388.37,343.12,154.37,711.14,247.2,326.967,409.942,82.9653,213.65,0.0414332,0,0,1,0.698716,1.01134,0.978925,1.35698,1.24229,1.36012,0.700452,1.40027,1.13236
2,45.8555,-88.1716,339.5,506.74,384.36,334,172.74,916.56,471.05,137.853,210.804,72.9408,409.82,0.0508238,0,0,2,1.32916,0.618259,0.680672,1.41947,0.736857,1.35337,0.981452,1.46718,1.27088
4,40.5805,-88.1778,280.546,584.81,436.02,368.66,216.15,867.09,357.89,213.521,295.67,82.1352,282.28,0.0365286,0,0,4,1.065,1.35064,1.43676,1.02166,0.886777,1.10254,0.63188,1.44478,0.960312
5,38.2371,-88.1539,162.062,594.95,475.79,407.58,187.37,968.79,495.55,123.582,190.217,66.6271,373.84,0.0321535,0,0,5,0.626144,0.84137,1.31771,1.06523,0.756123,1.44616,1.30788,1.36701,0.929413
6,40.9318,-87.8475,308.007,648.39,482.68,382.6,265.79,1034.18,573.8,120.217,195.967,75.7382,385.79,0.0502216,0,0,6,1.3041,0.898694,0.95934,0.611217,0.627088,1.43325,0.746303,0.559261,0.548117
9,40.0564,-87.8656,162.44,559.65,417.24,363.86,195.79,697.33,236.93,377.985,459.005,81.0107,137.68,0.0264955,0,0,9,0.668078,1.32809,1.00135,1.37704,1.17536,0.881394,1.00129,0.682827,1.2955
10,34.0897,-87.8513,154.675,500.51,384.34,333.18,167.33,844.76,384.34,165.308,242.767,77.449,344.25,0.0479724,0,0,10,0.640383,1.42469,0.790927,1.38253,0.985211,1.07405,0.770907,0.580445,0.502509
14,38.5872,-87.7525,209.143,509.54,388.38,338.17,171.37,685.04,235.51,385.135,471.687,86.5402,175.5,0.0440855,0,0,14,0.874694,0.94465,0.934225,1.34028,1.07286,1.21154,0.825917,0.531405,1.13432
20,41.4731,-87.7805,223.303,1064.21,589.23,392.01,672.2,1189.09,389.31,176.242,247.992,70.1801,124.88,0.0130389,0,0,20,0.939491,1.27055,0.596076,0.642641,0.978897,0.557006,1.3213,0.521269,1.16439
22,38.6981,-88.1344,205.712,553.63,402.32,351.27,202.36,763.78,281.72,269.079,349.055,79.9652,210.15,0.0450054,0,0,22,0.78031,0.734109,1.45535,1.22921,1.16057,0.704971,0.828635,1.2789,1.15187
