# Drug name and concentration: 6: Diltiazem at 732μM
# GNa:
#   EC50/IC50: 110900
#   Hill Coefficient: 0.7022
# GNaL:
#   EC50/IC50: 21870
#   Hill Coefficient: 0.6779
# Gto:
#   EC50/IC50: 2822000000
#   Hill Coefficient: 0.1696
# GKr:
#   EC50/IC50: 13140
#   Hill Coefficient: 0.9119
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 112.1
#   Hill Coefficient: 0.7142
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,30.7595,-88.2177,189.074,200.36,153.55,137.62,62.74,897.25,374.32,70.9532,136.618,65.6566,696.89,0.102935,0,0,1,0.698716,1.01134,0.978925,1.35698,1.24229,1.36012,0.700452,1.40027,1.13236
2,44.2712,-88.2328,347.908,159.23,113.18,98.97,60.26,968.88,389.01,43.451,101.118,57.6625,809.65,0.121423,0,1,2,1.32916,0.618259,0.680672,1.41947,0.736857,1.35337,0.981452,1.46718,1.27088
4,38.7743,-88.2247,286.94,240.34,175.43,152.61,87.73,920.17,396.69,68.4653,135.58,67.1066,679.83,0.10249,0,0,4,1.065,1.35064,1.43676,1.02166,0.886777,1.10254,0.63188,1.44478,0.960312
5,27.4172,-88.2094,167.03,265.5,212.56,192.44,73.06,1019.79,443.22,43.6155,98.6702,55.0514,754.29,0.09568,0,0,5,0.626144,0.84137,1.31771,1.06523,0.756123,1.44616,1.30788,1.36701,0.929413
6,40.2353,-87.8922,313.564,283.27,202.1,168.65,114.62,1003.33,440.42,47.6382,110.971,63.3284,720.06,0.101874,0,0,6,1.3041,0.898694,0.95934,0.611217,0.627088,1.43325,0.746303,0.559261,0.548117
9,28.4752,-87.9523,166.936,221.71,168.44,152.35,69.36,918.16,386.96,66.1943,127.983,61.7831,696.45,0.0884973,0,0,9,0.668078,1.32809,1.00135,1.37704,1.17536,0.881394,1.00129,0.682827,1.2955
10,26.1857,-87.9119,158.589,233.45,175.33,154.06,79.39,979.84,411.67,46.351,108.619,62.2643,746.39,0.0916154,0,0,10,0.640383,1.42469,0.790927,1.38253,0.985211,1.07405,0.770907,0.580445,0.502509
14,32.338,-87.8448,214.474,196.65,145.63,129.15,67.5,904.09,373.31,67.2307,131.468,64.2319,707.44,0.0984022,0,0,14,0.874694,0.94465,0.934225,1.34028,1.07286,1.21154,0.825917,0.531405,1.13432
20,34.4096,-87.8373,230.323,363.2,261.95,231.94,131.26,1018.21,469.27,53.7471,111.913,58.164,655.01,0.0754329,0,0,20,0.939491,1.27055,0.596076,0.642641,0.978897,0.557006,1.3213,0.521269,1.16439
22,32.0097,-88.1925,211.902,227.73,163.46,145.37,82.36,919.43,386.51,64.5497,127.449,62.8931,691.7,0.105505,0,0,22,0.78031,0.734109,1.45535,1.22921,1.16057,0.704971,0.828635,1.2789,1.15187
