# Drug name and concentration: 6: Mexiletine at 15019.2μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: 8957
#   Hill Coefficient: 1.4
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,39.3276,-87.8517,253.055,273.8,221.03,204.21,69.59,767.26,332.71,167.264,238.478,71.205,493.46,0.0789438,0,0,1,1.25955,1.13245,1.4096,0.921915,1.27445,0.816716,1.36352,0.703243,1.14164
2,40.0893,-87.9232,257.802,258.21,214.59,199.4,58.81,693.23,281.36,248.056,326.741,78.6775,435.02,0.0856879,0,0,2,1.08776,0.804707,1.37275,1.02163,0.660989,1.15547,1.00881,0.848511,1.21274
4,39.9606,-87.9858,264.743,213.37,167.53,153.4,59.97,661.7,252.19,287.626,377.87,90.2361,448.33,0.0999188,0,0,4,0.788933,1.07789,0.94939,1.12363,0.947599,0.779872,0.513344,0.870073,0.755705
5,40.544,-88.0393,267.849,200.46,157.73,145.52,54.94,700.26,274.47,225.622,308.648,83.0185,499.8,0.101726,0,0,5,1.22937,1.06536,0.956006,1.34837,0.619484,0.643933,0.648585,0.987129,0.859177
7,39.4701,-87.9538,260.257,293.83,239.02,215.72,78.11,667.71,263.13,303.198,394.832,91.6206,373.88,0.0821372,0,0,7,1.12734,1.21322,1.0768,0.59416,1.19831,1.4073,0.535858,0.835674,0.7209
10,41.3689,-88.046,268.796,322.71,251.76,229.3,93.41,795.1,355.84,159.055,232.693,73.6284,472.39,0.0793134,0,0,10,0.754755,0.738202,0.883224,0.647699,0.953403,0.66055,1.04908,1.03994,1.00258
11,38.1865,-87.7888,247.455,216.86,178.73,164.33,52.53,823.01,354.6,118.304,186.234,67.9239,606.15,0.0914557,0,0,11,0.80391,1.26541,1.01014,1.10438,1.04747,1.42593,1.21314,0.58209,0.782922
13,39.3646,-87.9241,257.094,236.82,196.32,181.83,54.99,718.73,293.8,210.941,288.642,77.6935,481.91,0.0945004,0,0,13,1.38171,0.653576,1.36462,1.00154,1.17733,1.34125,0.951589,0.823403,1.02888
14,39.7501,-88.097,272.256,224.57,174.65,160.24,64.33,747.16,307.63,177.354,256.298,78.9342,522.59,0.097708,0,0,14,0.502533,1.3019,1.40423,1.1301,1.22046,0.581343,0.725196,1.13212,0.771478
15,40.2643,-88.0869,269.276,272.57,224.67,205.2,67.37,761.08,325.96,180.28,259.066,78.7751,488.51,0.0825764,0,0,15,1.32584,1.4682,1.25093,0.796372,1.11965,1.38473,0.766849,1.20998,0.81169
18,40.6882,-88.1898,281.91,309.54,235.99,210.61,98.93,817.87,367.04,141.54,220.017,78.4654,508.33,0.0860897,0,0,18,1.35251,1.34048,1.09712,0.598936,1.18766,0.681243,0.619567,1.44938,0.564899
20,42.2838,-87.9954,262.646,261.97,211.37,195.81,66.16,805.94,357.78,135.508,202.82,67.3033,543.97,0.0752939,0,0,20,1.42391,1.38016,0.823026,1.08034,1.30752,0.730013,1.49315,0.964038,1.29249
21,37.941,-87.9263,259.764,215.13,165.08,149.85,65.28,802.94,338.53,129.476,203.463,73.9791,587.81,0.100738,0,0,21,1.45445,1.16984,1.2283,1.04432,1.08621,0.666436,0.793681,0.712182,0.571739
22,42.3812,-87.9817,260.971,264.11,221.13,204.63,59.48,631.69,241.73,364.798,450.499,85.6958,367.58,0.0825462,0,0,22,0.761214,0.601802,0.717928,0.911148,0.781716,1.49751,0.750619,0.973089,1.37017
25,41.7926,-88.1396,275.416,281.04,226.52,209.7,71.34,686.72,278.11,263.632,344.743,81.1043,405.68,0.081938,0,0,25,0.899575,0.981637,1.3318,0.919708,1.0115,0.733913,0.838232,1.40694,1.25977
27,41.9774,-88.0762,269.88,308.28,250.02,227.87,80.41,775.21,341.18,175.769,251.92,76.1398,466.93,0.0748535,0,0,27,0.815516,1.14146,0.795586,0.669027,1.07818,1.11744,0.921793,1.17398,0.995901
28,42.0468,-88.0988,270.332,305.28,250.5,227.48,77.8,821.04,372.65,142.104,215.553,73.4388,515.76,0.0783965,0,0,28,0.854672,1.02472,0.648055,0.639608,0.927037,1.39642,0.93724,1.21773,0.88723
30,40.3046,-87.7024,243.719,304.35,245.97,224.67,79.68,714.73,299.26,233.525,311.729,78.1947,410.38,0.068459,0,0,30,1.05917,1.39563,0.733522,0.715208,1.24343,1.04644,1.10792,0.517388,1.05005
31,41.1886,-87.861,253.885,231.07,186.65,173.14,57.93,768.24,326.03,158.726,229.932,71.1974,537.17,0.0886429,0,0,31,1.12096,0.822285,0.671342,1.21236,0.610485,0.805366,1.24918,0.693148,1.13449
