# Drug name and concentration: 6: Mexiletine at 24774μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: 8957
#   Hill Coefficient: 1.409
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 29070
#   Hill Coefficient: 0.8928
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 38240
#   Hill Coefficient: 1.031
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,35.3891,-88.1722,192.565,294.38,234.43,215.13,79.25,737.31,304.56,201.823,280.703,78.8701,442.93,0.0914669,0,0,1,0.698716,1.01134,0.978925,1.35698,1.24229,1.36012,0.700452,1.40027,1.13236
2,45.4239,-88.1892,352.233,288.32,223.13,201.63,86.69,882.06,406.64,101.659,169.956,68.2892,593.74,0.0994463,0,0,2,1.32916,0.618259,0.680672,1.41947,0.736857,1.35337,0.981452,1.46718,1.27088
4,40.0362,-88.1884,292.592,334.06,251.99,225.11,108.95,805.83,362.12,154.066,233.526,79.4472,471.77,0.0954657,0,0,4,1.065,1.35064,1.43676,1.02166,0.886777,1.10254,0.63188,1.44478,0.960312
5,32.817,-88.1722,170.47,353.34,287.32,262.8,90.54,927.17,439.7,87.9243,150.808,62.878,573.83,0.0843652,0,0,5,0.626144,0.84137,1.31771,1.06523,0.756123,1.44616,1.30788,1.36701,0.929413
6,41.0707,-87.8642,320.165,388.75,287.06,244.51,144.24,924.23,444.01,96.0163,168.333,72.3085,535.48,0.0946418,0,0,6,1.3041,0.898694,0.95934,0.611217,0.627088,1.43325,0.746303,0.559261,0.548117
9,35.6273,-87.8911,170.189,319.79,247.18,227.06,92.73,731.29,303.16,209.889,285.66,75.7621,411.5,0.0793805,0,0,9,0.668078,1.32809,1.00135,1.37704,1.17536,0.881394,1.00129,0.682827,1.2955
10,28.8421,-87.8848,162.914,273.62,207.62,186.43,87.19,863.71,376.6,99.628,170.071,70.4361,590.09,0.096889,0,0,10,0.640383,1.42469,0.790927,1.38253,0.985211,1.07405,0.770907,0.580445,0.502509
14,35.8828,-87.7787,218.157,295.09,229.56,209.32,85.77,728.51,300.7,211.719,291.922,80.1934,433.42,0.0882298,0,0,14,0.874694,0.94465,0.934225,1.34028,1.07286,1.21154,0.825917,0.531405,1.13432
20,38.3333,-87.7699,234.881,492.45,343.6,299.75,192.7,896.76,440.45,120.736,189.692,68.946,404.31,0.0648493,0,0,20,0.939491,1.27055,0.596076,0.642641,0.978897,0.557006,1.3213,0.521269,1.16439
22,34.9804,-88.1502,215.281,330.33,248.7,227.22,103.11,779.07,337.54,167.286,242.947,75.6507,448.74,0.0908761,0,0,22,0.78031,0.734109,1.45535,1.22921,1.16057,0.704971,0.828635,1.2789,1.15187
