# Drug name and concentration: 6: Quinidine at 19422μM
# GNa:
#   EC50/IC50: 12330
#   Hill Coefficient: 1.494
# GNaL:
#   EC50/IC50: 9417
#   Hill Coefficient: 1.337
# Gto:
#   EC50/IC50: 3487
#   Hill Coefficient: 1.282
# GKr:
#   EC50/IC50: 986.3
#   Hill Coefficient: 0.8404
# GKs:
#   EC50/IC50: 4899
#   Hill Coefficient: 1.363
# GK1:
#   EC50/IC50: 39590000
#   Hill Coefficient: 0.3468
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 51590
#   Hill Coefficient: 0.5892
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,39.739,-88.192,79.9881,1035.9,796.69,547.54,488.36,1111.7,230.85,345.38,421.311,75.9104,75.8,-0.00995658,0,0,1,0.698716,1.01134,0.978925,1.35698,1.24229,1.36012,0.700452,1.40027,1.13236
2,41.7469,-14.7532,116.675,2000,319.23,264.92,1735.08,652.06,1049.77,130.833,194.855,124.938,-1347.94,-0.142829,1,0,2,1.32916,0.618259,0.680672,1.41947,0.736857,1.35337,0.981452,1.46718,1.27088
4,24.5819,-88.2244,79.9929,894.81,728.59,470.68,424.13,217.22,188.34,5.45222,145.195,70.5848,-677.59,0.0664597,0,0,4,1.065,1.35064,1.43676,1.02166,0.886777,1.10254,0.63188,1.44478,0.960312
5,33.1206,-12.3898,79.9958,2000,121.74,85.69,1914.31,1331.08,824.4,2.84524,108.155,103.485,-668.92,-0.0818916,1,0,5,0.626144,0.84137,1.31771,1.06523,0.756123,1.44616,1.30788,1.36701,0.929413
6,32.8071,-87.8916,103.321,1281.1,1082.67,637.58,643.52,1507.15,472.13,124.299,196.111,71.8044,226.05,0.00182051,0,0,6,1.3041,0.898694,0.95934,0.611217,0.627088,1.43325,0.746303,0.559261,0.548117
9,26.8929,-21.4802,79.9816,1699.46,798.97,716.72,982.74,2000,840.96,21.8164,145.97,125.426,300.54,-0.0741589,1,0,9,0.668078,1.32809,1.00135,1.37704,1.17536,0.881394,1.00129,0.682827,1.2955
10,29.6612,-87.8853,80.0424,848.25,668.83,532.59,315.66,1031.9,351.65,179.031,253.99,74.9431,183.65,0.0129794,0,0,10,0.640383,1.42469,0.790927,1.38253,0.985211,1.07405,0.770907,0.580445,0.502509
14,22.8969,-87.8268,79.998,771.58,626.5,440.14,331.44,258.37,214.41,14.4166,160.63,71.631,-513.21,0.0638464,0,0,14,0.874694,0.94465,0.934225,1.34028,1.07286,1.21154,0.825917,0.531405,1.13432
20,29.5511,-15.1338,79.9974,2000,113.79,82.59,1917.41,2000,1221.62,4.1654,98.5173,94.3037,0,-0.084864,1,0,20,0.939491,1.27055,0.596076,0.642641,0.978897,0.557006,1.3213,0.521269,1.16439
22,27.8323,-18.8415,80.0044,1734.41,153.55,115.91,1618.5,1392.39,820.43,9.62695,140.324,127.397,-342.02,-0.0597652,1,0,22,0.78031,0.734109,1.45535,1.22921,1.16057,0.704971,0.828635,1.2789,1.15187
24,28.4847,-87.8088,79.9824,834.74,585.66,337.32,497.42,158.29,148.24,1.08386,124.73,64.4053,-676.45,0.0699847,0,0,24,1.37105,1.49213,0.747794,1.47849,1.2575,0.59586,1.13521,0.501402,1.11469
27,30.3811,-13.877,79.9975,2000,111.73,81.14,1918.86,2000,1253.93,2.9361,93.8002,90.8179,0,-0.0865287,1,0,27,1.25585,0.598904,1.31387,0.59768,0.713975,0.774301,1.35939,0.762138,1.27372
28,30.3532,-13.755,79.9976,2000,117.82,85.95,1914.05,2000,1300.62,2.77584,94.3706,91.5501,0,-0.0815211,1,0,28,1.13371,0.531424,0.696756,0.633101,0.514713,0.668328,1.21347,1.24446,1.23375
29,24.2833,-22.2342,80.009,1401.21,191.09,150.34,1250.87,1707.94,1001.88,18.0252,152.333,134.346,306.73,-0.0671754,1,0,29,0.924752,0.572415,1.0307,0.923424,0.675227,0.946268,0.585204,1.04201,0.993049
31,27.5786,-18.876,79.9977,1807.38,148.92,111.75,1695.63,2000,871.84,8.59998,126.307,117.621,192.62,-0.0663996,1,0,31,0.839924,1.19758,0.540567,0.845105,0.78175,0.638315,0.722195,1.33211,1.01411
33,29.2677,-15.4899,79.9966,2000,127.61,93.6,1906.4,2000,840.24,4.38827,102.289,97.8499,0,-0.0759786,1,0,33,0.549514,1.184,1.09956,0.579307,0.934161,0.728757,1.03587,1.2644,1.07355
37,36.925,-87.8587,85.0877,924.91,679.6,499.8,425.11,963.22,221.02,403.206,485.388,82.1568,38.31,0.00971828,0,0,37,1.12935,0.8875,1.44939,1.45325,0.656871,0.961389,0.635251,0.576288,0.939036
39,28.05,-17.6328,80.0001,1946.73,139.91,102.71,1844.02,2000,912.03,6.68491,113.482,106.727,53.27,-0.0769719,1,0,39,0.713196,0.904481,0.553781,0.566011,0.814421,1.17739,0.937396,0.567539,0.906994
40,25.7664,-20.4803,79.9931,1585.98,146.91,112.77,1473.21,1921.94,1261.75,17.5827,143.405,125.752,335.96,-0.0661799,1,0,40,1.17429,0.704558,1.32276,1.19118,1.40784,0.658034,0.790856,0.971838,1.37901
42,27.9394,-17.2807,79.9973,2000,135.54,101.61,1898.39,2000,776.79,7.65337,123.026,115.315,0,-0.066582,1,0,42,0.742768,0.674059,0.713808,0.799616,1.09805,1.0172,0.779429,1.3845,1.36293
43,26.795,-20.2783,80.0087,1341.19,885.68,126.77,1214.42,2000,987.2,16.1636,126.29,110.874,658.81,-0.0779686,1,0,43,1.49368,0.957627,1.33864,0.953683,0.721374,1.43402,1.0162,0.985136,1.00321
44,28.4858,-19.1875,79.9876,1125.05,136.5,100.88,1024.17,1966.35,831.42,13.2205,117.842,104.548,841.3,-0.0768703,1,0,44,0.94732,1.48203,0.738099,1.28761,0.761784,0.58177,1.24291,0.922959,1.24386
48,28.9926,-17.6161,80.0031,1339.92,145.14,104.95,1234.97,2000,994.52,7.80916,99.0815,91.2212,660.08,-0.0806183,1,0,48,0.604991,1.08159,1.13286,0.624544,0.86557,0.820148,1.30413,0.940669,0.778358
49,28.9126,-17.3017,80.0016,1483.24,128.29,94.78,1388.46,2000,752.48,8.59518,113.092,104.442,516.76,-0.0734071,1,0,49,1.37622,1.29656,0.951004,0.907675,1.41294,1.19407,1.14687,1.13365,1.45076
50,29.3204,-20.0374,79.9983,1239.02,139.48,101.89,1137.13,1539.13,902.34,13.4934,122.963,109.381,300.11,-0.078675,1,0,50,1.14857,0.584343,0.689181,1.1136,0.704262,0.960976,1.17044,0.610107,1.08219
51,38.722,-16.3072,80.0728,1720.01,341.54,284.82,1435.19,639.82,319.07,192.246,258.341,129.556,-1080.19,-0.154632,1,0,51,0.70162,1.44755,0.604588,1.11681,1.3096,1.00119,0.903256,0.788425,1.05556
52,29.02,-17.7697,79.9934,1101.26,132.5,96.96,1004.3,1994.5,822.25,9.6883,106.538,96.7958,893.24,-0.0775352,1,0,52,0.827536,0.97726,1.41491,0.876196,1.31226,1.11097,1.34316,1.09827,1.18682
53,41.8931,-19.8009,80.0389,2000,352.4,275.73,1724.27,671.59,208.87,432.683,503.674,158.383,-1328.41,-0.135545,1,0,53,0.888628,1.1726,1.08794,1.35344,1.03533,1.49504,0.677542,1.32256,1.43156
55,29.4029,-13.5667,80.095,1154.31,341.55,290.48,863.83,656.93,2000,100.36,164.721,114.144,-497.38,-0.14645,1,0,55,0.573091,0.6289,0.967936,0.567626,0.871663,0.680532,0.845302,0.740433,0.527537
56,29.6044,-15.3639,79.9967,2000,126.84,92.62,1907.38,2000,1268.97,4.49465,98.3583,93.8171,0,-0.077269,1,0,56,0.998344,0.784505,0.566292,0.773854,0.556441,0.502434,1.18801,1.22403,1.09541
57,34.414,-87.8589,80.2606,1203.88,910.4,558.76,645.12,1244.05,236.73,315.664,396.622,80.9251,40.17,-0.00231172,0,0,57,1.08093,1.38975,0.872894,0.749244,0.898956,0.903629,0.52438,0.539359,0.669498
58,28.4672,-18.6429,79.9892,1659.46,140.25,103.97,1555.49,1982.52,828.27,11.0496,121.864,110.728,323.06,-0.0741411,1,0,58,0.70588,1.16657,0.652004,0.967149,0.668461,1.3904,0.976337,1.0302,1.22257
59,35.4419,-88.1592,80.1299,1042.99,781.9,556.63,486.36,1100.54,247.75,287.326,364.955,77.6092,57.55,0.00294694,0,0,59,0.764302,0.775887,1.11102,1.1809,0.52598,0.839524,0.58191,1.23317,0.742455
60,28.9905,-16.2116,79.9966,2000,129.63,95.26,1904.74,2000,808.45,5.99149,107.366,101.319,0,-0.0761297,1,0,60,0.674204,1.02816,0.828115,0.696087,0.878329,1.25779,1.06143,1.05864,1.21559
64,28.28,-20.6756,79.9762,1129.26,791.99,723.67,405.59,1962.55,848.31,18.5145,123.211,104.637,833.29,-0.0773764,1,0,64,1.09438,0.794485,0.548548,1.39779,1.38659,0.796828,1.39338,1.16675,1.35082
65,28.406,-17.3456,79.9969,2000,147.56,108.86,1891.14,1522.1,908.9,6.12284,128.55,120.094,-477.9,-0.0701679,1,0,65,1.0338,0.688069,0.836743,0.823337,0.777259,1.42242,0.88078,0.733529,0.868191
67,28.15,-17.3806,79.9949,1696.37,133.17,98.68,1597.69,2000,811.22,7.58106,117.403,109.758,303.63,-0.0732523,1,0,67,1.40488,0.526133,0.676295,0.694201,1.11378,1.2074,0.922511,0.82256,1.19239
68,38.2255,-88.1977,80.1756,986.09,777.86,548.36,437.73,1148.45,286.7,219.778,292.906,73.1112,162.36,0.000790147,0,0,68,0.965582,0.889342,1.06151,1.38957,0.594989,1.31746,0.757656,1.39949,0.923061
71,27.6267,-21.5195,79.9871,1780.62,822.1,111.24,1669.38,1520,874.12,18.4549,148.908,130.843,-260.62,-0.0684666,1,0,71,0.627836,1.15888,1.38397,1.27081,1.006,0.830579,0.866953,0.841628,1.16022
72,35.7144,-12.8449,79.9232,1100.5,331.52,279.87,820.63,658.34,2000,108.571,171.158,116.766,-442.16,-0.166487,1,0,72,0.503281,0.922562,1.47813,0.973099,1.26185,1.34755,1.068,0.966409,0.947625
74,27.9316,-17.6583,79.999,1550.28,130.35,97.39,1452.89,2000,758.14,8.55943,121.669,113.049,449.72,-0.0700703,1,0,74,0.90717,0.750623,1.47323,0.866747,1.44579,0.806922,0.921863,0.935355,1.39523
75,26.7276,-20.8167,79.9776,1612.98,767.93,704.44,908.54,1962.47,1323.84,21.3857,134.901,113.53,349.49,-0.0729721,1,0,75,1.28279,1.21155,0.931139,1.32387,1.48167,1.15726,1.10615,1.41389,1.44653
79,30.2896,-14.789,79.9985,2000,121.29,87.83,1912.17,2000,1230.45,4.3257,93.9885,89.6181,0,-0.0820185,1,0,79,1.06072,0.571216,1.00719,0.709194,0.605073,1.47904,1.41872,1.13247,1.25721
80,29.7403,-15.465,79.9984,2000,125.12,91.53,1908.47,2000,1199.48,5.09564,101.188,96.0459,0,-0.0758839,1,0,80,0.86005,1.10285,0.510134,0.705382,0.963019,1.24648,1.1822,1.45642,1.30036
82,35.6762,-87.9466,84.5565,847.92,626.24,481.62,366.3,915.75,230.24,358.127,441.758,83.6086,67.83,0.0173066,0,0,82,1.10601,1.31209,0.825787,1.36949,1.36911,0.98818,0.546234,0.692542,0.75495
83,29.0528,-17.0937,79.9939,1626.92,130.55,95.38,1531.54,2000,831.25,7.51931,105.989,98.4114,373.08,-0.0788604,1,0,83,1.15244,0.74375,1.11252,0.961454,0.562099,0.688221,1.23878,0.792966,1.12145
84,30.1012,-15.1721,79.9958,2000,124.69,90.2,1909.8,2000,1300.77,4.4016,90.7803,86.3372,0,-0.0795893,1,0,84,0.582624,0.51337,1.2606,0.58474,0.949424,0.85385,1.43247,1.37475,1.00793
85,28.7571,-20.0669,79.9862,1695.61,142.19,105.87,1589.74,1965.23,840.43,14.1997,131.953,117.624,269.62,-0.0718725,1,0,85,0.819538,1.41684,0.557905,0.947885,1.12879,1.37881,0.892716,1.23513,1.20659
87,30.0438,-16.8535,80.0004,1281.08,136.49,97.8,1183.28,2000,939.9,6.50811,95.7775,89.2146,718.92,-0.0836188,1,0,87,0.637328,1.12478,1.16767,0.646771,0.64519,1.16263,1.42513,0.899291,0.860695
90,35.0441,-88.0974,80.1573,1138.52,905.67,594.05,544.47,1312.47,374.04,156.095,227.053,70.9413,173.95,-0.00472965,0,0,90,0.92098,1.48888,0.524222,1.03661,0.749197,1.03976,0.7872,1.00938,0.657217
91,30.0871,-14.2689,79.9973,2000,111.45,81.65,1918.35,2000,1173.87,3.30826,100.325,96.9701,0,-0.0792431,1,0,91,1.01725,0.641493,0.811559,0.53389,1.43659,0.525324,1.1647,1.05129,1.44199
92,30.3971,-16.4494,79.9992,1410.92,120.64,87.59,1323.33,2000,1116.87,6.9409,101.89,94.9014,589.08,-0.0769759,1,0,92,0.660177,1.44311,1.01261,0.855715,1.48739,1.47129,1.45002,1.34922,1.49697
93,29.5139,-17.0037,79.9947,1715.88,134.72,98.12,1617.76,2000,875.96,6.59938,102.312,95.6555,284.12,-0.0767088,1,0,93,0.796213,0.670936,0.888638,0.828865,0.653642,0.569988,1.20593,1.08953,0.9684
94,38.6896,-11.6484,79.9651,1478.35,328.82,273.49,1204.86,701.54,972.04,112.245,171.642,110.208,-776.81,-0.182141,1,0,94,0.589233,1.45364,1.23322,1.49962,0.953672,1.29103,1.49588,0.853225,1.12562
98,28.789,-88.1056,80.056,884.86,661.59,519.24,365.62,1072.89,401.22,167.945,246.883,78.9207,188.03,0.014392,0,0,98,0.515355,1.37149,1.28372,1.34976,1.23567,0.723209,0.561925,1.06169,0.516209
99,28.9482,-17.575,79.9997,1503.76,131.83,96.7,1407.06,1942.69,792.1,9.68632,108.499,98.7637,438.93,-0.0771051,1,0,99,0.679416,0.830785,1.04126,1.04566,0.998817,1.12841,1.33357,1.0114,1.32894
102,34.0543,-87.9659,103.25,833.52,636.65,491.49,342.03,977.88,264.66,267.554,350.703,83.1248,144.36,0.0224003,0,0,102,1.27052,1.37834,0.871271,1.27755,0.614773,1.14797,0.506448,0.702154,0.602509
104,29.8309,-16.0843,79.9994,1480.23,123.02,90.01,1390.22,2000,1147.89,6.06496,102.336,96.2259,519.77,-0.0745216,1,0,104,1.12627,1.0949,1.04641,0.853186,1.24777,0.836153,1.27744,1.43363,1.37463
105,29.2022,-16.4434,79.9987,1555.5,130.83,96.38,1459.12,2000,782.12,6.77841,107.323,100.495,444.5,-0.0736818,1,0,105,0.991271,0.834075,0.624196,1.03307,0.537666,0.777966,1.1304,1.35679,1.34201
106,26.3535,-19.53,80.0004,1533.63,138.71,105.6,1428.03,1842.85,750.67,12.7369,138.972,126.162,309.22,-0.0668179,1,0,106,1.41332,0.793247,0.704233,1.08964,1.45539,0.592425,0.7994,0.660343,1.42329
107,29.0159,-15.2884,79.9973,2000,128.36,94.88,1905.12,2000,813.86,4.412,111.369,106.898,0,-0.0743593,1,0,107,1.481,0.954173,0.742953,0.55713,0.810286,1.14347,0.838236,1.32211,1.29318
108,28.91,-19.0767,79.9912,1720.8,137.51,101.25,1619.55,1939.15,850.11,12.4192,128.683,115.777,218.35,-0.0714798,1,0,108,1.18957,1.46916,1.02358,1.17721,1.28298,1.28542,1.15663,0.72406,1.10261
109,28.3787,-87.9033,80.0042,761.88,589.5,352.98,408.9,131.6,120.88,1.16642,138.379,67.8453,-630.28,0.0685845,0,0,109,1.48651,0.762188,1.47196,1.23847,0.957291,1.1719,0.866485,0.620157,1.14495
110,25.2332,-24.4445,80.088,2000,1716.26,1064.77,935.23,1792.25,1676.19,37.6094,170.545,129.238,-207.75,-0.0960136,1,0,110,1.34455,1.30215,0.706253,1.40551,1.01336,0.653893,0.763957,1.25752,1.36685
111,30.4204,-87.9609,80.0011,736.76,531.9,330.93,405.83,54.94,54.79,0.0120111,149.415,70.7639,-681.82,0.0726487,0,0,111,1.05269,1.09308,1.23614,1.16353,1.0521,0.972961,0.806263,0.71243,0.89292
112,25.8339,-20.5583,79.9941,2000,172.28,130.58,1869.42,1718.31,1042.86,7.8774,142.185,130.516,-281.69,-0.063778,1,0,112,1.24881,1.11978,0.658592,0.575272,1.0573,0.919553,0.557098,1.10098,0.731307
113,28.9849,-16.4533,79.9955,2000,131.59,96.91,1903.09,2000,834.36,5.77305,105.626,99.8016,0,-0.0724016,1,0,113,1.20188,0.748597,1.37346,0.712411,1.03276,0.538656,1.0261,1.39048,1.06637
114,30.9313,-14.9091,79.996,2000,122.53,88.1,1911.9,1423.36,844.93,4.28293,110.71,104.909,-576.64,-0.0771377,1,0,114,0.666387,1.43584,0.92331,0.820566,1.25411,1.41565,1.29712,0.655386,0.900673
115,28.5724,-18.6047,79.9925,1675.46,138.56,102.94,1572.52,1859.79,815.44,11.1094,130.133,117.412,184.33,-0.0651659,1,0,115,0.647302,0.81535,1.26345,1.19982,1.33063,0.970908,1.0489,0.916105,1.17068
116,29.4514,-15.2187,79.9976,2000,122.74,90.2,1909.8,2000,1208.66,4.31424,103.501,99.1379,0,-0.0752861,1,0,116,0.953905,0.818216,0.760843,0.638049,1.07016,0.643059,1.05153,1.27063,1.24676
117,28.651,-17.662,79.9965,1794.67,138.35,101.59,1693.08,2000,872.68,7.36567,113.416,105.974,205.33,-0.0765587,1,0,117,0.59492,1.12987,0.579275,0.762005,0.580541,1.12617,0.992575,0.752092,1.0179
119,27.4586,-20.2184,80.0064,1808.97,159.52,120.36,1688.61,1490.99,873.82,13.1336,144.626,129.783,-317.98,-0.0653026,1,0,119,1.46718,0.962029,0.574324,1.33559,0.916688,0.744871,0.883917,0.880213,1.09352
121,29.3283,-18.6564,79.9872,1139.97,133.67,97.39,1042.58,1977.67,849.36,11.5833,110.966,99.3053,837.7,-0.079988,1,0,121,0.651959,0.868557,0.7814,1.02344,0.993984,1.25476,1.37556,0.861518,1.17795
122,29.0495,-16.8726,79.9999,1496.8,123.19,90.37,1406.43,2000,755.51,7.56701,110.28,102.658,503.2,-0.0775175,1,0,122,0.786012,1.08826,0.73314,0.995008,0.967399,0.942873,1.2321,0.720113,1.42024
123,32.0747,-88.0877,79.9131,1015.47,841.14,588.5,426.97,1286.11,482.72,131.491,202.767,71.2591,270.64,-0.0032229,0,0,123,0.509155,1.13356,0.769519,1.07796,1.22359,1.41056,0.840488,0.973946,0.697793
124,27.5941,-19.4376,80.0074,1327.4,154.35,114.23,1213.17,1662.12,954.95,11.4923,120.966,109.405,334.72,-0.0765684,1,0,124,1.42503,1.07741,1.29379,0.670721,1.08363,1.33666,0.957738,0.771983,0.920726
125,27.7563,-21.5881,80.0131,1357.06,972.11,119.03,1238.03,1709.34,1019.83,18.8887,132.797,112.798,352.28,-0.0803668,1,0,125,0.552165,1.11017,1.13656,1.14296,0.574439,1.02809,1.07223,0.633869,1.03563
127,25.3743,-22.0212,80.0138,1378.81,949.72,140.61,1238.2,1704.3,995.6,19.9092,145.417,125.371,325.49,-0.0709122,1,0,127,1.26128,0.563509,0.946646,1.05719,0.857833,0.791352,0.751622,1.02702,1.02591
131,29.4067,-15.7049,79.998,2000,122.54,89.79,1910.21,2000,1184.14,5.16617,103.698,98.4813,0,-0.0778276,1,0,131,0.689537,1.148,0.87981,0.839392,0.800376,0.55208,1.17465,0.954945,1.28239
132,35.5297,-88.0526,111.902,1121.08,878.28,555.33,565.75,1306.48,362.86,172.845,247.918,75.0487,185.4,0.00793566,0,0,132,1.3257,0.927848,0.763793,0.880849,0.583705,1.11347,0.624711,0.870715,0.674783
134,29.6314,-16.7591,80.0007,1462.44,123.67,90.17,1372.27,2000,760.25,7.55629,105.01,97.4039,537.56,-0.0787581,1,0,134,1.07448,0.54534,1.37207,1.18517,0.620091,0.62427,1.40078,0.858021,1.40861
135,31.4936,-87.8374,79.9682,1109.6,900.64,568.62,540.98,1283.29,332.02,205.922,284.432,78.4796,173.69,-0.0066584,0,0,135,0.557162,1.27293,1.21399,0.781322,1.23333,1.28105,0.655486,0.514932,0.663275
138,27.0111,-18.733,79.9973,1577.07,144.68,109.47,1467.6,1916.49,1225.54,12.1944,132.514,120.249,339.42,-0.0691197,1,0,138,0.93605,0.918763,1.36544,1.13496,0.55504,1.23759,0.817799,1.10851,1.47395
139,29.1424,-16.1186,79.9957,2000,129.52,94.87,1905.13,2000,842.84,5.28235,103.058,97.7226,0,-0.0765663,1,0,139,1.25071,1.30613,0.920836,0.682607,0.853358,0.673418,1.09836,1.07315,1.04837
141,41.9921,-17.382,91.2065,2000,348.61,290.53,1709.47,659.39,288.5,218.232,285.578,138.837,-1340.61,-0.145095,1,0,141,1.11633,1.39649,1.12343,1.30011,1.11928,1.46078,0.800316,1.42354,1.34901
142,28.2109,-22.5123,79.9908,1762.43,843.73,114.05,1648.38,1490.59,851.55,20.9758,157.726,136.258,-271.84,-0.0663233,1,0,142,0.880009,1.37505,1.48796,1.2101,1.14723,0.664456,0.685315,1.40984,1.22924
143,26.9076,-18.7679,80.0001,1534.83,139.28,106.08,1428.75,1831.72,742.28,10.5646,135.759,125.124,296.89,-0.0636449,1,0,143,1.29324,0.536644,1.27929,1.08407,1.19099,0.513335,0.727807,1.14934,1.46912
147,28.4559,-15.9007,79.9977,2000,130.49,97.54,1902.46,2000,777.55,5.36506,121.941,116.508,0,-0.0709311,1,0,147,1.38748,1.11314,0.773504,0.803255,0.541136,0.633143,0.716006,1.37929,1.49008
148,36.4836,-88.0129,80.143,931.39,714.84,522.47,408.92,986.5,216.36,412.493,495.715,83.1982,55.11,0.0113435,0,0,148,1.0092,0.66328,0.590182,1.1473,0.510271,1.27771,0.514997,0.80077,0.835951
150,28.956,-18.5369,79.9942,1612.95,132.15,96.6,1516.35,1934.1,829.64,11.9128,119.067,106.45,321.15,-0.0754706,1,0,150,1.43577,1.17019,1.30884,1.21141,1.07837,1.32324,1.372,0.625701,1.19966
151,28.3247,-88.1427,80.0062,966.63,767.56,408.65,557.98,166.63,154.61,1.06373,119.921,64.2486,-800,0.0686446,0,0,151,1.04699,1.38849,1.2098,0.942748,1.36499,1.01364,0.910055,1.12394,0.974022
153,30.0792,-13.7174,79.9976,2000,118.48,86.64,1913.36,2000,1290.87,2.83403,100.795,97.9076,0,-0.0829057,1,0,153,0.893716,0.719265,0.571562,0.532812,0.517624,1.11846,1.04323,1.04567,1.35584
157,39.2648,-88.1779,80.0769,946.73,744.54,543.09,403.64,1082.77,257.21,270.161,344.898,74.7202,136.04,-0.00150878,0,0,157,0.961107,1.04068,1.03395,1.48505,0.727891,1.45104,0.744054,1.33651,1.0391
161,40.002,-88.1062,84.6854,936.7,705.54,511.26,425.44,997.99,213.77,428.193,508.602,80.387,61.29,0.00617718,0,0,161,1.08492,0.602824,0.663748,1.32058,1.3265,1.44281,0.601438,1.08297,1.20039
166,28.1784,-22.0218,80.0122,1347.44,962.3,882.66,464.78,1667.44,988.1,19.4647,137.615,116.933,320,-0.0737172,1,0,166,0.520278,0.996576,0.502005,1.25185,0.709118,0.576515,0.94626,1.03584,1.07013
170,28.2849,-16.0318,79.9973,2000,131.22,98.07,1901.93,2000,799.38,5.22003,121.586,116.304,0,-0.0684409,1,0,170,0.977206,0.551195,0.99076,0.523392,1.16938,0.907522,0.671773,1.48255,1.32098
173,38.014,-88.1696,97.2559,1089.12,857.99,545.79,543.33,1302.19,393.89,154.518,225.188,70.6525,213.07,-0.00027671,0,0,173,1.16717,1.35898,0.904737,1.28047,0.829542,1.13811,0.813156,1.27565,0.847955
175,29.2232,-16.1072,79.9986,2000,129.83,93.78,1906.22,2000,929.78,4.68051,96.6388,91.9057,0,-0.0820249,1,0,175,1.02439,0.7301,0.996034,0.506384,0.797088,0.765692,1.24536,0.616027,0.819406
176,28.6654,-21.7167,79.9901,1762.86,810.17,110.7,1652.16,1487.39,847.11,18.4731,149.828,131.149,-275.47,-0.0684125,1,0,176,1.39144,0.824571,1.10549,0.986795,1.34121,1.26172,0.738188,1.33938,1.22111
180,24.6095,-88.1799,79.9902,700.95,577.63,441.45,259.5,262.32,230.24,6.4148,130.011,66.0124,-438.63,0.0704124,0,0,180,0.772581,1.41079,0.719212,1.32985,1.13655,1.49296,0.970538,1.31536,0.994591
