# Drug name and concentration: 6: Ranolazine at 11689.2μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: 7884
#   Hill Coefficient: 0.9
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 6490
#   Hill Coefficient: 0.8
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,39.7205,-87.8456,253.663,427.48,332.15,294.94,132.54,785.81,359.04,193.682,267.338,73.6449,358.33,0.0494427,0,0,1,1.25955,1.13245,1.4096,0.921915,1.27445,0.816716,1.36352,0.703243,1.14164
2,40.4474,-87.9257,258.854,421.45,342.89,307.85,113.6,714.67,285.52,285.522,366.542,81.0085,293.22,0.0522061,0,0,2,1.08776,0.804707,1.37275,1.02163,0.660989,1.15547,1.00881,0.848511,1.21274
4,40.322,-87.9798,265.325,372.24,286.44,254.33,117.91,667.74,257.34,333.779,427.482,93.6867,295.5,0.0680778,0,0,4,0.788933,1.07789,0.94939,1.12363,0.947599,0.779872,0.513344,0.870073,0.755705
5,40.9509,-88.0283,268.275,374.82,289.68,260.02,114.8,705.84,288.96,272.972,359.828,86.8418,331.02,0.0655567,0,0,5,1.22937,1.06536,0.956006,1.34837,0.619484,0.643933,0.648585,0.987129,0.859177
7,39.7639,-87.958,260.806,422.47,335.99,291.34,131.13,709.91,271.22,308.788,400.581,91.7749,287.44,0.0564384,0,0,7,1.12734,1.21322,1.0768,0.59416,1.19831,1.4073,0.535858,0.835674,0.7209
10,41.7355,-88.0447,269.585,485.69,360.83,313.29,172.4,848.6,406.26,165.377,239.655,74.266,362.91,0.0527248,0,0,10,0.754755,0.738202,0.883224,0.647699,0.953403,0.66055,1.04908,1.03994,1.00258
11,38.699,-87.7809,247.685,373.53,306.26,273.15,100.38,842.37,396.69,141.812,213.752,71.9299,468.84,0.0592866,0,0,11,0.80391,1.26541,1.01014,1.10438,1.04747,1.42593,1.21314,0.58209,0.782922
13,39.6945,-87.9254,257.933,371.43,302.38,271.93,99.5,728.37,309.23,242.9,323.101,80.1895,356.94,0.0673175,0,0,13,1.38171,0.653576,1.36462,1.00154,1.17733,1.34125,0.951589,0.823403,1.02888
14,40.0675,-88.0889,272.826,387.48,292.49,260.1,127.38,771.32,341.79,197.724,278.907,81.1696,383.84,0.0640662,0,0,14,0.502533,1.3019,1.40423,1.1301,1.22046,0.581343,0.725196,1.13212,0.771478
15,40.6168,-88.0893,270.377,416.85,336.96,296.38,120.47,807.86,370.78,186.198,265.594,79.3825,391.01,0.0505493,0,0,15,1.32584,1.4682,1.25093,0.796372,1.11965,1.38473,0.766849,1.20998,0.81169
18,40.9437,-88.1901,282.36,468.77,344.99,294.95,173.82,881.93,432.16,140.212,218.596,78.3711,413.16,0.0568826,0,0,18,1.35251,1.34048,1.09712,0.598936,1.18766,0.681243,0.619567,1.44938,0.564899
20,43.0515,-87.9856,263.353,421.17,324.93,290.3,130.87,830.77,397.21,155.412,225.17,69.7475,409.6,0.0420159,0,0,20,1.42391,1.38016,0.823026,1.08034,1.30752,0.730013,1.49315,0.964038,1.29249
