# Drug name and concentration: 7: Ondansetron at 2509.5μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: 19181
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 1492
#   Hill Coefficient: 1
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 22551
#   Hill Coefficient: 0.8
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,39.919,-87.8484,253.55,468.7,364.66,318.16,150.54,850.81,411.56,158.731,230.56,71.8185,382.11,0.0272185,0,0,1,1.25955,1.13245,1.4096,0.921915,1.27445,0.816716,1.36352,0.703243,1.14164
2,40.1982,-87.9291,258.788,450.97,366.95,325.42,125.55,777.17,335.05,228.326,307.216,78.8778,326.2,0.0358622,0,0,2,1.08776,0.804707,1.37275,1.02163,0.660989,1.15547,1.00881,0.848511,1.21274
4,40.3918,-87.9804,264.598,418.73,324.06,283.94,134.79,732.97,299.86,267.185,358.031,90.8285,314.24,0.0429354,0,0,4,0.788933,1.07789,0.94939,1.12363,0.947599,0.779872,0.513344,0.870073,0.755705
5,41.0015,-88.0337,267.825,419.22,326.16,289.35,129.87,772.05,338.67,217.665,301.919,84.2394,352.83,0.0405934,0,0,5,1.22937,1.06536,0.956006,1.34837,0.619484,0.643933,0.648585,0.987129,0.859177
7,39.8667,-87.9498,259.982,477.58,381.17,324.54,153.04,793.96,324.53,242.928,331.436,88.4906,316.38,0.0275173,0,0,7,1.12734,1.21322,1.0768,0.59416,1.19831,1.4073,0.535858,0.835674,0.7209
10,41.5349,-88.0513,269.408,523.29,390.92,334.51,188.78,916.36,464.84,135.136,207.322,72.1762,393.07,0.0361613,0,0,10,0.754755,0.738202,0.883224,0.647699,0.953403,0.66055,1.04908,1.03994,1.00258
11,38.9965,-87.7717,247.028,421.41,347.61,306.47,114.94,898.84,443.33,122.465,193.164,70.6891,477.43,0.0331083,0,0,11,0.80391,1.26541,1.01014,1.10438,1.04747,1.42593,1.21314,0.58209,0.782922
13,39.4018,-87.9291,258.417,392.88,319.59,284.32,108.56,783.37,352.9,194.971,272.943,77.9598,390.49,0.0551074,0,0,13,1.38171,0.653576,1.36462,1.00154,1.17733,1.34125,0.951589,0.823403,1.02888
14,40.1549,-88.0967,271.899,439.48,335.1,293.95,145.53,842.12,399.03,159.405,238.111,78.6934,402.64,0.0332452,0,0,14,0.502533,1.3019,1.40423,1.1301,1.22046,0.581343,0.725196,1.13212,0.771478
15,41.0758,-88.0809,269.134,475.98,386.79,335.22,140.76,890.85,441.33,149.801,226.797,76.9842,414.87,0.0149359,0,0,15,1.32584,1.4682,1.25093,0.796372,1.11965,1.38473,0.766849,1.20998,0.81169
18,41.1576,-88.1924,280.778,534.61,399.55,337.54,197.07,966.01,504.22,115.437,191.507,76.0603,431.4,0.0201253,0,0,18,1.35251,1.34048,1.09712,0.598936,1.18766,0.681243,0.619567,1.44938,0.564899
20,43.8615,-87.9887,262.871,467.83,360.38,316.78,151.05,895.46,449.43,130.339,198.645,68.2966,427.63,0.0143328,0,0,20,1.42391,1.38016,0.823026,1.08034,1.30752,0.730013,1.49315,0.964038,1.29249
21,38.304,-87.9146,258.911,438.37,337.22,293.87,144.5,890.1,433.9,126.739,202.447,75.6974,451.73,0.0419559,0,0,21,1.45445,1.16984,1.2283,1.04432,1.08621,0.666436,0.793681,0.712182,0.571739
22,42.511,-87.989,262.367,431.43,353.2,314.1,117.33,694.24,252.33,337.896,424.198,86.2892,262.81,0.0420666,0,0,22,0.761214,0.601802,0.717928,0.911148,0.781716,1.49751,0.750619,0.973089,1.37017
25,42.0274,-88.1442,276.03,473.31,365.13,321.15,152.16,793.5,343.68,218.58,298.078,79.4864,320.19,0.0282775,0,0,25,0.899575,0.981637,1.3318,0.919708,1.0115,0.733913,0.838232,1.40694,1.25977
27,43.028,-88.077,270.148,502.92,393.65,337.53,165.39,906.23,455.78,145.632,219.995,74.3523,403.31,0.0200194,0,0,27,0.815516,1.14146,0.795586,0.669027,1.07818,1.11744,0.921793,1.17398,0.995901
