# Drug name and concentration: 8: Quinidine at 6743.2μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: 3487
#   Hill Coefficient: 1.3
# GKr:
#   EC50/IC50: 343
#   Hill Coefficient: 1
# GKs:
#   EC50/IC50: 4899
#   Hill Coefficient: 1.4
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,46.0551,-13.2234,257.668,522.74,296.47,245.71,277.03,615.01,1805.44,139.887,204.347,132.604,92.27,-0.152355,1,0,1,1.25955,1.13245,1.4096,0.921915,1.27445,0.816716,1.36352,0.703243,1.14164
2,31.8921,-20.7388,80.0523,1917.96,609.87,93.69,1824.27,1639.49,1127.72,15.2851,154.711,139.243,-278.47,-0.0725823,1,0,2,1.08776,0.804707,1.37275,1.02163,0.660989,1.15547,1.00881,0.848511,1.21274
4,44.3769,-87.9996,265.745,1513.06,1195.75,459.77,1053.29,1652.76,251.17,244.156,323.207,79.0722,139.7,-0.0471424,1,0,4,0.788933,1.07789,0.94939,1.12363,0.947599,0.779872,0.513344,0.870073,0.755705
5,46.5285,-16.7845,273.472,594.29,339.86,284.84,309.45,651.86,2000,167.014,240.201,157.082,57.57,-0.157502,1,0,5,1.22937,1.06536,0.956006,1.34837,0.619484,0.643933,0.648585,0.987129,0.859177
7,44.684,-87.9647,260.809,1081.31,696.72,459.03,622.28,1294.63,297.57,208.402,289.912,77.2714,213.32,-0.0358225,0,0,7,1.12734,1.21322,1.0768,0.59416,1.19831,1.4073,0.535858,0.835674,0.7209
10,28.1872,-20.5382,80.0377,1929.19,631.43,100.48,1828.71,1715.42,1186.89,16.2698,140.302,123.983,-213.77,-0.0636383,1,0,10,0.754755,0.738202,0.883224,0.647699,0.953403,0.66055,1.04908,1.03994,1.00258
11,44.3829,-87.7685,246.97,1434.93,1244.9,966.84,468.09,1717.3,1339.85,108.91,179.438,70.5291,282.37,-0.0576354,1,0,11,0.80391,1.26541,1.01014,1.10438,1.04747,1.42593,1.21314,0.58209,0.782922
13,22.9674,-87.9552,79.9821,498.14,415.97,323.72,174.42,246.91,210.5,13.6686,156.697,70.2173,-251.23,0.0644228,0,0,13,1.38171,0.653576,1.36462,1.00154,1.17733,1.34125,0.951589,0.823403,1.02888
14,45.8719,-88.1057,272.493,1489.4,1170.9,461.96,1027.44,1694.2,1287.8,135.472,210.599,75.1285,204.8,-0.0585834,1,0,14,0.502533,1.3019,1.40423,1.1301,1.22046,0.581343,0.725196,1.13212,0.771478
15,47.0947,-88.083,269.377,1397.68,1184.73,495.13,902.55,1678.08,1287.79,132.965,207.39,74.4237,280.4,-0.074208,1,0,15,1.32584,1.4682,1.25093,0.796372,1.11965,1.38473,0.766849,1.20998,0.81169
