# Drug name and concentration: 9: Diltiazem at 1147.5μM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# GNa:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   EC50/IC50: Infinity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Hill Coefficient: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# GNaL:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   EC50/IC50: Infinity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Hill Coefficient: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Gto:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   EC50/IC50: Infinity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Hill Coefficient: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# GKr:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   EC50/IC50: 6569,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Hill Coefficient: 0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# GKs:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   EC50/IC50: Infinity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Hill Coefficient: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# GK1:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   EC50/IC50: Infinity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Hill Coefficient: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Gncx:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   EC50/IC50: Infinity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Hill Coefficient: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Pnak:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   EC50/IC50: Infinity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Hill Coefficient: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# PCa:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   EC50/IC50: 112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Hill Coefficient: 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Stimulus Phase: 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Strength: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Duration: 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Frequency: 2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Cycles: 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Stimulus Phase: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Strength: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Duration: 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Frequency: 2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Cycles: 150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Ca_o: 1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# K_o: 5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Na_o: 140,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa,cnet,dose
1,36.5441,-87.9227,257.26,307.5,244.62,217.75,89.75,1049.79,475.2,44.0725,100.123,56.0488,742.29,0.0606081,0,0,1,1.25955,1.13245,1.4096,0.921915,1.27445,0.816716,1.36352,0.703243,1.14164,,9
2,37.1824,-88.0065,263.113,254.21,202.17,178.46,75.75,987.6,433.34,52.5388,112.584,60.0428,733.39,0.0820024,0,0,2,1.08776,0.804707,1.37275,1.02163,0.660989,1.15547,1.00881,0.848511,1.21274,,9
4,38.2004,-88.0342,267.268,249.76,189.68,163.99,85.77,928.92,408.92,67.3434,138.876,71.5186,679.16,0.0768071,0,0,4,0.788933,1.07789,0.94939,1.12363,0.947599,0.779872,0.513344,0.870073,0.755705,,9
5,38.6927,-88.0911,271.662,224.06,168.03,146.11,77.95,953.81,408.46,55.4734,121.332,65.8513,729.75,0.0826831,0,0,5,1.22937,1.06536,0.956006,1.34837,0.619484,0.643933,0.648585,0.987129,0.859177,,9
7,37.7022,-87.9934,261.749,361.73,294.67,256.07,105.66,1000.81,486.57,65.4488,137.467,72.0039,639.08,0.048121,0,0,7,1.12734,1.21322,1.0768,0.59416,1.19831,1.4073,0.535858,0.835674,0.7209,,9
10,38.8146,-88.1056,273.107,349.63,266.79,233.25,116.38,1060.56,493.16,45.3924,104.288,58.892,710.93,0.0712487,0,0,10,0.754755,0.738202,0.883224,0.647699,0.953403,0.66055,1.04908,1.03994,1.00258,,9
11,36.2595,-87.8327,249.947,261.9,214.01,189.39,72.51,1066.48,465.92,36.8559,92.9536,56.0976,804.58,0.0646349,0,0,11,0.80391,1.26541,1.01014,1.10438,1.04747,1.42593,1.21314,0.58209,0.782922,,9
13,36.9812,-88.0079,263.041,224.25,175.76,153.31,70.94,986.92,420.03,47.6831,107.379,59.6933,762.67,0.0924839,0,0,13,1.38171,0.653576,1.36462,1.00154,1.17733,1.34125,0.951589,0.823403,1.02888,,9
14,38.5342,-88.1422,274.68,280.14,214.56,187.86,92.28,1004.05,449.25,50.2623,114.136,63.8684,723.91,0.0652326,0,0,14,0.502533,1.3019,1.40423,1.1301,1.22046,0.581343,0.725196,1.13212,0.771478,,9
15,38.8383,-88.1201,271.5,347.47,287.5,254.72,92.75,1060.05,508.46,49.3294,113.217,63.882,712.58,0.0407496,0,0,15,1.32584,1.4682,1.25093,0.796372,1.11965,1.38473,0.766849,1.20998,0.81169,,9
18,39.9792,-88.2197,282.593,404.63,313.11,272,132.63,1088.67,533.46,45.9956,112.03,66.0279,684.04,0.0391982,0,0,18,1.35251,1.34048,1.09712,0.598936,1.18766,0.681243,0.619567,1.44938,0.564899,,9
20,38.9,-88.0515,266.725,307.02,245.28,220,87.02,1068.14,485.08,41.0294,95.6844,54.653,761.12,0.05135,0,0,20,1.42391,1.38016,0.823026,1.08034,1.30752,0.730013,1.49315,0.964038,1.29249,,9
21,36.9732,-87.9623,261.185,272.52,207.3,179.59,92.93,1031.44,452.91,41.8084,103.692,61.8802,758.92,0.0709632,0,0,21,1.45445,1.16984,1.2283,1.04432,1.08621,0.666436,0.793681,0.712182,0.571739,,9
22,38.723,-88.067,267.405,247.39,197.43,173.43,73.96,943.14,416.72,66.1326,131.772,65.6321,695.75,0.0879457,0,0,22,0.761214,0.601802,0.717928,0.911148,0.781716,1.49751,0.750619,0.973089,1.37017,,9
25,39.3192,-88.1998,279.843,305.42,238.25,210.54,94.88,996.63,457.78,57.6456,120.641,62.9898,691.21,0.0696889,0,0,25,0.899575,0.981637,1.3318,0.919708,1.0115,0.733913,0.838232,1.40694,1.25977,,9
27,39.5144,-88.1248,273.208,363.25,293.38,258.54,104.71,1072.25,514.68,47.6675,108.926,61.2543,709,0.0495682,0,0,27,0.815516,1.14146,0.795586,0.669027,1.07818,1.11744,0.921793,1.17398,0.995901,,9
28,39.7716,-88.1417,273.693,358.24,293.22,258.13,100.11,1088.11,520.34,44.0405,104.36,60.316,729.87,0.0550106,0,0,28,0.854672,1.02472,0.648055,0.639608,0.927037,1.39642,0.93724,1.21773,0.88723,,9
30,36.6795,-87.7698,247.273,359.9,291.28,257.04,102.86,1055.5,502.22,50.4255,111.046,60.6183,695.6,0.0387167,0,0,30,1.05917,1.39563,0.733522,0.715208,1.24343,1.04644,1.10792,0.517388,1.05005,,9
31,37.6188,-87.9387,258.995,229.39,176.18,155.39,74,1024.47,433.35,39.9719,95.6982,55.7254,795.08,0.0835575,0,0,31,1.12096,0.822285,0.671342,1.21236,0.610485,0.805366,1.24918,0.693148,1.13449,,9
32,39.6561,-88.1385,276.561,369.77,277.73,240.83,128.94,1019.27,484.53,58.3928,121.738,63.3393,649.5,0.074178,0,0,32,1.49599,0.551368,0.657084,0.516762,0.998886,0.672193,0.858383,1.14193,1.31535,,9
36,36.8332,-87.8406,250.305,253.91,207.13,185.2,68.71,1009.39,443.08,48.0557,104.614,56.5574,755.48,0.0685215,0,0,36,1.41634,1.057,0.838061,1.15579,0.895024,1.32883,1.34997,0.607935,1.43534,,9
40,39.9088,-88.1807,279.142,335.59,266.54,236.65,98.94,1056.98,493.29,46.7481,103.969,57.2173,721.39,0.07358,0,0,40,0.744339,0.675849,0.746487,0.749454,0.510079,0.888897,1.21937,1.33951,1.37053,,9
42,37.1984,-87.8903,254.712,225.61,178.26,156.7,68.91,1035.64,439.26,38.0864,95.3526,57.2654,810.03,0.0748664,0,0,42,1.20008,1.17544,0.754806,1.2999,1.25591,1.14585,1.08713,0.640316,0.85396,,9
45,40.3642,-88.1875,277.673,252.31,204.26,182.8,69.51,986.5,439.79,55.0249,116.924,61.8944,734.19,0.0614361,0,0,45,1.43603,1.45633,0.89132,1.44239,0.996105,1.05435,0.880786,1.45477,1.41733,,9
46,39.6973,-88.0901,269.91,303.78,244.47,218.13,85.65,1064.24,485.04,42.0689,98.2677,56.1962,760.46,0.0581177,0,0,46,0.520555,1.18902,0.568774,0.991482,1.14652,0.977829,1.29345,1.07875,1.22147,,9
48,39.3483,-88.2074,280.621,389.97,315.68,279.09,110.88,1093.24,535.19,45.949,109.161,63.2067,703.27,0.0400033,0,0,48,0.875811,1.32957,1.44533,0.703702,0.692465,0.925904,0.760407,1.47106,0.727905,,9
49,36.7031,-87.8778,256,173.37,125.62,108.14,65.23,911.21,372.24,59.7165,127.595,67.8688,737.84,0.102664,0,1,49,0.75049,0.502431,0.726344,1.24037,0.723578,0.90769,0.592332,0.562983,0.845769,,9
50,39.1632,-88.0572,268.262,318.43,252.47,223.51,94.92,1059.34,488.39,44.2085,103.899,59.6879,740.91,0.0558339,0,0,50,1.10142,1.2227,0.61558,0.97047,0.559653,0.783285,0.996599,0.947879,0.923251,,9
52,37.739,-88.0489,269.826,299,213.63,182.91,116.09,1014.82,448.49,46.6071,107.78,61.169,715.82,0.0884118,0,0,52,1.19088,0.562246,1.10254,0.686676,1.3672,0.508798,0.849273,0.852379,0.803879,,9
54,37.4986,-87.845,250.777,284.38,234.78,208.51,75.87,980.6,449.75,61.9428,127.388,65.4398,696.22,0.0514558,0,0,54,0.627448,1.43951,0.681484,1.089,0.820124,1.48235,0.819086,0.624393,1.16368,,9
56,37.0793,-87.9383,258.074,217.07,171.67,151.66,65.41,996.38,422.39,45.3705,103.78,58.4077,779.31,0.0778378,0,0,56,1.28009,1.13011,1.13133,1.39828,0.864782,1.1005,1.05654,0.726855,1.10836,,9
