# Drug name and concentration: 9: Verapamil at 729μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 499
#   Hill Coefficient: 1.1
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 202
#   Hill Coefficient: 1.1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,31.2942,-88.2116,194.874,340.09,267.64,237.64,102.45,956.02,446.87,73.7554,141.356,67.5929,615.93,0.0814909,0,0,1,0.698716,1.01134,0.978925,1.35698,1.24229,1.36012,0.700452,1.40027,1.13236
2,44.8501,-88.2241,356.345,310.33,229.57,198.4,111.93,1010.78,460.83,53.166,113.182,60.012,700.45,0.100054,0,0,2,1.32916,0.618259,0.680672,1.41947,0.736857,1.35337,0.981452,1.46718,1.27088
4,39.3396,-88.2203,294.256,416.72,312.65,269.21,147.51,1004.68,492.98,68.7749,137.376,68.5926,587.96,0.0744743,0,0,4,1.065,1.35064,1.43676,1.02166,0.886777,1.10254,0.63188,1.44478,0.960312
5,27.9177,-88.2046,172.443,421.79,346.43,311.95,109.84,1095.23,533.79,45.6549,102.105,56.4463,673.44,0.0729423,0,0,5,0.626144,0.84137,1.31771,1.06523,0.756123,1.44616,1.30788,1.36701,0.929413
6,40.8244,-87.8915,321.674,463.78,341.23,279.67,184.11,1085.23,536.89,50.1932,114.742,64.5445,621.45,0.0789979,0,0,6,1.3041,0.898694,0.95934,0.611217,0.627088,1.43325,0.746303,0.559261,0.548117
9,28.943,-87.9423,172.518,376.35,290.95,260.12,116.23,975.06,461.34,70.7211,134.974,64.2469,598.71,0.0653083,0,0,9,0.668078,1.32809,1.00135,1.37704,1.17536,0.881394,1.00129,0.682827,1.2955
10,26.8092,-87.906,163.775,374.27,291.02,255.52,118.75,1035.12,482.89,50.2989,114.012,63.7094,660.85,0.0712206,0,0,10,0.640383,1.42469,0.790927,1.38253,0.985211,1.07405,0.770907,0.580445,0.502509
14,32.8569,-87.8359,220.546,338.49,257.66,225.77,112.72,949.71,438.68,74.2406,141.212,66.9645,611.22,0.0793043,0,0,14,0.874694,0.94465,0.934225,1.34028,1.07286,1.21154,0.825917,0.531405,1.13432
20,34.9858,-87.825,236.961,572.22,406.19,348.07,224.15,1102.57,565.74,54.4068,114.056,59.6455,530.35,0.049387,0,0,20,0.939491,1.27055,0.596076,0.642641,0.978897,0.557006,1.3213,0.521269,1.16439
22,32.5409,-88.1848,218.48,382.63,279.98,246.43,136.2,978.45,460.54,68.0634,132.878,64.8077,595.82,0.0857429,0,0,22,0.78031,0.734109,1.45535,1.22921,1.16057,0.704971,0.828635,1.2789,1.15187
24,41.4729,-87.8186,327.272,354.99,247.47,213.78,141.21,1018.12,467.85,53.4705,113.338,59.8655,663.13,0.07736,0,0,24,1.37105,1.49213,0.747794,1.47849,1.2575,0.59586,1.13521,0.501402,1.11469
27,40.5574,-87.9779,319.159,552.15,396.94,336.55,215.6,1108.88,570.16,53.3525,111.906,58.5496,556.73,0.0698877,0,0,27,1.25585,0.598904,1.31387,0.59768,0.713975,0.774301,1.35939,0.762138,1.27372
28,41.2218,-88.1598,308.996,555.97,394.68,335.85,220.12,1127.4,581.39,49.9104,108.471,58.5568,571.43,0.0719838,0,0,28,1.13371,0.531424,0.696756,0.633101,0.514713,0.668328,1.21347,1.24446,1.23375
29,35.9832,-88.1184,252.732,399.13,288.51,246.13,153,952.47,454.29,80.1129,151.568,71.4441,553.34,0.0875465,0,0,29,0.924752,0.572415,1.0307,0.923424,0.675227,0.946268,0.585204,1.04201,0.993049
31,35.9125,-88.2002,236.577,486.3,350.8,302.91,183.39,1045.77,525.31,62.5506,128.812,66.2542,559.47,0.0638851,0,0,31,0.839924,1.19758,0.540567,0.845105,0.78175,0.638315,0.722195,1.33211,1.01411
