# Drug name and concentration: 1: Bepridil at 31.5μM
# GNa:
#   EC50/IC50: 2929
#   Hill Coefficient: 1.2
# GNaL:
#   EC50/IC50: 1814
#   Hill Coefficient: 1.4
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 149
#   Hill Coefficient: 0.9
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 2808
#   Hill Coefficient: 0.6
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,38.3446,-88.1536,189.411,272.83,222.91,207.44,65.39,657.42,251.91,312.955,394.743,81.7839,384.59,0.0786236,0,0,1,0.698716,1.01134,0.978925,1.35698,1.24229,1.36012,0.700452,1.40027,1.13236
2,46.1887,-88.1649,347.772,259.52,207.79,191.76,67.76,802.17,356.31,144.384,217.535,73.1428,542.65,0.0901938,0,0,2,1.32916,0.618259,0.680672,1.41947,0.736857,1.35337,0.981452,1.46718,1.27088
4,41.1024,-88.167,288.109,326.1,257.81,235.8,90.3,709.15,294.27,251.09,336.415,85.3149,383.05,0.0741763,0,0,4,1.065,1.35064,1.43676,1.02166,0.886777,1.10254,0.63188,1.44478,0.960312
5,37.1264,-88.1467,167.564,322.1,265.07,245.56,76.54,837.49,380.39,126.834,193.402,66.5619,515.39,0.072317,0,0,5,0.626144,0.84137,1.31771,1.06523,0.756123,1.44616,1.30788,1.36701,0.929413
6,41.4678,-87.8292,316.154,370.27,282.8,247.94,122.33,855.59,403.97,133.023,210.743,77.7115,485.32,0.0832615,0,0,6,1.3041,0.898694,0.95934,0.611217,0.627088,1.43325,0.746303,0.559261,0.548117
9,38.6455,-87.877,167.289,293.3,233.73,217.31,75.99,650.71,251.72,328.258,406.74,78.4787,357.41,0.0654943,0,0,9,0.668078,1.32809,1.00135,1.37704,1.17536,0.881394,1.00129,0.682827,1.2955
10,32.9897,-87.8522,160.433,247.67,194.11,177.5,70.17,784.48,326.3,147.815,222.839,75.0176,536.81,0.0868561,0,0,10,0.640383,1.42469,0.790927,1.38253,0.985211,1.07405,0.770907,0.580445,0.502509
14,38.0105,-87.7499,215.208,267.95,214.33,198.46,69.49,643.51,245.97,338.721,422.457,83.7321,375.56,0.0802604,0,0,14,0.874694,0.94465,0.934225,1.34028,1.07286,1.21154,0.825917,0.531405,1.13432
20,40.9919,-87.7365,231.561,468.33,339.82,303.33,165,760.39,333.26,224.493,300.245,75.7429,292.06,0.0461641,0,0,20,0.939491,1.27055,0.596076,0.642641,0.978897,0.557006,1.3213,0.521269,1.16439
22,37.2942,-88.1476,211.898,301.23,236.27,219.79,81.44,680.78,270.34,274.005,353.926,79.9158,379.55,0.0809728,0,0,22,0.78031,0.734109,1.45535,1.22921,1.16057,0.704971,0.828635,1.2789,1.15187
