# Drug name and concentration: 8: Bepridil at 252μM
# GNa:
#   EC50/IC50: 2929
#   Hill Coefficient: 1.2
# GNaL:
#   EC50/IC50: 1814
#   Hill Coefficient: 1.4
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 149
#   Hill Coefficient: 0.9
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 2808
#   Hill Coefficient: 0.6
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,39.7839,-87.851,253.606,466.87,364.38,318.08,148.79,865.02,423.25,148.537,219.688,71.1398,398.15,0.0259321,0,0,1,1.25955,1.13245,1.4096,0.921915,1.27445,0.816716,1.36352,0.703243,1.14164
2,40.0376,-87.9315,258.883,446.95,364.15,322.97,123.98,791.04,349.95,211.979,290.131,78.1387,344.09,0.0356865,0,0,2,1.08776,0.804707,1.37275,1.02163,0.660989,1.15547,1.00881,0.848511,1.21274
4,40.3103,-87.9819,264.566,417.5,323.75,283.56,133.94,746.58,312.87,249.489,339.499,89.9917,329.08,0.0413392,0,0,4,0.788933,1.07789,0.94939,1.12363,0.947599,0.779872,0.513344,0.870073,0.755705
5,40.9045,-88.0359,267.794,416.64,324.81,288.1,128.54,785.93,352.4,202.938,286.393,83.4402,369.29,0.0393848,0,0,5,1.22937,1.06536,0.956006,1.34837,0.619484,0.643933,0.648585,0.987129,0.859177
7,39.7917,-87.9502,259.946,478.95,383.1,326.1,152.85,808.77,339.88,227.111,314.828,87.6996,329.82,0.02509,0,0,7,1.12734,1.21322,1.0768,0.59416,1.19831,1.4073,0.535858,0.835674,0.7209
10,41.3717,-88.0536,269.459,520.5,390.36,334.46,186.04,927.85,473.98,127.623,199.218,71.585,407.35,0.0355261,0,0,10,0.754755,0.738202,0.883224,0.647699,0.953403,0.66055,1.04908,1.03994,1.00258
11,38.8785,-87.7724,247.014,420.72,347.77,306.87,113.85,910.86,451.27,116.115,186.219,70.0961,490.14,0.0313024,0,0,11,0.80391,1.26541,1.01014,1.10438,1.04747,1.42593,1.21314,0.58209,0.782922
13,39.247,-87.9316,258.508,389.87,317.45,282.34,107.53,797.67,364.43,181.378,258.559,77.1692,407.8,0.0550262,0,0,13,1.38171,0.653576,1.36462,1.00154,1.17733,1.34125,0.951589,0.823403,1.02888
14,40.0844,-88.0989,271.841,439.01,335.85,294.66,144.35,855.64,409.59,149.984,227.994,77.998,416.63,0.0309517,0,0,14,0.502533,1.3019,1.40423,1.1301,1.22046,0.581343,0.725196,1.13212,0.771478
15,41.1392,-88.0812,269.093,477.03,388.33,336.71,140.32,904.73,453.67,141.239,217.621,76.3715,427.7,0.0120178,0,0,15,1.32584,1.4682,1.25093,0.796372,1.11965,1.38473,0.766849,1.20998,0.81169
