# Drug name and concentration: 11: Chlorpromazine at 517.5μM
# GNa:
#   EC50/IC50: 4536
#   Hill Coefficient: 2
# GNaL:
#   EC50/IC50: 4560
#   Hill Coefficient: 0.9
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 1118
#   Hill Coefficient: 0.9
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: 9270
#   Hill Coefficient: 0.7
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 8192
#   Hill Coefficient: 0.8
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,38.3704,-88.1583,188.756,303.09,244.45,226.4,76.69,660.27,254.15,314.248,396.46,82.2074,357.18,0.0751004,0,0,1,0.698716,1.01134,0.978925,1.35698,1.24229,1.36012,0.700452,1.40027,1.13236
2,46.0528,-88.1699,346.274,289.94,228.8,209.93,80.01,815.86,369.7,141.384,214.455,73.0623,525.92,0.0859971,0,0,2,1.32916,0.618259,0.680672,1.41947,0.736857,1.35337,0.981452,1.46718,1.27088
4,40.906,-88.1726,287.012,357.25,277.32,251.77,105.48,723.69,305.3,242.458,327.401,84.9318,366.44,0.0715848,0,0,4,1.065,1.35064,1.43676,1.02166,0.886777,1.10254,0.63188,1.44478,0.960312
5,37.028,-88.1517,167.058,356.71,289.93,266.97,89.74,851.57,394.28,124.91,191.48,66.5631,494.86,0.0683327,0,0,5,0.626144,0.84137,1.31771,1.06523,0.756123,1.44616,1.30788,1.36701,0.929413
6,41.3106,-87.8334,314.733,406.91,305.26,264.84,142.07,873.22,420.58,129.702,207.085,77.3736,466.31,0.0802729,0,0,6,1.3041,0.898694,0.95934,0.611217,0.627088,1.43325,0.746303,0.559261,0.548117
9,38.637,-87.8832,166.375,326.57,256.13,236.89,89.68,651.46,252.25,333.619,412.662,79.0394,324.89,0.0620781,0,0,9,0.668078,1.32809,1.00135,1.37704,1.17536,0.881394,1.00129,0.682827,1.2955
10,32.7711,-87.8551,159.418,277.94,215.26,195.95,81.99,789.47,333.36,149.214,224.666,75.4459,511.53,0.0838486,0,0,10,0.640383,1.42469,0.790927,1.38253,0.985211,1.07405,0.770907,0.580445,0.502509
14,37.7787,-87.7549,213.902,299.09,235.93,217.3,81.79,644.09,247.27,343.715,428.1,84.3798,345,0.0765608,0,0,14,0.874694,0.94465,0.934225,1.34028,1.07286,1.21154,0.825917,0.531405,1.13432
20,40.8761,-87.74,230.356,513.84,361.42,318.26,195.58,784.12,346.03,214.411,289.669,75.2481,270.28,0.0438993,0,0,20,0.939491,1.27055,0.596076,0.642641,0.978897,0.557006,1.3213,0.521269,1.16439
22,37.2384,-88.1514,210.556,334.94,258.11,238.82,96.12,687.42,275.56,272.143,352.265,80.1166,352.48,0.077081,0,0,22,0.78031,0.734109,1.45535,1.22921,1.16057,0.704971,0.828635,1.2789,1.15187
