# Drug name and concentration: 21: Chlorpromazine at 276μM
# GNa:
#   EC50/IC50: 4536
#   Hill Coefficient: 2
# GNaL:
#   EC50/IC50: 4560
#   Hill Coefficient: 0.9
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 1118
#   Hill Coefficient: 0.9
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: 9270
#   Hill Coefficient: 0.7
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 8192
#   Hill Coefficient: 0.8
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,39.7759,-87.8456,252.858,352.83,282.97,257.2,95.63,789.82,358.72,170.041,242.278,72.2284,436.99,0.0443876,0,0,1,1.25955,1.13245,1.4096,0.921915,1.27445,0.816716,1.36352,0.703243,1.14164
2,40.3554,-87.9188,258.009,328.64,272.12,249.97,78.67,711.35,299.16,248.512,328.036,79.5148,382.71,0.0571652,0,0,2,1.08776,0.804707,1.37275,1.02163,0.660989,1.15547,1.00881,0.848511,1.21274
4,40.4523,-87.9766,263.633,296.93,235.21,212.96,83.97,673.09,266.65,294.658,386.679,92.0094,376.16,0.0649788,0,0,4,0.788933,1.07789,0.94939,1.12363,0.947599,0.779872,0.513344,0.870073,0.755705
5,41.0373,-88.0353,266.793,282.17,224.42,205.21,76.96,710.92,291.44,235.596,320.49,84.8837,428.75,0.0669518,0,0,5,1.22937,1.06536,0.956006,1.34837,0.619484,0.643933,0.648585,0.987129,0.859177
7,40.0343,-87.9393,259.845,386.14,313.11,276.81,109.33,714.01,288.03,280.996,371.905,90.8938,327.87,0.0407791,0,0,7,1.12734,1.21322,1.0768,0.59416,1.19831,1.4073,0.535858,0.835674,0.7209
10,41.7399,-88.0481,268.722,400.52,309.1,276.68,123.84,834.9,393.22,150.949,224.392,73.4332,434.38,0.0512543,0,0,10,0.754755,0.738202,0.883224,0.647699,0.953403,0.66055,1.04908,1.03994,1.00258
11,38.8803,-87.7641,246.338,304.38,252.94,229.89,74.49,848.07,389.37,123.98,194.038,70.0506,543.69,0.0543184,0,0,11,0.80391,1.26541,1.01014,1.10438,1.04747,1.42593,1.21314,0.58209,0.782922
13,39.5701,-87.9191,257.628,295.46,243.88,223.47,71.99,735.67,312.18,209.463,287.83,78.3578,440.21,0.0720158,0,0,13,1.38171,0.653576,1.36462,1.00154,1.17733,1.34125,0.951589,0.823403,1.02888
14,40.2663,-88.1011,271.045,316.07,248.46,225.22,90.85,777.77,340.8,174.986,254.687,79.6909,461.7,0.0545905,0,0,14,0.502533,1.3019,1.40423,1.1301,1.22046,0.581343,0.725196,1.13212,0.771478
15,40.9699,-88.073,268.716,371.48,306.68,275.39,96.09,812.7,374.27,168.336,246.792,78.4448,441.22,0.0318352,0,0,15,1.32584,1.4682,1.25093,0.796372,1.11965,1.38473,0.766849,1.20998,0.81169
18,41.2847,-88.192,280.201,423.05,325.33,285.55,137.5,886.41,431.44,128.603,206.204,77.5915,463.36,0.0345079,0,0,18,1.35251,1.34048,1.09712,0.598936,1.18766,0.681243,0.619567,1.44938,0.564899
20,43.4342,-87.9922,262.069,346.69,277.78,253.31,93.38,833.95,390.34,137.714,206.179,68.4571,487.26,0.0333483,0,0,20,1.42391,1.38016,0.823026,1.08034,1.30752,0.730013,1.49315,0.964038,1.29249
21,38.3875,-87.9152,258.148,310.4,242.97,218.38,92.02,831.83,375.45,132.976,208.796,75.8108,521.43,0.0633604,0,0,21,1.45445,1.16984,1.2283,1.04432,1.08621,0.666436,0.793681,0.712182,0.571739
22,42.5927,-87.978,261.56,325.88,271.35,248.56,77.32,642.17,244.86,364.92,451.627,86.7006,316.29,0.0601241,0,0,22,0.761214,0.601802,0.717928,0.911148,0.781716,1.49751,0.750619,0.973089,1.37017
25,42.1859,-88.1433,274.957,357.27,285.79,260.94,96.33,718.61,302.48,249.54,330.565,81.0156,361.34,0.0463743,0,0,25,0.899575,0.981637,1.3318,0.919708,1.0115,0.733913,0.838232,1.40694,1.25977
27,42.7488,-88.0699,269.517,396.19,318.51,284.69,111.5,823.37,385.32,164.878,240.717,75.8286,427.18,0.034601,0,0,27,0.815516,1.14146,0.795586,0.669027,1.07818,1.11744,0.921793,1.17398,0.995901
28,42.9157,-88.0894,270.401,393.76,321.44,286.85,106.91,871.08,420.67,134.126,207.383,73.248,477.32,0.0400583,0,0,28,0.854672,1.02472,0.648055,0.639608,0.927037,1.39642,0.93724,1.21773,0.88723
30,41.1781,-87.6869,243.512,395.72,315.93,281.83,113.89,738.91,317.05,240.306,319.769,79.4522,343.19,0.0282964,0,0,30,1.05917,1.39563,0.733522,0.715208,1.24343,1.04644,1.10792,0.517388,1.05005
31,41.6976,-87.8544,253.789,302.43,243.73,223.59,78.84,782.29,346.52,165.463,238.11,72.6383,479.86,0.0617564,0,0,31,1.12096,0.822285,0.671342,1.21236,0.610485,0.805366,1.24918,0.693148,1.13449
32,43.4943,-88.0701,271.438,430.79,327.37,292.52,138.27,725.32,296.32,269.558,351.303,81.7348,294.53,0.047114,0,0,32,1.49599,0.551368,0.657084,0.516762,0.998886,0.672193,0.858383,1.14193,1.31535
36,41.8143,-87.735,245.291,320.2,267.27,246.01,74.19,708.03,300.96,247.176,323.274,76.0906,387.83,0.0456223,0,0,36,1.41634,1.057,0.838061,1.15579,0.895024,1.32883,1.34997,0.607935,1.43534
40,43.9239,-88.1162,273.68,404.48,325.77,295.36,109.12,825.4,391.73,162.113,234.03,71.908,420.92,0.0414696,0,0,40,0.744339,0.675849,0.746487,0.749454,0.510079,0.888897,1.21937,1.33951,1.37053
42,40.2904,-87.8189,250.502,272.96,222.85,203.29,69.67,814.22,361.28,137.986,210.202,72.2076,541.26,0.0627836,0,0,42,1.20008,1.17544,0.754806,1.2999,1.25591,1.14585,1.08713,0.640316,0.85396
45,43.9846,-88.126,272.549,302.28,252.08,233.17,69.11,707.42,294.42,248.247,328.156,79.9019,405.14,0.038257,0,0,45,1.43603,1.45633,0.89132,1.44239,0.996105,1.05435,0.880786,1.45477,1.41733
46,44.2585,-88.0286,265.514,346.1,280.23,254.81,91.29,836.69,391.66,138.992,209.006,70.0054,490.59,0.0386438,0,0,46,0.520555,1.18902,0.568774,0.991482,1.14652,0.977829,1.29345,1.07875,1.22147
48,40.8773,-88.1703,277.925,418.43,338.28,302.28,116.15,871.98,422.4,139.133,215.058,75.9157,453.55,0.0299009,0,0,48,0.875811,1.32957,1.44533,0.703702,0.692465,0.925904,0.760407,1.47106,0.727905
49,39.5588,-87.7908,250.885,247.99,196.69,179.67,68.32,652.3,249.43,315.007,405.135,90.1211,404.31,0.0888998,0,0,49,0.75049,0.502431,0.726344,1.24037,0.723578,0.90769,0.592332,0.562983,0.845769
50,42.6403,-88.0037,264.514,363.3,291.21,263.35,99.95,832.04,387.84,148.007,222.174,74.1567,468.74,0.0399213,0,0,50,1.10142,1.2227,0.61558,0.97047,0.559653,0.783285,0.996599,0.947879,0.923251
52,39.7906,-87.9901,265.32,355.45,264.71,237.06,118.39,792.65,354.12,167.053,244.509,77.446,437.2,0.0722104,0,0,52,1.19088,0.562246,1.10254,0.686676,1.3672,0.508798,0.849273,0.852379,0.803879
54,41.6574,-87.7644,247.04,331.88,277.71,253.47,78.41,654.38,252.98,345.769,432.334,86.5566,322.5,0.0363318,0,0,54,0.627448,1.43951,0.681484,1.089,0.820124,1.48235,0.819086,0.624393,1.16368
56,40.3522,-87.8528,252.931,279.79,231.61,213.58,66.21,735.08,310.78,205.579,282.508,76.9204,455.29,0.0594655,0,0,56,1.28009,1.13011,1.13133,1.39828,0.864782,1.1005,1.05654,0.726855,1.10836
58,40.5257,-88.1655,277.895,391.5,313.69,279.15,112.35,824.04,384.02,164.635,246.646,81.9989,432.54,0.037323,0,0,58,1.3071,1.36214,1.46698,0.746865,0.842035,0.913154,0.565496,1.42991,0.60293
59,37.98,-87.8399,252.786,330.54,270.49,244.59,85.95,769.44,338.15,187.371,266.393,79.0118,438.9,0.0709187,0,0,59,1.45838,0.622397,1.42167,0.807756,0.579167,1.26232,0.876798,0.648329,0.768789
60,41.418,-88.0504,267.182,307.66,256.87,237.2,70.46,684.41,277.2,282.097,365.24,83.1355,376.75,0.0460618,0,0,60,1.01102,1.32426,1.46153,1.33618,0.736779,1.08528,0.80661,1.18583,1.23575
65,41.7735,-88.1734,276.457,394.44,311.35,280.9,113.54,892.7,434.28,115.255,182.861,67.5993,498.26,0.0353523,0,0,65,0.597041,1.19478,1.34353,0.742339,1.41369,0.700464,1.28035,1.4744,1.0796
67,38.2195,-87.8414,252.469,343.51,279.62,249.49,94.02,861.08,402.43,124.599,197.752,73.1445,517.57,0.0730658,0,0,67,0.655703,0.569071,0.931223,0.645672,0.811354,1.41718,0.94074,0.609107,0.610051
71,39.696,-88.0595,268.966,374.81,300.28,266.14,108.67,778.05,346.73,196.407,279.907,83.4873,403.24,0.0483751,0,0,71,0.980899,1.12461,1.49458,0.614746,1.42961,1.18317,0.61743,1.10755,0.685777
72,41.4886,-87.9781,263.57,248.53,199.7,182.37,66.16,670.86,261.65,283.729,372.942,89.2049,422.33,0.0837462,0,0,72,1.48705,0.689768,0.575912,1.28468,1.11181,1.06974,0.553596,0.883968,0.863387
73,40.8128,-88.136,275.449,357.67,288.2,257.19,100.48,815.48,374.63,161.427,243.403,81.9638,457.81,0.0502382,0,0,73,1.07437,1.17653,1.11786,0.812574,0.797394,1.06731,0.563166,1.3174,0.592015
75,40.6963,-88.0284,265.315,380.83,315.38,284.64,96.19,761.79,335.45,214.624,293.786,79.1516,380.96,0.0427382,0,0,75,1.15215,0.975055,1.42687,0.691454,0.954387,1.44622,0.898104,1.09924,1.06717
76,43.6347,-88.0069,263.931,320.52,255,233.72,86.8,773.18,342.56,177.904,251.89,73.9761,452.66,0.050399,0,0,76,1.48942,1.01426,0.555402,1.18462,0.915158,0.630117,1.1537,0.958074,1.26603
78,43.058,-87.8832,255.38,365.81,293.33,264.03,101.78,837.98,394.57,141.681,212.044,70.3541,472.17,0.0349878,0,0,78,1.296,1.2811,0.619966,0.841006,1.33993,1.01765,1.35768,0.768192,1.09349
81,41.0567,-87.953,260.234,329.88,275.44,253.2,76.68,647.87,248.95,353.993,440.189,86.1896,317.99,0.0532489,0,0,81,0.616233,0.87881,1.29598,1.05079,0.518964,1.26965,0.789057,0.931004,1.30285
82,43.558,-87.9992,264.75,392.5,309.7,279.26,113.24,744.09,320.94,233.664,313.462,79.7864,351.59,0.0368983,0,0,82,1.4347,1.00624,0.548337,0.76774,0.856035,0.774059,0.930421,0.96903,1.20234
84,43.2908,-88.1325,273.7,322.88,268.99,248.27,74.61,641.78,243.78,365.398,452.347,86.9426,318.9,0.0386052,0,0,84,1.0445,1.29363,1.13852,1.27299,0.703027,1.04413,0.696841,1.47964,1.47594
85,39.2404,-88.0738,271.565,356.33,274.24,246.13,110.2,851.45,395.76,129.158,203.099,73.9324,495.12,0.0731001,0,0,85,0.508757,0.629764,1.43185,0.777197,0.617295,0.578645,0.85176,1.04329,0.663449
86,42.2172,-87.9102,256.644,291.59,239.26,220.58,71.01,782.85,346.94,162.682,234.238,71.5473,491.26,0.0549092,0,0,86,0.845667,1.06764,0.800064,1.37878,0.795554,0.931672,1.31395,0.817599,1.25278
88,42.5353,-88.1167,272.708,399.36,319.07,287.54,111.82,760.97,335.83,216.419,293.154,76.7258,361.61,0.0368443,0,0,88,0.786113,0.917423,1.30085,0.609305,1.40175,1.02385,1.03424,1.39202,1.39132
90,41.2221,-88.1421,276.046,247.59,199.86,184.43,63.16,721.87,296.23,211.559,292.29,80.7241,474.28,0.0891877,0,0,90,1.16236,0.539142,1.23116,1.43133,0.638485,0.856884,0.73382,1.37272,1.01218
91,43.1622,-88.0715,269.239,454.94,348.62,312.52,142.42,729.25,289.45,278.595,360.118,81.5125,274.31,0.0203758,0,0,91,0.664806,1.15245,0.942913,0.65246,0.834106,0.518517,0.91338,1.10404,1.3622
92,42.4468,-88.02,265.317,414.19,335.02,298.87,115.32,871.69,424.9,135.745,206.808,71.0535,457.5,0.0463582,0,0,92,0.925635,0.69504,0.69203,0.571745,0.744865,1.22244,1.17303,1.01389,1.02304
95,41.6318,-87.9207,257.292,331.87,276.67,254.57,77.3,752.57,334.11,199.029,271.835,72.7975,420.7,0.0509388,0,0,95,1.36897,0.779578,1.22386,0.992425,1.04059,1.33547,1.40675,0.897374,1.4849
96,39.9778,-87.924,258.674,456.41,351.65,313.08,143.33,732.78,293.99,274.241,357.196,82.9433,276.37,0.0282347,0,0,96,0.952975,1.14575,1.48602,0.620709,0.74195,0.549433,0.889014,0.777914,1.06883
