"","dose","beat","qNet","dvdtmax","vmax","vrest","APD50","APD90","max_dv","camax","carest","CaTD50","CaTD90","EADs","noDepols","noRepols","drug","sample"
"1",1,916,54.3968210487954,72.9279665290964,41.7199355633589,-88.018103140896,293,363,-0.292635731437384,0.000236890610275032,7.4714104078077e-05,330,754,0,0,0,"bepridil",1
"2",2,1000,46.2826084084955,72.9477729771845,41.7185877007331,-88.0212721456717,326,409,-0.255412499330687,0.000233070578714604,7.45422661688965e-05,351,777,0,0,0,"bepridil",1
"3",3,977,40.9396456673611,72.9568863428574,41.8344549689914,-88.0240779554184,351,445,-0.232432866379756,0.000228763035433881,7.42590682147869e-05,369,798,0,0,0,"bepridil",1
"4",1,883,52.3761515308684,72.893067387534,41.6583704045831,-88.0192068187462,302,375,-0.2831815075162,0.000235786709358633,7.46558725803525e-05,335,760,0,0,0,"bepridil",2
"5",2,994,44.5275531818229,72.8603318997486,41.654582358198,-88.0228437877716,336,423,-0.245859436133438,0.000231559234489082,7.44148105867416e-05,357,784,0,0,0,"bepridil",2
"6",3,998,39.6067131467731,72.8118469931225,41.7779013181593,-88.0259051091534,359,458,-0.224342588060677,0.000227247813008327,7.40927107892842e-05,375,806,0,0,0,"bepridil",2
"7",4,762,36.1959706999988,72.752008703317,41.8345343909885,-88.0285675517589,378,486,-0.210538143769272,0.000223233867451943,7.37589574464717e-05,391,825,0,0,0,"bepridil",2
"8",5,992,33.7059972435218,72.6841214183643,41.8503029391042,-88.0309345676821,393,510,-0.200717215309476,0.000219586591537071,7.34351793742131e-05,404,842,0,0,0,"bepridil",2
"9",6,862,31.8271083473935,72.6091675405418,41.8376284475051,-88.0330797140901,406,531,-0.186214380980852,0.000216296503006247,7.31290536290754e-05,417,858,0,0,0,"bepridil",2
"10",7,812,30.3809736622317,72.5286421596942,41.8058333174719,-88.0350481846573,417,549,-0.169968185329156,0.000213341296747351,7.28434292503081e-05,429,873,0,0,0,"bepridil",2
"11",8,955,29.2551725003468,72.4430500475399,41.7595189991983,-88.0368681961821,427,565,-0.156958090795697,0.000210669973802447,7.25768938334589e-05,439,886,0,0,0,"bepridil",2
"12",9,910,28.3729210844036,72.3527169837491,41.7035295212982,-88.0385664053479,436,580,-0.146301903920933,0.000208261573694723,7.23300481941498e-05,450,898,0,0,0,"bepridil",2
"13",10,943,27.682172521019,72.2580676328965,41.6388693151208,-88.0401619705396,444,593,-0.137385715251607,0.000206077542980469,7.21002963989921e-05,459,909,0,0,0,"bepridil",2
"14",15,967,26.0148917133153,71.7306700999243,41.246073813929,-88.0470151371171,476,645,-0.107759730476132,0.000197713820454776,7.11667091938673e-05,498,954,0,0,0,"bepridil",2
"15",20,971,25.9186940714676,71.1291869298965,40.8021429902855,-88.0526290384603,499,681,-0.0911077436216396,0.000192172152910264,7.0489575283183e-05,525,984,0,0,0,"bepridil",2
"16",25,984,26.5180176801816,70.4698720830413,40.345751353568,-88.0574706625565,516,707,-0.080915274201504,0.000188353129454244,6.99818346328459e-05,542,1006,0,0,0,"bepridil",2
"17",1,965,51.6364442405011,72.8700359716677,41.7303869019831,-88.0172465798159,302,375,-0.283738919443036,0.000241868443863024,7.50247337305948e-05,330,753,0,0,0,"bepridil",3
"18",2,993,43.5698070099409,72.8188652954226,41.7990813052921,-88.0199816862622,335,421,-0.248637381797152,0.000239975645936503,7.49278257768352e-05,349,774,0,0,0,"bepridil",3
"19",3,892,38.3820616610066,72.7546432665379,41.9663484008981,-88.0223946774602,358,455,-0.227796467506017,0.000237235715128305,7.47110287381169e-05,363,793,0,0,0,"bepridil",3
"20",4,989,34.6834327040729,72.6813892418475,42.0649995397032,-88.0245302635202,376,483,-0.214170071622355,0.000234327160840277,7.44561702443361e-05,376,811,0,0,0,"bepridil",3
"21",5,879,31.9018225215821,72.6010021511435,42.1194747464058,-88.0264726105587,390,506,-0.203683303084234,0.000231481069361221,7.41927165333377e-05,387,827,0,0,0,"bepridil",3
"22",6,986,29.7432873788142,72.5163651209417,42.143869838763,-88.0282543347057,403,526,-0.190925140391777,0.000228794682195358,7.39344880187341e-05,396,841,0,0,0,"bepridil",3
"23",7,978,28.0326708757766,72.426958324902,42.1475416027614,-88.0298878653334,414,544,-0.174141193048717,0.000226269684869839,7.3684267120876e-05,405,855,0,0,0,"bepridil",3
"24",8,770,26.6597707789671,72.3335296014406,42.1345266320916,-88.0314344716654,424,560,-0.16061647866,0.000223936344835743,7.3447634166395e-05,413,868,0,0,0,"bepridil",3
"25",1,965,53.9661461652716,72.8888431588637,41.6709772698874,-88.0183744233115,295,366,-0.289066494262143,0.000237158261103196,7.47215658464789e-05,331,755,0,0,0,"bepridil",4
"26",2,892,46.3645176745065,72.8555323525678,41.6087989506635,-88.0218625468694,328,411,-0.254916398329907,0.000233119048194676,7.45086193080328e-05,352,778,0,0,0,"bepridil",4
"27",3,998,41.4874596578536,72.806817777294,41.7309343076762,-88.0248988994338,351,445,-0.232512948323548,0.00022875578182576,7.41994913193316e-05,368,797,0,0,0,"bepridil",4
"28",4,959,38.0546097175788,72.7470144101786,41.7895716167068,-88.02758983415,369,473,-0.216955673745311,0.000224540293960972,7.38653670191883e-05,384,816,0,0,0,"bepridil",4
"29",5,908,35.5174651368238,72.6784826888226,41.805949204978,-88.0300341019946,384,496,-0.206540702893312,0.000220633233351531,7.35345796068925e-05,397,833,0,0,0,"bepridil",4
"30",6,957,33.5837952009042,72.6036615186182,41.7937159231596,-88.0322583611438,397,517,-0.19826210055853,0.000217041892233568,7.32155958116977e-05,410,849,0,0,0,"bepridil",4
