# Drug name and concentration: 13: Cisapride at 65μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 12
#   Hill Coefficient: 1.3
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,41.6138,-87.8313,251.282,1070.25,922.76,864.01,206.24,1313.4,872.86,208.006,280.218,72.5934,243.15,-0.0202307,1,0,1,1.25955,1.13245,1.4096,0.921915,1.27445,0.816716,1.36352,0.703243,1.14164
2,41.9644,-87.9159,257.447,854.29,562.11,410.01,444.28,1040.57,255.54,297.979,375.761,77.2888,186.28,0.00138023,0,0,2,1.08776,0.804707,1.37275,1.02163,0.660989,1.15547,1.00881,0.848511,1.21274
4,41.5286,-87.9829,264.727,664.58,473.72,377.85,286.73,887.07,274.04,290.784,379.68,88.8796,222.49,0.00484579,0,0,4,0.788933,1.07789,0.94939,1.12363,0.947599,0.779872,0.513344,0.870073,0.755705
5,42.6541,-88.0384,268.298,738.81,526.11,415.09,323.72,982.74,328.33,232.384,314.642,82.2432,243.93,-0.00775592,0,0,5,1.22937,1.06536,0.956006,1.34837,0.619484,0.643933,0.648585,0.987129,0.859177
7,41.427,-87.9444,259.682,636.27,480.07,378.36,257.91,898.17,289.14,272.528,360.269,87.7253,261.9,0.00145692,0,0,7,1.12734,1.21322,1.0768,0.59416,1.19831,1.4073,0.535858,0.835674,0.7209
10,42.9082,-88.0424,267.344,1177.39,985.36,908.21,269.18,1434.74,965.55,169.325,241.481,72.9413,257.35,-0.0135105,1,0,10,0.754755,0.738202,0.883224,0.647699,0.953403,0.66055,1.04908,1.03994,1.00258
11,41.2806,-87.7642,246.805,646.3,508.09,397.97,248.33,1009.54,518.62,145.239,217.465,72.2163,363.24,-0.00294201,0,0,11,0.80391,1.26541,1.01014,1.10438,1.04747,1.42593,1.21314,0.58209,0.782922
13,40.4216,-87.9239,257.733,570.19,440.42,360.73,209.46,849.52,330.88,234.92,314.043,79.1103,279.33,0.0267199,0,0,13,1.38171,0.653576,1.36462,1.00154,1.17733,1.34125,0.951589,0.823403,1.02888
14,41.8257,-88.0965,271.701,685.79,474.85,376.2,309.59,973.75,411.1,176.365,254.893,78.517,287.96,-0.00469109,0,0,14,0.502533,1.3019,1.40423,1.1301,1.22046,0.581343,0.725196,1.13212,0.771478
15,43.5568,-88.075,268.729,668.16,508.52,400.61,267.55,1014.53,435.33,166.759,243.728,76.959,346.37,-0.0182834,0,0,15,1.32584,1.4682,1.25093,0.796372,1.11965,1.38473,0.766849,1.20998,0.81169
18,42.7904,-88.1915,280.337,731.61,505.98,391.47,340.14,1088.14,619.75,123.413,199.309,75.8873,356.53,-0.00891921,0,0,18,1.35251,1.34048,1.09712,0.598936,1.18766,0.681243,0.619567,1.44938,0.564899
20,44.5155,-87.9669,257.991,1003.25,847.57,791.22,212.03,1236.59,801.95,206.176,277.167,70.9833,233.34,-0.0392332,1,0,20,1.42391,1.38016,0.823026,1.08034,1.30752,0.730013,1.49315,0.964038,1.29249
21,39.3657,-87.9115,258.887,676.04,488.75,385.54,290.5,1007.78,527.31,141.839,218.207,76.357,331.74,0.00654015,0,0,21,1.45445,1.16984,1.2283,1.04432,1.08621,0.666436,0.793681,0.712182,0.571739
