# Drug name and concentration: 9: Cisapride at 23.4μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 12
#   Hill Coefficient: 1.3
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,41.1948,-87.8343,252.633,527.32,401.57,342.53,184.79,833.23,370.2,200.321,274.465,74.1339,305.91,0.0123193,0,0,1,1.25955,1.13245,1.4096,0.921915,1.27445,0.816716,1.36352,0.703243,1.14164
2,41.1646,-87.9187,258.373,512.34,412.77,360.4,151.94,768.06,283.07,284.78,365.587,80.7954,255.72,0.0200173,0,0,2,1.08776,0.804707,1.37275,1.02163,0.660989,1.15547,1.00881,0.848511,1.21274
4,40.9854,-87.9729,264.054,475.16,364.44,315.57,159.59,726.24,260.79,322.221,414.839,92.6017,251.08,0.0274482,0,0,4,0.788933,1.07789,0.94939,1.12363,0.947599,0.779872,0.513344,0.870073,0.755705
5,41.6734,-88.0264,267.529,484.76,374.28,328.21,156.55,764.74,300.63,265.94,352.147,86.1929,279.98,0.0224675,0,0,5,1.22937,1.06536,0.956006,1.34837,0.619484,0.643933,0.648585,0.987129,0.859177
7,40.7915,-87.9392,259.506,523.03,412.37,345.99,177.04,791.09,278.04,291.561,381.664,90.0867,268.06,0.0141963,0,0,7,1.12734,1.21322,1.0768,0.59416,1.19831,1.4073,0.535858,0.835674,0.7209
10,42.6539,-88.0432,268.786,584.57,426.34,355.96,228.61,916.31,442.27,161.695,235.539,73.834,331.74,0.0227741,0,0,10,0.754755,0.738202,0.883224,0.647699,0.953403,0.66055,1.04908,1.03994,1.00258
11,40.4479,-87.7572,246.321,474.67,387.1,335.06,139.61,879.9,434.89,151.463,224.741,73.2684,405.23,0.0179202,0,0,11,0.80391,1.26541,1.01014,1.10438,1.04747,1.42593,1.21314,0.58209,0.782922
13,40.0783,-87.917,257.294,437.04,353.14,311.06,125.98,754.87,316.15,245.876,326.27,80.3817,317.83,0.0428668,0,0,13,1.38171,0.653576,1.36462,1.00154,1.17733,1.34125,0.951589,0.823403,1.02888
14,40.7429,-88.0902,271.275,495.61,372.97,322.52,173.09,831.61,375.58,191.722,272.4,80.6661,336,0.016646,0,0,14,0.502533,1.3019,1.40423,1.1301,1.22046,0.581343,0.725196,1.13212,0.771478
15,42.7396,-88.0703,268.518,526.23,420.64,358.15,168.08,886.9,403.88,178.936,257.656,78.7089,360.67,-0.00164669,0,0,15,1.32584,1.4682,1.25093,0.796372,1.11965,1.38473,0.766849,1.20998,0.81169
18,42.0706,-88.1878,280.06,587.47,431.68,358.01,229.46,974.98,515.62,130.868,208.187,77.309,387.51,0.00510228,0,0,18,1.35251,1.34048,1.09712,0.598936,1.18766,0.681243,0.619567,1.44938,0.564899
20,44.9075,-87.9765,261.987,529.21,397.18,341.92,187.29,879.7,431.26,162.571,233.089,70.5088,350.49,-0.00335412,0,0,20,1.42391,1.38016,0.823026,1.08034,1.30752,0.730013,1.49315,0.964038,1.29249
21,38.8498,-87.9051,258.29,494.78,377.15,323.74,171.04,881.74,432.4,150.368,228.211,77.8325,386.96,0.0271611,0,0,21,1.45445,1.16984,1.2283,1.04432,1.08621,0.666436,0.793681,0.712182,0.571739
22,43.0031,-87.9804,261.986,481.37,391.2,344.13,137.24,681.19,227.05,414.217,502.012,87.7846,199.82,0.0285435,0,0,22,0.761214,0.601802,0.717928,0.911148,0.781716,1.49751,0.750619,0.973089,1.37017
25,43.0504,-88.1373,275.341,531.06,402.33,348.81,182.25,785.76,293.2,267.917,349.083,81.1561,254.7,0.0119682,0,0,25,0.899575,0.981637,1.3318,0.919708,1.0115,0.733913,0.838232,1.40694,1.25977
27,44.1996,-88.0665,269.074,557.23,427.06,358.96,198.27,902.81,410.65,176.018,252.089,76.0599,345.58,0.00475904,0,0,27,0.815516,1.14146,0.795586,0.669027,1.07818,1.11744,0.921793,1.17398,0.995901
28,44.2948,-88.0876,269.689,551.21,435.32,366.39,184.82,950.38,493.31,142.72,216.387,73.6582,399.17,0.010366,0,0,28,0.854672,1.02472,0.648055,0.639608,0.927037,1.39642,0.93724,1.21773,0.88723
30,42.4481,-87.6818,243.264,571.46,430.35,356.75,214.71,815.73,301.2,270.175,350.366,80.1792,244.27,-0.00171484,0,0,30,1.05917,1.39563,0.733522,0.715208,1.24343,1.04644,1.10792,0.517388,1.05005
31,42.664,-87.8428,254.365,507.17,394.39,343.69,163.48,818.82,363.32,208.725,284.405,75.6682,311.65,0.0216841,0,0,31,1.12096,0.822285,0.671342,1.21236,0.610485,0.805366,1.24918,0.693148,1.13449
32,43.9291,-88.0691,271.338,603.6,423.85,355.35,248.25,818.38,283.15,280.833,361.894,81.0506,214.78,0.0231752,0,0,32,1.49599,0.551368,0.657084,0.516762,0.998886,0.672193,0.858383,1.14193,1.31535
36,42.6529,-87.7309,245.403,499.87,403.27,352.82,147.05,737.38,273.79,312.48,391.29,78.7999,237.51,0.00842359,0,0,36,1.41634,1.057,0.838061,1.15579,0.895024,1.32883,1.34997,0.607935,1.43534
40,45.0225,-88.115,273.808,638.85,486.13,404.24,234.61,964.4,434.26,169.714,241.399,71.6751,325.55,0.00399819,0,0,40,0.744339,0.675849,0.746487,0.749454,0.510079,0.888897,1.21937,1.33951,1.37053
42,41.5978,-87.8078,250.376,437.3,347.75,304.11,133.19,827.14,389.11,174.094,249.917,75.812,389.84,0.0264818,0,0,42,1.20008,1.17544,0.754806,1.2999,1.25591,1.14585,1.08713,0.640316,0.85396
45,45.4878,-88.1193,272.993,477.06,381.69,339.33,137.73,752,281.13,282.911,364.077,81.1561,274.94,-0.00703831,0,0,45,1.43603,1.45633,0.89132,1.44239,0.996105,1.05435,0.880786,1.45477,1.41733
46,45.5768,-88.0196,265.339,518.83,398.32,343.31,175.52,887.54,437.38,160.253,231.934,71.6715,368.71,0.00338298,0,0,46,0.520555,1.18902,0.568774,0.991482,1.14652,0.977829,1.29345,1.07875,1.22147
48,42.2154,-88.1688,278.09,613.43,481.19,404.17,209.26,991.55,520.96,141.185,216.668,75.4743,378.12,-0.00757271,0,0,48,0.875811,1.32957,1.44533,0.703702,0.692465,0.925904,0.760407,1.47106,0.727905
49,40.0706,-87.7852,251.359,416.94,325.16,286.4,130.54,652.08,232.88,396.23,490.361,94.1181,235.14,0.0566064,0,0,49,0.75049,0.502431,0.726344,1.24037,0.723578,0.90769,0.592332,0.562983,0.845769
50,44.281,-87.9982,265.021,585.99,450.78,383.26,202.73,932.04,441.96,163.852,238.974,75.111,346.05,-0.00331223,0,0,50,1.10142,1.2227,0.61558,0.97047,0.559653,0.783285,0.996599,0.947879,0.923251
52,40.2086,-87.9817,265.269,510.64,359.54,306.26,204.38,830.44,380.48,184.442,262.989,78.5355,319.8,0.0485613,0,0,52,1.19088,0.562246,1.10254,0.686676,1.3672,0.508798,0.849273,0.852379,0.803879
54,43.2314,-87.7649,247.39,511.91,415.15,360.73,151.18,709.57,231.28,405.167,493.289,88.1092,197.66,-0.00377115,0,0,54,0.627448,1.43951,0.681484,1.089,0.820124,1.48235,0.819086,0.624393,1.16368
56,41.3359,-87.8451,252.881,459.86,371.24,328.37,131.49,755.07,308.18,259.42,339.489,80.0571,295.21,0.0182625,0,0,56,1.28009,1.13011,1.13133,1.39828,0.864782,1.1005,1.05654,0.726855,1.10836
58,40.9884,-88.1644,278.095,572.04,446.76,377.27,194.77,930.3,441,165.421,246.571,81.1385,358.26,0.00108618,0,0,58,1.3071,1.36214,1.46698,0.746865,0.842035,0.913154,0.565496,1.42991,0.60293
59,38.4516,-87.8428,253.292,510.53,413.53,354.6,155.93,832.14,357.97,211.09,291.409,80.3058,321.61,0.0382995,0,0,59,1.45838,0.622397,1.42167,0.807756,0.579167,1.26232,0.876798,0.648329,0.768789
60,42.9014,-88.0473,267.815,494.82,400.64,354.61,140.21,741.24,259.23,316.744,400.87,84.1147,246.42,0.000327063,0,0,60,1.01102,1.32426,1.46153,1.33618,0.736779,1.08528,0.80661,1.18583,1.23575
65,43.5856,-88.1637,276.036,557.06,413.5,350.7,206.36,955.93,501.42,123.921,192.397,68.47,398.87,0.00553888,0,0,65,0.597041,1.19478,1.34353,0.742339,1.41369,0.700464,1.28035,1.4744,1.0796
67,38.6715,-87.8421,252.352,498.88,403.2,342.08,156.8,914.59,462.37,138.245,212.949,74.6939,415.71,0.0465349,0,0,67,0.655703,0.569071,0.931223,0.645672,0.811354,1.41718,0.94074,0.609107,0.610051
71,40.0259,-88.0572,268.502,505.27,393.62,331.95,173.32,838,360.6,205.443,288.84,83.3841,332.73,0.0229951,0,0,71,0.980899,1.12461,1.49458,0.614746,1.42961,1.18317,0.61743,1.10755,0.685777
72,42.0381,-87.974,263.938,400.12,314.6,277.73,122.39,680.76,255.48,335.838,427.65,91.7986,280.64,0.0511659,0,0,72,1.48705,0.689768,0.575912,1.28468,1.11181,1.06974,0.553596,0.883968,0.863387
73,41.2279,-88.1362,275.573,534.98,423.14,360.07,174.91,908.33,441.59,165.138,246.671,81.52,373.35,0.0138169,0,0,73,1.07437,1.17653,1.11786,0.812574,0.797394,1.06731,0.563166,1.3174,0.592015
75,41.7695,-88.0283,265.011,534.16,429.25,365.87,168.29,836.41,337.41,228.873,308.112,79.2281,302.25,0.0129798,0,0,75,1.15215,0.975055,1.42687,0.691454,0.954387,1.44622,0.898104,1.09924,1.06717
76,44.5867,-87.9918,263.883,513.65,386.05,336.88,176.77,815.52,357.88,212.462,288.494,76.0204,301.87,0.0114852,0,0,76,1.48942,1.01426,0.555402,1.18462,0.915158,0.630117,1.1537,0.958074,1.26603
78,44.3185,-87.8738,255.078,532.52,404.07,341.63,190.89,888.01,431.51,164.04,236.108,72.058,355.49,0.00386342,0,0,78,1.296,1.2811,0.619966,0.841006,1.33993,1.01765,1.35768,0.768192,1.09349
81,42.1068,-87.9559,260.991,521.95,425.23,373.08,148.87,715.96,231.15,397.18,484.087,86.8958,194.01,0.0125907,0,0,81,0.616233,0.87881,1.29598,1.05079,0.518964,1.26965,0.789057,0.931004,1.30285
82,44.5792,-87.9961,264.997,587.43,433.8,366.4,221.03,840.92,313.12,250.206,329.891,79.6729,253.49,0.00329085,0,0,82,1.4347,1.00624,0.548337,0.76774,0.856035,0.774059,0.930421,0.96903,1.20234
84,44.9362,-88.1294,274.417,512.89,411.3,364.41,148.48,707.55,227.83,401.434,488.741,87.2965,194.66,-0.00750853,0,0,84,1.0445,1.29363,1.13852,1.27299,0.703027,1.04413,0.696841,1.47964,1.47594
85,39.6089,-88.0685,272.13,561.8,421.36,357.36,204.44,935.58,479.04,136.885,211.5,74.6051,373.78,0.0391167,0,0,85,0.508757,0.629764,1.43185,0.777197,0.617295,0.578645,0.85176,1.04329,0.663449
86,43.3618,-87.8978,256.994,483.31,382.83,337.3,146.01,809.4,363.45,207.189,281.926,74.7257,326.09,0.0127367,0,0,86,0.845667,1.06764,0.800064,1.37878,0.795554,0.931672,1.31395,0.817599,1.25278
88,43.6682,-88.1118,272.598,539.15,406.07,346.1,193.05,820.74,332.4,232.981,309.944,76.9542,281.59,0.0120051,0,0,88,0.786113,0.917423,1.30085,0.609305,1.40175,1.02385,1.03424,1.39202,1.39132
90,41.7492,-88.1358,276.644,423.46,335.52,299.65,123.81,748.72,315.05,246.018,328.771,82.7422,325.26,0.050812,0,0,90,1.16236,0.539142,1.23116,1.43133,0.638485,0.856884,0.73382,1.37272,1.01218
