# Drug name and concentration: 3: Diltiazem at 382.5μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 6569
#   Hill Coefficient: 0.8
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 112
#   Hill Coefficient: 0.7
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,32.0359,-88.2049,194.105,207.29,161.6,146.55,60.74,862.47,363.98,90.141,158.777,68.6281,655.18,0.100562,0,0,1,0.698716,1.01134,0.978925,1.35698,1.24229,1.36012,0.700452,1.40027,1.13236
2,44.8678,-88.2217,355.198,176.17,129.47,114.89,61.28,926.48,380.48,58.2527,118.051,59.7939,750.31,0.118096,0,0,2,1.32916,0.618259,0.680672,1.41947,0.736857,1.35337,0.981452,1.46718,1.27088
4,39.3947,-88.2139,293.184,256.91,192.38,170.06,86.85,891.34,393.1,86.0872,156.32,70.224,634.43,0.0979317,0,0,4,1.065,1.35064,1.43676,1.02166,0.886777,1.10254,0.63188,1.44478,0.960312
5,28.4866,-88.1979,171.628,267.17,216.29,197.67,69.5,982.33,433.46,54.2135,111.017,56.8001,715.16,0.0935973,0,0,5,0.626144,0.84137,1.31771,1.06523,0.756123,1.44616,1.30788,1.36701,0.929413
6,40.7623,-87.8805,319.923,303.29,221.09,187.15,116.14,975.18,439.22,59.9948,125.405,65.4062,671.89,0.0986343,0,0,6,1.3041,0.898694,0.95934,0.611217,0.627088,1.43325,0.746303,0.559261,0.548117
9,30.6059,-87.9377,171.609,227.01,174.72,159.41,67.6,878.3,374.63,85.3801,150.257,64.8709,651.29,0.0864053,0,0,9,0.668078,1.32809,1.00135,1.37704,1.17536,0.881394,1.00129,0.682827,1.2955
10,27.188,-87.9023,163.182,230.34,175.11,155.56,74.78,942.71,398.91,57.8957,121.802,63.9021,712.37,0.0911183,0,0,10,0.640383,1.42469,0.790927,1.38253,0.985211,1.07405,0.770907,0.580445,0.502509
14,33.3326,-87.8274,219.419,204.19,154.5,138.89,65.3,863.92,361.17,88.0332,155.616,67.5763,659.73,0.0969855,0,0,14,0.874694,0.94465,0.934225,1.34028,1.07286,1.21154,0.825917,0.531405,1.13432
20,35.4464,-87.8232,235.601,383.46,279.67,248.95,134.51,985.54,466.1,67.3879,128.363,60.9713,602.08,0.0701357,0,0,20,0.939491,1.27055,0.596076,0.642641,0.978897,0.557006,1.3213,0.521269,1.16439
22,32.9109,-88.1847,217.038,233.6,172.09,155.3,78.3,882.8,376.5,82.5746,148.405,65.8235,649.2,0.103404,0,0,22,0.78031,0.734109,1.45535,1.22921,1.16057,0.704971,0.828635,1.2789,1.15187
