Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa,cnet,dose
1,36.8098,-87.9106,256.522,298.34,239.01,214.64,83.7,995.33,453.44,57.1794,115.445,58.2628,696.99,0.0618591,0,0,1,1.25955,1.13245,1.4096,0.921915,1.27445,0.816716,1.36352,0.703243,1.14164,,4
2,37.4425,-87.9921,262.238,250.04,201.16,180.02,70.02,936.23,413.69,69.2723,132.086,62.8091,686.19,0.0820528,0,0,2,1.08776,0.804707,1.37275,1.02163,0.660989,1.15547,1.00881,0.848511,1.21274,,4
4,38.4146,-88.0262,266.751,238.23,182.33,159.53,78.7,884.1,386.78,85.7139,159.84,74.1123,645.87,0.0790547,0,0,4,0.788933,1.07789,0.94939,1.12363,0.947599,0.779872,0.513344,0.870073,0.755705,,4
5,38.8928,-88.0841,270.729,213.88,162.14,142.84,71.04,907.01,387.13,71.4725,139.503,68.023,693.13,0.0846513,0,0,5,1.22937,1.06536,0.956006,1.34837,0.619484,0.643933,0.648585,0.987129,0.859177,,4
7,37.9161,-87.9839,261.183,349.96,285.6,249.73,100.23,949.48,458.76,83.1562,157.979,74.8083,599.52,0.0500613,0,0,7,1.12734,1.21322,1.0768,0.59416,1.19831,1.4073,0.535858,0.835674,0.7209,,4
10,39.0341,-88.0963,272.294,341.5,263.24,232.64,108.86,1012.46,474.51,57.6894,118.721,61.0273,670.96,0.0713136,0,0,10,0.754755,0.738202,0.883224,0.647699,0.953403,0.66055,1.04908,1.03994,1.00258,,4
11,36.4792,-87.8228,249.352,251.28,206.14,183.9,67.38,1011.49,443.89,47.491,105.195,57.7037,760.21,0.0670699,0,0,11,0.80391,1.26541,1.01014,1.10438,1.04747,1.42593,1.21314,0.58209,0.782922,,4
13,37.1859,-87.9942,262.307,221.92,176.4,156.38,65.54,935.68,401.42,63.5703,125.709,62.1352,713.76,0.0925879,0,0,13,1.38171,0.653576,1.36462,1.00154,1.17733,1.34125,0.951589,0.823403,1.02888,,4
14,38.6856,-88.1364,274.116,266.7,205.65,181.74,84.96,954.98,426.18,63.9611,129.825,65.8578,688.28,0.0679179,0,0,14,0.502533,1.3019,1.40423,1.1301,1.22046,0.581343,0.725196,1.13212,0.771478,,4
15,39.0176,-88.1117,270.95,334.93,277.83,247.58,87.35,1010.45,484.75,61.8828,127.818,65.9289,675.52,0.043104,0,0,15,1.32584,1.4682,1.25093,0.796372,1.11965,1.38473,0.766849,1.20998,0.81169,,4
18,40.0856,-88.2151,282.101,390.56,303.68,265.41,125.15,1043.71,511.99,56.6298,124.237,67.6002,653.15,0.0414271,0,0,18,1.35251,1.34048,1.09712,0.598936,1.18766,0.681243,0.619567,1.44938,0.564899,,4
20,39.2498,-88.0424,265.805,296.36,238.35,215.42,80.94,1014.69,463.38,52.4287,108.913,56.4818,718.33,0.0528863,0,0,20,1.42391,1.38016,0.823026,1.08034,1.30752,0.730013,1.49315,0.964038,1.29249,,4
21,37.1042,-87.9563,260.804,258.96,198.08,173.18,85.78,982.18,430.86,53.0926,116.481,63.3845,723.22,0.0737201,0,0,21,1.45445,1.16984,1.2283,1.04432,1.08621,0.666436,0.793681,0.712182,0.571739,,4
22,39.1146,-88.0511,266.064,245.68,198.47,176.93,68.75,895.47,398.12,86.6912,155.788,69.0878,649.79,0.0870388,0,0,22,0.761214,0.601802,0.717928,0.911148,0.781716,1.49751,0.750619,0.973089,1.37017,,4
25,39.5666,-88.1902,278.938,296.18,233.19,208.32,87.86,947.2,436.22,73.7888,139.541,65.746,651.02,0.0701304,0,0,25,0.899575,0.981637,1.3318,0.919708,1.0115,0.733913,0.838232,1.40694,1.25977,,4
27,39.7623,-88.1153,272.216,352.67,286.12,253.98,98.69,1023.29,493.09,59.893,123.267,63.3682,670.62,0.0506594,0,0,27,0.815516,1.14146,0.795586,0.669027,1.07818,1.11744,0.921793,1.17398,0.995901,,4
28,39.9889,-88.1324,272.631,348.48,286.46,254.06,94.42,1040.62,500.08,55.0536,117.231,62.1723,692.14,0.0559869,0,0,28,0.854672,1.02472,0.648055,0.639608,0.927037,1.39642,0.93724,1.21773,0.88723,,4
30,37.0901,-87.7566,246.601,348.67,282.88,251.07,97.6,1000.37,477.42,64.9684,128.184,63.2117,651.7,0.0406143,0,0,30,1.05917,1.39563,0.733522,0.715208,1.24343,1.04644,1.10792,0.517388,1.05005,,4
31,37.947,-87.9273,258.248,223.83,174.17,155.59,68.24,969.78,413.65,52.8924,110.57,57.6761,745.95,0.0842213,0,0,31,1.12096,0.822285,0.671342,1.21236,0.610485,0.805366,1.24918,0.693148,1.13449,,4
32,40.0193,-88.127,275.641,363.66,276.01,242.15,121.51,971.79,465.24,74.331,140.608,66.2697,608.13,0.0728477,0,0,32,1.49599,0.551368,0.657084,0.516762,0.998886,0.672193,0.858383,1.14193,1.31535,,4
36,37.3103,-87.8247,249.359,247.82,203.64,183.92,63.9,953.85,421.39,63.5411,122.64,59.096,706.03,0.0691812,0,0,36,1.41634,1.057,0.838061,1.15579,0.895024,1.32883,1.34997,0.607935,1.43534,,4
40,40.2111,-88.1695,277.785,330.1,264.77,237.56,92.54,1009.75,475.87,59.2159,118.646,59.426,679.65,0.0724169,0,0,40,0.744339,0.675849,0.746487,0.749454,0.510079,0.888897,1.21937,1.33951,1.37053,,4
42,37.4468,-87.8813,254.169,216.02,171.8,152.57,63.45,981.85,417.8,49.3975,108.253,58.8542,765.83,0.076991,0,0,42,1.20008,1.17544,0.754806,1.2999,1.25591,1.14585,1.08713,0.640316,0.85396,,4
45,40.7367,-88.1781,276.872,241.83,197.06,177.97,63.86,935.27,416.51,70.8098,135.155,64.3395,693.44,0.0631906,0,0,45,1.43603,1.45633,0.89132,1.44239,0.996105,1.05435,0.880786,1.45477,1.41733,,4
46,40.0501,-88.0803,269.112,294.06,238.19,214.27,79.79,1012.98,464.18,53.51,111.55,58.0362,718.92,0.0592452,0,0,46,0.520555,1.18902,0.568774,0.991482,1.14652,0.977829,1.29345,1.07875,1.22147,,4
48,39.4678,-88.2006,280.015,375.83,305.29,271.48,104.35,1043.98,511.61,57.227,122.298,65.0659,668.15,0.0422715,0,0,48,0.875811,1.32957,1.44533,0.703702,0.692465,0.925904,0.760407,1.47106,0.727905,,4
49,36.9462,-87.8668,255.266,170.35,125.82,110.17,60.18,866.47,353.71,79.0575,149.414,70.3472,696.12,0.103382,0,1,49,0.75049,0.502431,0.726344,1.24037,0.723578,0.90769,0.592332,0.562983,0.845769,,4
50,39.434,-88.0491,267.602,305.52,243.54,217.28,88.24,1008.64,465.84,55.9264,117.477,61.5467,703.12,0.0579388,0,0,50,1.10142,1.2227,0.61558,0.97047,0.559653,0.783285,0.996599,0.947879,0.923251,,4
52,37.891,-88.0406,269.026,292.48,212.44,184.76,107.72,967.06,430.66,60.4945,123.867,63.3683,674.58,0.0886773,0,0,52,1.19088,0.562246,1.10254,0.686676,1.3672,0.508798,0.849273,0.852379,0.803879,,4
54,37.9973,-87.8319,250.131,273.05,225.99,202.24,70.81,926.67,423.86,80.3866,148.908,68.5141,653.62,0.0537091,0,0,54,0.627448,1.43951,0.681484,1.089,0.820124,1.48235,0.819086,0.624393,1.16368,,4
56,37.3648,-87.9268,257.43,209.74,167.48,149.79,59.95,942.37,400.68,60.0103,120.588,60.5747,732.63,0.0793393,0,0,56,1.28009,1.13011,1.13133,1.39828,0.864782,1.1005,1.05654,0.726855,1.10836,,4
58,39.333,-88.1937,279.518,353.65,284.11,250.64,103.01,1000.84,484.41,65.2493,135.332,70.0741,647.19,0.0467548,0,0,58,1.3071,1.36214,1.46698,0.746865,0.842035,0.913154,0.565496,1.42991,0.60293,,4
59,36.1627,-87.9082,256.354,252.16,199.44,174.73,77.43,956.46,418.94,60.8426,123.963,63.1171,704.3,0.0894664,0,0,59,1.45838,0.622397,1.42167,0.807756,0.579167,1.26232,0.876798,0.648329,0.768789,,4
60,38.7832,-88.1068,271.116,242.24,196.84,177,65.24,916.42,406.59,77.1576,143.706,66.5421,674.18,0.0688976,0,0,60,1.01102,1.32426,1.46153,1.33618,0.736779,1.08528,0.80661,1.18583,1.23575,,4
65,39.6612,-88.2064,280.311,352.59,280.4,251.39,101.2,1051.34,499.35,50.5214,108.213,57.6879,698.75,0.0517368,0,0,65,0.597041,1.19478,1.34353,0.742339,1.41369,0.700464,1.28035,1.4744,1.0796,,4
67,36.5677,-87.8979,255.167,277.15,220.78,192.2,84.95,1007.76,448.8,49.99,110.848,60.8556,730.61,0.0878025,0,0,67,0.655703,0.569071,0.931223,0.645672,0.811354,1.41718,0.94074,0.609107,0.610051,,4
71,38.222,-88.0997,270.568,340.79,273.99,239.89,100.9,978.66,466.95,69.8172,139.582,69.7556,637.87,0.0578264,0,0,71,0.980899,1.12461,1.49458,0.614746,1.42961,1.18317,0.61743,1.10755,0.685777,,4
72,38.9852,-88.0421,267.841,180.33,136.83,120.1,60.23,872.86,362.7,79.2892,150.383,71.0827,692.53,0.0995851,0,1,72,1.48705,0.689768,0.575912,1.28468,1.11181,1.06974,0.553596,0.883968,0.863387,,4
73,39.467,-88.168,277.282,314.16,251.53,220.88,93.28,979.48,459.91,65.311,135.093,69.7729,665.32,0.0615809,0,0,73,1.07437,1.17653,1.11786,0.812574,0.797394,1.06731,0.563166,1.3174,0.592015,,4
75,38.2331,-88.0837,268.258,329.31,272.55,243.04,86.27,985.43,468.51,68.0717,132.895,64.8178,656.12,0.062032,0,0,75,1.15215,0.975055,1.42687,0.691454,0.954387,1.44622,0.898104,1.09924,1.06717,,4
76,39.6859,-88.0619,267.979,252.52,196.48,176.12,76.4,968.93,426.47,58.129,117.662,59.529,716.41,0.0741786,0,0,76,1.48942,1.01426,0.555402,1.18462,0.915158,0.630117,1.1537,0.958074,1.26603,,4
78,38.6621,-87.9402,258.552,320,259.68,232.55,87.45,1027.61,478.41,52.906,110.96,58.0511,707.61,0.0504221,0,0,78,1.296,1.2811,0.619966,0.841006,1.33993,1.01765,1.35768,0.768192,1.09349,,4
81,38.0083,-88.0217,264.474,250.99,203.49,182.17,68.82,899.15,400.75,85.7956,154.302,68.4989,648.16,0.0791881,0,0,81,0.616233,0.87881,1.29598,1.05079,0.518964,1.26965,0.789057,0.931004,1.30285,,4
82,39.8211,-88.0555,268.517,332.33,261.98,232.77,99.56,983.03,464.83,67.7759,132.36,64.5781,650.7,0.0586094,0,0,82,1.4347,1.00624,0.548337,0.76774,0.856035,0.774059,0.930421,0.96903,1.20234,,4
84,40.3115,-88.183,277.745,257.06,208.94,188.26,68.8,898.5,406.57,89.3963,159.772,70.3671,641.44,0.0651331,0,0,84,1.0445,1.29363,1.13852,1.27299,0.703027,1.04413,0.696841,1.47964,1.47594,,4
85,38.1003,-88.1155,275.039,282.34,209.35,181.91,100.43,988.22,437.37,53.3219,115.18,61.855,705.88,0.0911117,0,0,85,0.508757,0.629764,1.43185,0.777197,0.617295,0.578645,0.85176,1.04329,0.663449,,4
86,38.4523,-87.9792,261.469,220.8,176,158.36,62.44,969.3,414.86,53.421,110.599,57.1763,748.5,0.0781316,0,0,86,0.845667,1.06764,0.800064,1.37878,0.795554,0.931672,1.31395,0.817599,1.25278,,4
88,39.5022,-88.1704,277.006,352.45,283.6,252.8,99.65,995.94,479.15,67.2694,130.237,62.9612,643.49,0.059422,0,0,88,0.786113,0.917423,1.30085,0.609305,1.40175,1.02385,1.03424,1.39202,1.39132,,4
90,39.3801,-88.2026,281.89,164.38,122.33,107.79,56.59,903.14,367.07,63.6094,127.558,63.9433,738.76,0.110792,0,1,90,1.16236,0.539142,1.23116,1.43133,0.638485,0.856884,0.73382,1.37272,1.01218,,4
91,39.7423,-88.1187,272.849,395.4,306.37,272.03,123.37,994.57,489.71,73.2285,139.513,66.2766,599.17,0.0427536,0,0,91,0.664806,1.15245,0.942913,0.65246,0.834106,0.518517,0.91338,1.10404,1.3622,,4
92,39.1083,-88.0738,268.802,354,287.99,255.62,98.38,1040.48,497.42,54.4302,113.994,59.5599,686.48,0.0678046,0,0,92,0.925635,0.69504,0.69203,0.571745,0.744865,1.22244,1.17303,1.01389,1.02304,,4
95,37.8489,-87.9992,262.055,261.37,214.92,194.43,66.94,965.7,431.42,61.453,119.484,58.0279,704.33,0.0784466,0,0,95,1.36897,0.779578,1.22386,0.992425,1.04059,1.33547,1.40675,0.897374,1.4849,,4
96,37.3264,-87.9802,262.097,397.73,309.71,273.97,123.76,987.79,483.12,74.2326,141.287,67.0474,590.06,0.045407,0,0,96,0.952975,1.14575,1.48602,0.620709,0.74195,0.549433,0.889014,0.777914,1.06883,,4
