# Drug name and concentration: 7: Diltiazem at 892.5μM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# GNa:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   EC50/IC50: Infinity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Hill Coefficient: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# GNaL:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   EC50/IC50: Infinity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Hill Coefficient: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Gto:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   EC50/IC50: Infinity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Hill Coefficient: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# GKr:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   EC50/IC50: 6569,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Hill Coefficient: 0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# GKs:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   EC50/IC50: Infinity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Hill Coefficient: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# GK1:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   EC50/IC50: Infinity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Hill Coefficient: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Gncx:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   EC50/IC50: Infinity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Hill Coefficient: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Pnak:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   EC50/IC50: Infinity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Hill Coefficient: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# PCa:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   EC50/IC50: 112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Hill Coefficient: 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Stimulus Phase: 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Strength: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Duration: 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Frequency: 2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Cycles: 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Stimulus Phase: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Strength: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Duration: 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Frequency: 2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Cycles: 150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Ca_o: 1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# K_o: 5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Na_o: 140,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa,cnet,dose
1,36.613,-87.9193,257.044,303.44,241.91,215.95,87.49,1031.99,467.84,47.8226,104.487,56.6629,728.55,0.0612872,0,0,1,1.25955,1.13245,1.4096,0.921915,1.27445,0.816716,1.36352,0.703243,1.14164,,7
2,37.2475,-88.0025,262.823,251.57,200.73,177.95,73.62,970.73,426.48,57.2996,118.102,60.799,719.16,0.0823254,0,0,2,1.08776,0.804707,1.37275,1.02163,0.660989,1.15547,1.00881,0.848511,1.21274,,7
4,38.2567,-88.0321,267.131,244.77,186.23,161.58,83.19,914.35,401.32,72.557,144.771,72.201,669.58,0.0777982,0,0,4,0.788933,1.07789,0.94939,1.12363,0.947599,0.779872,0.513344,0.870073,0.755705,,7
5,38.7377,-88.0893,271.115,219.43,165,144.04,75.39,938.61,401.11,59.9645,126.385,66.4132,719.18,0.0836014,0,0,5,1.22937,1.06536,0.956006,1.34837,0.619484,0.643933,0.648585,0.987129,0.859177,,7
7,37.7562,-87.9906,261.582,357.11,291.06,253.44,103.67,984.84,477.98,70.4229,143.217,72.7794,627.73,0.0489431,0,0,7,1.12734,1.21322,1.0768,0.59416,1.19831,1.4073,0.535858,0.835674,0.7209,,7
10,38.8702,-88.103,272.863,345.89,264.79,232.31,113.58,1044.79,486.78,48.9681,108.46,59.4888,698.9,0.0715341,0,0,10,0.754755,0.738202,0.883224,0.647699,0.953403,0.66055,1.04908,1.03994,1.00258,,7
11,36.3179,-87.83,249.784,257.3,210.43,186.66,70.64,1048.42,458.4,39.848,96.3763,56.5281,791.12,0.0656856,0,0,11,0.80391,1.26541,1.01014,1.10438,1.04747,1.42593,1.21314,0.58209,0.782922,,7
13,37.0384,-88.0041,262.931,222.28,174.89,153.32,68.96,970.25,413.63,52.1288,112.474,60.342,747.97,0.0927698,0,0,13,1.38171,0.653576,1.36462,1.00154,1.17733,1.34125,0.951589,0.823403,1.02888,,7
14,38.5746,-88.1407,274.534,274.56,210.65,184.94,89.62,987.98,441.33,54.176,118.579,64.3978,713.42,0.0663854,0,0,14,0.502533,1.3019,1.40423,1.1301,1.22046,0.581343,0.725196,1.13212,0.771478,,7
15,38.8837,-88.1176,271.335,342.51,283.62,251.74,90.77,1043.89,500.5,52.9874,117.438,64.4448,701.38,0.0417511,0,0,15,1.32584,1.4682,1.25093,0.796372,1.11965,1.38473,0.766849,1.20998,0.81169,,7
18,40.0057,-88.2184,282.444,399.2,309.41,269.33,129.87,1074.06,526.29,49.1175,115.576,66.4516,674.86,0.0401087,0,0,18,1.35251,1.34048,1.09712,0.598936,1.18766,0.681243,0.619567,1.44938,0.564899,,7
20,38.994,-88.0489,266.485,302.49,242.16,217.74,84.75,1050.59,477.7,44.3068,99.4696,55.1606,748.1,0.0521564,0,0,20,1.42391,1.38016,0.823026,1.08034,1.30752,0.730013,1.49315,0.964038,1.29249,,7
21,37.0074,-87.9607,261.061,266.88,203.26,176.55,90.33,1015.39,445.38,44.9846,107.256,62.2687,748.51,0.072101,0,0,21,1.45445,1.16984,1.2283,1.04432,1.08621,0.666436,0.793681,0.712182,0.571739,,7
22,38.8273,-88.0625,267.085,245.69,196.77,173.68,72.01,927.63,410.34,72.0003,138.596,66.5885,681.94,0.0879522,0,0,22,0.761214,0.601802,0.717928,0.911148,0.781716,1.49751,0.750619,0.973089,1.37017,,7
25,39.382,-88.1971,279.563,301.28,235.67,208.98,92.3,980.37,450.36,62.3358,126.105,63.7634,679.09,0.0701502,0,0,25,0.899575,0.981637,1.3318,0.919708,1.0115,0.733913,0.838232,1.40694,1.25977,,7
27,39.5808,-88.1221,272.995,358.92,290.3,256.43,102.49,1056.31,507.43,51.236,113.087,61.8458,697.39,0.0501723,0,0,27,0.815516,1.14146,0.795586,0.669027,1.07818,1.11744,0.921793,1.17398,0.995901,,7
28,39.8296,-88.139,273.495,354.15,290.25,256.13,98.02,1072.57,513.47,47.2602,108.097,60.8323,718.42,0.0555772,0,0,28,0.854672,1.02472,0.648055,0.639608,0.927037,1.39642,0.93724,1.21773,0.88723,,7
30,36.7848,-87.766,247.072,355.36,287.86,254.51,100.85,1037.82,494.12,54.5857,115.929,61.3407,682.46,0.0395522,0,0,30,1.05917,1.39563,0.733522,0.715208,1.24343,1.04644,1.10792,0.517388,1.05005,,7
31,37.706,-87.9356,258.79,226.26,174.4,154.43,71.83,1006.66,426.62,43.5433,99.7878,56.2434,780.4,0.0840587,0,0,31,1.12096,0.822285,0.671342,1.21236,0.610485,0.805366,1.24918,0.693148,1.13449,,7
32,39.7467,-88.1352,276.281,366.83,276.5,240.71,126.12,1003.97,478.2,63.028,127.212,64.1778,637.14,0.0740099,0,0,32,1.49599,0.551368,0.657084,0.516762,0.998886,0.672193,0.858383,1.14193,1.31535,,7
36,36.9582,-87.8362,250.013,250.74,204.95,183.84,66.9,991.3,435.67,52.4139,109.667,57.2513,740.56,0.0690508,0,0,36,1.41634,1.057,0.838061,1.15579,0.895024,1.32883,1.34997,0.607935,1.43534,,7
40,39.9744,-88.1774,278.474,332.62,265.01,236.12,96.5,1041.35,487.17,50.3991,108.244,57.8414,708.73,0.0735388,0,0,40,0.744339,0.675849,0.746487,0.749454,0.510079,0.888897,1.21937,1.33951,1.37053,,7
42,37.2567,-87.8879,254.611,221.33,175.15,154.43,66.9,1018.16,432.01,41.2208,98.9036,57.6817,796.83,0.0758099,0,0,42,1.20008,1.17544,0.754806,1.2999,1.25591,1.14585,1.08713,0.640316,0.85396,,7
45,40.4614,-88.1849,277.443,247.7,200.87,180.26,67.44,969.67,431.72,59.537,122.103,62.5611,721.97,0.0623863,0,0,45,1.43603,1.45633,0.89132,1.44239,0.996105,1.05435,0.880786,1.45477,1.41733,,7
46,39.7775,-88.0873,269.706,299.56,241.57,216.11,83.45,1047.41,477.9,45.3668,102.075,56.7054,747.85,0.0587793,0,0,46,0.520555,1.18902,0.568774,0.991482,1.14652,0.977829,1.29345,1.07875,1.22147,,7
