# Drug name and concentration: 8: Diltiazem at 1020μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 6569
#   Hill Coefficient: 0.8
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 112
#   Hill Coefficient: 0.7
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,31.017,-88.2192,195.091,221.41,169.73,151.09,70.32,920.47,390.54,65.3858,130.485,65.0919,699.06,0.0997282,0,0,1,0.698716,1.01134,0.978925,1.35698,1.24229,1.36012,0.700452,1.40027,1.13236
2,44.7723,-88.2338,356.679,174.02,122.92,106.41,67.61,988.37,400.27,40.5154,97.9113,57.3918,814.35,0.119675,0,1,2,1.32916,0.618259,0.680672,1.41947,0.736857,1.35337,0.981452,1.46718,1.27088
4,39.2085,-88.2254,294.364,267.95,196.01,169.32,98.63,945.98,416.48,63.6154,130.235,66.6115,678.03,0.0977567,0,0,4,1.065,1.35064,1.43676,1.02166,0.886777,1.10254,0.63188,1.44478,0.960312
5,27.727,-88.2106,172.587,292.92,235.09,211.92,81,1047.74,463.34,40.7275,95.4983,54.7678,754.82,0.0919653,0,0,5,0.626144,0.84137,1.31771,1.06523,0.756123,1.44616,1.30788,1.36701,0.929413
6,40.7081,-87.8926,321.216,310.3,221.64,183.33,126.97,1028.49,458.87,44.566,107.581,63.0109,718.19,0.0983204,0,0,6,1.3041,0.898694,0.95934,0.611217,0.627088,1.43325,0.746303,0.559261,0.548117
9,28.481,-87.954,172.589,246.89,187.91,169.06,77.83,943.94,405.39,61.0525,122.329,61.2719,697.05,0.0845028,0,0,9,0.668078,1.32809,1.00135,1.37704,1.17536,0.881394,1.00129,0.682827,1.2955
10,26.6097,-87.9115,163.638,256.57,193.8,169.69,86.88,1003.8,428.36,43.2159,105.229,62.0097,747.23,0.0876235,0,0,10,0.640383,1.42469,0.790927,1.38253,0.985211,1.07405,0.770907,0.580445,0.502509
14,32.6554,-87.847,220.991,216.77,160.19,140.84,75.93,926.53,388.16,61.8714,125.516,63.6391,709.76,0.0957457,0,0,14,0.874694,0.94465,0.934225,1.34028,1.07286,1.21154,0.825917,0.531405,1.13432
20,34.7455,-87.8393,236.773,395.54,284.4,250.14,145.4,1048.8,490.85,49.4276,107.05,57.6206,653.26,0.0708025,0,0,20,0.939491,1.27055,0.596076,0.642641,0.978897,0.557006,1.3213,0.521269,1.16439
22,32.3571,-88.1937,218.207,252.48,180.46,159.13,93.35,943.06,402.93,59.6994,122.065,62.3597,690.58,0.102849,0,0,22,0.78031,0.734109,1.45535,1.22921,1.16057,0.704971,0.828635,1.2789,1.15187
24,41.3872,-87.8336,327.609,203.58,137.79,119.1,84.48,1001.92,408.96,39.8697,96.4954,56.6247,798.34,0.098678,0,1,24,1.37105,1.49213,0.747794,1.47849,1.2575,0.59586,1.13521,0.501402,1.11469
27,40.418,-87.9873,318.702,377.52,270.87,235.14,142.38,1046.6,487.18,48.8154,105.469,56.6515,669.08,0.0914898,0,0,27,1.25585,0.598904,1.31387,0.59768,0.713975,0.774301,1.35939,0.762138,1.27372
28,41.0472,-88.1699,308.129,360.5,254.55,221.42,139.08,1050.29,483.3,46.0067,102.818,56.8082,689.79,0.0962942,0,0,28,1.13371,0.531424,0.696756,0.633101,0.514713,0.668328,1.21347,1.24446,1.23375
29,35.822,-88.1251,252.824,257.53,181.23,156.06,101.47,910.53,392.83,71.8147,140.864,69.0389,653,0.105077,0,0,29,0.924752,0.572415,1.0307,0.923424,0.675227,0.946268,0.585204,1.04201,0.993049
31,35.6496,-88.208,236.419,314.36,225.45,197.64,116.72,979.15,442.01,58.7388,123.293,64.5472,664.79,0.087846,0,0,31,0.839924,1.19758,0.540567,0.845105,0.78175,0.638315,0.722195,1.33211,1.01411
33,26.3232,-88.1836,149.491,426.56,330.44,296.63,129.93,1048.53,507.75,54.2457,114.683,60.4326,621.97,0.0658778,0,0,33,0.549514,1.184,1.09956,0.579307,0.934161,0.728757,1.03587,1.2644,1.07355
37,37.2305,-87.8922,283.334,197.78,134.5,114.41,83.37,901.88,369.78,64.9403,132.213,67.2632,704.1,0.106692,0,1,37,1.12935,0.8875,1.44939,1.45325,0.656871,0.961389,0.635251,0.576288,0.939036
39,29.5409,-87.8851,182.619,376.04,290.89,255.4,120.64,1020.85,479.18,55.7932,118.127,62.3296,644.81,0.0757453,0,0,39,0.713196,0.904481,0.553781,0.566011,0.814421,1.17739,0.937396,0.567539,0.906994
