# Drug name and concentration: 10: Dofetilide at 21μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 1
#   Hill Coefficient: 0.6
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,41.6478,-88.1524,191.94,591.19,446.68,382.2,208.99,741.13,230.68,378.245,461.881,83.6266,149.94,0.0274458,0,0,1,0.698716,1.01134,0.978925,1.35698,1.24229,1.36012,0.700452,1.40027,1.13236
2,46.9876,-88.1671,350.476,643.55,461.34,379.75,263.8,992.21,527.98,154.048,227.622,73.5638,348.66,0.0328814,0,0,2,1.32916,0.618259,0.680672,1.41947,0.736857,1.35337,0.981452,1.46718,1.27088
4,41.7881,-88.1769,291.036,718.37,510.87,406.4,311.97,958.03,325.8,234.645,316.498,81.8395,239.66,0.0208675,0,0,4,1.065,1.35064,1.43676,1.02166,0.886777,1.10254,0.63188,1.44478,0.960312
5,40.0083,-88.1497,169.651,765.66,599.38,454.21,311.45,1082.9,478.39,135.738,202.69,66.943,317.24,0.0150025,0,0,5,0.626144,0.84137,1.31771,1.06523,0.756123,1.44616,1.30788,1.36701,0.929413
6,41.9877,-87.8444,319.471,783.12,567.89,415.99,367.13,1133.63,672.91,128.607,204.464,75.8442,350.51,0.0376007,0,0,6,1.3041,0.898694,0.95934,0.611217,0.627088,1.43325,0.746303,0.559261,0.548117
9,41.5185,-87.8638,169.869,703.81,494.23,406.81,297,771.78,223.49,435.314,516.433,81.1077,67.97,0.0106556,0,0,9,0.668078,1.32809,1.00135,1.37704,1.17536,0.881394,1.00129,0.682827,1.2955
10,35.9741,-87.8456,162.178,610.05,457.89,381.16,228.89,875.3,360.53,193.517,272.358,78.8299,265.25,0.0335997,0,0,10,0.640383,1.42469,0.790927,1.38253,0.985211,1.07405,0.770907,0.580445,0.502509
14,40.0599,-87.7483,218.002,626.45,457.96,380.49,245.96,736.89,220.36,448.798,535.809,86.9977,110.44,0.0298761,0,0,14,0.874694,0.94465,0.934225,1.34028,1.07286,1.21154,0.825917,0.531405,1.13432
20,38.3264,-87.8064,79.9153,564.16,272.93,165.79,398.37,20.09,20.09,0,148.724,66.2018,-544.07,0.0857361,0,0,20,0.939491,1.27055,0.596076,0.642641,0.978897,0.557006,1.3213,0.521269,1.16439
22,40.3684,-88.1335,214.555,677.52,467.97,390.12,287.4,817.29,257.21,307.339,387.733,80.3839,139.77,0.0305587,0,0,22,0.78031,0.734109,1.45535,1.22921,1.16057,0.704971,0.828635,1.2789,1.15187
24,44.0773,-87.7262,323.202,714.47,446.61,357.37,357.1,932.15,383.8,205.339,282.652,77.2977,217.68,0.0254481,0,0,24,1.37105,1.49213,0.747794,1.47849,1.2575,0.59586,1.13521,0.501402,1.11469
27,26.0355,-22.5209,80.1381,1929.34,1667.23,1169.58,759.76,1969.84,1676.98,34.9428,161.348,135.37,40.5,-0.0868003,1,0,27,1.25585,0.598904,1.31387,0.59768,0.713975,0.774301,1.35939,0.762138,1.27372
28,29.9742,-20.4206,79.9657,1768.01,593.18,82.06,1685.95,1969.95,1093.97,17.3757,137.881,120.412,201.94,-0.0655891,1,0,28,1.13371,0.531424,0.696756,0.633101,0.514713,0.668328,1.21347,1.24446,1.23375
29,40.0751,-88.0659,249.627,752.94,520.89,410.35,342.59,895.8,239.59,347.757,434.109,86.3347,142.86,0.0316667,0,0,29,0.924752,0.572415,1.0307,0.923424,0.675227,0.946268,0.585204,1.04201,0.993049
31,43.1818,-88.1757,232.796,928.96,540.63,407.29,521.67,1025.13,262.03,258.365,338.012,77.4446,96.17,0.0108368,0,0,31,0.839924,1.19758,0.540567,0.845105,0.78175,0.638315,0.722195,1.33211,1.01411
33,24.3198,-88.1678,80.0335,644.86,460.09,316.19,328.67,244.98,211.73,12.0578,151.546,68.3908,-399.88,0.062686,0,0,33,0.549514,1.184,1.09956,0.579307,0.934161,0.728757,1.03587,1.2644,1.07355
37,40.0037,-87.8033,279.91,628.23,448.04,371.29,256.94,778.96,231.91,393.156,484.827,91.6527,150.73,0.0398177,0,0,37,1.12935,0.8875,1.44939,1.45325,0.656871,0.961389,0.635251,0.576288,0.939036
39,40.6117,-19.8141,179.921,2000,296.71,249.9,1750.1,1630.64,329.47,217.87,289.328,149.296,-369.36,-0.112912,1,0,39,0.713196,0.904481,0.553781,0.566011,0.814421,1.17739,0.937396,0.567539,0.906994
40,43.1411,-88.0219,303.855,671,430.49,359.16,311.84,799.64,246.35,351.659,436.886,85.2129,128.64,0.0358019,0,0,40,1.17429,0.704558,1.32276,1.19118,1.40784,0.658034,0.790856,0.971838,1.37901
42,43.3551,-88.1601,204.829,900.44,531.49,418.83,481.61,1011.27,236.67,349.685,428.522,78.8152,110.83,0.0134581,0,0,42,0.742768,0.674059,0.713808,0.799616,1.09805,1.0172,0.779429,1.3845,1.36293
43,45.8362,-88.0293,372.079,810.63,553.42,410.02,400.61,1163.47,714.29,133.548,205.354,71.7922,352.84,0.0266903,0,0,43,1.49368,0.957627,1.33864,0.953683,0.721374,1.43402,1.0162,0.985136,1.00321
44,42.8414,-88.038,246.339,1271.45,1018.15,936.85,334.6,1356.75,261.87,277.626,351.311,73.6831,85.3,-0.0263886,1,0,44,0.94732,1.48203,0.738099,1.28761,0.761784,0.58177,1.24291,0.922959,1.24386
48,38.8777,-18.1533,159.246,1762.46,308.4,261.03,1501.43,1657.28,1728.34,118.302,182.583,128.778,-105.18,-0.119261,1,0,48,0.604991,1.08159,1.13286,0.624544,0.86557,0.820148,1.30413,0.940669,0.778358
49,46.3452,-88.0376,344.457,1082.88,884.75,822.31,260.57,1235.68,712.35,298.422,375.278,76.8545,152.8,-0.0103126,1,0,49,1.37622,1.29656,0.951004,0.907675,1.41294,1.19407,1.14687,1.13365,1.45076
50,42.5752,-87.8291,284.746,886.16,567.92,400.83,485.33,1142.62,434.94,168.735,241.102,72.3401,256.46,0.0265856,0,0,50,1.14857,0.584343,0.689181,1.1136,0.704262,0.960976,1.17044,0.610107,1.08219
51,41.9489,-87.9383,182.291,699.05,487.46,397.66,301.39,838.62,252.75,320.424,400.41,79.975,139.57,0.0130333,0,0,51,0.70162,1.44755,0.604588,1.11681,1.3096,1.00119,0.903256,0.788425,1.05556
52,40.9399,-88.0466,219.932,1206.51,1017.65,932.6,273.91,1409.15,884.38,203.877,274.681,71.6757,202.64,-0.00533551,1,0,52,0.827536,0.97726,1.41491,0.876196,1.31226,1.11097,1.34316,1.09827,1.18682
53,43.0293,-88.1187,241.732,627.95,471.39,399.52,228.43,754.52,214.87,454.828,541.464,86.6249,126.57,0.0170529,0,0,53,0.888628,1.1726,1.08794,1.35344,1.03533,1.49504,0.677542,1.32256,1.43156
55,35.2317,-87.9562,148.963,870.91,603.44,441.88,429.03,1064.95,416.11,157.046,230.505,73.4469,194.04,0.0303052,0,0,55,0.573091,0.6289,0.967936,0.567626,0.871663,0.680532,0.845302,0.740433,0.527537
56,24.3209,-88.1614,80.0898,748.31,521.66,360.59,387.72,302.67,247.58,17.0768,138.176,64.1485,-445.64,0.0641458,0,0,56,0.998344,0.784505,0.566292,0.773854,0.556441,0.502434,1.18801,1.22403,1.09541
57,40.0101,-87.8106,270.118,786.54,524.22,397.01,389.53,967.19,284.46,282.432,371.012,88.5599,180.65,0.0255828,0,0,57,1.08093,1.38975,0.872894,0.749244,0.898956,0.903629,0.52438,0.539359,0.669498
