# Drug name and concentration: 6: Dofetilide at 12.6μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 1
#   Hill Coefficient: 0.6
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,41.6007,-87.8382,252.696,627.34,458.78,368.07,259.27,910.37,387.28,192.153,265.345,73.1811,283.03,0.00225902,0,0,1,1.25955,1.13245,1.4096,0.921915,1.27445,0.816716,1.36352,0.703243,1.14164
2,41.6915,-87.9244,258.652,616.27,481.36,398.78,217.49,858.61,291.28,270.675,350.114,79.4263,242.34,0.0074576,0,0,2,1.08776,0.804707,1.37275,1.02163,0.660989,1.15547,1.00881,0.848511,1.21274
4,41.0998,-87.9776,264.45,562.68,418.7,350.38,212.3,794.23,265.47,308.698,399.742,91.0278,231.55,0.0155142,0,0,4,0.788933,1.07789,0.94939,1.12363,0.947599,0.779872,0.513344,0.870073,0.755705
5,42.0499,-88.0313,268.032,594.21,444.4,374.98,219.23,848.37,309.16,252.884,337.583,84.6849,254.16,0.00697013,0,0,5,1.22937,1.06536,0.956006,1.34837,0.619484,0.643933,0.648585,0.987129,0.859177
7,41.1628,-87.9421,259.626,580.08,447.73,364.58,215.5,843.43,283.17,282.016,370.952,88.9203,263.35,0.0072036,0,0,7,1.12734,1.21322,1.0768,0.59416,1.19831,1.4073,0.535858,0.835674,0.7209
10,42.969,-88.0472,268.816,694.82,484.63,379.45,315.37,1007.06,486.68,153.987,226.737,72.7403,312.24,0.0136461,0,0,10,0.754755,0.738202,0.883224,0.647699,0.953403,0.66055,1.04908,1.03994,1.00258
11,40.9111,-87.7607,246.612,554.91,444.78,369.93,184.98,932.28,469.39,150.574,223.622,73.0374,377.37,0.00678742,0,0,11,0.80391,1.26541,1.01014,1.10438,1.04747,1.42593,1.21314,0.58209,0.782922
13,40.1573,-87.9206,257.586,500.67,396.79,339.04,161.63,793.41,321.93,242.797,322.779,79.9695,292.74,0.0341395,0,0,13,1.38171,0.653576,1.36462,1.00154,1.17733,1.34125,0.951589,0.823403,1.02888
14,41.3266,-88.0927,271.542,583.55,423.07,352.63,230.92,891.06,391.6,185.557,265.372,79.8034,307.51,0.00533465,0,0,14,0.502533,1.3019,1.40423,1.1301,1.22046,0.581343,0.725196,1.13212,0.771478
15,43.2158,-88.0728,268.671,594.87,464.81,382.3,212.57,945.44,419.14,173.333,251.256,77.9124,350.57,-0.0106505,0,0,15,1.32584,1.4682,1.25093,0.796372,1.11965,1.38473,0.766849,1.20998,0.81169
18,42.4854,-88.1896,280.223,659.28,470.21,377.28,282,1029.53,564.96,127.184,203.807,76.6138,370.25,-0.00254836,0,0,18,1.35251,1.34048,1.09712,0.598936,1.18766,0.681243,0.619567,1.44938,0.564899
20,45.2837,-87.9798,261.998,641.25,454.96,368.89,272.36,964.61,467.7,156.62,226.316,69.687,323.36,-0.0148903,0,0,20,1.42391,1.38016,0.823026,1.08034,1.30752,0.730013,1.49315,0.964038,1.29249
21,38.929,-87.9078,258.607,581.52,432.94,358.56,222.96,936.1,473.01,147.384,224.691,77.2963,354.58,0.0160983,0,0,21,1.45445,1.16984,1.2283,1.04432,1.08621,0.666436,0.793681,0.712182,0.571739
22,43.4213,-87.9846,262.267,557.55,440.5,375.15,182.4,744.75,228.87,402.521,489.235,86.7007,187.2,0.0185524,0,0,22,0.761214,0.601802,0.717928,0.911148,0.781716,1.49751,0.750619,0.973089,1.37017
25,43.5242,-88.1413,275.559,628.24,452.85,375.35,252.89,867.06,302.44,255.054,334.913,79.8488,238.82,0.00130863,0,0,25,0.899575,0.981637,1.3318,0.919708,1.0115,0.733913,0.838232,1.40694,1.25977
27,44.5246,-88.0689,269.124,639.64,473.13,380.16,259.48,975.06,427.93,169.254,244.4,75.1361,335.42,-0.00374442,0,0,27,0.815516,1.14146,0.795586,0.669027,1.07818,1.11744,0.921793,1.17398,0.995901
28,44.5934,-88.0898,270.24,626.2,483.01,389.86,236.34,1014.72,549.81,138.489,211.481,72.9832,388.52,0.00205871,0,0,28,0.854672,1.02472,0.648055,0.639608,0.927037,1.39642,0.93724,1.21773,0.88723
30,42.7813,-87.6859,243.254,676.8,484.11,376.95,299.85,914.13,315.29,253.855,332.41,78.5428,237.33,-0.0112483,0,0,30,1.05917,1.39563,0.733522,0.715208,1.24343,1.04644,1.10792,0.517388,1.05005
31,43.1311,-87.8487,254.729,632.77,473.83,388.68,244.09,916.3,385.5,199.408,273.981,74.5611,283.53,0.00712623,0,0,31,1.12096,0.822285,0.671342,1.21236,0.610485,0.805366,1.24918,0.693148,1.13449
32,44.077,-88.0753,271.098,738.84,468.36,371.33,367.51,943.45,296.8,261.784,340.844,79.0464,204.61,0.014787,0,0,32,1.49599,0.551368,0.657084,0.516762,0.998886,0.672193,0.858383,1.14193,1.31535
36,43.0949,-87.7357,245.605,606.45,469.13,388.07,218.38,825.96,279.41,300.791,378.472,77.6686,219.51,-0.00404569,0,0,36,1.41634,1.057,0.838061,1.15579,0.895024,1.32883,1.34997,0.607935,1.43534
40,44.4802,-88.0956,269.825,1126.63,965.64,891.48,235.15,1327.59,797.33,234.925,307.67,72.7392,200.96,-0.0329376,1,0,40,0.744339,0.675849,0.746487,0.749454,0.510079,0.888897,1.21937,1.33951,1.37053
42,42.043,-87.8105,250.654,514.7,398.98,337.06,177.64,869.51,408.13,174.358,250.065,75.6954,354.81,0.0152666,0,0,42,1.20008,1.17544,0.754806,1.2999,1.25591,1.14585,1.08713,0.640316,0.85396
45,46.133,-88.1225,273.272,568.32,435.95,374.65,193.67,822.37,284.9,273.594,353.8,80.1965,254.05,-0.0210016,0,0,45,1.43603,1.45633,0.89132,1.44239,0.996105,1.05435,0.880786,1.45477,1.41733
46,45.9233,-88.0219,265.415,616.17,451.79,370.58,245.59,962.87,474.4,155.229,226.192,70.9541,346.7,-0.00733887,0,0,46,0.520555,1.18902,0.568774,0.991482,1.14652,0.977829,1.29345,1.07875,1.22147
48,42.7548,-88.1719,278.333,709.44,544.01,435.63,273.81,1076.97,601.73,135.222,209.719,74.4885,367.53,-0.0184502,0,0,48,0.875811,1.32957,1.44533,0.703702,0.692465,0.925904,0.760407,1.47106,0.727905
49,40.1983,-87.7905,251.859,502.15,382.59,326.93,175.22,700.73,232.56,391.967,485.367,93.3842,198.58,0.0446873,0,0,49,0.75049,0.502431,0.726344,1.24037,0.723578,0.90769,0.592332,0.562983,0.845769
50,44.7726,-88.0034,265.33,718.7,533.27,426.02,292.68,1049.98,473.69,154.139,227.898,73.7483,331.28,-0.0179675,0,0,50,1.10142,1.2227,0.61558,0.97047,0.559653,0.783285,0.996599,0.947879,0.923251
52,40.2667,-87.9839,265.504,584.68,396.45,326.53,258.15,873.88,396.06,180.1,258.046,77.9341,289.2,0.0415378,0,0,52,1.19088,0.562246,1.10254,0.686676,1.3672,0.508798,0.849273,0.852379,0.803879
54,43.7452,-87.7699,247.678,605.81,474.94,396.51,209.3,795.86,234,390.624,477.265,86.6279,190.05,-0.0165359,0,0,54,0.627448,1.43951,0.681484,1.089,0.820124,1.48235,0.819086,0.624393,1.16368
56,41.9545,-87.8499,253.623,553.47,434.11,368.87,184.6,818.83,311.55,254.483,333.899,79.404,265.36,0.0046284,0,0,56,1.28009,1.13011,1.13133,1.39828,0.864782,1.1005,1.05654,0.726855,1.10836
58,41.5973,-88.1676,278.367,653.4,498.67,406.12,247.28,1000.94,461.68,158.55,238.594,80.0326,347.54,-0.00899261,0,0,58,1.3071,1.36214,1.46698,0.746865,0.842035,0.913154,0.565496,1.42991,0.60293
59,38.5291,-87.8489,253.673,601.91,481.95,394.66,207.25,908.53,375.37,202.307,281.509,79.187,306.62,0.0272948,0,0,59,1.45838,0.622397,1.42167,0.807756,0.579167,1.26232,0.876798,0.648329,0.768789
60,43.6247,-88.0522,268.198,594.26,465.22,396.14,198.12,825.49,264.09,302.64,385.405,82.7531,231.23,-0.0145069,0,0,60,1.01102,1.32426,1.46153,1.33618,0.736779,1.08528,0.80661,1.18583,1.23575
65,43.9247,-88.1655,276.069,644.57,459.72,370.44,274.13,1018.21,557.52,121.246,189.248,67.9961,373.64,-0.00295058,0,0,65,0.597041,1.19478,1.34353,0.742339,1.41369,0.700464,1.28035,1.4744,1.0796
67,38.7381,-87.8458,252.629,567.6,454.77,372.28,195.32,963.65,503.83,135.935,210.212,74.266,396.05,0.038407,0,0,67,0.655703,0.569071,0.931223,0.645672,0.811354,1.41718,0.94074,0.609107,0.610051
71,40.0622,-88.0594,268.621,558.56,427.22,350.23,208.33,880.3,370.82,200.019,282.662,82.63,321.74,0.0165039,0,0,71,0.980899,1.12461,1.49458,0.614746,1.42961,1.18317,0.61743,1.10755,0.685777
72,42.1644,-87.9778,264.334,469.57,360.22,309.92,159.65,718.75,255.72,330.971,422.142,91.1555,249.18,0.0405855,0,0,72,1.48705,0.689768,0.575912,1.28468,1.11181,1.06974,0.553596,0.883968,0.863387
