# Drug name and concentration: 10: Mexiletine at 25032μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: 8957
#   Hill Coefficient: 1.4
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,37.606,-88.1589,190.183,219.77,178.71,167.38,52.39,656.32,247.91,303.786,384.276,80.4865,436.55,0.0976982,0,0,1,0.698716,1.01134,0.978925,1.35698,1.24229,1.36012,0.700452,1.40027,1.13236
2,46.157,-88.165,348.706,216.1,173.41,161.19,54.91,779.28,334.06,150.15,223.298,73.1403,563.18,0.103864,0,0,2,1.32916,0.618259,0.680672,1.41947,0.736857,1.35337,0.981452,1.46718,1.27088
4,40.9476,-88.1674,289.59,258.29,203.12,187.61,70.68,681.94,270.89,264.616,350.118,85.4946,423.65,0.101414,0,0,4,1.065,1.35064,1.43676,1.02166,0.886777,1.10254,0.63188,1.44478,0.960312
5,36.3454,-88.1495,168.208,264.14,216.63,202.19,61.95,813.42,355.3,128.814,195.005,66.1861,549.28,0.0917117,0,0,5,0.626144,0.84137,1.31771,1.06523,0.756123,1.44616,1.30788,1.36701,0.929413
6,41.4264,-87.8342,317.197,297.49,225.37,200.27,97.22,821.97,369.05,136.64,214.203,77.5542,524.48,0.102679,0,0,6,1.3041,0.898694,0.95934,0.611217,0.627088,1.43325,0.746303,0.559261,0.548117
9,37.7946,-87.8852,168.051,234.49,186.46,174.82,59.67,655.15,250.52,306.58,383.339,76.7557,420.66,0.0863099,0,0,9,0.668078,1.32809,1.00135,1.37704,1.17536,0.881394,1.00129,0.682827,1.2955
10,31.7187,-87.8671,161.832,189.87,145.52,133.71,56.16,780.34,313.17,138.095,211.102,73.0007,590.47,0.106422,0,0,10,0.640383,1.42469,0.790927,1.38253,0.985211,1.07405,0.770907,0.580445,0.502509
14,37.9764,-87.757,215.852,218.92,174.75,163.03,55.89,646.64,244.22,322.764,404.82,82.052,427.72,0.0953024,0,0,14,0.874694,0.94465,0.934225,1.34028,1.07286,1.21154,0.825917,0.531405,1.13432
20,40.5472,-87.7379,232.412,388.26,285.13,259.8,128.46,729.39,314.93,228.62,304.073,75.4451,341.13,0.0692759,0,0,20,0.939491,1.27055,0.596076,0.642641,0.978897,0.557006,1.3213,0.521269,1.16439
22,37.2963,-88.1509,212.664,249.67,195.71,183.21,66.46,673.63,262.22,272.249,351.332,79.0792,423.96,0.0967166,0,0,22,0.78031,0.734109,1.45535,1.22921,1.16057,0.704971,0.828635,1.2789,1.15187
24,43.0773,-87.7567,321.787,210.19,159.02,147.44,62.75,758.54,315.87,162.239,235.741,73.4946,548.35,0.101082,0,0,24,1.37105,1.49213,0.747794,1.47849,1.2575,0.59586,1.13521,0.501402,1.11469
27,42.489,-87.9025,312.008,394.62,297.35,269.83,124.79,788.13,364.08,179.089,252.305,73.2064,393.51,0.0733856,0,0,27,1.25585,0.598904,1.31387,0.59768,0.713975,0.774301,1.35939,0.762138,1.27372
28,43.9026,-88.1176,302.444,390.34,293.5,267.2,123.14,832.67,392.96,146.223,217.258,71.0276,442.33,0.0736505,0,0,28,1.13371,0.531424,0.696756,0.633101,0.514713,0.668328,1.21347,1.24446,1.23375
29,39.2412,-88.059,247.279,275.25,213.79,197.22,78.03,633.71,239.37,357.427,446.422,88.9894,358.46,0.096068,0,0,29,0.924752,0.572415,1.0307,0.923424,0.675227,0.946268,0.585204,1.04201,0.993049
31,40.4391,-88.1591,231.698,314.48,239.35,220.8,93.68,691.61,277.62,263.066,344.902,81.8291,377.13,0.0858781,0,0,31,0.839924,1.19758,0.540567,0.845105,0.78175,0.638315,0.722195,1.33211,1.01411
33,38.7195,-88.1302,146.149,408.99,315.59,289.74,119.25,706.05,282.09,264.747,339.998,75.2455,297.06,0.0637648,0,0,33,0.549514,1.184,1.09956,0.579307,0.934161,0.728757,1.03587,1.2644,1.07355
37,39.2068,-87.8116,277.919,198.43,153.7,142.58,55.85,645.3,242.1,316.595,404.773,88.1708,446.87,0.109055,0,0,37,1.12935,0.8875,1.44939,1.45325,0.656871,0.961389,0.635251,0.576288,0.939036
39,38.1059,-87.798,178.83,371.16,290.71,264.38,106.78,684.63,271.11,291.129,371.587,80.4515,313.47,0.0734403,0,0,39,0.713196,0.904481,0.553781,0.566011,0.814421,1.17739,0.937396,0.567539,0.906994
40,42.47,-88.0368,302.095,255.02,196.75,183.22,71.8,644.84,249.59,325.91,410.754,84.8377,389.82,0.0953905,0,0,40,1.17429,0.704558,1.32276,1.19118,1.40784,0.658034,0.790856,0.971838,1.37901
42,40.4502,-88.1523,203.657,325.48,258.4,239.42,86.06,639.83,242.95,360.128,441.952,81.82,314.35,0.0758919,0,0,42,0.742768,0.674059,0.713808,0.799616,1.09805,1.0172,0.779429,1.3845,1.36293
43,45.2612,-88.0207,370.099,264.27,208.21,190.48,73.79,803.83,357.46,142.881,216.412,73.5221,539.56,0.101266,0,0,43,1.49368,0.957627,1.33864,0.953683,0.721374,1.43402,1.0162,0.985136,1.00321
44,41.1437,-88.0337,247.739,255.4,197.98,184.88,70.52,759.11,322.12,168.218,239.444,71.2186,503.71,0.0888975,0,0,44,0.94732,1.48203,0.738099,1.28761,0.761784,0.58177,1.24291,0.922959,1.24386
