# Drug name and concentration: 8: Mexiletine at 20025.6μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: 8957
#   Hill Coefficient: 1.4
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,39.2454,-87.8538,253.252,268.49,216.4,200.09,68.4,767.28,331.82,165.741,236.772,71.0226,498.79,0.0825025,0,0,1,1.25955,1.13245,1.4096,0.921915,1.27445,0.816716,1.36352,0.703243,1.14164
2,40.0352,-87.9249,257.938,254.3,211.09,196.23,58.07,693.46,281.04,246.402,324.957,78.548,439.16,0.0883204,0,0,2,1.08776,0.804707,1.37275,1.02163,0.660989,1.15547,1.00881,0.848511,1.21274
4,39.8856,-87.988,264.946,207.85,162.67,149.01,58.84,662.74,252.19,284.397,374.35,89.9436,454.89,0.103128,0,0,4,0.788933,1.07789,0.94939,1.12363,0.947599,0.779872,0.513344,0.870073,0.755705
5,40.4672,-88.0408,268.102,195.52,153.33,141.5,54.02,701.25,274.35,222.967,305.723,82.7484,505.73,0.104775,0,0,5,1.22937,1.06536,0.956006,1.34837,0.619484,0.643933,0.648585,0.987129,0.859177
7,39.3861,-87.9571,260.539,285.85,232.07,209.67,76.18,666.36,261.99,302.035,393.55,91.503,380.51,0.0867333,0,0,7,1.12734,1.21322,1.0768,0.59416,1.19831,1.4073,0.535858,0.835674,0.7209
10,41.3021,-88.0467,268.945,317.99,247.75,225.8,92.19,793.86,354.29,158.635,232.204,73.5585,475.87,0.0822081,0,0,10,0.754755,0.738202,0.883224,0.647699,0.953403,0.66055,1.04908,1.03994,1.00258
11,38.0863,-87.7932,247.666,210.59,173.11,159.24,51.35,821.76,351.99,117.312,184.958,67.6401,611.17,0.094977,0,0,11,0.80391,1.26541,1.01014,1.10438,1.04747,1.42593,1.21314,0.58209,0.782922
13,39.3276,-87.9258,257.201,233.67,193.51,179.27,54.4,718.99,293.52,209.67,287.255,77.5775,485.32,0.0965388,0,0,13,1.38171,0.653576,1.36462,1.00154,1.17733,1.34125,0.951589,0.823403,1.02888
14,39.6725,-88.098,272.528,217.79,168.64,154.78,63.01,746.88,306.28,175.671,254.366,78.6851,529.09,0.101941,0,0,14,0.502533,1.3019,1.40423,1.1301,1.22046,0.581343,0.725196,1.13212,0.771478
15,40.1729,-88.0903,269.838,263.95,217.01,198.37,65.58,758.88,323.27,179.582,258.251,78.657,494.93,0.0882071,0,0,15,1.32584,1.4682,1.25093,0.796372,1.11965,1.38473,0.766849,1.20998,0.81169
18,40.6065,-88.1909,282.265,298.92,226.78,202.56,96.36,813.29,362.17,141.766,220.188,78.4106,514.37,0.0920071,0,0,18,1.35251,1.34048,1.09712,0.598936,1.18766,0.681243,0.619567,1.44938,0.564899
20,42.1428,-87.9971,262.821,256.01,206.18,191.15,64.86,805.14,356.03,134.465,201.587,67.1128,549.13,0.0796903,0,0,20,1.42391,1.38016,0.823026,1.08034,1.30752,0.730013,1.49315,0.964038,1.29249
21,37.8743,-87.929,260.034,208.28,159.02,144.37,63.91,801.84,336.03,128.305,201.978,73.665,593.56,0.104202,0,0,21,1.45445,1.16984,1.2283,1.04432,1.08621,0.666436,0.793681,0.712182,0.571739
22,42.3397,-87.9831,261.018,261.1,218.46,202.24,58.86,631.94,241.8,363.257,448.865,85.6035,370.84,0.0845722,0,0,22,0.761214,0.601802,0.717928,0.911148,0.781716,1.49751,0.750619,0.973089,1.37017
25,41.7261,-88.1402,275.58,276.09,222.17,205.79,70.3,686.06,277.26,262.73,343.756,81.0189,409.97,0.0855981,0,0,25,0.899575,0.981637,1.3318,0.919708,1.0115,0.733913,0.838232,1.40694,1.25977
27,41.8698,-88.0783,270.035,301.48,244.17,222.77,78.71,773.25,338.91,175.302,251.374,76.0612,471.77,0.0793327,0,0,27,0.815516,1.14146,0.795586,0.669027,1.07818,1.11744,0.921793,1.17398,0.995901
28,41.937,-88.1012,270.598,298.47,244.57,222.28,76.19,818.65,369.92,141.838,215.208,73.3601,520.18,0.0825846,0,0,28,0.854672,1.02472,0.648055,0.639608,0.927037,1.39642,0.93724,1.21773,0.88723
30,40.1828,-87.7059,243.954,297.21,239.9,219.42,77.79,715.26,298.81,230.376,308.333,77.9474,418.05,0.0728513,0,0,30,1.05917,1.39563,0.733522,0.715208,1.24343,1.04644,1.10792,0.517388,1.05005
31,41.1139,-87.8627,253.999,227.32,183.33,170.12,57.2,768.72,325.61,157.302,228.334,71.0241,541.4,0.0909943,0,0,31,1.12096,0.822285,0.671342,1.21236,0.610485,0.805366,1.24918,0.693148,1.13449
32,43.1878,-88.0663,271.118,362.01,281.12,255.86,106.15,686.13,277.74,291.555,373.911,82.3474,324.12,0.0710023,0,0,32,1.49599,0.551368,0.657084,0.516762,0.998886,0.672193,0.858383,1.14193,1.31535
