# Drug name and concentration: 3: Ondansetron at 1075.5μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: 19181
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 1492
#   Hill Coefficient: 1
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 22551
#   Hill Coefficient: 0.8
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,39.8939,-87.8408,252.462,401.36,319.49,286.34,115.02,804.61,374.2,172.437,245.065,72.618,403.25,0.0343955,0,0,1,1.25955,1.13245,1.4096,0.921915,1.27445,0.816716,1.36352,0.703243,1.14164
2,40.3884,-87.9186,257.786,379.14,313.23,284.49,94.65,726.56,307.8,250.693,330.535,79.8312,347.42,0.0459109,0,0,2,1.08776,0.804707,1.37275,1.02163,0.660989,1.15547,1.00881,0.848511,1.21274
4,40.5103,-87.9733,263.735,348.32,275.06,246.33,101.99,687.64,275.61,294.103,386.303,92.1857,339.32,0.0530624,0,0,4,0.788933,1.07789,0.94939,1.12363,0.947599,0.779872,0.513344,0.870073,0.755705
5,41.1165,-88.029,266.819,338.47,268.48,243.13,95.34,724.82,305.51,237.96,323.264,85.292,386.35,0.0533552,0,0,5,1.22937,1.06536,0.956006,1.34837,0.619484,0.643933,0.648585,0.987129,0.859177
7,40.0569,-87.9401,259.45,426.77,345.41,301.08,125.69,741.05,297.02,272.312,362.613,90.2854,314.28,0.0321783,0,0,7,1.12734,1.21322,1.0768,0.59416,1.19831,1.4073,0.535858,0.835674,0.7209
10,41.7793,-88.0456,268.673,450.83,344.98,303.99,146.84,860.14,416.76,148.618,221.936,73.3085,409.31,0.0425829,0,0,10,0.754755,0.738202,0.883224,0.647699,0.953403,0.66055,1.04908,1.03994,1.00258
11,39.0095,-87.7619,246.251,354.56,295.13,265.48,89.08,860.94,406.94,127.919,198.822,70.8943,506.38,0.0426376,0,0,11,0.80391,1.26541,1.01014,1.10438,1.04747,1.42593,1.21314,0.58209,0.782922
13,39.5783,-87.9193,256.932,336.96,277.85,252.08,84.88,746.41,323.67,211.663,290.393,78.7198,409.45,0.06293,0,0,13,1.38171,0.653576,1.36462,1.00154,1.17733,1.34125,0.951589,0.823403,1.02888
14,40.3081,-88.0938,271.085,368.38,287.7,257.84,110.54,796.92,360.15,173.655,253.404,79.7375,428.54,0.0423314,0,0,14,0.502533,1.3019,1.40423,1.1301,1.22046,0.581343,0.725196,1.13212,0.771478
15,41.0263,-88.0722,268.455,417.45,343.99,304.98,112.47,838.77,397.45,164.924,243.146,78.2114,421.32,0.0210105,0,0,15,1.32584,1.4682,1.25093,0.796372,1.11965,1.38473,0.766849,1.20998,0.81169
