# Drug name and concentration: 8: Ondansetron at 2868μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: 19181
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 1492
#   Hill Coefficient: 1
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 22551
#   Hill Coefficient: 0.8
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,39.886,-87.8502,253.686,481.19,372.81,323.37,157.82,861.34,419.97,155.402,226.996,71.5826,380.15,0.0263082,0,0,1,1.25955,1.13245,1.4096,0.921915,1.27445,0.816716,1.36352,0.703243,1.14164
2,40.148,-87.9314,258.988,464.64,376.93,332.41,132.23,789.62,341.85,222.725,301.323,78.5848,324.98,0.0343997,0,0,2,1.08776,0.804707,1.37275,1.02163,0.660989,1.15547,1.00881,0.848511,1.21274
4,40.3574,-87.9821,264.764,431.78,332.74,290.16,141.62,743.72,305.56,260.949,351.426,90.4594,311.94,0.0415045,0,0,4,0.788933,1.07789,0.94939,1.12363,0.947599,0.779872,0.513344,0.870073,0.755705
5,40.9666,-88.035,268.017,434.78,336.87,297.45,137.33,783.68,346.12,212.692,296.632,83.9243,348.9,0.0386569,0,0,5,1.22937,1.06536,0.956006,1.34837,0.619484,0.643933,0.648585,0.987129,0.859177
7,39.8193,-87.9518,260.082,486.19,387.07,328.07,158.12,804.43,330.56,237.022,325.153,88.1128,318.24,0.0270904,0,0,7,1.12734,1.21322,1.0768,0.59416,1.19831,1.4073,0.535858,0.835674,0.7209
10,41.4718,-88.0526,269.543,536.86,399.31,339.49,197.37,928.29,475.11,132.325,204.251,71.916,391.43,0.0353276,0,0,10,0.754755,0.738202,0.883224,0.647699,0.953403,0.66055,1.04908,1.03994,1.00258
11,38.9604,-87.7739,247.187,433.47,356.93,313.34,120.13,907.48,451.14,120.822,191.389,70.5586,474.01,0.0317995,0,0,11,0.80391,1.26541,1.01014,1.10438,1.04747,1.42593,1.21314,0.58209,0.782922
13,39.3543,-87.9312,258.564,402.98,326.94,289.64,113.34,791.91,359.45,190.953,268.697,77.7315,388.93,0.0540163,0,0,13,1.38171,0.653576,1.36462,1.00154,1.17733,1.34125,0.951589,0.823403,1.02888
14,40.1163,-88.0975,272.06,452.6,343.42,299.86,152.74,851.98,407.31,156.265,234.71,78.4327,399.38,0.0320664,0,0,14,0.502533,1.3019,1.40423,1.1301,1.22046,0.581343,0.725196,1.13212,0.771478
15,41.031,-88.0827,269.263,486.19,394.14,340.03,146.16,901.35,450.42,146.704,223.429,76.713,415.16,0.0143388,0,0,15,1.32584,1.4682,1.25093,0.796372,1.11965,1.38473,0.766849,1.20998,0.81169
