# Drug name and concentration: 10: Quinidine at 8429μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: 3487
#   Hill Coefficient: 1.3
# GKr:
#   EC50/IC50: 343
#   Hill Coefficient: 1
# GKs:
#   EC50/IC50: 4899
#   Hill Coefficient: 1.4
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,27.4648,-19.09,79.9971,1806.66,129.59,98.91,1707.75,1613.95,672.88,12.0085,143.099,131.02,-192.71,-0.0590456,1,0,1,0.698716,1.01134,0.978925,1.35698,1.24229,1.36012,0.700452,1.40027,1.13236
2,29.545,-15.6788,79.9966,2000,116.59,86.48,1913.52,2000,1027.12,5.76772,115.366,109.55,0,-0.0691353,1,0,2,1.32916,0.618259,0.680672,1.41947,0.736857,1.35337,0.981452,1.46718,1.27088
4,27.3612,-17.6029,79.9987,2000,132.68,100.54,1899.46,2000,731.49,7.9678,133.929,125.895,0,-0.0626284,1,0,4,1.065,1.35064,1.43676,1.02166,0.886777,1.10254,0.63188,1.44478,0.960312
5,30.1717,-15.4401,79.998,1910.54,116.84,85.17,1825.37,2000,1122.38,5.08768,100.124,94.9937,89.46,-0.0745738,1,0,5,0.626144,0.84137,1.31771,1.06523,0.756123,1.44616,1.30788,1.36701,0.929413
6,26.6876,-18.6737,80.0023,2000,150.65,112.13,1887.87,2000,940.21,7.99781,123.867,115.798,0,-0.0709201,1,0,6,1.3041,0.898694,0.95934,0.611217,0.627088,1.43325,0.746303,0.559261,0.548117
9,28.5891,-16.8087,79.996,2000,109.77,81.84,1918.16,2000,650.55,7.41628,124.329,116.858,0,-0.069599,1,0,9,0.668078,1.32809,1.00135,1.37704,1.17536,0.881394,1.00129,0.682827,1.2955
10,25.1914,-87.8951,79.9914,772.01,599.42,413.88,358.13,216.24,192.17,4.518,136.814,68.8879,-555.77,0.0701217,0,0,10,0.640383,1.42469,0.790927,1.38253,0.985211,1.07405,0.770907,0.580445,0.502509
14,27.5395,-18.1737,79.9971,1882.24,120.3,90.56,1791.68,1988.74,673,9.51534,136.819,127.239,106.5,-0.0674121,1,0,14,0.874694,0.94465,0.934225,1.34028,1.07286,1.21154,0.825917,0.531405,1.13432
20,30.4035,-13.6665,79.9966,2000,95.58,69.78,1930.22,2000,1106.75,2.89042,101.035,98.1017,0,-0.0841997,1,0,20,0.939491,1.27055,0.596076,0.642641,0.978897,0.557006,1.3213,0.521269,1.16439
22,28.4116,-16.996,79.9967,2000,117.96,88.63,1911.37,2000,677.41,7.255,125.893,118.585,0,-0.0633367,1,0,22,0.78031,0.734109,1.45535,1.22921,1.16057,0.704971,0.828635,1.2789,1.15187
