# Drug name and concentration: 2: Quinidine at 1685.8μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: 3487
#   Hill Coefficient: 1.3
# GKr:
#   EC50/IC50: 343
#   Hill Coefficient: 1
# GKs:
#   EC50/IC50: 4899
#   Hill Coefficient: 1.4
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,42.8825,-87.8437,253.362,690.98,497.68,386.05,304.93,979.89,411.13,179.824,252.028,72.193,288.91,-0.0058611,0,0,1,1.25955,1.13245,1.4096,0.921915,1.27445,0.816716,1.36352,0.703243,1.14164
2,42.8039,-87.9302,259.02,662.59,511.31,414.98,247.61,914.57,305.95,253.611,331.978,78.3538,251.98,0.000295064,0,0,2,1.08776,0.804707,1.37275,1.02163,0.660989,1.15547,1.00881,0.848511,1.21274
4,42.1888,-87.9818,264.862,596.29,441.33,366.12,230.17,832.72,274.44,293.18,383.089,89.8918,236.43,0.00908534,0,0,4,0.788933,1.07789,0.94939,1.12363,0.947599,0.779872,0.513344,0.870073,0.755705
5,43.1761,-88.0346,268.44,627.45,466.33,390.03,237.42,886.48,322.68,240.407,324.194,83.7722,259.03,0.000714726,0,0,5,1.22937,1.06536,0.956006,1.34837,0.619484,0.643933,0.648585,0.987129,0.859177
7,42.3966,-87.9479,260.029,618.85,474.76,382.37,236.48,889.97,295.25,266.291,354.01,87.7017,271.12,2.24914E-05,0,0,7,1.12734,1.21322,1.0768,0.59416,1.19831,1.4073,0.535858,0.835674,0.7209
10,44.066,-88.0513,269.016,778.07,531.07,398.1,379.97,1094.56,600.98,144.632,216.341,71.6983,316.49,0.00561186,0,0,10,0.754755,0.738202,0.883224,0.647699,0.953403,0.66055,1.04908,1.03994,1.00258
11,42.1179,-87.7657,247.006,590.84,471.81,387.6,203.24,967.29,497.29,146.256,218.967,72.7002,376.45,0.000229665,0,0,11,0.80391,1.26541,1.01014,1.10438,1.04747,1.42593,1.21314,0.58209,0.782922
13,41.3721,-87.9264,258.419,533.52,419.99,354.27,179.25,829.17,337.32,230.224,309.436,79.1992,295.65,0.02766,0,0,13,1.38171,0.653576,1.36462,1.00154,1.17733,1.34125,0.951589,0.823403,1.02888
14,42.8441,-88.0953,272.059,620.86,446.98,369.11,251.75,934.11,417.26,174.152,253.042,78.8778,313.25,-0.00187137,0,0,14,0.502533,1.3019,1.40423,1.1301,1.22046,0.581343,0.725196,1.13212,0.771478
15,44.5788,-88.078,269.158,634.32,492.71,401.33,232.99,992.66,445.5,163.589,240.692,77.0917,358.34,-0.0183263,0,0,15,1.32584,1.4682,1.25093,0.796372,1.11965,1.38473,0.766849,1.20998,0.81169
