# Drug name and concentration: 11: Ranolazine at 29223μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: 7884
#   Hill Coefficient: 0.9
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 6490
#   Hill Coefficient: 0.8
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,39.6329,-87.8513,254.335,482.74,364.69,315.75,166.99,807.56,367.53,193.892,267.461,73.5554,324.82,0.0499513,0,0,1,1.25955,1.13245,1.4096,0.921915,1.27445,0.816716,1.36352,0.703243,1.14164
2,40.4387,-87.934,259.751,490.9,391.15,341.56,149.34,750.39,285.05,284.02,364.731,80.6968,259.49,0.0477861,0,0,2,1.08776,0.804707,1.37275,1.02163,0.660989,1.15547,1.00881,0.848511,1.21274
4,40.2658,-87.9858,266.325,428.08,320.58,279.02,149.06,686.44,257.33,335.189,428.769,93.561,258.36,0.0671976,0,0,4,0.788933,1.07789,0.94939,1.12363,0.947599,0.779872,0.513344,0.870073,0.755705
5,40.9143,-88.0315,269.427,447.2,335.73,294.66,152.54,731.13,294.07,274.05,360.777,86.7104,283.93,0.061895,0,0,5,1.22937,1.06536,0.956006,1.34837,0.619484,0.643933,0.648585,0.987129,0.859177
7,39.6434,-87.9682,261.776,448.54,351.04,299.72,148.82,722.86,271.51,308.365,399.938,91.5536,274.32,0.0615048,0,0,7,1.12734,1.21322,1.0768,0.59416,1.19831,1.4073,0.535858,0.835674,0.7209
10,41.6705,-88.0481,270.245,551.42,396.12,333.08,218.34,884.91,427.76,162.859,236.73,73.8586,333.49,0.0518631,0,0,10,0.754755,0.738202,0.883224,0.647699,0.953403,0.66055,1.04908,1.03994,1.00258
11,38.583,-87.7922,248.548,424.22,343.13,299.78,124.44,858.41,414.23,144.376,216.573,72.1837,434.19,0.0592213,0,0,11,0.80391,1.26541,1.01014,1.10438,1.04747,1.42593,1.21314,0.58209,0.782922
13,39.697,-87.9325,258.9,421.13,337.15,297.4,123.73,744.92,313.65,245.294,325.578,80.2709,323.79,0.0640293,0,0,13,1.38171,0.653576,1.36462,1.00154,1.17733,1.34125,0.951589,0.823403,1.02888
14,39.9835,-88.0894,273.905,441.39,322.08,280.89,160.5,787.17,352.31,198.946,280.108,81.1463,345.78,0.065974,0,0,14,0.502533,1.3019,1.40423,1.1301,1.22046,0.581343,0.725196,1.13212,0.771478
15,40.4656,-88.0993,271.233,450.84,358.2,309.32,141.52,822.91,378.08,186.378,265.635,79.2421,372.07,0.0565663,0,0,15,1.32584,1.4682,1.25093,0.796372,1.11965,1.38473,0.766849,1.20998,0.81169
18,40.823,-88.1931,283.512,504.79,360.09,301.77,203.02,894.51,443.48,140.861,219.148,78.2729,389.72,0.0643948,0,0,18,1.35251,1.34048,1.09712,0.598936,1.18766,0.681243,0.619567,1.44938,0.564899
20,42.887,-87.9888,264.186,478.3,356.77,311.61,166.69,851.65,415.16,156.071,225.806,69.7231,373.35,0.0438896,0,0,20,1.42391,1.38016,0.823026,1.08034,1.30752,0.730013,1.49315,0.964038,1.29249
21,38.1643,-87.9204,260.774,441.32,325.77,280.9,160.42,845.71,400.32,150.783,228.344,77.5466,404.39,0.0697265,0,0,21,1.45445,1.16984,1.2283,1.04432,1.08621,0.666436,0.793681,0.712182,0.571739
22,42.6351,-87.9943,262.889,468.13,377.25,331.31,136.82,669.24,226.87,416.669,504.55,87.8691,201.11,0.0492133,0,0,22,0.761214,0.601802,0.717928,0.911148,0.781716,1.49751,0.750619,0.973089,1.37017
25,42.0665,-88.1402,277.247,493.64,369.05,322.38,171.26,748.81,289.38,276.449,358.12,81.6594,255.17,0.050295,0,0,25,0.899575,0.981637,1.3318,0.919708,1.0115,0.733913,0.838232,1.40694,1.25977
27,42.239,-88.0859,271.412,494.34,378.16,322.75,171.59,848.81,394.59,179.568,255.887,76.3051,354.47,0.050308,0,0,27,0.815516,1.14146,0.795586,0.669027,1.07818,1.11744,0.921793,1.17398,0.995901
28,42.3494,-88.11,271.836,494.21,388.97,330.57,163.64,901.75,452.81,145.266,219.023,73.7455,407.54,0.0527689,0,0,28,0.854672,1.02472,0.648055,0.639608,0.927037,1.39642,0.93724,1.21773,0.88723
30,40.5721,-87.7124,245.106,495.57,374.66,319.13,176.44,762.18,306.96,261.425,341.254,79.8138,266.61,0.0442607,0,0,30,1.05917,1.39563,0.733522,0.715208,1.24343,1.04644,1.10792,0.517388,1.05005
31,41.8128,-87.8564,255.459,491.72,376.15,327.24,164.48,810.36,363.39,202.796,277.935,75.1253,318.64,0.0477568,0,0,31,1.12096,0.822285,0.671342,1.21236,0.610485,0.805366,1.24918,0.693148,1.13449
32,43.5051,-88.0712,272.496,578.87,402.66,339.92,238.95,790.02,281.65,285.323,366.726,81.3907,211.15,0.0449995,0,0,32,1.49599,0.551368,0.657084,0.516762,0.998886,0.672193,0.858383,1.14193,1.31535
36,41.6632,-87.7548,246.661,470.89,377.5,331.86,139.03,724.12,280.84,299.878,378.035,78.1445,253.23,0.0404523,0,0,36,1.41634,1.057,0.838061,1.15579,0.895024,1.32883,1.34997,0.607935,1.43534
40,43.964,-88.1227,274.912,628.29,470.79,386.82,241.47,950.47,427.8,169.245,240.758,71.5009,322.18,0.0311837,0,0,40,0.744339,0.675849,0.746487,0.749454,0.510079,0.888897,1.21937,1.33951,1.37053
42,40.0728,-87.8362,252.692,397.42,312.66,275.5,121.92,812.7,376.55,167.314,242.277,74.9495,415.28,0.0632534,0,0,42,1.20008,1.17544,0.754806,1.2999,1.25591,1.14585,1.08713,0.640316,0.85396
45,43.5614,-88.1348,275.335,431.45,342.48,306.54,124.91,717.69,281.28,288.32,369.665,81.3334,286.24,0.0456176,0,0,45,1.43603,1.45633,0.89132,1.44239,0.996105,1.05435,0.880786,1.45477,1.41733
46,43.7706,-88.0374,267.682,472.67,361.25,314.56,158.11,858.69,419.28,156.659,227.838,71.1661,386.02,0.0459689,0,0,46,0.520555,1.18902,0.568774,0.991482,1.14652,0.977829,1.29345,1.07875,1.22147
48,40.5264,-88.1833,281.076,536.13,411.22,346.39,189.74,912.09,456.5,150.314,226.557,76.2302,375.96,0.0526093,0,0,48,0.875811,1.32957,1.44533,0.703702,0.692465,0.925904,0.760407,1.47106,0.727905
49,39.7656,-87.7973,252.537,414.27,318.04,279.1,135.17,648.13,233.17,396.606,490.694,94.073,233.86,0.0705674,0,0,49,0.75049,0.502431,0.726344,1.24037,0.723578,0.90769,0.592332,0.562983,0.845769
50,42.1367,-88.0128,267.031,530.5,401.07,341.77,188.73,885.64,430.78,162.809,237.645,74.8214,355.14,0.0444318,0,0,50,1.10142,1.2227,0.61558,0.97047,0.559653,0.783285,0.996599,0.947879,0.923251
52,39.848,-87.9821,266.551,491.98,339.11,290.16,201.82,813.54,371.33,185.664,264.253,78.5754,321.56,0.0688007,0,0,52,1.19088,0.562246,1.10254,0.686676,1.3672,0.508798,0.849273,0.852379,0.803879
54,41.2051,-87.7984,249.543,453.19,366.46,321.48,131.71,669.53,233.85,397.607,485.495,87.8725,216.34,0.0438902,0,0,54,0.627448,1.43951,0.681484,1.089,0.820124,1.48235,0.819086,0.624393,1.16368
56,40.2728,-87.8672,254.795,427.84,341.12,302.93,124.91,739.27,310,253.241,332.807,79.5526,311.43,0.05421,0,0,56,1.28009,1.13011,1.13133,1.39828,0.864782,1.1005,1.05654,0.726855,1.10836
58,40.1772,-88.1794,281.065,490.34,371.28,314.4,175.94,846.17,395.35,181.084,263.804,82.7036,355.83,0.0621797,0,0,58,1.3071,1.36214,1.46698,0.746865,0.842035,0.913154,0.565496,1.42991,0.60293
59,38.1065,-87.8593,254.519,488.79,390.63,334.19,154.6,814.21,352.45,211.147,291.408,80.2455,325.42,0.0606183,0,0,59,1.45838,0.622397,1.42167,0.807756,0.579167,1.26232,0.876798,0.648329,0.768789
60,41.216,-88.0644,269.676,449.63,359.95,320.06,129.57,703.54,258.21,324.865,409.365,84.4872,253.91,0.0490068,0,0,60,1.01102,1.32426,1.46153,1.33618,0.736779,1.08528,0.80661,1.18583,1.23575
65,41.4303,-88.1673,278.523,501.98,370.24,319.39,182.59,911.54,460.28,125.548,193.873,68.3157,409.56,0.0530523,0,0,65,0.597041,1.19478,1.34353,0.742339,1.41369,0.700464,1.28035,1.4744,1.0796
