# Drug name and concentration: 4: Ranolazine at 7792.8μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: 7884
#   Hill Coefficient: 0.9
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 6490
#   Hill Coefficient: 0.8
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,39.7692,-87.8433,253.349,406.89,319.38,285.82,121.07,779.96,355.39,192.608,266.209,73.5903,373.07,0.0489435,0,0,1,1.25955,1.13245,1.4096,0.921915,1.27445,0.816716,1.36352,0.703243,1.14164
2,40.4588,-87.9224,258.451,396.28,324.63,293.76,102.52,706.3,286.65,283.703,364.67,80.9566,310.02,0.053831,0,0,2,1.08776,0.804707,1.37275,1.02163,0.660989,1.15547,1.00881,0.848511,1.21274
4,40.359,-87.9774,264.888,351.23,272.87,243.86,107.37,663.41,257.3,331.381,424.983,93.5875,312.18,0.0681717,0,0,4,0.788933,1.07789,0.94939,1.12363,0.947599,0.779872,0.513344,0.870073,0.755705
5,40.9805,-88.0276,267.783,348.89,272.3,246.03,102.86,700.4,286.93,270.447,357.169,86.7096,351.51,0.066725,0,0,5,1.22937,1.06536,0.956006,1.34837,0.619484,0.643933,0.648585,0.987129,0.859177
7,39.8293,-87.9532,260.331,411.68,329.55,287.48,124.2,705.35,271.28,308.565,400.419,91.8361,293.67,0.0538824,0,0,7,1.12734,1.21322,1.0768,0.59416,1.19831,1.4073,0.535858,0.835674,0.7209
10,41.771,-88.0436,269.265,461.86,347.28,304.53,157.33,837.88,398.7,165.693,240.052,74.3484,376.02,0.0528397,0,0,10,0.754755,0.738202,0.883224,0.647699,0.953403,0.66055,1.04908,1.03994,1.00258
11,38.7633,-87.7759,247.296,354.21,291.86,261.98,92.23,838.18,391.1,140.116,211.862,71.7361,483.97,0.0590166,0,0,11,0.80391,1.26541,1.01014,1.10438,1.04747,1.42593,1.21314,0.58209,0.782922
13,39.6938,-87.9223,257.47,351.87,288.16,260.78,91.09,724.03,307.29,240.726,320.79,80.0534,372.16,0.0686481,0,0,13,1.38171,0.653576,1.36462,1.00154,1.17733,1.34125,0.951589,0.823403,1.02888
14,40.1178,-88.0891,272.346,367.28,280.68,251.2,116.08,766.98,337.78,196.472,277.587,81.1018,399.7,0.0628908,0,0,14,0.502533,1.3019,1.40423,1.1301,1.22046,0.581343,0.725196,1.13212,0.771478
15,40.6906,-88.0847,269.509,403.45,328.34,290.7,112.75,802.88,367.57,185.841,265.261,79.4066,399.43,0.0474832,0,0,15,1.32584,1.4682,1.25093,0.796372,1.11965,1.38473,0.766849,1.20998,0.81169
18,41.0128,-88.1889,281.828,454.64,338.77,291.81,162.83,877.74,428.05,139.746,218.148,78.3905,423.1,0.0531155,0,0,18,1.35251,1.34048,1.09712,0.598936,1.18766,0.681243,0.619567,1.44938,0.564899
20,43.141,-87.9846,262.97,400.23,312.45,281.08,119.15,825.06,391.25,154.468,224.162,69.6841,424.83,0.0408493,0,0,20,1.42391,1.38016,0.823026,1.08034,1.30752,0.730013,1.49315,0.964038,1.29249
21,38.2703,-87.9136,259.395,363.74,278.52,246.94,116.8,824.35,377.48,148.022,225.355,77.3216,460.61,0.0689484,0,0,21,1.45445,1.16984,1.2283,1.04432,1.08621,0.666436,0.793681,0.712182,0.571739
22,42.6436,-87.9839,261.96,387.38,319.83,288.79,98.59,635.88,229.65,411.413,499.364,87.9427,248.5,0.0553531,0,0,22,0.761214,0.601802,0.717928,0.911148,0.781716,1.49751,0.750619,0.973089,1.37017
25,42.1574,-88.1367,276,414.27,323.72,291.32,122.95,714.3,288.88,278.097,360.131,82.0236,300.03,0.0500186,0,0,25,0.899575,0.981637,1.3318,0.919708,1.0115,0.733913,0.838232,1.40694,1.25977
27,42.4865,-88.0755,270.343,436.35,344.52,302.99,133.36,818.83,380.84,181.137,257.806,76.6573,382.48,0.0447918,0,0,27,0.815516,1.14146,0.795586,0.669027,1.07818,1.11744,0.921793,1.17398,0.995901
28,42.6131,-88.0983,270.829,434.9,350.52,307.47,127.43,869.72,424.72,146.102,220.147,74.0337,434.82,0.0486067,0,0,28,0.854672,1.02472,0.648055,0.639608,0.927037,1.39642,0.93724,1.21773,0.88723
30,40.8297,-87.6972,243.956,436.43,341.85,300.26,136.17,733.11,302.87,264.853,345.115,80.2493,296.68,0.0388066,0,0,30,1.05917,1.39563,0.733522,0.715208,1.24343,1.04644,1.10792,0.517388,1.05005
31,41.8107,-87.849,254.246,379.06,300.88,272.06,107,769.15,346.16,197.315,272.192,74.8656,390.09,0.05629,0,0,31,1.12096,0.822285,0.671342,1.21236,0.610485,0.805366,1.24918,0.693148,1.13449
32,43.5256,-88.0665,271.557,491.75,363.03,318.11,173.64,733.56,276.78,294.592,376.917,82.3135,241.81,0.0467216,0,0,32,1.49599,0.551368,0.657084,0.516762,0.998886,0.672193,0.858383,1.14193,1.31535
36,41.7548,-87.7411,245.393,383.31,316.38,287.3,96.01,694.48,286.58,290.558,368.42,77.8523,311.17,0.0445324,0,0,36,1.41634,1.057,0.838061,1.15579,0.895024,1.32883,1.34997,0.607935,1.43534
40,43.9944,-88.1146,274.093,485.25,382.79,338.94,146.31,842.08,398.52,178.501,251.224,72.7125,356.83,0.0376698,0,0,40,0.744339,0.675849,0.746487,0.749454,0.510079,0.888897,1.21937,1.33951,1.37053
42,40.2165,-87.8239,251.37,325.99,263.16,237.55,88.44,798.47,358.8,160.294,234.585,74.28,472.48,0.0648098,0,0,42,1.20008,1.17544,0.754806,1.2999,1.25591,1.14585,1.08713,0.640316,0.85396
45,43.7491,-88.1261,273.777,356.2,292.33,267.65,88.55,695.92,284.18,282.791,364.01,81.2103,339.72,0.044409,0,0,45,1.43603,1.45633,0.89132,1.44239,0.996105,1.05435,0.880786,1.45477,1.41733
46,44.0008,-88.0291,266.43,398.32,316.14,283.5,114.82,829.38,393.48,155.637,226.845,71.1977,431.06,0.0442119,0,0,46,0.520555,1.18902,0.568774,0.991482,1.14652,0.977829,1.29345,1.07875,1.22147
48,40.6767,-88.1739,279.14,463.54,366.99,321.23,142.31,872.54,426.19,151.292,227.959,76.6554,409,0.044846,0,0,48,0.875811,1.32957,1.44533,0.703702,0.692465,0.925904,0.760407,1.47106,0.727905
49,39.7098,-87.7897,251.448,318.26,250.67,226.13,92.13,632.66,239.18,375.578,468.588,93.0005,314.4,0.080859,0,0,49,0.75049,0.502431,0.726344,1.24037,0.723578,0.90769,0.592332,0.562983,0.845769
50,42.3703,-88.0036,265.613,427.66,335.73,298.37,129.29,832.2,394.37,164.759,240.05,75.2784,404.54,0.044961,0,0,50,1.10142,1.2227,0.61558,0.97047,0.559653,0.783285,0.996599,0.947879,0.923251
52,39.874,-87.9814,265.628,414.54,300.14,264.45,150.09,787.22,354.46,185.8,264.537,78.725,372.68,0.0711925,0,0,52,1.19088,0.562246,1.10254,0.686676,1.3672,0.508798,0.849273,0.852379,0.803879
