# Drug name and concentration: 13: Sotalol at 367160μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 86369
#   Hill Coefficient: 0.9
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,41.4725,-87.8366,252.711,589.7,437.87,360.24,229.46,878.64,380.44,195.958,269.58,73.6111,288.94,0.00560124,0,0,1,1.25955,1.13245,1.4096,0.921915,1.27445,0.816716,1.36352,0.703243,1.14164
2,41.5294,-87.9224,258.595,577.52,456.62,386.58,190.94,821.99,287.31,276.783,356.805,80.0099,244.47,0.0116071,0,0,2,1.08776,0.804707,1.37275,1.02163,0.660989,1.15547,1.00881,0.848511,1.21274
4,41.0609,-87.9759,264.306,532.13,400.39,339.34,192.79,768.62,263.37,313.952,405.6,91.6314,236.49,0.0193592,0,0,4,0.788933,1.07789,0.94939,1.12363,0.947599,0.779872,0.513344,0.870073,0.755705
5,41.8114,-88.0294,267.884,554.98,420.32,360.05,194.93,815.59,305.25,258.235,343.546,85.2963,260.61,0.0120457,0,0,5,1.22937,1.06536,0.956006,1.34837,0.619484,0.643933,0.648585,0.987129,0.859177
7,41.0513,-87.9412,259.593,560.99,436.18,358.89,202.1,825.4,281.32,285.277,374.614,89.3217,264.41,0.00940418,0,0,7,1.12734,1.21322,1.0768,0.59416,1.19831,1.4073,0.535858,0.835674,0.7209
10,42.8693,-88.0457,268.843,652.66,463.12,372.26,280.4,970.51,466.47,157.053,230.244,73.1809,317.85,0.016712,0,0,10,0.754755,0.738202,0.883224,0.647699,0.953403,0.66055,1.04908,1.03994,1.00258
11,40.7662,-87.7595,246.523,527.11,425.08,358.94,168.17,912.13,457.19,151.426,224.623,73.1868,385.02,0.0103511,0,0,11,0.80391,1.26541,1.01014,1.10438,1.04747,1.42593,1.21314,0.58209,0.782922
13,40.1328,-87.9194,257.503,478.87,382.15,330.26,148.61,778.65,319.8,244.402,324.575,80.1607,299.78,0.0369101,0,0,13,1.38171,0.653576,1.36462,1.00154,1.17733,1.34125,0.951589,0.823403,1.02888
14,41.1236,-88.0917,271.464,552.82,406.25,343.26,209.56,868.72,385.91,188.016,268.171,80.144,315.9,0.00896512,0,0,14,0.502533,1.3019,1.40423,1.1301,1.22046,0.581343,0.725196,1.13212,0.771478
15,43.0724,-88.072,268.63,571.49,450.12,374.85,196.64,924.62,413.83,175.368,253.58,78.2015,353.13,-0.00779664,0,0,15,1.32584,1.4682,1.25093,0.796372,1.11965,1.38473,0.766849,1.20998,0.81169
18,42.3595,-88.189,280.174,635.05,457.57,371.4,263.65,1010.62,547.68,128.454,205.318,76.8548,375.57,-0.00013082,0,0,18,1.35251,1.34048,1.09712,0.598936,1.18766,0.681243,0.619567,1.44938,0.564899
20,45.1654,-87.9783,262.035,597.52,433.65,360.62,236.9,928.09,451.9,159.601,229.694,70.0843,330.57,-0.0110035,0,0,20,1.42391,1.38016,0.823026,1.08034,1.30752,0.730013,1.49315,0.964038,1.29249
21,38.9047,-87.9068,258.503,551.63,414.1,347.56,204.07,915.85,458.35,148.722,226.262,77.5289,364.22,0.0196314,0,0,21,1.45445,1.16984,1.2283,1.04432,1.08621,0.666436,0.793681,0.712182,0.571739
22,43.2914,-87.9832,262.195,530.6,423.85,365.43,165.17,720.07,227.98,407.571,494.729,87.1472,189.47,0.0217737,0,0,22,0.761214,0.601802,0.717928,0.911148,0.781716,1.49751,0.750619,0.973089,1.37017
25,43.3816,-88.1398,275.506,592.08,435.19,367.14,224.94,834.8,298.38,260.143,340.526,80.3721,242.72,0.00483374,0,0,25,0.899575,0.981637,1.3318,0.919708,1.0115,0.733913,0.838232,1.40694,1.25977
27,44.4258,-88.0681,269.127,610.03,457.27,373.68,236.35,948.03,421.69,171.782,247.277,75.4843,338,-0.000976057,0,0,27,0.815516,1.14146,0.795586,0.669027,1.07818,1.11744,0.921793,1.17398,0.995901
