# Drug name and concentration: 6: Sotalol at 88118.4μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 86369
#   Hill Coefficient: 0.9
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,39.8737,-88.1489,190.879,360.94,291.56,267.58,93.36,643.45,237.81,367.651,451.434,83.7779,282.51,0.0600535,0,0,1,0.698716,1.01134,0.978925,1.35698,1.24229,1.36012,0.700452,1.40027,1.13236
2,46.6457,-88.1592,349.075,350.62,277.16,252.16,98.46,807.69,374.18,163.15,238.24,75.08,457.07,0.0702992,0,0,2,1.32916,0.618259,0.680672,1.41947,0.736857,1.35337,0.981452,1.46718,1.27088
4,41.5163,-88.1645,289.753,423.04,328.53,294.71,128.33,725.74,294.35,272.654,358.791,86.1264,302.7,0.0550807,0,0,4,1.065,1.35064,1.43676,1.02166,0.886777,1.10254,0.63188,1.44478,0.960312
5,38.5687,-88.1419,168.856,424.05,345.63,314.65,109.4,845.2,399.2,145.143,213.353,68.2041,421.15,0.0522,0,0,5,0.626144,0.84137,1.31771,1.06523,0.756123,1.44616,1.30788,1.36701,0.929413
6,41.7738,-87.8289,318.169,475.39,358.99,305.93,169.46,888.85,443.42,143.108,221.982,78.8629,413.46,0.0677684,0,0,6,1.3041,0.898694,0.95934,0.611217,0.627088,1.43325,0.746303,0.559261,0.548117
9,39.9798,-87.8653,168.992,390.81,305.37,279.12,111.69,628.88,233.24,404.123,485.126,80.9984,238.07,0.0465761,0,0,9,0.668078,1.32809,1.00135,1.37704,1.17536,0.881394,1.00129,0.682827,1.2955
10,34.3203,-87.8408,161.377,341.92,267.84,242.23,99.69,765.63,325.78,184.649,263.059,78.4022,423.71,0.0701395,0,0,10,0.640383,1.42469,0.790927,1.38253,0.985211,1.07405,0.770907,0.580445,0.502509
14,38.5466,-87.7424,216.668,357.42,282.38,257.3,100.12,619.95,229.99,417.466,504.198,86.7262,262.53,0.0631471,0,0,14,0.874694,0.94465,0.934225,1.34028,1.07286,1.21154,0.825917,0.531405,1.13432
20,41.5698,-87.7278,232.677,609.4,420.17,358.41,250.99,805.2,319.18,249.34,325.845,76.495,195.8,0.0294098,0,0,20,0.939491,1.27055,0.596076,0.642641,0.978897,0.557006,1.3213,0.521269,1.16439
22,38.7137,-88.1359,213.252,397.71,305.53,279.9,117.81,672.96,258.02,318.377,400.109,81.7257,275.25,0.0628141,0,0,22,0.78031,0.734109,1.45535,1.22921,1.16057,0.704971,0.828635,1.2789,1.15187
24,43.7016,-87.7245,321.12,369.32,271.55,245.28,124.04,749.28,331.79,211.302,290.004,78.6909,379.96,0.0619743,0,0,24,1.37105,1.49213,0.747794,1.47849,1.2575,0.59586,1.13521,0.501402,1.11469
27,42.8153,-87.9008,312.818,595.54,425.43,361.3,234.24,884.72,410.07,180.745,253.899,73.1427,289.18,0.0421502,0,0,27,1.25585,0.598904,1.31387,0.59768,0.713975,0.774301,1.35939,0.762138,1.27372
28,44.3646,-88.114,302.841,597.44,427.45,367.76,229.68,932.86,480.63,146.042,216.989,70.9381,335.42,0.0399433,0,0,28,1.13371,0.531424,0.696756,0.633101,0.514713,0.668328,1.21347,1.24446,1.23375
29,39.6566,-88.0517,248.204,427.88,326.58,292.99,134.89,647.38,230.24,395.915,487.02,91.0955,219.5,0.0650024,0,0,29,0.924752,0.572415,1.0307,0.923424,0.675227,0.946268,0.585204,1.04201,0.993049
31,42.0271,-88.1553,232.319,500.71,368.39,327.78,172.93,744.95,283.13,272.851,355.236,82.3758,244.24,0.0407875,0,0,31,0.839924,1.19758,0.540567,0.845105,0.78175,0.638315,0.722195,1.33211,1.01411
33,41.0485,-88.1287,146.669,606.72,448.59,391.28,215.44,786.19,272.93,270.87,346.297,75.4198,179.47,0.0204089,0,0,33,0.549514,1.184,1.09956,0.579307,0.934161,0.728757,1.03587,1.2644,1.07355
37,39.6373,-87.7939,277.943,336.18,258.72,235.01,101.17,624.36,234.8,397.662,491.122,93.4509,288.18,0.0777434,0,0,37,1.12935,0.8875,1.44939,1.45325,0.656871,0.961389,0.635251,0.576288,0.939036
39,39.6653,-87.7949,179.577,551.18,418.65,361.5,189.68,744.24,259.18,313.598,395.007,81.3991,193.06,0.0387246,0,0,39,0.713196,0.904481,0.553781,0.566011,0.814421,1.17739,0.937396,0.567539,0.906994
40,42.8512,-88.0196,302.538,393.99,293.27,266.66,127.33,646.74,244.34,370.71,458.144,87.4253,252.75,0.0647628,0,0,40,1.17429,0.704558,1.32276,1.19118,1.40784,0.658034,0.790856,0.971838,1.37901
42,42.3172,-88.146,204.401,477.29,367.36,330.14,147.15,659.23,229.11,397.018,480.358,83.3331,181.94,0.0436118,0,0,42,0.742768,0.674059,0.713808,0.799616,1.09805,1.0172,0.779429,1.3845,1.36293
43,45.6097,-88.0161,370.68,423.93,328.5,291.1,132.83,854.82,417.25,150.495,225.506,75.0015,430.89,0.0631512,0,0,43,1.49368,0.957627,1.33864,0.953683,0.721374,1.43402,1.0162,0.985136,1.00321
44,42.2836,-88.012,247.765,437.51,330.35,300.01,137.5,775.55,349.46,203.763,278.132,74.3593,338.04,0.040833,0,0,44,0.94732,1.48203,0.738099,1.28761,0.761784,0.58177,1.24291,0.922959,1.24386
48,38.1973,-88.0199,158.956,564.18,425.84,370.22,193.96,899.28,434.28,143.555,212.39,68.8266,335.1,0.0358989,0,0,48,0.604991,1.08159,1.13286,0.624544,0.86557,0.820148,1.30413,0.940669,0.778358
49,46.2946,-88.0518,348.926,448.93,341.41,303.95,144.98,808.73,380.93,191.615,267.363,75.7374,359.8,0.0421425,0,0,49,1.37622,1.29656,0.951004,0.907675,1.41294,1.19407,1.14687,1.13365,1.45076
50,42.1396,-87.8092,283.553,404.58,307.5,276.45,128.13,775.32,351.67,197.969,274.384,76.4045,370.74,0.0642746,0,0,50,1.14857,0.584343,0.689181,1.1136,0.704262,0.960976,1.17044,0.610107,1.08219
51,40.6235,-87.9322,181.576,418.62,325.69,294.9,123.72,674.92,253.43,328.378,409.699,81.3143,256.3,0.044744,0,0,51,0.70162,1.44755,0.604588,1.11681,1.3096,1.00119,0.903256,0.788425,1.05556
52,40.1769,-88.0503,220.705,460.97,359.7,323.01,137.96,808.53,372.33,182.833,254.283,71.4414,347.56,0.0449071,0,0,52,0.827536,0.97726,1.41491,0.876196,1.31226,1.11097,1.34316,1.09827,1.18682
53,41.2918,-88.1122,240.519,372.11,302.58,277.33,94.78,610.5,218.59,453.759,541.587,87.823,238.39,0.0522873,0,0,53,0.888628,1.1726,1.08794,1.35344,1.03533,1.49504,0.677542,1.32256,1.43156
55,34.2692,-87.9457,148.106,533.04,388.34,337.06,195.98,826.77,362.62,179.386,255.525,76.1291,293.73,0.0574338,0,0,55,0.573091,0.6289,0.967936,0.567626,0.871663,0.680532,0.845302,0.740433,0.527537
56,43.3658,-88.1214,271.011,553.67,394.54,346.47,207.2,904.84,456.86,141.282,211.975,70.6847,351.17,0.0423434,0,0,56,0.998344,0.784505,0.566292,0.773854,0.556441,0.502434,1.18801,1.22403,1.09541
57,39.689,-87.7904,268.905,467.65,342.61,297.36,170.29,705,260.97,332.068,426.898,94.814,237.35,0.0563891,0,0,57,1.08093,1.38975,0.872894,0.749244,0.898956,0.903629,0.52438,0.539359,0.669498
58,41.9303,-88.0253,186.553,468.25,376.15,339.93,128.32,702.29,254.75,320.837,400.239,79.3947,234.04,0.0339783,0,0,58,0.70588,1.16657,0.652004,0.967149,0.668461,1.3904,0.976337,1.0302,1.22257
59,36.4061,-88.1285,210.509,384.91,297.06,269.52,115.39,686.61,267.48,296.216,382.88,86.6552,301.7,0.0723126,0,0,59,0.764302,0.775887,1.11102,1.1809,0.52598,0.839524,0.58191,1.23317,0.742455
60,41.7897,-88.0382,178.891,531.56,415.79,368.6,162.96,746,265.76,294.686,371.969,77.2747,214.44,0.0284183,0,0,60,0.674204,1.02816,0.828115,0.696087,0.878329,1.25779,1.06143,1.05864,1.21559
64,44.5112,-88.0898,288.744,374.07,286.45,261.54,112.53,832.19,392.08,142.552,211.755,69.194,458.12,0.0605711,0,0,64,1.09438,0.794485,0.548548,1.39779,1.38659,0.796828,1.39338,1.16675,1.35082
65,40.3171,-87.9105,263.94,432.81,337.53,299.22,133.59,779.95,345.46,210.756,290.723,79.9547,347.14,0.0621658,0,0,65,1.0338,0.688069,0.836743,0.823337,0.777259,1.42242,0.88078,0.733529,0.868191
67,45.9554,-87.941,346.912,462.36,341.15,298.54,163.82,787.79,352.53,220.234,301.142,80.8941,325.43,0.058418,0,0,67,1.40488,0.526133,0.676295,0.694201,1.11378,1.2074,0.922511,0.82256,1.19239
68,40.4572,-88.1549,263.635,352.94,282.29,257.7,95.24,750.68,325.34,211.266,291.41,80.1355,397.74,0.07146,0,0,68,0.965582,0.889342,1.06151,1.38957,0.594989,1.31746,0.757656,1.39949,0.923061
71,38.7836,-87.9689,161.981,402.11,313.22,285.82,116.29,628.5,229.18,408.572,490.918,82.3408,226.39,0.0504578,0,0,71,0.627836,1.15888,1.38397,1.27081,1.006,0.830579,0.866953,0.841628,1.16022
72,37.5884,-88.0098,126.103,428.26,345.09,313.7,114.56,705.6,272.41,278.428,354.143,75.7099,277.34,0.0489283,0,0,72,0.503281,0.922562,1.47813,0.973099,1.26185,1.34755,1.068,0.966409,0.947625
74,40.1578,-87.9936,238.148,459.33,346.43,312.06,147.27,654.12,236.19,387.086,470.745,83.6518,194.79,0.0504334,0,0,74,0.90717,0.750623,1.47323,0.866747,1.44579,0.806922,0.921863,0.935355,1.39523
75,45.8791,-88.1394,335.607,377.42,295.42,268.77,108.65,790.89,365.16,180.933,255.684,74.7414,413.47,0.0538556,0,0,75,1.28279,1.21155,0.931139,1.32387,1.48167,1.15726,1.10615,1.41389,1.44653
79,42.3972,-88.0601,279.894,522.63,412.93,362.41,160.22,903.55,458.99,145.898,215.217,69.3099,380.92,0.042074,0,0,79,1.06072,0.571216,1.00719,0.709194,0.605073,1.47904,1.41872,1.13247,1.25721
80,44.4027,-88.1563,236.437,525.75,405.07,357.11,168.64,853.57,391.2,181.227,253.398,72.1623,327.82,0.0272653,0,0,80,0.86005,1.10285,0.510134,0.705382,0.963019,1.24648,1.1822,1.45642,1.30036
82,40.8584,-87.8942,279.582,335.27,254.66,229.23,106.04,669.84,265.16,310.745,403.346,92.5892,334.57,0.0752869,0,0,82,1.10601,1.31209,0.825787,1.36949,1.36911,0.98818,0.546234,0.692542,0.75495
83,41.8464,-87.9318,292.402,471.59,349.33,311.3,160.29,822.96,390.73,175.668,249.636,73.9574,351.37,0.0544698,0,0,83,1.15244,0.74375,1.11252,0.961454,0.562099,0.688221,1.23878,0.792966,1.12145
84,39.7302,-88.1507,157.484,569.99,430.72,376.16,193.83,893.26,425.62,148.52,215.674,67.1471,323.27,0.0387585,0,0,84,0.582624,0.51337,1.2606,0.58474,0.949424,0.85385,1.43247,1.37475,1.00793
85,42.8377,-88.0957,221.564,449.83,356.8,321.52,128.31,725.34,277.94,280.802,360.639,79.828,275.51,0.0357039,0,0,85,0.819538,1.41684,0.557905,0.947885,1.12879,1.37881,0.892716,1.23513,1.20659
87,38.8975,-87.9883,166.36,565.84,444.17,385.93,179.91,907.9,438.09,146.346,214.668,68.3141,342.06,0.0305805,0,0,87,0.637328,1.12478,1.16767,0.646771,0.64519,1.16263,1.42513,0.899291,0.860695
90,40.3881,-88.0607,246.82,419.79,323.29,287.77,132.02,850.92,403.08,146.28,222.457,76.1664,431.13,0.0558544,0,0,90,0.92098,1.48888,0.524222,1.03661,0.749197,1.03976,0.7872,1.00938,0.657217
91,43.1778,-88.0525,269.249,596.37,400.54,346.49,249.88,807.39,330.28,236.013,312.071,76.0488,211.02,0.0374294,0,0,91,1.01725,0.641493,0.811559,0.53389,1.43659,0.525324,1.1647,1.05129,1.44199
92,43.2939,-88.1051,176.612,484.75,387.44,349.45,135.3,770.26,318.71,230.93,302.07,71.134,285.51,0.0202166,0,0,92,0.660177,1.44311,1.01261,0.855715,1.48739,1.47129,1.45002,1.34922,1.49697
93,40.2427,-88.0777,215.654,511.76,374.76,332.97,178.79,857.82,411.75,155.097,226.071,70.9654,346.06,0.0495343,0,0,93,0.796213,0.670936,0.888638,0.828865,0.653642,0.569988,1.20593,1.08953,0.9684
94,39.3694,-87.938,148.983,384.61,313.91,289.26,95.35,750.89,328.08,207.479,277.869,70.3837,366.28,0.0442045,0,0,94,0.589233,1.45364,1.23322,1.49962,0.953672,1.29103,1.49588,0.853225,1.12562
98,33.1326,-88.0961,134.933,358.04,274.74,249.47,108.57,687.31,265.81,277.3,361.708,84.4012,329.27,0.0683995,0,0,98,0.515355,1.37149,1.28372,1.34976,1.23567,0.723209,0.561925,1.06169,0.516209
99,41.093,-88.0107,178.12,449.36,356.67,324.66,124.7,732.43,298.39,254.519,328.146,73.6193,283.07,0.0410153,0,0,99,0.679416,0.830785,1.04126,1.04566,0.998817,1.12841,1.33357,1.0114,1.32894
