# Drug name and concentration: 5: Terfenadine at 45μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 19
#   Hill Coefficient: 0.6
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 700
#   Hill Coefficient: 0.7
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,39.5281,-88.1528,191.493,405.77,324.21,294.16,111.61,676.58,250.69,325.714,409.02,83.2987,270.81,0.0546808,0,0,1,0.698716,1.01134,0.978925,1.35698,1.24229,1.36012,0.700452,1.40027,1.13236
2,46.4012,-88.1677,350.243,397.27,309.12,277.09,120.18,859.95,416.63,139.65,212.994,73.3343,462.68,0.0659772,0,0,2,1.32916,0.618259,0.680672,1.41947,0.736857,1.35337,0.981452,1.46718,1.27088
4,41.2264,-88.1721,290.538,473.31,361.37,317.92,155.39,788.67,338.98,224.955,308.72,83.7519,315.36,0.0498501,0,0,4,1.065,1.35064,1.43676,1.02166,0.886777,1.10254,0.63188,1.44478,0.960312
5,37.9121,-88.1501,169.499,475.94,385.42,345.33,130.61,901.56,444.92,124.936,191.865,66.9221,425.62,0.0470199,0,0,5,0.626144,0.84137,1.31771,1.06523,0.756123,1.44616,1.30788,1.36701,0.929413
6,41.623,-87.8395,318.591,531.73,398.67,332.01,199.72,948.67,494.49,124.923,201.761,76.8274,416.94,0.0623452,0,0,6,1.3041,0.898694,0.95934,0.611217,0.627088,1.43325,0.746303,0.559261,0.548117
9,39.6158,-87.8653,169.521,445.13,343.11,309.7,135.43,657.57,241.33,367.635,448.645,81.0029,212.44,0.0407359,0,0,9,0.668078,1.32809,1.00135,1.37704,1.17536,0.881394,1.00129,0.682827,1.2955
10,33.805,-87.8482,161.608,392.96,305.63,272.57,120.39,809.27,361.33,160.785,237.998,77.2047,416.31,0.0627467,0,0,10,0.640383,1.42469,0.790927,1.38253,0.985211,1.07405,0.770907,0.580445,0.502509
14,38.1939,-87.7476,217.415,406.53,317.74,285.83,120.7,649.23,240.07,375.509,462.08,86.5629,242.7,0.0576728,0,0,14,0.874694,0.94465,0.934225,1.34028,1.07286,1.21154,0.825917,0.531405,1.13432
20,41.4115,-87.7443,233.459,692.01,462.81,376.38,315.63,907.62,384.13,194.505,268.254,73.7372,215.61,0.0250592,0,0,20,0.939491,1.27055,0.596076,0.642641,0.978897,0.557006,1.3213,0.521269,1.16439
22,38.2382,-88.1354,214.054,445.6,335.71,303.12,142.48,716.18,282.95,273.24,353.856,80.6062,270.58,0.058111,0,0,22,0.78031,0.734109,1.45535,1.22921,1.16057,0.704971,0.828635,1.2789,1.15187
24,43.4246,-87.7315,322.734,422.55,302.27,268.07,154.48,801.43,373.13,178.088,254.948,76.8474,378.88,0.0561939,0,0,24,1.37105,1.49213,0.747794,1.47849,1.2575,0.59586,1.13521,0.501402,1.11469
27,42.4223,-87.9148,313.972,682.06,478.24,385.46,296.6,986.85,515.68,146.782,217.347,70.5541,304.79,0.0386087,0,0,27,1.25585,0.598904,1.31387,0.59768,0.713975,0.774301,1.35939,0.762138,1.27372
28,43.8671,-88.1217,303.724,688.37,483.32,396.95,291.42,1030.7,572.5,122.353,191.209,68.8469,342.33,0.0358838,0,0,28,1.13371,0.531424,0.696756,0.633101,0.514713,0.668328,1.21347,1.24446,1.23375
29,39.2811,-88.0579,249.036,479.32,359.52,316.73,162.59,702.95,251.48,333.354,422.664,89.2963,223.63,0.0601793,0,0,29,0.924752,0.572415,1.0307,0.923424,0.675227,0.946268,0.585204,1.04201,0.993049
31,41.822,-88.1594,233.392,561.13,401.96,349.05,212.08,817.96,335.38,222.32,302.518,80.1856,256.83,0.0360303,0,0,31,0.839924,1.19758,0.540567,0.845105,0.78175,0.638315,0.722195,1.33211,1.01411
33,40.4393,-88.1341,147.117,670.31,484.97,408.68,261.63,868.06,313.1,221.026,294.672,73.6381,197.75,0.0169728,0,0,33,0.549514,1.184,1.09956,0.579307,0.934161,0.728757,1.03587,1.2644,1.07355
37,39.3424,-87.7996,278.632,386.5,293.24,262.59,123.91,661.01,253.28,347.921,440.373,92.4392,274.51,0.0713868,0,0,37,1.12935,0.8875,1.44939,1.45325,0.656871,0.961389,0.635251,0.576288,0.939036
39,39.1812,-87.8068,180.174,607.27,453.94,379.81,227.46,823.13,296.06,254.681,333.969,79.2757,215.86,0.0346816,0,0,39,0.713196,0.904481,0.553781,0.566011,0.814421,1.17739,0.937396,0.567539,0.906994
40,42.5377,-88.0209,303.32,439.88,318.69,285.43,154.45,691.96,269.68,314.298,400.232,85.922,252.08,0.0611084,0,0,40,1.17429,0.704558,1.32276,1.19118,1.40784,0.658034,0.790856,0.971838,1.37901
42,41.8706,-88.1503,205.052,524.71,395.64,349.37,175.34,714.74,245.62,336.612,418.701,82.0804,190.03,0.0404832,0,0,42,0.742768,0.674059,0.713808,0.799616,1.09805,1.0172,0.779429,1.3845,1.36293
43,45.4978,-88.0261,371.98,478.47,365.77,317.89,160.58,912.02,464.92,130.909,204.076,73.1572,433.55,0.0580851,0,0,43,1.49368,0.957627,1.33864,0.953683,0.721374,1.43402,1.0162,0.985136,1.00321
