Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa,drug,cnet,dose
1,39.9382,-87.8393,251.859,327.19,265.35,242.87,84.32,774.73,345.64,176.242,248.703,72.4524,447.54,0.0472134,0,0,1,1.25955,1.13245,1.4096,0.921915,1.27445,0.816716,1.36352,0.703243,1.14164,chlorpromazine,34.5,2
2,40.4766,-87.9128,257.136,301.93,252,232.85,69.08,698.49,288.99,256.384,335.992,79.6004,396.56,0.0612105,0,0,2,1.08776,0.804707,1.37275,1.02163,0.660989,1.15547,1.00881,0.848511,1.21274,chlorpromazine,34.5,2
4,40.5402,-87.9724,263.186,270.45,216.19,196.85,73.6,662.73,258.31,303.349,395.416,92.0579,392.28,0.0689379,0,0,4,0.788933,1.07789,0.94939,1.12363,0.947599,0.779872,0.513344,0.870073,0.755705,chlorpromazine,34.5,2
5,41.1327,-88.0317,266.176,254.11,203.81,187.28,66.83,700.43,281.57,241.182,326.04,84.8495,446.32,0.0716432,0,0,5,1.22937,1.06536,0.956006,1.34837,0.619484,0.643933,0.648585,0.987129,0.859177,chlorpromazine,34.5,2
7,40.1455,-87.9327,259.163,364.13,298.2,265.83,98.3,695.27,276.82,296.587,388.186,91.5847,331.14,0.0425026,0,0,7,1.12734,1.21322,1.0768,0.59416,1.19831,1.4073,0.535858,0.835674,0.7209,chlorpromazine,34.5,2
10,41.8814,-88.0436,268.012,372.66,291.46,263.01,109.65,815.36,376.54,158.18,232.083,73.8937,442.7,0.0537961,0,0,10,0.754755,0.738202,0.883224,0.647699,0.953403,0.66055,1.04908,1.03994,1.00258,chlorpromazine,34.5,2
11,39.0216,-87.7582,245.734,278.33,232.56,212.48,65.85,835.7,376.99,125.991,195.983,69.9848,557.37,0.058087,0,0,11,0.80391,1.26541,1.01014,1.10438,1.04747,1.42593,1.21314,0.58209,0.782922,chlorpromazine,34.5,2
13,39.6767,-87.9135,256.552,272.61,226.78,208.97,63.64,723.66,301.66,216.308,294.802,78.4853,451.05,0.0754305,0,0,13,1.38171,0.653576,1.36462,1.00154,1.17733,1.34125,0.951589,0.823403,1.02888,chlorpromazine,34.5,2
14,40.3715,-88.0964,270.478,289.46,230.1,209.84,79.62,762.91,327.6,181.688,261.719,80.0207,473.45,0.0581053,0,0,14,0.502533,1.3019,1.40423,1.1301,1.22046,0.581343,0.725196,1.13212,0.771478,chlorpromazine,34.5,2
15,41.1015,-88.0663,268.023,347.59,289.41,261.73,85.86,793.66,358.12,176.699,255.684,78.9741,446.07,0.0339779,0,0,15,1.32584,1.4682,1.25093,0.796372,1.11965,1.38473,0.766849,1.20998,0.81169,chlorpromazine,34.5,2
