# Drug name and concentration: 1: Verapamil at 45μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 499
#   Hill Coefficient: 1.1
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 202
#   Hill Coefficient: 1.1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,39.284,-87.8496,252.548,319.9,259.68,237.13,82.77,818.58,373.21,141.986,212.039,70.045,498.68,0.0499087,0,0,1,1.25955,1.13245,1.4096,0.921915,1.27445,0.816716,1.36352,0.703243,1.14164
2,39.9045,-87.9225,257.558,291.81,243.04,223.94,67.87,738.99,315,205.311,282.67,77.3506,447.18,0.0648095,0,0,2,1.08776,0.804707,1.37275,1.02163,0.660989,1.15547,1.00881,0.848511,1.21274
4,40.1646,-87.9779,263.578,263.95,210.48,190.99,72.96,696.69,280.07,249.441,339.21,89.7562,432.74,0.0706204,0,0,4,0.788933,1.07789,0.94939,1.12363,0.947599,0.779872,0.513344,0.870073,0.755705
5,40.711,-88.0376,266.773,245.66,196.11,179.46,66.2,738.08,305.21,195.121,277.494,82.3634,492.42,0.0739879,0,0,5,1.22937,1.06536,0.956006,1.34837,0.619484,0.643933,0.648585,0.987129,0.859177
7,39.7569,-87.939,259.143,359.51,294.84,262.1,97.41,733.32,310.42,243.127,332.329,89.1863,373.81,0.0435367,0,0,7,1.12734,1.21322,1.0768,0.59416,1.19831,1.4073,0.535858,0.835674,0.7209
10,41.2803,-88.0513,268.469,365.24,286.18,257.71,107.53,855.05,402.53,130.595,202.328,71.7242,489.81,0.0569775,0,0,10,0.754755,0.738202,0.883224,0.647699,0.953403,0.66055,1.04908,1.03994,1.00258
11,38.4217,-87.7677,246.234,272.52,227.86,207.78,64.74,867.46,394.44,107.257,175.078,67.816,594.94,0.059665,0,0,11,0.80391,1.26541,1.01014,1.10438,1.04747,1.42593,1.21314,0.58209,0.782922
13,39.133,-87.9246,256.963,262.96,218.15,200.33,62.63,764.33,326.97,173.563,249.597,76.0242,501.37,0.0785449,0,0,13,1.38171,0.653576,1.36462,1.00154,1.17733,1.34125,0.951589,0.823403,1.02888
14,40.0096,-88.1009,270.818,283.62,225.07,204.5,79.12,800.13,351.8,150.121,227.789,77.6585,516.51,0.0597486,0,0,14,0.502533,1.3019,1.40423,1.1301,1.22046,0.581343,0.725196,1.13212,0.771478
15,40.6762,-88.0724,268.126,343.46,286.45,258.55,84.91,833.15,385.58,146.17,222.968,76.788,489.69,0.0353513,0,0,15,1.32584,1.4682,1.25093,0.796372,1.11965,1.38473,0.766849,1.20998,0.81169
18,41.1054,-88.1905,279.726,394.05,308.04,272.26,121.79,898.45,435.82,115.942,192.294,76.3434,504.4,0.0364427,0,0,18,1.35251,1.34048,1.09712,0.598936,1.18766,0.681243,0.619567,1.44938,0.564899
20,42.8912,-87.9941,262.011,314.4,255.22,233.76,80.64,858.69,400.79,117.504,184.012,66.5006,544.29,0.0392856,0,0,20,1.42391,1.38016,0.823026,1.08034,1.30752,0.730013,1.49315,0.964038,1.29249
21,38.1573,-87.917,258.163,276.87,218.37,196.71,80.16,848.62,380.22,116.388,190.098,73.7025,571.75,0.0682081,0,0,21,1.45445,1.16984,1.2283,1.04432,1.08621,0.666436,0.793681,0.712182,0.571739
22,42.2463,-87.9799,261.125,293.22,245.85,226.12,67.1,664.35,262.4,310.847,396,85.1449,371.13,0.0675164,0,0,22,0.761214,0.601802,0.717928,0.911148,0.781716,1.49751,0.750619,0.973089,1.37017
25,41.8117,-88.1437,274.97,323.31,261.35,239.43,83.88,742.39,319.25,211.45,290.721,79.2619,419.08,0.0528391,0,0,25,0.899575,0.981637,1.3318,0.919708,1.0115,0.733913,0.838232,1.40694,1.25977
27,42.3527,-88.0711,268.841,366.17,298.26,268.14,98.03,845.18,397.68,142.05,216.233,74.1733,479.01,0.0389454,0,0,27,0.815516,1.14146,0.795586,0.669027,1.07818,1.11744,0.921793,1.17398,0.995901
28,42.4606,-88.0906,269.818,363.66,300.38,269.77,93.89,888.21,427.79,117.973,189.733,71.7517,524.55,0.0445919,0,0,28,0.854672,1.02472,0.648055,0.639608,0.927037,1.39642,0.93724,1.21773,0.88723
30,40.9156,-87.6898,243.052,364.02,294.39,264.04,99.98,768.08,341.91,198.665,276.022,77.346,404.06,0.0320948,0,0,30,1.05917,1.39563,0.733522,0.715208,1.24343,1.04644,1.10792,0.517388,1.05005
31,41.1245,-87.8618,253.933,263.67,213.7,196.5,67.17,813.53,360.42,134.635,204.579,69.9362,549.86,0.0696736,0,0,31,1.12096,0.822285,0.671342,1.21236,0.610485,0.805366,1.24918,0.693148,1.13449
32,43.1567,-88.0731,271.129,394.8,304.86,273.77,121.03,746.79,322.81,228.847,309.002,80.1447,351.99,0.0530753,0,0,32,1.49599,0.551368,0.657084,0.516762,0.998886,0.672193,0.858383,1.14193,1.31535
36,41.4086,-87.7408,244.68,284.58,239,220.64,63.94,742.46,319.78,197.731,271.379,73.6404,457.88,0.0529369,0,0,36,1.41634,1.057,0.838061,1.15579,0.895024,1.32883,1.34997,0.607935,1.43534
40,43.4223,-88.1195,273.238,364,296.53,270.39,93.61,845.69,400.72,138.193,208.386,70.1853,481.69,0.0500456,0,0,40,0.744339,0.675849,0.746487,0.749454,0.510079,0.888897,1.21937,1.33951,1.37053
42,39.7736,-87.8243,250.649,241.08,197.81,180.76,60.32,838.01,369.7,116.74,186.435,69.6876,596.93,0.0686178,0,0,42,1.20008,1.17544,0.754806,1.2999,1.25591,1.14585,1.08713,0.640316,0.85396
45,43.6643,-88.1261,272.499,269.46,225.98,209.39,60.07,734.7,309.49,206.595,284.561,77.9573,465.24,0.0457925,0,0,45,1.43603,1.45633,0.89132,1.44239,0.996105,1.05435,0.880786,1.45477,1.41733
46,43.76,-88.031,265.445,314.15,257.23,234.89,79.26,860.74,402.21,118.855,186.979,68.1163,546.59,0.0448125,0,0,46,0.520555,1.18902,0.568774,0.991482,1.14652,0.977829,1.29345,1.07875,1.22147
48,40.6459,-88.1691,277.33,385.16,314.98,283.27,101.89,883.98,426.19,124.03,198.604,74.5655,498.82,0.033885,0,0,48,0.875811,1.32957,1.44533,0.703702,0.692465,0.925904,0.760407,1.47106,0.727905
49,39.1691,-87.7974,251.076,214.09,170.17,155.66,58.43,681.64,263.61,256.95,344.227,87.2689,467.55,0.0951715,0,0,49,0.75049,0.502431,0.726344,1.24037,0.723578,0.90769,0.592332,0.562983,0.845769
50,42.1715,-88.0055,264.225,325.92,263.83,239.62,86.3,853.68,396.95,126.458,198.662,72.1944,527.76,0.0464334,0,0,50,1.10142,1.2227,0.61558,0.97047,0.559653,0.783285,0.996599,0.947879,0.923251
52,39.44,-87.9947,265.447,321.71,243.05,218.49,103.22,815.4,365.51,143.464,218.932,75.4577,493.69,0.0773414,0,0,52,1.19088,0.562246,1.10254,0.686676,1.3672,0.508798,0.849273,0.852379,0.803879
